,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1081081.0,1050.290061,1.0,4.37,3.62,7.86,0.0,-8.75,-42.69,0.12,-0.75,-0.94,0.02248526679818408,-0.1137266960339074,0.11296851919064645,-33.943481085591756,9.17713147157167,-65.24478588422559,-0.7859999999999999,-0.2919,0.08,-0.5391
1,1081081.0,1050.290061,1.0,4.37,3.62,7.86,0.0,-8.75,-42.69,0.12,-0.75,-0.94,0.02248526679818408,-0.1137266960339074,0.11296851919064645,-33.943481085591756,9.17713147157167,-65.24478588422559,-0.7859999999999999,-0.2919,0.08,-0.5391
2,1081116.0,1050.3634220000001,1.0,4.35,3.62,7.88,-0.25,-8.75,-43.06,0.37,-1.31,-0.56,0.020141496378764726,-0.08023138364912685,0.10538939917077884,-33.9794256257345,9.200123661166053,-65.20397390849297,-0.7861,-0.2922,0.0802,-0.5388
3,1081116.0,1050.3634220000001,1.0,4.35,3.62,7.88,-0.25,-8.75,-43.06,0.37,-1.31,-0.56,0.020141496378764726,-0.08023138364912685,0.10538939917077884,-33.9794256257345,9.200123661166053,-65.20397390849297,-0.7861,-0.2922,0.0802,-0.5388
4,1081153.0,1050.38202,1.0,5.39,3.93,7.84,0.0,-9.06,-41.88,-0.88,-6.06,-2.06,0.15511456967552306,-0.9934474008359512,-0.4379389000997325,-34.039340850884635,9.292096140833058,-65.13597459719793,-0.7861,-0.2927,0.081,-0.5383
5,1081153.0,1050.38202,1.0,5.39,3.93,7.84,0.0,-9.06,-41.88,-0.88,-6.06,-2.06,0.15511456967552306,-0.9934474008359512,-0.4379389000997325,-34.039340850884635,9.292096140833058,-65.13597459719793,-0.7861,-0.2927,0.081,-0.5383
6,1081186.0,1050.38626,1.0,7.37,3.76,6.89,0.0,-9.06,-41.88,1.88,-24.81,0.31,0.9212232985429208,-2.9019467000254835,-0.5208207932016382,-34.591013631336175,9.947577287046574,-64.83708299106056,-0.7853,-0.2973,0.0867,-0.5361
7,1081186.0,1050.38626,1.0,7.37,3.76,6.89,0.0,-9.06,-41.88,1.88,-24.81,0.31,0.9212232985429208,-2.9019467000254835,-0.5208207932016382,-34.591013631336175,9.947577287046574,-64.83708299106056,-0.7853,-0.2973,0.0867,-0.5361
8,1081223.0,1050.42825,1.0,7.3,3.65,7.78,-0.69,-9.06,-40.69,23.69,-90.44,28.62,1.071415032671012,-1.8711338241542568,-1.2609526329044003,-36.27518399341682,11.535926836248436,-64.74208498773758,-0.7787,-0.3113,0.1005,-0.5354
9,1081223.0,1050.42825,1.0,7.3,3.65,7.78,-0.69,-9.06,-40.69,23.69,-90.44,28.62,1.071415032671012,-1.8711338241542568,-1.2609526329044003,-36.27518399341682,11.535926836248436,-64.74208498773758,-0.7787,-0.3113,0.1005,-0.5354
10,1081260.0,1050.49018,1.0,9.18,6.17,7.12,-3.0,-10.25,-41.56,-4.94,-104.44,-36.63,-0.4566518119430314,-3.5574404375015014,-2.8492492827960785,-38.683253582612885,14.373061379793723,-62.32941069730318,-0.7791,-0.3312,0.1251,-0.5175
11,1081260.0,1050.49018,1.0,9.18,6.17,7.12,-3.0,-10.25,-41.56,-4.94,-104.44,-36.63,-0.4566518119430314,-3.5574404375015014,-2.8492492827960785,-38.683253582612885,14.373061379793723,-62.32941069730318,-0.7791,-0.3312,0.1251,-0.5175
