,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1255053.0,1224.6323929999999,1.0,8.54,4.27,-1.52,-29.75,-29.5,-3.75,0.56,1.56,0.06,0.08508638245314283,3.1837319314220736e-06,0.13878258740528082,-98.80505247705544,8.510515201802361,-66.11767701122476,-0.34700000000000003,-0.7593,0.0742,-0.5455
1,1255053.0,1224.6323929999999,1.0,8.54,4.27,-1.52,-29.75,-29.5,-3.75,0.56,1.56,0.06,0.08508638245314283,3.1837319314220736e-06,0.13878258740528082,-98.80505247705544,8.510515201802361,-66.11767701122476,-0.34700000000000003,-0.7593,0.0742,-0.5455
2,1255088.0,1224.640711,1.0,8.69,4.4,-1.55,-29.75,-28.75,-2.88,-0.63,-0.19,0.0,0.05199580692243433,0.03598619747384468,-0.056138724780323564,-98.76983998330203,8.510515201802361,-66.1450243398958,-0.3471,-0.7591,0.0742,-0.5457
3,1255088.0,1224.640711,1.0,8.69,4.4,-1.55,-29.75,-28.75,-2.88,-0.63,-0.19,0.0,0.05199580692243433,0.03598619747384468,-0.056138724780323564,-98.76983998330203,8.510515201802361,-66.1450243398958,-0.3471,-0.7591,0.0742,-0.5457
4,1255124.0,1224.660661,1.0,9.21,4.5,-1.74,-29.75,-28.75,-2.88,0.81,1.25,1.37,0.05654980775553125,-0.14443782115553996,-0.5893896226189241,-98.75223846738031,8.522006076442151,-66.1586995980381,-0.3472,-0.759,0.0743,-0.5458
5,1255124.0,1224.660661,1.0,9.21,4.5,-1.74,-29.75,-28.75,-2.88,0.81,1.25,1.37,0.05654980775553125,-0.14443782115553996,-0.5893896226189241,-98.75223846738031,8.522006076442151,-66.1586995980381,-0.3472,-0.759,0.0743,-0.5458
6,1255159.0,1224.704544,1.0,8.86,4.42,-1.72,-30.56,-28.75,-4.56,1.19,-7.13,1.75,-0.00682548371365166,-0.06797057001887774,-0.24271482641482045,-98.92839577736687,8.61393617408195,-66.02199478441803,-0.3463,-0.76,0.0751,-0.5448
7,1255159.0,1224.704544,1.0,8.86,4.42,-1.72,-30.56,-28.75,-4.56,1.19,-7.13,1.75,-0.00682548371365166,-0.06797057001887774,-0.24271482641482045,-98.92839577736687,8.61393617408195,-66.02199478441803,-0.3463,-0.76,0.0751,-0.5448
8,1255194.0,1224.723229,1.0,8.97,4.43,-1.87,-29.75,-29.5,-2.88,-0.12,-6.19,1.88,-0.06544560304799996,-0.15628252933899622,-0.3694982223906891,-99.0872085325556,8.705871826379285,-65.88539584221961,-0.3458,-0.7609,0.0759,-0.5438
9,1255194.0,1224.723229,1.0,8.97,4.43,-1.87,-29.75,-29.5,-2.88,-0.12,-6.19,1.88,-0.06544560304799996,-0.15628252933899622,-0.3694982223906891,-99.0872085325556,8.705871826379285,-65.88539584221961,-0.3458,-0.7609,0.0759,-0.5438
10,1255229.0,1224.771665,1.0,8.91,4.4,-2.04,-29.75,-29.5,-2.88,1.5,-10.13,3.56,-0.1771009021851187,-0.2287447555016997,-0.3336661246223347,-99.31706154713407,8.855279263547427,-65.66705665174257,-0.345,-0.7622,0.0772,-0.5422
11,1255229.0,1224.771665,1.0,8.91,4.4,-2.04,-29.75,-29.5,-2.88,1.5,-10.13,3.56,-0.1771009021851187,-0.2287447555016997,-0.3336661246223347,-99.31706154713407,8.855279263547427,-65.66705665174257,-0.345,-0.7622,0.0772,-0.5422
