,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1608122.0,1578.413507,1.0,4.08,1.76,8.67,18.06,-9.19,-40.0,-0.69,-48.88,-11.5,-0.5996944881935433,-2.7240191019870346,0.4721448469219851,-12.238714488577818,-1.1230152546764245,-94.8682331378412,-0.6679999999999999,-0.1066,-0.0098,-0.7365
1,1608122.0,1578.413507,1.0,4.08,1.76,8.67,18.06,-9.19,-40.0,-0.69,-48.88,-11.5,-0.5996944881935433,-2.7240191019870346,0.4721448469219851,-12.238714488577818,-1.1230152546764245,-94.8682331378412,-0.6679999999999999,-0.1066,-0.0098,-0.7365
2,1608157.0,1578.477676,1.0,9.93,4.15,9.19,18.37,-7.69,-39.56,3.31,-90.81,-21.62,-3.0617023418428526,-7.629483938120222,-1.7129182908657423,-14.731179119281881,0.9854995558041141,-93.40455194632291,-0.6736,-0.1282,0.0086,-0.7278
3,1608157.0,1578.477676,1.0,9.93,4.15,9.19,18.37,-7.69,-39.56,3.31,-90.81,-21.62,-3.0617023418428526,-7.629483938120222,-1.7129182908657423,-14.731179119281881,0.9854995558041141,-93.40455194632291,-0.6736,-0.1282,0.0086,-0.7278
4,1608194.0,1578.533548,1.0,20.13,5.14,8.14,15.06,-7.75,-40.75,14.25,-229.44,-161.69,-3.3417021718262223,-16.916650224369185,-4.3551320835219,-18.86667840059343,3.7478120989556993,-89.30416461407226,-0.6915,-0.1639,0.0327,-0.7028
5,1608194.0,1578.533548,1.0,20.13,5.14,8.14,15.06,-7.75,-40.75,14.25,-229.44,-161.69,-3.3417021718262223,-16.916650224369185,-4.3551320835219,-18.86667840059343,3.7478120989556993,-89.30416461407226,-0.6915,-0.1639,0.0327,-0.7028
6,1608226.0,1578.5399960000002,1.0,18.53,-3.45,15.45,15.06,-7.75,-40.75,80.06,-451.25,-364.0,11.108962197630714,-6.868861328784227,-10.76944299496735,-32.007467853657644,11.2019689418816,-73.11083313213125,-0.7482,-0.2757,0.0976,-0.5956
7,1608226.0,1578.5399960000002,1.0,18.53,-3.45,15.45,15.06,-7.75,-40.75,80.06,-451.25,-364.0,11.108962197630714,-6.868861328784227,-10.76944299496735,-32.007467853657644,11.2019689418816,-73.11083313213125,-0.7482,-0.2757,0.0976,-0.5956
8,1608263.0,1578.555854,1.0,14.68,2.66,16.73,6.5,-7.0,-43.56,-27.87,-588.0,-204.5,5.500760241314964,2.685210103227952,-11.757259280765656,-43.60396968900631,20.984205642908503,-60.51671820753376,-0.7583,-0.3714,0.1821,-0.5039
9,1608263.0,1578.555854,1.0,14.68,2.66,16.73,6.5,-7.0,-43.56,-27.87,-588.0,-204.5,5.500760241314964,2.685210103227952,-11.757259280765656,-43.60396968900631,20.984205642908503,-60.51671820753376,-0.7583,-0.3714,0.1821,-0.5039
