,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1474238.0,1444.1825279999998,1.0,2.12,1.82,-9.3,-1.69,-20.75,33.88,2.75,2.81,-1.69,0.03473393944266255,0.22976211188744625,0.09877675580321288,-153.01476916887475,-21.50886039245491,-14.569430825374987,-0.0602,-0.9724,-0.1866,-0.1268
1,1474238.0,1444.1825279999998,1.0,2.12,1.82,-9.3,-1.69,-20.75,33.88,2.75,2.81,-1.69,0.03473393944266255,0.22976211188744625,0.09877675580321288,-153.01476916887475,-21.50886039245491,-14.569430825374987,-0.0602,-0.9724,-0.1866,-0.1268
2,1474273.0,1444.256396,1.0,2.2,1.47,-9.46,-2.06,-20.37,35.38,5.81,4.06,-2.63,-0.06958657097082868,-0.10570861224540927,-0.015594315757866184,-152.8678214061549,-21.637178319468852,-14.673408500442047,-0.0587,-0.9721,-0.1877,-0.1277
3,1474273.0,1444.256396,1.0,2.2,1.47,-9.46,-2.06,-20.37,35.38,5.81,4.06,-2.63,-0.06958657097082868,-0.10570861224540927,-0.015594315757866184,-152.8678214061549,-21.637178319468852,-14.673408500442047,-0.0587,-0.9721,-0.1877,-0.1277
4,1474308.0,1444.2642449999998,1.0,2.29,1.57,-9.53,-2.06,-20.37,35.38,2.31,3.44,-2.06,0.019098608601814115,-0.03652728960317708,-0.1194872648308518,-152.81901206638815,-21.71884947041321,-14.742733694368155,-0.0579,-0.972,-0.1884,-0.1283
5,1474308.0,1444.2642449999998,1.0,2.29,1.57,-9.53,-2.06,-20.37,35.38,2.31,3.44,-2.06,0.019098608601814115,-0.03652728960317708,-0.1194872648308518,-152.81901206638815,-21.71884947041321,-14.742733694368155,-0.0579,-0.972,-0.1884,-0.1283
6,1474342.0,1444.280961,1.0,2.19,1.45,-9.42,-2.06,-20.75,34.19,2.94,1.75,-2.44,-0.08723826257429122,-0.07777782381006493,0.028033528552397158,-152.72165046658662,-21.823871652385925,-14.800508833176535,-0.0566,-0.9718,-0.1893,-0.1288
7,1474342.0,1444.280961,1.0,2.19,1.45,-9.42,-2.06,-20.75,34.19,2.94,1.75,-2.44,-0.08723826257429122,-0.07777782381006493,0.028033528552397158,-152.72165046658662,-21.823871652385925,-14.800508833176535,-0.0566,-0.9718,-0.1893,-0.1288
8,1474379.0,1444.323523,1.0,2.2,1.6,-9.33,-1.37,-20.0,33.75,1.69,1.0,-1.63,-0.0031304748924840674,0.06724064028839305,0.08840072883903716,-152.67309729035,-21.882225322200526,-14.823619947246295,-0.0563,-0.9717,-0.1898,-0.129
9,1474379.0,1444.323523,1.0,2.2,1.6,-9.33,-1.37,-20.0,33.75,1.69,1.0,-1.63,-0.0031304748924840674,0.06724064028839305,0.08840072883903716,-152.67309729035,-21.882225322200526,-14.823619947246295,-0.0563,-0.9717,-0.1898,-0.129
10,1474412.0,1444.338847,1.0,2.1,1.52,-9.37,-1.37,-20.0,33.75,-0.56,0.69,-2.19,-0.134439750152718,0.0319486004756534,0.08563126529392129,-152.57624392499284,-21.975603150496873,-14.84673166768115,-0.0561,-0.9715,-0.1906,-0.1292
11,1474412.0,1444.338847,1.0,2.1,1.52,-9.37,-1.37,-20.0,33.75,-0.56,0.69,-2.19,-0.134439750152718,0.0319486004756534,0.08563126529392129,-152.57624392499284,-21.975603150496873,-14.84673166768115,-0.0561,-0.9715,-0.1906,-0.1292
12,1474447.0,1444.3812050000001,1.0,2.16,1.6,-9.51,-1.69,-20.0,34.19,1.19,1.37,-2.19,-0.09075554101077596,0.07878772112846001,-0.07521500245652746,-152.52794284369597,-22.045646214809636,-14.858287755594214,-0.0558,-0.9714,-0.1912,-0.1293
13,1474447.0,1444.3812050000001,1.0,2.16,1.6,-9.51,-1.69,-20.0,34.19,1.19,1.37,-2.19,-0.09075554101077596,0.07878772112846001,-0.07521500245652746,-152.52794284369597,-22.045646214809636,-14.858287755594214,-0.0558,-0.9714,-0.1912,-0.1293
14,1474484.0,1444.436331,1.0,2.19,1.69,-9.42,-1.69,-20.75,35.0,1.69,0.12,-2.75,-0.005247796376731562,0.15835396760591647,-0.00984104729264601,-152.4315896826145,-22.162403204703928,-14.858287755594214,-0.0555,-0.9712,-0.1922,-0.1293
15,1474484.0,1444.436331,1.0,2.19,1.69,-9.42,-1.69,-20.75,35.0,1.69,0.12,-2.75,-0.005247796376731562,0.15835396760591647,-0.00984104729264601,-152.4315896826145,-22.162403204703928,-14.858287755594214,-0.0555,-0.9712,-0.1922,-0.1293
