,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,2047430.0,402.628455,1.0,3.83,6.0,-7.27,-15.69,-35.0,16.25,-1.19,-0.88,0.81,-0.0950934855037196,-0.004653751647432536,-0.3674708746313975,-133.73534909546765,11.662626087112969,-19.808247369439112,-0.3383,-0.9196,0.1016,-0.172
1,2047430.0,402.628455,1.0,3.83,6.0,-7.27,-15.69,-35.0,16.25,-1.19,-0.88,0.81,-0.0950934855037196,-0.004653751647432536,-0.3674708746313975,-133.73534909546765,11.662626087112969,-19.808247369439112,-0.3383,-0.9196,0.1016,-0.172
2,2047465.0,402.666979,1.0,3.9,6.01,-7.54,-15.38,-35.38,15.5,1.12,-2.69,0.31,-0.08852125527981748,-0.16299009748930304,-0.5927393193535213,-133.7645266360233,11.685663847129462,-19.72682480222871,-0.3381,-0.9197,0.1018,-0.1713
3,2047465.0,402.666979,1.0,3.9,6.01,-7.54,-15.38,-35.38,15.5,1.12,-2.69,0.31,-0.08852125527981748,-0.16299009748930304,-0.5927393193535213,-133.7645266360233,11.685663847129462,-19.72682480222871,-0.3381,-0.9197,0.1018,-0.1713
4,2047500.0,402.694238,1.0,3.61,5.96,-7.12,-16.5,-35.0,16.25,0.75,-2.19,-0.81,-0.2202968173719556,0.0605079730065623,-0.15306425782178046,-133.85216386873807,11.697182904814724,-19.622153417094765,-0.33799999999999997,-0.92,0.1019,-0.1704
5,2047500.0,402.694238,1.0,3.61,5.96,-7.12,-16.5,-35.0,16.25,0.75,-2.19,-0.81,-0.2202968173719556,0.0605079730065623,-0.15306425782178046,-133.85216386873807,11.697182904814724,-19.622153417094765,-0.33799999999999997,-0.92,0.1019,-0.1704
6,2047537.0,402.735987,1.0,3.66,5.87,-7.05,-16.5,-35.0,16.25,3.38,-1.5,0.81,-0.1236801068386748,0.058361511061826736,-0.06939663644309313,-133.93995871664828,11.708702081111404,-19.57563811342796,-0.3373,-0.9203,0.102,-0.17
7,2047537.0,402.735987,1.0,3.66,5.87,-7.05,-16.5,-35.0,16.25,3.38,-1.5,0.81,-0.1236801068386748,0.058361511061826736,-0.06939663644309313,-133.93995871664828,11.708702081111404,-19.57563811342796,-0.3373,-0.9203,0.102,-0.17
8,2047569.0,402.804685,1.0,3.71,5.72,-7.2,-16.06,-34.19,15.88,1.56,0.31,-0.69,-0.06887189901020252,-0.1327549368951777,-0.10799234293182636,-134.02791208505093,11.697182904814724,-19.57563811342796,-0.3365,-0.9206,0.1019,-0.17
9,2047569.0,402.804685,1.0,3.71,5.72,-7.2,-16.06,-34.19,15.88,1.56,0.31,-0.69,-0.06887189901020252,-0.1327549368951777,-0.10799234293182636,-134.02791208505093,11.697182904814724,-19.57563811342796,-0.3365,-0.9206,0.1019,-0.17
10,2047604.0,402.823304,1.0,3.8,5.92,-7.18,-15.69,-34.19,17.5,0.25,-1.81,0.94,-0.03899123566320117,0.04107439152437253,-0.2449962620758015,-134.05726525899885,11.720221376139571,-19.55238168351347,-0.3364,-0.9207,0.1021,-0.1698
11,2047604.0,402.823304,1.0,3.8,5.92,-7.18,-15.69,-34.19,17.5,0.25,-1.81,0.94,-0.03899123566320117,0.04107439152437253,-0.2449962620758015,-134.05726525899885,11.720221376139571,-19.55238168351347,-0.3364,-0.9207,0.1021,-0.1698
12,2047641.0,402.870129,1.0,3.9,5.98,-7.26,-17.56,-35.0,15.0,1.44,-1.19,-0.25,0.018774285951695724,0.04989715209913781,-0.3754498718535135,-134.0866361818657,11.720221376139571,-19.52912606682039,-0.336,-0.9208,0.1021,-0.1696
13,2047641.0,402.870129,1.0,3.9,5.98,-7.26,-17.56,-35.0,15.0,1.44,-1.19,-0.25,0.018774285951695724,0.04989715209913781,-0.3754498718535135,-134.0866361818657,11.720221376139571,-19.52912606682039,-0.336,-0.9208,0.1021,-0.1696
14,2047674.0,402.934551,1.0,3.75,5.76,-7.19,-17.56,-35.0,15.0,1.56,-1.25,-0.63,-0.026351989071734968,-0.06752978241658036,-0.13975363654918205,-134.1748557862076,11.708702081111404,-19.470990576087328,-0.3354,-0.9211,0.102,-0.1691
15,2047674.0,402.934551,1.0,3.75,5.76,-7.19,-17.56,-35.0,15.0,1.56,-1.25,-0.63,-0.026351989071734968,-0.06752978241658036,-0.13975363654918205,-134.1748557862076,11.708702081111404,-19.470990576087328,-0.3354,-0.9211,0.102,-0.1691
16,2047711.0,402.953075,1.0,3.63,5.78,-7.15,-15.38,-35.38,16.69,-1.0,-0.37,0.69,-0.13212745610382687,-0.03478390510734908,-0.07713128123488211,-134.1748557862076,11.720221376139571,-19.459364085641027,-0.3354,-0.9211,0.1021,-0.16899999999999998
17,2047711.0,402.953075,1.0,3.63,5.78,-7.15,-15.38,-35.38,16.69,-1.0,-0.37,0.69,-0.13212745610382687,-0.03478390510734908,-0.07713128123488211,-134.1748557862076,11.720221376139571,-19.459364085641027,-0.3354,-0.9211,0.1021,-0.16899999999999998
18,2047748.0,402.95626,1.0,3.73,5.89,-7.03,-15.69,-34.56,16.69,-0.12,-0.44,1.94,-0.047825808095356304,0.1347177050007664,-0.09312089795715116,-134.1748557862076,11.754779974813852,-19.470990576087328,-0.3354,-0.9211,0.1024,-0.1691
19,2047748.0,402.95626,1.0,3.73,5.89,-7.03,-15.69,-34.56,16.69,-0.12,-0.44,1.94,-0.047825808095356304,0.1347177050007664,-0.09312089795715116,-134.1748557862076,11.754779974813852,-19.470990576087328,-0.3354,-0.9211,0.1024,-0.1691
20,2047780.0,403.00008399999996,1.0,3.78,5.8,-7.2,-15.69,-34.56,16.69,0.31,-3.06,0.56,-0.014412887629947082,-0.032707410613224575,-0.18169933780157346,-134.20429804752106,11.789339646395064,-19.447737797457524,-0.3351,-0.9212,0.1027,-0.1689
21,2047780.0,403.00008399999996,1.0,3.78,5.8,-7.2,-15.69,-34.56,16.69,0.31,-3.06,0.56,-0.014412887629947082,-0.032707410613224575,-0.18169933780157346,-134.20429804752106,11.789339646395064,-19.447737797457524,-0.3351,-0.9212,0.1027,-0.1689
22,2047815.0,403.01808900000003,1.0,3.74,5.97,-7.38,-15.69,-35.0,16.25,-0.25,-2.19,0.81,-0.1359966799527816,-0.023096024023576245,-0.3950102313896018,-134.2337582296838,11.846941492078386,-19.36635943259494,-0.3352,-0.9213,0.1032,-0.1682
23,2047815.0,403.01808900000003,1.0,3.74,5.97,-7.38,-15.69,-35.0,16.25,-0.25,-2.19,0.81,-0.1359966799527816,-0.023096024023576245,-0.3950102313896018,-134.2337582296838,11.846941492078386,-19.36635943259494,-0.3352,-0.9213,0.1032,-0.1682
24,2047852.0,403.06335099999995,1.0,3.6,5.64,-7.09,-15.69,-35.0,16.25,-1.88,-2.0,1.06,-0.0892985650708435,-0.09285615563838068,0.058773128566082626,-134.2337582296838,11.904546342091734,-19.30823806837105,-0.3353,-0.9213,0.1037,-0.1677
25,2047852.0,403.06335099999995,1.0,3.6,5.64,-7.09,-15.69,-35.0,16.25,-1.88,-2.0,1.06,-0.0892985650708435,-0.09285615563838068,0.058773128566082626,-134.2337582296838,11.904546342091734,-19.30823806837105,-0.3353,-0.9213,0.1037,-0.1677
26,2047887.0,403.122621,1.0,3.77,5.67,-7.26,-15.69,-35.0,16.25,-2.0,-0.44,1.63,0.017101652374560072,-0.17370659125661134,-0.14518066343273614,-134.1748557862076,11.985198208002226,-19.284990927591146,-0.3357,-0.9211,0.1044,-0.1675
27,2047887.0,403.122621,1.0,3.77,5.67,-7.26,-15.69,-35.0,16.25,-2.0,-0.44,1.63,0.017101652374560072,-0.17370659125661134,-0.14518066343273614,-134.1748557862076,11.985198208002226,-19.284990927591146,-0.3357,-0.9211,0.1044,-0.1675
28,2047922.0,403.148911,1.0,3.61,5.31,-7.18,-15.69,-35.38,16.25,-3.75,-3.06,2.0,0.005133515762190732,-0.4091841179028024,0.18307779397005494,-134.14543141113884,12.07737906844118,-19.215254308568724,-0.3361,-0.9209999999999999,0.1052,-0.1669
29,2047922.0,403.148911,1.0,3.61,5.31,-7.18,-15.69,-35.38,16.25,-3.75,-3.06,2.0,0.005133515762190732,-0.4091841179028024,0.18307779397005494,-134.14543141113884,12.07737906844118,-19.215254308568724,-0.3361,-0.9209999999999999,0.1052,-0.1669
30,2047956.0,403.19521000000003,1.0,3.47,5.0,-6.85,-16.06,-35.0,16.25,-5.81,-1.94,4.44,0.04880064516238775,-0.45908960963155604,0.6551334465887511,-133.93995871664828,12.284814782039538,-19.157145947707967,-0.3375,-0.9203,0.107,-0.1664
31,2047956.0,403.19521000000003,1.0,3.47,5.0,-6.85,-16.06,-35.0,16.25,-5.81,-1.94,4.44,0.04880064516238775,-0.45908960963155604,0.6551334465887511,-133.93995871664828,12.284814782039538,-19.157145947707967,-0.3375,-0.9203,0.107,-0.1664
32,2047993.0,403.214186,1.0,2.89,3.63,-6.55,-16.87,-34.56,16.69,-7.94,-1.12,8.06,0.0007184332544515615,-1.3556433343385683,1.8950300246778136,-133.73534909546765,12.50381856554563,-19.180388694494322,-0.3388,-0.9196,0.1089,-0.1666
33,2047993.0,403.214186,1.0,2.89,3.63,-6.55,-16.87,-34.56,16.69,-7.94,-1.12,8.06,0.0007184332544515615,-1.3556433343385683,1.8950300246778136,-133.73534909546765,12.50381856554563,-19.180388694494322,-0.3388,-0.9196,0.1089,-0.1666
34,2048026.0,403.25352599999997,1.0,1.84,1.98,-4.75,-16.87,-34.56,16.69,-16.69,1.12,7.44,-0.035173483570152736,-1.5321439013112568,4.560718443857824,-133.15540493778332,12.907367253850758,-19.23849904872923,-0.3427,-0.9176,0.1124,-0.1671
35,2048026.0,403.25352599999997,1.0,1.84,1.98,-4.75,-16.87,-34.56,16.69,-16.69,1.12,7.44,-0.035173483570152736,-1.5321439013112568,4.560718443857824,-133.15540493778332,12.907367253850758,-19.23849904872923,-0.3427,-0.9176,0.1124,-0.1671
36,2048063.0,403.271591,1.0,0.98,0.85,-3.73,-15.69,-34.56,16.69,-31.37,23.0,30.37,-0.2604870289081247,-1.8194597659506573,6.311294128581842,-131.98719464152978,13.495684664619233,-19.878046180611587,-0.3492,-0.9135,0.1175,-0.1726
37,2048063.0,403.271591,1.0,0.98,0.85,-3.73,-15.69,-34.56,16.69,-31.37,23.0,30.37,-0.2604870289081247,-1.8194597659506573,6.311294128581842,-131.98719464152978,13.495684664619233,-19.878046180611587,-0.3492,-0.9135,0.1175,-0.1726
38,2048100.0,403.313105,1.0,0.82,-0.24,-2.22,-17.56,-35.38,16.25,-9.63,64.12,59.5,0.2471859687851444,-1.6265867990178104,8.088652770055567,-129.99788861220236,14.708070420797664,-22.197434839762675,-0.3538,-0.9063,0.128,-0.1925
39,2048100.0,403.313105,1.0,0.82,-0.24,-2.22,-17.56,-35.38,16.25,-9.63,64.12,59.5,0.2471859687851444,-1.6265867990178104,8.088652770055567,-129.99788861220236,14.708070420797664,-22.197434839762675,-0.3538,-0.9063,0.128,-0.1925
