,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,2621335.0,2581.238948,1.0,8.75,3.16,3.4,-36.5,-28.37,0.25,-2.0,0.37,-2.63,-0.099311809080722,0.028192821647408325,-0.09776529467463037,-56.14650176459217,-37.39842842920397,-105.76506603938064,0.1998,-0.4706,-0.3206,-0.7974
1,2621335.0,2581.238948,1.0,8.75,3.16,3.4,-36.5,-28.37,0.25,-2.0,0.37,-2.63,-0.099311809080722,0.028192821647408325,-0.09776529467463037,-56.14650176459217,-37.39842842920397,-105.76506603938064,0.1998,-0.4706,-0.3206,-0.7974
2,2621370.0,2581.267623,1.0,8.66,3.38,3.43,-36.5,-28.37,0.25,-4.75,-6.5,0.69,0.11817219666962908,0.16105355358483342,-0.10016568844459783,-56.31540097731903,-37.301660334972226,-105.72709561294405,0.1989,-0.4719,-0.3198,-0.7972
3,2621370.0,2581.267623,1.0,8.66,3.38,3.43,-36.5,-28.37,0.25,-4.75,-6.5,0.69,0.11817219666962908,0.16105355358483342,-0.10016568844459783,-56.31540097731903,-37.301660334972226,-105.72709561294405,0.1989,-0.4719,-0.3198,-0.7972
4,2621403.0,2581.308823,1.0,9.56,2.88,2.64,-35.88,-27.19,-0.06,-0.31,-11.75,-1.44,-1.0644379650111593,0.31320710560245035,-0.4610894360999929,-56.71870005631496,-37.362137156703376,-105.4428449688075,0.1969,-0.475,-0.3203,-0.7957
5,2621403.0,2581.308823,1.0,9.56,2.88,2.64,-35.88,-27.19,-0.06,-0.31,-11.75,-1.44,-1.0644379650111593,0.31320710560245035,-0.4610894360999929,-56.71870005631496,-37.362137156703376,-105.4428449688075,0.1969,-0.475,-0.3203,-0.7957
6,2621437.0,2581.335505,1.0,11.29,1.33,1.81,-36.5,-26.87,-0.06,-21.0,-104.19,-9.38,-3.13952296963056,-0.4656597072512074,-1.258414688478096,-58.33966779766776,-37.47102265081461,-104.35233464317457,0.1883,-0.4874,-0.3212,-0.7899
7,2621437.0,2581.335505,1.0,11.29,1.33,1.81,-36.5,-26.87,-0.06,-21.0,-104.19,-9.38,-3.13952296963056,-0.4656597072512074,-1.258414688478096,-58.33966779766776,-37.47102265081461,-104.35233464317457,0.1883,-0.4874,-0.3212,-0.7899
8,2621474.0,2581.378213,1.0,8.14,4.25,2.17,-36.19,-27.25,2.0,-89.87,-281.31,3.56,1.2394181115549752,0.8166275146609001,0.4884977020898447,-66.89875398051586,-36.963188541465996,-98.3657986482455,0.1512,-0.5512,-0.317,-0.7568
9,2621474.0,2581.378213,1.0,8.14,4.25,2.17,-36.19,-27.25,2.0,-89.87,-281.31,3.56,1.2394181115549752,0.8166275146609001,0.4884977020898447,-66.89875398051586,-36.963188541465996,-98.3657986482455,0.1512,-0.5512,-0.317,-0.7568
10,2621509.0,2581.480391,1.0,10.28,1.27,0.77,-36.19,-27.25,2.0,-14.69,-177.38,21.87,-1.3342503458849064,-1.4015647271023324,-0.3982308092132367,-72.89699940259716,-37.05986053192884,-93.25427154355759,0.1331,-0.5941,-0.3178,-0.7269
11,2621509.0,2581.480391,1.0,10.28,1.27,0.77,-36.19,-27.25,2.0,-14.69,-177.38,21.87,-1.3342503458849064,-1.4015647271023324,-0.3982308092132367,-72.89699940259716,-37.05986053192884,-93.25427154355759,0.1331,-0.5941,-0.3178,-0.7269
12,2621546.0,2581.4953530000003,1.0,9.84,4.85,-0.52,-35.06,-28.37,7.75,-115.69,-240.06,33.31,0.7339894225180267,1.7280142185354652,-1.0143354628943566,-80.54144798375755,-35.03535067049245,-87.83152005827282,0.1027,-0.6464,-0.301,-0.6936
13,2621546.0,2581.4953530000003,1.0,9.84,4.85,-0.52,-35.06,-28.37,7.75,-115.69,-240.06,33.31,0.7339894225180267,1.7280142185354652,-1.0143354628943566,-80.54144798375755,-35.03535067049245,-87.83152005827282,0.1027,-0.6464,-0.301,-0.6936
14,2621583.0,2581.54275,1.0,9.92,3.58,-2.37,-34.38,-26.87,11.5,-56.94,-297.0,22.81,0.03699832006437431,0.7996775292076048,-0.9729069006148324,-91.46684165640444,-33.2133487153414,-78.60283244211628,0.065,-0.7161,-0.2858,-0.6334
15,2621583.0,2581.54275,1.0,9.92,3.58,-2.37,-34.38,-26.87,11.5,-56.94,-297.0,22.81,0.03699832006437431,0.7996775292076048,-0.9729069006148324,-91.46684165640444,-33.2133487153414,-78.60283244211628,0.065,-0.7161,-0.2858,-0.6334
16,2621618.0,2581.560259,1.0,8.91,-0.56,-3.35,-34.38,-26.87,11.5,-16.12,-304.75,105.5,-1.4616012286929454,-2.2674182728637198,0.6607910340981658,-100.31347946564678,-32.162473260424385,-70.14324952507593,0.0602,-0.7678,-0.27699999999999997,-0.5746
17,2621618.0,2581.560259,1.0,8.91,-0.56,-3.35,-34.38,-26.87,11.5,-16.12,-304.75,105.5,-1.4616012286929454,-2.2674182728637198,0.6607910340981658,-100.31347946564678,-32.162473260424385,-70.14324952507593,0.0602,-0.7678,-0.27699999999999997,-0.5746
