,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1109483.0,273.496811,1.0,4.68,3.78,-7.91,-19.56,-31.87,26.37,0.25,0.63,-0.63,-0.1575961506604488,-0.20668588137646735,-0.12770173525362338,-141.1232586742633,3.174592245464794,-28.966859495010613,-0.2177,-0.943,0.0277,-0.2501
1,1109483.0,273.496811,1.0,4.68,3.78,-7.91,-19.56,-31.87,26.37,0.25,0.63,-0.63,-0.1575961506604488,-0.20668588137646735,-0.12770173525362338,-141.1232586742633,3.174592245464794,-28.966859495010613,-0.2177,-0.943,0.0277,-0.2501
2,1109520.0,273.499997,1.0,5.06,4.55,-7.8,-20.0,-31.06,26.0,-6.69,0.69,-3.5,0.1050009696430758,0.4738046550088351,-0.5331074413167922,-140.98575914579104,3.094348134689141,-28.95502437185985,-0.2195,-0.9426,0.027000000000000003,-0.25
3,1109520.0,273.499997,1.0,5.06,4.55,-7.8,-20.0,-31.06,26.0,-6.69,0.69,-3.5,0.1050009696430758,0.4738046550088351,-0.5331074413167922,-140.98575914579104,3.094348134689141,-28.95502437185985,-0.2195,-0.9426,0.027000000000000003,-0.25
4,1109553.0,273.52583799999996,1.0,4.94,3.9,-8.59,-20.0,-31.06,26.0,4.88,9.19,-21.25,-0.2498794673162768,-0.4751821315359552,-0.8288312864149532,-140.9514569794307,2.589989743099661,-29.002366759572602,-0.22,-0.9425,0.0226,-0.2504
5,1109553.0,273.52583799999996,1.0,4.94,3.9,-8.59,-20.0,-31.06,26.0,4.88,9.19,-21.25,-0.2498794673162768,-0.4751821315359552,-0.8288312864149532,-140.9514569794307,2.589989743099661,-29.002366759572602,-0.22,-0.9425,0.0226,-0.2504
6,1109587.0,273.570337,1.0,4.55,5.19,-10.75,-20.0,-31.06,25.06,-32.25,10.31,-49.38,-1.7159170492803215,-0.5575140881970944,-2.8403222353396083,-140.1031128223946,1.1230152546764245,-28.93135507220408,-0.2321,-0.94,0.0098,-0.2498
7,1109587.0,273.570337,1.0,4.55,5.19,-10.75,-20.0,-31.06,25.06,-32.25,10.31,-49.38,-1.7159170492803215,-0.5575140881970944,-2.8403222353396083,-140.1031128223946,1.1230152546764245,-28.93135507220408,-0.2321,-0.94,0.0098,-0.2498
8,1109624.0,273.596873,1.0,4.86,8.66,-10.14,-18.87,-31.5,25.56,-115.75,-13.69,-103.5,-1.3367993494786103,1.9997157187045012,-4.180805256178648,-138.585728177911,-0.4812859628976946,-28.0210345439132,-0.2576,-0.9354,-0.0042,-0.2421
9,1109624.0,273.596873,1.0,4.86,8.66,-10.14,-18.87,-31.5,25.56,-115.75,-13.69,-103.5,-1.3367993494786103,1.9997157187045012,-4.180805256178648,-138.585728177911,-0.4812859628976946,-28.0210345439132,-0.2576,-0.9354,-0.0042,-0.2421
10,1109661.0,273.64466,1.0,1.77,11.59,-7.03,-15.88,-34.75,23.06,-317.81,-22.31,-259.06,-2.039207803568992,3.8620920033274873,-3.147414107132448,-131.20453254720215,-5.3533728631413355,-24.20954412674289,-0.3528,-0.9107,-0.0467,-0.2097
11,1109661.0,273.64466,1.0,1.77,11.59,-7.03,-15.88,-34.75,23.06,-317.81,-22.31,-259.06,-2.039207803568992,3.8620920033274873,-3.147414107132448,-131.20453254720215,-5.3533728631413355,-24.20954412674289,-0.3528,-0.9107,-0.0467,-0.2097
12,1109696.0,273.669039,1.0,-3.08,16.25,-0.29,-15.88,-34.75,23.06,-311.81,79.87,-313.75,-2.836796427110824,10.481463433793591,-2.6723127099843182,-121.01031078825766,-11.639588800101585,-22.57123707542117,-0.4402,-0.8704,-0.1014,-0.1957
