,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,723261.0,643.196986,1.0,7.09,4.3,5.02,-23.19,-24.06,-29.37,-0.25,0.69,-0.31,-0.2775806085144652,-0.15600981006189452,0.1186620796451674,-56.92715416608731,0.5844194845105756,-96.7830712993422,-0.4624,-0.4766,0.0051,-0.7477
1,723261.0,643.196986,1.0,7.09,4.3,5.02,-23.19,-24.06,-29.37,-0.25,0.69,-0.31,-0.2775806085144652,-0.15600981006189452,0.1186620796451674,-56.92715416608731,0.5844194845105756,-96.7830712993422,-0.4624,-0.4766,0.0051,-0.7477
2,723296.0,643.259721,1.0,6.96,4.24,5.41,-23.56,-24.5,-29.0,0.94,-1.25,0.31,0.06572187518240427,0.07721618429395116,0.02518700635709337,-56.99233821526014,0.5615008861828721,-96.76581595045093,-0.4622,-0.4771,0.0049,-0.7476
3,723296.0,643.259721,1.0,6.96,4.24,5.41,-23.56,-24.5,-29.0,0.94,-1.25,0.31,0.06572187518240427,0.07721618429395116,0.02518700635709337,-56.99233821526014,0.5615008861828721,-96.76581595045093,-0.4622,-0.4771,0.0049,-0.7476
4,723331.0,643.2784519999999,1.0,6.94,4.23,5.41,-23.56,-24.5,-29.0,0.0,0.25,0.0,0.07686536020117919,0.08376383252489017,0.04388014013124142,-56.99233821526014,0.5500415954991054,-96.74856352587948,-0.4622,-0.4771,0.0048,-0.7475
5,723331.0,643.2784519999999,1.0,6.94,4.23,5.41,-23.56,-24.5,-29.0,0.0,0.25,0.0,0.07686536020117919,0.08376383252489017,0.04388014013124142,-56.99233821526014,0.5500415954991054,-96.74856352587948,-0.4622,-0.4771,0.0048,-0.7475
6,723365.0,643.319841,1.0,7.01,4.35,5.27,-23.56,-23.69,-29.0,-1.88,-0.12,1.5,-0.12157599871974555,0.04519607933720815,0.017948523759757862,-56.966262181573775,0.5844194845105756,-96.7830712993422,-0.4621,-0.4769,0.0051,-0.7477
7,723365.0,643.319841,1.0,7.01,4.35,5.27,-23.56,-23.69,-29.0,-1.88,-0.12,1.5,-0.12157599871974555,0.04519607933720815,0.017948523759757862,-56.966262181573775,0.5844194845105756,-96.7830712993422,-0.4621,-0.4769,0.0051,-0.7477
8,723398.0,643.336635,1.0,7.22,4.73,5.14,-23.19,-23.25,-29.37,0.12,2.25,0.37,-0.5098872823345316,0.055052129635334346,-0.22619028689464216,-56.91411976899951,0.5615008861828721,-96.83485491073408,-0.462,-0.4765,0.0049,-0.748
9,723398.0,643.336635,1.0,7.22,4.73,5.14,-23.19,-23.25,-29.37,0.12,2.25,0.37,-0.5098872823345316,0.055052129635334346,-0.22619028689464216,-56.91411976899951,0.5615008861828721,-96.83485491073408,-0.462,-0.4765,0.0049,-0.748
10,723435.0,643.376949,1.0,8.03,6.72,5.41,-23.56,-23.69,-27.75,-0.88,-0.06,8.25,-1.8068077230345057,0.7808002205029347,-1.813728516539184,-56.92715416608731,0.60733810621587,-96.92121959185582,-0.4611,-0.4766,0.0053,-0.7485
11,723435.0,643.376949,1.0,8.03,6.72,5.41,-23.56,-23.69,-27.75,-0.88,-0.06,8.25,-1.8068077230345057,0.7808002205029347,-1.813728516539184,-56.92715416608731,0.60733810621587,-96.92121959185582,-0.4611,-0.4766,0.0053,-0.7485
12,723470.0,643.39674,1.0,10.34,7.5,4.12,-23.56,-23.69,-27.75,30.75,8.56,18.44,-3.5354552788779867,-0.8275036733852756,-3.1144874747576914,-57.109720271622784,0.2406424508273681,-97.52784465140512,-0.4539,-0.478,0.0021,-0.752
13,723470.0,643.39674,1.0,10.34,7.5,4.12,-23.56,-23.69,-27.75,30.75,8.56,18.44,-3.5354552788779867,-0.8275036733852756,-3.1144874747576914,-57.109720271622784,0.2406424508273681,-97.52784465140512,-0.4539,-0.478,0.0021,-0.752
14,723507.0,643.494191,1.0,12.19,10.35,3.09,-23.19,-24.06,-29.0,42.06,-18.87,37.38,-6.366932758113879,-0.5628690777743763,-5.1737387017307315,-57.82848630952777,0.011459155921715059,-97.96340007132606,-0.4438,-0.4835,0.0001,-0.7545
15,723507.0,643.494191,1.0,12.19,10.35,3.09,-23.19,-24.06,-29.0,42.06,-18.87,37.38,-6.366932758113879,-0.5628690777743763,-5.1737387017307315,-57.82848630952777,0.011459155921715059,-97.96340007132606,-0.4438,-0.4835,0.0001,-0.7545
16,723542.0,643.532189,1.0,13.01,10.4,3.83,-24.0,-24.5,-27.37,72.44,-44.06,9.75,-5.3388581124408665,-0.2984412082404573,-6.4259261017913705,-60.38409728444597,-0.8709042326408071,-97.21541095446709,-0.4291,-0.5029,-0.0076,-0.7502
