,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1456101.0,1377.392133,1.0,0.48,-0.05,-9.46,-3.25,-12.69,34.25,0.75,1.06,0.81,-0.04200398749956892,-0.16656873922322754,0.3359060735627679,-173.5168579087077,5.709021066543901,-3.2204467196467967,-0.0073,-0.9984,0.0498,-0.0281
1,1456101.0,1377.392133,1.0,0.48,-0.05,-9.46,-3.25,-12.69,34.25,0.75,1.06,0.81,-0.04200398749956892,-0.16656873922322754,0.3359060735627679,-173.5168579087077,5.709021066543901,-3.2204467196467967,-0.0073,-0.9984,0.0498,-0.0281
2,1456136.0,1377.3972390000001,1.0,0.67,0.31,-9.83,-3.25,-12.69,34.25,-2.88,0.44,1.56,0.08506772797905314,0.1843759426108038,-0.04894074806999882,-173.3172743700655,5.7663887448030415,-3.254837913384077,-0.0083,-0.9983,0.0503,-0.0284
3,1456136.0,1377.3972390000001,1.0,0.67,0.31,-9.83,-3.25,-12.69,34.25,-2.88,0.44,1.56,0.08506772797905314,0.1843759426108038,-0.04894074806999882,-173.3172743700655,5.7663887448030415,-3.254837913384077,-0.0083,-0.9983,0.0503,-0.0284
4,1456173.0,1377.415524,1.0,0.83,0.26,-10.01,-2.88,-13.06,34.69,-0.88,-0.88,-1.06,0.23512458932345226,0.14482051520510086,-0.2372707208077429,-173.3172743700655,5.754915093896803,-3.2777655386010047,-0.0084,-0.9983,0.0502,-0.0286
5,1456173.0,1377.415524,1.0,0.83,0.26,-10.01,-2.88,-13.06,34.69,-0.88,-0.88,-1.06,0.23512458932345226,0.14482051520510086,-0.2372707208077429,-173.3172743700655,5.754915093896803,-3.2777655386010047,-0.0084,-0.9983,0.0502,-0.0286
6,1456207.0,1377.460673,1.0,0.79,-0.24,-9.81,-2.5,-12.0,35.06,2.38,-0.94,-0.19,0.2601161910321315,-0.3389320220150083,-0.028758718076529632,-173.3172743700655,5.7319679651977244,-3.254837913384077,-0.0077,-0.9983,0.05,-0.0284
7,1456207.0,1377.460673,1.0,0.79,-0.24,-9.81,-2.5,-12.0,35.06,2.38,-0.94,-0.19,0.2601161910321315,-0.3389320220150083,-0.028758718076529632,-173.3172743700655,5.7319679651977244,-3.254837913384077,-0.0077,-0.9983,0.05,-0.0284
8,1456242.0,1377.5231609999998,1.0,0.48,0.24,-9.55,-2.5,-12.0,35.06,-1.44,-3.44,1.88,-0.06397821215109327,0.10408249453387748,0.2423636375628337,-173.3172743700655,5.800810045139373,-3.15166519950434,-0.0082,-0.9983,0.0506,-0.0275
9,1456242.0,1377.5231609999998,1.0,0.48,0.24,-9.55,-2.5,-12.0,35.06,-1.44,-3.44,1.88,-0.06397821215109327,0.10408249453387748,0.2423636375628337,-173.3172743700655,5.800810045139373,-3.15166519950434,-0.0082,-0.9983,0.0506,-0.0275
