,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1644193.0,1297.626749,1.0,7.28,-0.21,6.35,-16.0,51.19,-9.25,2.06,-1.31,-1.0,0.10599011090135013,0.14009170076936295,0.1456903990200491,-22.945282804181343,42.97521768410124,-52.04193081398262,-0.7961,-0.1989,0.3663,-0.4387
1,1644193.0,1297.626749,1.0,7.28,-0.21,6.35,-16.0,51.19,-9.25,2.06,-1.31,-1.0,0.10599011090135013,0.14009170076936295,0.1456903990200491,-22.945282804181343,42.97521768410124,-52.04193081398262,-0.7961,-0.1989,0.3663,-0.4387
2,1644228.0,1297.6665699999999,1.0,7.15,-0.24,6.33,-14.88,50.38,-10.0,-1.63,0.0,-0.75,0.0922092719650186,0.21342931410253985,0.25704553813638675,-22.921897728102717,42.987533038901844,-52.02917940457078,-0.7962,-0.1987,0.3664,-0.4386
3,1644228.0,1297.6665699999999,1.0,7.15,-0.24,6.33,-14.88,50.38,-10.0,-1.63,0.0,-0.75,0.0922092719650186,0.21342931410253985,0.25704553813638675,-22.921897728102717,42.987533038901844,-52.02917940457078,-0.7962,-0.1987,0.3664,-0.4386
4,1644263.0,1297.695401,1.0,7.25,-0.02,6.39,-16.0,51.19,-10.0,-2.69,2.63,-1.25,-0.08573197630493368,0.0589272946817534,0.1431010865738198,-22.769918267605057,42.97521768410124,-51.95268548055449,-0.7969,-0.1974,0.3663,-0.43799999999999994
5,1644263.0,1297.695401,1.0,7.25,-0.02,6.39,-16.0,51.19,-10.0,-2.69,2.63,-1.25,-0.08573197630493368,0.0589272946817534,0.1431010865738198,-22.769918267605057,42.97521768410124,-51.95268548055449,-0.7969,-0.1974,0.3663,-0.43799999999999994
6,1644298.0,1297.699223,1.0,7.43,0.02,6.27,-16.0,51.19,-10.0,-1.12,1.56,0.5,-0.0035335467691045563,-0.14574663028902554,0.08569606358991955,-22.73485185773412,42.93827474491775,-51.93993891277072,-0.7971,-0.1971,0.366,-0.4379
7,1644298.0,1297.699223,1.0,7.43,0.02,6.27,-16.0,51.19,-10.0,-1.12,1.56,0.5,-0.0035335467691045563,-0.14574663028902554,0.08569606358991955,-22.73485185773412,42.93827474491775,-51.93993891277072,-0.7971,-0.1971,0.366,-0.4379
8,1644333.0,1297.75414,1.0,7.41,0.13,6.15,-15.56,51.5,-10.0,-1.31,0.19,0.81,-0.058560572794593375,-0.2715051409110913,0.18010567621626627,-22.711475449834968,42.96290285030923,-51.93993891277072,-0.7971,-0.1969,0.3662,-0.4379
9,1644333.0,1297.75414,1.0,7.41,0.13,6.15,-15.56,51.5,-10.0,-1.31,0.19,0.81,-0.058560572794593375,-0.2715051409110913,0.18010567621626627,-22.711475449834968,42.96290285030923,-51.93993891277072,-0.7971,-0.1969,0.3662,-0.4379
10,1644367.0,1297.807131,1.0,7.3,-0.06,6.34,-14.88,51.19,-10.75,3.06,-0.69,1.0,-0.011613712651018515,0.01983627738543237,0.13769599019222056,-22.781607550913503,42.95058853731749,-51.97818068894303,-0.7968,-0.1975,0.3661,-0.4382
11,1644367.0,1297.807131,1.0,7.3,-0.06,6.34,-14.88,51.19,-10.75,3.06,-0.69,1.0,-0.011613712651018515,0.01983627738543237,0.13769599019222056,-22.781607550913503,42.95058853731749,-51.97818068894303,-0.7968,-0.1975,0.3661,-0.4382
12,1644402.0,1297.86841,1.0,7.31,-0.11,6.33,-15.56,50.75,-10.38,0.25,-0.44,0.19,0.038918065610157086,0.03579075749550742,0.13637056216331445,-22.816676842803346,42.93827474491775,-52.04193081398262,-0.7966,-0.1978,0.366,-0.4387
13,1644402.0,1297.86841,1.0,7.31,-0.11,6.33,-15.56,50.75,-10.38,0.25,-0.44,0.19,0.038918065610157086,0.03579075749550742,0.13637056216331445,-22.816676842803346,42.93827474491775,-52.04193081398262,-0.7966,-0.1978,0.366,-0.4387
14,1644437.0,1297.876017,1.0,7.3,-0.2,6.33,-15.56,50.75,-10.38,1.31,0.19,0.5,0.11270265582995875,0.08997764440976598,0.14341544138168594,-22.82836708787642,42.92596147290185,-52.054682916137764,-0.7965,-0.1979,0.3659,-0.4388
15,1644437.0,1297.876017,1.0,7.3,-0.2,6.33,-15.56,50.75,-10.38,1.31,0.19,0.5,0.11270265582995875,0.08997764440976598,0.14341544138168594,-22.82836708787642,42.92596147290185,-52.054682916137764,-0.7965,-0.1979,0.3659,-0.4388
16,1644474.0,1297.932914,1.0,7.41,-0.01,6.41,-15.56,51.5,-10.0,-2.38,1.0,0.88,-0.048162195532963636,-0.03094196872682908,0.009047079004842471,-22.75822922439662,42.93827474491775,-52.054682916137764,-0.7966,-0.1973,0.366,-0.4388
17,1644474.0,1297.932914,1.0,7.41,-0.01,6.41,-15.56,51.5,-10.0,-2.38,1.0,0.88,-0.048162195532963636,-0.03094196872682908,0.009047079004842471,-22.75822922439662,42.93827474491775,-52.054682916137764,-0.7966,-0.1973,0.366,-0.4388
18,1644509.0,1297.950085,1.0,7.86,0.49,6.27,-15.25,50.75,-11.56,-0.12,-0.31,-3.38,-0.2541371101409912,-0.6384201416990869,-0.23627955526036534,-22.74654042115177,42.93827474491775,-52.016428687631496,-0.7968,-0.1972,0.366,-0.4385
19,1644509.0,1297.950085,1.0,7.86,0.49,6.27,-15.25,50.75,-11.56,-0.12,-0.31,-3.38,-0.2541371101409912,-0.6384201416990869,-0.23627955526036534,-22.74654042115177,42.93827474491775,-52.016428687631496,-0.7968,-0.1972,0.366,-0.4385
20,1644544.0,1298.040739,1.0,8.31,1.76,6.79,-15.25,50.75,-11.56,-0.75,-1.37,-23.69,-1.3277334177392954,-1.1952439537020203,-0.9202468421700178,-22.945282804181343,42.95058853731749,-51.494242185161674,-0.7986,-0.1989,0.3661,-0.4344
21,1644544.0,1298.040739,1.0,8.31,1.76,6.79,-15.25,50.75,-11.56,-0.75,-1.37,-23.69,-1.3277334177392954,-1.1952439537020203,-0.9202468421700178,-22.945282804181343,42.95058853731749,-51.494242185161674,-0.7986,-0.1989,0.3661,-0.4344
22,1644578.0,1298.053855,1.0,10.22,1.06,5.55,-15.56,51.5,-9.69,34.5,0.37,-35.44,0.7273583865946975,-2.460984197551777,-1.5858478190408611,-24.33847679675364,42.18810962075827,-50.782858416372434,-0.8014,-0.2108,0.3599,-0.4288
23,1644578.0,1298.053855,1.0,10.22,1.06,5.55,-15.56,51.5,-9.69,34.5,0.37,-35.44,0.7273583865946975,-2.460984197551777,-1.5858478190408611,-24.33847679675364,42.18810962075827,-50.782858416372434,-0.8014,-0.2108,0.3599,-0.4288
24,1644615.0,1298.091491,1.0,12.84,2.2,4.34,-16.0,50.75,-11.19,34.63,-83.12,-39.5,1.2550037764026385,-4.758376250672728,-3.0122431260951235,-26.158669228245632,43.209298755684706,-49.70705837910808,-0.7978,-0.2263,0.3682,-0.4203
25,1644615.0,1298.091491,1.0,12.84,2.2,4.34,-16.0,50.75,-11.19,34.63,-83.12,-39.5,1.2550037764026385,-4.758376250672728,-3.0122431260951235,-26.158669228245632,43.209298755684706,-49.70705837910808,-0.7978,-0.2263,0.3682,-0.4203
26,1644652.0,1298.146418,1.0,10.11,2.22,5.1,-16.0,50.75,-11.19,56.5,-151.06,-69.81,-0.14344318599930614,-1.6345739650801594,-1.6151752484037123,-31.138159380012002,46.319983034035175,-47.01886031964005,-0.7837,-0.2684,0.3933,-0.3989
27,1644652.0,1298.146418,1.0,10.11,2.22,5.1,-16.0,50.75,-11.19,56.5,-151.06,-69.81,-0.14344318599930614,-1.6345739650801594,-1.6151752484037123,-31.138159380012002,46.319983034035175,-47.01886031964005,-0.7837,-0.2684,0.3933,-0.3989
