,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1511344.0,230.521962,1.0,7.8,0.3,-5.96,-45.5,-10.38,-2.5,-0.88,0.06,0.25,-0.0020391457626627307,-0.04785678656016112,-0.01421073467416356,-93.471410399605,62.77185845365902,-41.182660023882,-0.2734,-0.7282,0.5208,-0.3517
1,1511344.0,230.521962,1.0,7.8,0.3,-5.96,-45.5,-10.38,-2.5,-0.88,0.06,0.25,-0.0020391457626627307,-0.04785678656016112,-0.01421073467416356,-93.471410399605,62.77185845365902,-41.182660023882,-0.2734,-0.7282,0.5208,-0.3517
2,1511378.0,230.53560699999997,1.0,7.72,0.14,-5.82,-45.88,-10.06,-0.5,2.31,0.69,-0.94,0.16490161664295402,-0.03661082687852635,0.13908220327968124,-93.52158145031368,62.731592972927196,-41.20714343304567,-0.2733,-0.7285,0.5205,-0.3519
3,1511378.0,230.53560699999997,1.0,7.72,0.14,-5.82,-45.88,-10.06,-0.5,2.31,0.69,-0.94,0.16490161664295402,-0.03661082687852635,0.13908220327968124,-93.52158145031368,62.731592972927196,-41.20714343304567,-0.2733,-0.7285,0.5205,-0.3519
4,1511413.0,230.58351800000003,1.0,8.11,0.52,-5.93,-45.88,-10.06,-0.5,-1.94,0.81,1.94,-0.14447582321572885,0.21012872491991508,-0.25030643102174643,-93.43797599516577,62.77185845365902,-41.23162880897231,-0.2736,-0.728,0.5208,-0.3521
5,1511413.0,230.58351800000003,1.0,8.11,0.52,-5.93,-45.88,-10.06,-0.5,-1.94,0.81,1.94,-0.14447582321572885,0.21012872491991508,-0.25030643102174643,-93.43797599516577,62.77185845365902,-41.23162880897231,-0.2736,-0.728,0.5208,-0.3521
6,1511448.0,230.603825,1.0,7.75,0.3,-6.0,-45.06,-10.38,-0.5,-1.56,-0.06,-0.63,-0.02267701783612308,-0.1127602142934454,0.0015864669608287585,-93.48813148907244,62.731592972927196,-41.219385875064134,-0.2735,-0.7283,0.5205,-0.35200000000000004
7,1511448.0,230.603825,1.0,7.75,0.3,-6.0,-45.06,-10.38,-0.5,-1.56,-0.06,-0.63,-0.02267701783612308,-0.1127602142934454,0.0015864669608287585,-93.48813148907244,62.731592972927196,-41.219385875064134,-0.2735,-0.7283,0.5205,-0.35200000000000004
8,1511485.0,230.607038,1.0,7.93,0.58,-5.88,-46.69,-11.19,-0.88,2.19,0.12,-0.88,-0.2186912156050571,0.16297182140476174,-0.07875916389631321,-93.45469190215636,62.74501384121864,-41.19490148271794,-0.2739,-0.7281,0.5206,-0.3518
9,1511485.0,230.607038,1.0,7.93,0.58,-5.88,-46.69,-11.19,-0.88,2.19,0.12,-0.88,-0.2186912156050571,0.16297182140476174,-0.07875916389631321,-93.45469190215636,62.74501384121864,-41.19490148271794,-0.2739,-0.7281,0.5206,-0.3518
10,1511520.0,230.61058799999998,1.0,7.95,0.4,-5.91,-46.69,-11.19,-0.88,-0.94,1.81,0.0,-0.05468525521824197,0.09488371628361514,-0.10690670802593337,-93.471410399605,62.71817306273571,-41.23162880897231,-0.2737,-0.7282,0.5204,-0.3521
11,1511520.0,230.61058799999998,1.0,7.95,0.4,-5.91,-46.69,-11.19,-0.88,-0.94,1.81,0.0,-0.05468525521824197,0.09488371628361514,-0.10690670802593337,-93.471410399605,62.71817306273571,-41.23162880897231,-0.2737,-0.7282,0.5204,-0.3521
12,1511553.0,230.65060400000002,1.0,8.0,0.1,-6.01,-45.56,-10.06,-2.5,-0.31,-0.63,-0.12,0.2182733076989123,-0.053651874127357724,-0.19732812070522246,-93.48813148907244,62.677919076870104,-41.26836056402613,-0.2739,-0.7283,0.5201,-0.3524
13,1511553.0,230.65060400000002,1.0,8.0,0.1,-6.01,-45.56,-10.06,-2.5,-0.31,-0.63,-0.12,0.2182733076989123,-0.053651874127357724,-0.19732812070522246,-93.48813148907244,62.677919076870104,-41.26836056402613,-0.2739,-0.7283,0.5201,-0.3524
14,1511589.0,230.65829700000003,1.0,8.03,0.47,-5.86,-45.88,-11.19,-1.25,-1.06,-2.13,0.12,-0.08865798491677968,0.1997880837615058,-0.14290398413906047,-93.471410399605,62.731592972927196,-41.20714343304567,-0.2739,-0.7282,0.5205,-0.3519
15,1511589.0,230.65829700000003,1.0,8.03,0.47,-5.86,-45.88,-11.19,-1.25,-1.06,-2.13,0.12,-0.08865798491677968,0.1997880837615058,-0.14290398413906047,-93.471410399605,62.731592972927196,-41.20714343304567,-0.2739,-0.7282,0.5205,-0.3519
16,1511624.0,230.720002,1.0,7.67,0.44,-5.79,-45.56,-10.06,-0.5,-0.63,0.63,-0.12,-0.1152335932630464,0.04737539485775799,0.1873424994079862,-93.52158145031368,62.71817306273571,-41.17041905633896,-0.2737,-0.7285,0.5204,-0.3516
