,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,3758426.0,2481.568423,1.0,0.35,-2.15,-9.15,-23.87,-5.5,35.56,-2.31,4.0,-3.31,-0.02119405657107071,-0.13028495366022552,0.40185990968879537,-122.06628574219845,56.107543888708584,-8.636919564056372,0.0869,-0.8749,0.4703,-0.0753
1,3758426.0,2481.568423,1.0,0.35,-2.15,-9.15,-23.87,-5.5,35.56,-2.31,4.0,-3.31,-0.02119405657107071,-0.13028495366022552,0.40185990968879537,-122.06628574219845,56.107543888708584,-8.636919564056372,0.0869,-0.8749,0.4703,-0.0753
2,3758462.0,2481.654072,1.0,0.75,-2.14,-10.16,-24.56,-5.88,34.75,-4.31,4.0,-0.12,-0.04640852908722976,0.2410889562518863,-0.6004352001701889,-122.06628574219845,56.107543888708584,-8.866772764864926,0.0852,-0.8749,0.4703,-0.0773
3,3758462.0,2481.654072,1.0,0.75,-2.14,-10.16,-24.56,-5.88,34.75,-4.31,4.0,-0.12,-0.04640852908722976,0.2410889562518863,-0.6004352001701889,-122.06628574219845,56.107543888708584,-8.866772764864926,0.0852,-0.8749,0.4703,-0.0773
4,3758497.0,2481.752628,1.0,0.8,-1.77,-10.1,-24.56,-5.88,34.75,1.19,-1.31,1.81,-0.3045451378396028,0.49923138893693,-0.4617929335376072,-122.01898118079964,56.15948929286995,-8.809306149715164,0.086,-0.8747,0.4707,-0.0768
5,3758497.0,2481.752628,1.0,0.8,-1.77,-10.1,-24.56,-5.88,34.75,1.19,-1.31,1.81,-0.3045451378396028,0.49923138893693,-0.4617929335376072,-122.01898118079964,56.15948929286995,-8.809306149715164,0.086,-0.8747,0.4707,-0.0768
6,3758532.0,2481.790351,1.0,0.16,-2.14,-9.56,-24.56,-5.88,35.19,0.63,-5.94,-2.75,-0.2268661382564245,-0.2411051075694565,0.014346895907655366,-122.13730880568986,56.04262977353804,-8.636919564056372,0.0875,-0.8752,0.4698,-0.0753
7,3758532.0,2481.790351,1.0,0.16,-2.14,-9.56,-24.56,-5.88,35.19,0.63,-5.94,-2.75,-0.2268661382564245,-0.2411051075694565,0.014346895907655366,-122.13730880568986,56.04262977353804,-8.636919564056372,0.0875,-0.8752,0.4698,-0.0753
8,3758567.0,2481.806158,1.0,1.03,-2.5,-10.36,-25.0,-5.5,35.19,0.56,10.13,-4.19,0.34824887463011545,0.31121318190023084,-0.890189209632462,-122.23213029596668,55.93880786648987,-8.843785851491393,0.0862,-0.8756,0.469,-0.0771
9,3758567.0,2481.806158,1.0,1.03,-2.5,-10.36,-25.0,-5.5,35.19,0.56,10.13,-4.19,0.34824887463011545,0.31121318190023084,-0.890189209632462,-122.23213029596668,55.93880786648987,-8.843785851491393,0.0862,-0.8756,0.469,-0.0771
10,3758604.0,2481.8449539999997,1.0,0.71,-2.41,-9.78,-24.56,-5.19,34.5,-0.12,-2.5,-3.5,0.22854941680846666,0.05298615375888294,-0.2881782616192332,-122.27959441275604,55.89988753147071,-8.809306149715164,0.0864,-0.8758,0.4687,-0.0768
11,3758604.0,2481.8449539999997,1.0,0.71,-2.41,-9.78,-24.56,-5.19,34.5,-0.12,-2.5,-3.5,0.22854941680846666,0.05298615375888294,-0.2881782616192332,-122.27959441275604,55.89988753147071,-8.809306149715164,0.0864,-0.8758,0.4687,-0.0768
12,3758637.0,2481.924165,1.0,0.91,-3.01,-9.9,-24.56,-5.19,34.5,1.37,-3.75,-4.31,0.798475828299143,-0.08390434996358365,-0.5496812235404711,-122.44600053491276,55.71835189030318,-8.740349140335567,0.0872,-0.8765,0.4673,-0.0762
13,3758637.0,2481.924165,1.0,0.91,-3.01,-9.9,-24.56,-5.19,34.5,1.37,-3.75,-4.31,0.798475828299143,-0.08390434996358365,-0.5496812235404711,-122.44600053491276,55.71835189030318,-8.740349140335567,0.0872,-0.8765,0.4673,-0.0762
14,3758673.0,2481.9751890000002,1.0,0.84,-2.44,-10.11,-25.37,-5.19,34.5,-5.94,-7.44,5.88,0.2843034263068948,0.21263404968890032,-0.6214494588037489,-122.32709422851921,55.860974209079195,-8.544988083393589,0.0875,-0.8759999999999999,0.4684,-0.0745
15,3758673.0,2481.9751890000002,1.0,0.84,-2.44,-10.11,-25.37,-5.19,34.5,-5.94,-7.44,5.88,0.2843034263068948,0.21263404968890032,-0.6214494588037489,-122.32709422851921,55.860974209079195,-8.544988083393589,0.0875,-0.8759999999999999,0.4684,-0.0745
16,3758710.0,2481.9940239999996,1.0,0.41,-1.79,-9.65,-24.56,-5.5,34.5,2.69,-5.44,-1.44,-0.3432635803304003,0.2028470245459728,-0.008426321611134213,-122.37462983210787,55.860974209079195,-8.269226458088282,0.0881,-0.8762,0.4684,-0.0721
17,3758710.0,2481.9940239999996,1.0,0.41,-1.79,-9.65,-24.56,-5.5,34.5,2.69,-5.44,-1.44,-0.3432635803304003,0.2028470245459728,-0.008426321611134213,-122.37462983210787,55.860974209079195,-8.269226458088282,0.0881,-0.8762,0.4684,-0.0721
18,3758745.0,2482.070442,1.0,0.13,-2.0,-9.69,-24.56,-5.5,34.5,-3.38,-16.75,3.63,-0.3084119796484833,-0.08849350104985743,-0.08324640749999368,-122.35085755126808,55.88691564523484,-7.982025743589274,0.0898,-0.8761,0.4686,-0.0696
19,3758745.0,2482.070442,1.0,0.13,-2.0,-9.69,-24.56,-5.5,34.5,-3.38,-16.75,3.63,-0.3084119796484833,-0.08849350104985743,-0.08324640749999368,-122.35085755126808,55.88691564523484,-7.982025743589274,0.0898,-0.8761,0.4686,-0.0696
20,3758778.0,2482.131348,1.0,0.4,-2.03,-9.93,-24.25,-5.5,34.5,3.25,-15.19,-0.12,-0.1323144891271525,0.2361346824182305,-0.3330015367997863,-122.3984110822012,55.84800465854668,-7.465189762811248,0.0927,-0.8763,0.4683,-0.0651
21,3758778.0,2482.131348,1.0,0.4,-2.03,-9.93,-24.25,-5.5,34.5,3.25,-15.19,-0.12,-0.1323144891271525,0.2361346824182305,-0.3330015367997863,-122.3984110822012,55.84800465854668,-7.465189762811248,0.0927,-0.8763,0.4683,-0.0651
22,3758815.0,2482.2840850000002,1.0,0.32,-2.51,-9.83,-23.87,-5.19,35.69,8.19,-5.69,-2.75,0.22379622587729334,-0.04136899161418284,-0.34123666944087994,-122.46980875996977,55.71835189030318,-7.327392950256605,0.0956,-0.8766,0.4673,-0.0639
23,3758815.0,2482.2840850000002,1.0,0.32,-2.51,-9.83,-23.87,-5.19,35.69,8.19,-5.69,-2.75,0.22379622587729334,-0.04136899161418284,-0.34123666944087994,-122.46980875996977,55.71835189030318,-7.327392950256605,0.0956,-0.8766,0.4673,-0.0639
24,3758852.0,2482.2895120000003,1.0,0.29,-2.7,-9.64,-23.06,-4.75,35.19,3.13,-7.88,-1.75,0.4022641433301952,-0.14734074981354772,-0.1993569089739875,-122.54128756505699,55.61468548324709,-7.1781250358345785,0.0975,-0.8769,0.4665,-0.0626
25,3758852.0,2482.2895120000003,1.0,0.29,-2.7,-9.64,-23.06,-4.75,35.19,3.13,-7.88,-1.75,0.4022641433301952,-0.14734074981354772,-0.1993569089739875,-122.54128756505699,55.61468548324709,-7.1781250358345785,0.0975,-0.8769,0.4665,-0.0626
26,3758884.0,2482.292957,1.0,0.19,-2.24,-9.38,-23.06,-4.75,35.19,0.5,-3.5,-0.5,0.04117765164227222,0.011112784582088198,0.1611183450302196,-122.5651319143896,55.60173066165572,-7.051830951076286,0.0981,-0.877,0.4664,-0.0615
27,3758884.0,2482.292957,1.0,0.19,-2.24,-9.38,-23.06,-4.75,35.19,0.5,-3.5,-0.5,0.04117765164227222,0.011112784582088198,0.1611183450302196,-122.5651319143896,55.60173066165572,-7.051830951076286,0.0981,-0.877,0.4664,-0.0615
28,3758921.0,2482.334558,1.0,-0.1,-2.19,-9.23,-22.37,-5.19,35.56,-5.69,-7.75,-4.63,-0.1154726987638307,-0.20149490672733128,0.32271274491426283,-122.68448977939887,55.47222486463927,-6.9025853499261425,0.0986,-0.8775,0.4654,-0.0602
29,3758921.0,2482.334558,1.0,-0.1,-2.19,-9.23,-22.37,-5.19,35.56,-5.69,-7.75,-4.63,-0.1154726987638307,-0.20149490672733128,0.32271274491426283,-122.68448977939887,55.47222486463927,-6.9025853499261425,0.0986,-0.8775,0.4654,-0.0602
30,3758956.0,2482.33937,1.0,0.06,-2.09,-9.41,-23.06,-5.19,34.38,2.13,1.69,-1.75,-0.1427377323081126,0.001260684349374985,0.16821525412707494,-122.7801400993836,55.38161658816516,-6.9140653613570215,0.0984,-0.8779,0.4647,-0.0603
