,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1461262.0,1418.964273,1.0,-0.57,4.19,-8.78,31.87,17.19,19.37,0.75,-0.37,0.06,0.06241651034843788,0.08180707831976664,0.06196879530311782,-54.8516623694969,-118.54340107943031,-21.03082344341432,-0.1257,-0.4606,-0.8596,-0.1825
1,1461262.0,1418.964273,1.0,-0.57,4.19,-8.78,31.87,17.19,19.37,0.75,-0.37,0.06,0.06241651034843788,0.08180707831976664,0.06196879530311782,-54.8516623694969,-118.54340107943031,-21.03082344341432,-0.1257,-0.4606,-0.8596,-0.1825
2,1461297.0,1418.967456,1.0,-0.47,4.26,-9.11,31.87,17.19,19.37,-0.31,-1.37,-0.31,-0.06390437712409193,0.02691814229487877,-0.26091135537299515,-54.8516623694969,-118.54340107943031,-21.019168663575197,-0.1256,-0.4606,-0.8596,-0.1824
3,1461297.0,1418.967456,1.0,-0.47,4.26,-9.11,31.87,17.19,19.37,-0.31,-1.37,-0.31,-0.06390437712409193,0.02691814229487877,-0.26091135537299515,-54.8516623694969,-118.54340107943031,-21.019168663575197,-0.1256,-0.4606,-0.8596,-0.1824
4,1461331.0,1418.976316,1.0,-0.54,4.18,-8.73,31.19,17.87,19.37,-1.37,0.5,0.88,0.059720681172984576,0.049157593201373466,0.11279024388268155,-54.864572903487776,-118.52097838323343,-21.007514103633174,-0.1257,-0.4607,-0.8595,-0.1823
5,1461331.0,1418.976316,1.0,-0.54,4.18,-8.73,31.19,17.87,19.37,-1.37,0.5,0.88,0.059720681172984576,0.049157593201373466,0.11279024388268155,-54.864572903487776,-118.52097838323343,-21.007514103633174,-0.1257,-0.4607,-0.8595,-0.1823
6,1461366.0,1418.9961210000001,1.0,-0.45,4.3,-9.05,31.19,17.87,20.56,0.0,1.19,0.63,-0.018355207724083056,-0.01462508769832249,-0.2230284192295624,-54.8774841925425,-118.49856306250858,-21.042478443283557,-0.1253,-0.4608,-0.8594,-0.1826
7,1461366.0,1418.9961210000001,1.0,-0.45,4.3,-9.05,31.19,17.87,20.56,0.0,1.19,0.63,-0.018355207724083056,-0.01462508769832249,-0.2230284192295624,-54.8774841925425,-118.49856306250858,-21.042478443283557,-0.1253,-0.4608,-0.8594,-0.1826
8,1461403.0,1418.999272,1.0,-0.56,4.09,-9.01,31.19,17.87,20.56,1.12,0.69,0.44,-0.09440139630066324,0.1744790305599624,-0.10205553827649716,-54.8774841925425,-118.52097838323343,-21.019168663575197,-0.1251,-0.4608,-0.8595,-0.1824
9,1461403.0,1418.999272,1.0,-0.56,4.09,-9.01,31.19,17.87,20.56,1.12,0.69,0.44,-0.09440139630066324,0.1744790305599624,-0.10205553827649716,-54.8774841925425,-118.52097838323343,-21.019168663575197,-0.1251,-0.4608,-0.8595,-0.1824
