,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,441673.0,8.276815,1.0,9.39,1.68,1.62,-28.37,22.0,-8.75,-4.06,0.19,2.13,-0.16346119743447562,-0.042245660058629515,0.13243707381631786,-14.650301303680088,79.36011799864445,-2.452446574526375,-0.7587,-0.1275,0.6385,-0.0214
1,441673.0,8.276815,1.0,9.39,1.68,1.62,-28.37,22.0,-8.75,-4.06,0.19,2.13,-0.16346119743447562,-0.042245660058629515,0.13243707381631786,-14.650301303680088,79.36011799864445,-2.452446574526375,-0.7587,-0.1275,0.6385,-0.0214
2,441706.0,8.290225999999999,1.0,9.45,1.8,1.51,-28.37,22.0,-8.75,-0.81,1.0,1.63,-0.06693097883280373,-0.1923107758855953,0.07108957393562497,-14.54632631618216,79.34522946763786,-2.4868320276357756,-0.7589,-0.1266,0.6384,-0.0217
3,441706.0,8.290225999999999,1.0,9.45,1.8,1.51,-28.37,22.0,-8.75,-0.81,1.0,1.63,-0.06693097883280373,-0.1923107758855953,0.07108957393562497,-14.54632631618216,79.34522946763786,-2.4868320276357756,-0.7589,-0.1266,0.6384,-0.0217
4,441741.0,8.33554,1.0,9.45,1.61,1.29,-28.69,22.69,-7.69,1.94,0.44,1.0,0.18201860251185395,-0.061682268116671664,0.1359848457234012,-14.569430825374987,79.3303425408847,-2.555603608821701,-0.7589,-0.1268,0.6383,-0.0223
5,441741.0,8.33554,1.0,9.45,1.61,1.29,-28.69,22.69,-7.69,1.94,0.44,1.0,0.18201860251185395,-0.061682268116671664,0.1359848457234012,-14.569430825374987,79.3303425408847,-2.555603608821701,-0.7589,-0.1268,0.6383,-0.0223
6,441778.0,8.387789,1.0,9.4,1.73,1.49,-28.37,22.0,-9.25,-2.13,-0.25,0.63,-0.041407797627941716,-0.14384555576625624,0.13449440518133926,-14.511670666824136,79.3303425408847,-2.521217704700676,-0.759,-0.1263,0.6383,-0.022000000000000002
7,441778.0,8.387789,1.0,9.4,1.73,1.49,-28.37,22.0,-9.25,-2.13,-0.25,0.63,-0.041407797627941716,-0.14384555576625624,0.13449440518133926,-14.511670666824136,79.3303425408847,-2.521217704700676,-0.759,-0.1263,0.6383,-0.022000000000000002
8,441812.0,8.511277999999999,1.0,9.37,1.78,1.54,-28.37,22.0,-9.25,-0.06,0.69,0.75,-0.10192370690923536,-0.1885516772954271,0.1479254556846925,-14.477016351828802,79.31545721761533,-2.509755787270372,-0.7591,-0.126,0.6382,-0.0219
9,441812.0,8.511277999999999,1.0,9.37,1.78,1.54,-28.37,22.0,-9.25,-0.06,0.69,0.75,-0.10192370690923536,-0.1885516772954271,0.1479254556846925,-14.477016351828802,79.31545721761533,-2.509755787270372,-0.7591,-0.126,0.6382,-0.0219
