,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1639053.0,1349.3466460000002,1.0,8.28,0.16,4.92,-20.5,-18.56,-18.5,-0.12,-0.5,0.5,0.01585475077764814,0.10792723138919837,0.17449030761519954,-57.82848630952777,13.44952940908047,-114.55530415588284,-0.2115,-0.4835,0.1171,-0.8413
1,1639053.0,1349.3466460000002,1.0,8.28,0.16,4.92,-20.5,-18.56,-18.5,-0.12,-0.5,0.5,0.01585475077764814,0.10792723138919837,0.17449030761519954,-57.82848630952777,13.44952940908047,-114.55530415588284,-0.2115,-0.4835,0.1171,-0.8413
2,1639088.0,1349.350252,1.0,8.35,0.23,4.79,-19.25,-18.56,-21.25,-0.63,0.94,0.12,-0.15127474113463152,0.09856219949720546,0.17924632894076353,-57.802305908948476,13.44952940908047,-114.57650555012708,-0.2116,-0.4833,0.1171,-0.8414
3,1639088.0,1349.350252,1.0,8.35,0.23,4.79,-19.25,-18.56,-21.25,-0.63,0.94,0.12,-0.15127474113463152,0.09856219949720546,0.17924632894076353,-57.802305908948476,13.44952940908047,-114.57650555012708,-0.2116,-0.4833,0.1171,-0.8414
4,1639124.0,1349.354221,1.0,8.38,0.21,4.99,-20.06,-18.19,-18.5,1.06,1.31,-0.31,-0.0032553570533562504,0.14999044305129394,0.05236415891231338,-57.78921694693311,13.437990937987554,-114.57650555012708,-0.2118,-0.4832,0.11699999999999999,-0.8414
5,1639124.0,1349.354221,1.0,8.38,0.21,4.99,-20.06,-18.19,-18.5,1.06,1.31,-0.31,-0.0032553570533562504,0.14999044305129394,0.05236415891231338,-57.78921694693311,13.437990937987554,-114.57650555012708,-0.2118,-0.4832,0.11699999999999999,-0.8414
6,1639157.0,1349.407173,1.0,8.52,0.04,4.97,-20.06,-18.19,-18.5,1.37,1.25,-2.13,-0.0042936600618661,-0.05744368818419843,-0.056898133768653374,-57.74995501006216,13.357225465957494,-114.61892667196771,-0.212,-0.4829,0.1163,-0.8416
7,1639157.0,1349.407173,1.0,8.52,0.04,4.97,-20.06,-18.19,-18.5,1.37,1.25,-2.13,-0.0042936600618661,-0.05744368818419843,-0.056898133768653374,-57.74995501006216,13.357225465957494,-114.61892667196771,-0.212,-0.4829,0.1163,-0.8416
8,1639192.0,1349.410149,1.0,8.5,-0.02,4.94,-20.06,-18.56,-20.5,-0.06,-0.06,-1.81,0.015953103121522372,-0.1308697654091101,-0.023742596585480055,-57.763041497816594,13.299539926123945,-114.59771305348505,-0.2126,-0.483,0.1158,-0.8415
9,1639192.0,1349.410149,1.0,8.5,-0.02,4.94,-20.06,-18.56,-20.5,-0.06,-0.06,-1.81,0.015953103121522372,-0.1308697654091101,-0.023742596585480055,-57.763041497816594,13.299539926123945,-114.59771305348505,-0.2126,-0.483,0.1158,-0.8415
10,1639227.0,1349.446521,1.0,8.35,-0.07,4.95,-19.69,-18.56,-20.06,0.56,0.12,-0.75,0.11402272889960258,-0.13595247559723045,0.10106316860885302,-57.763041497816594,13.299539926123945,-114.59771305348505,-0.2128,-0.483,0.1158,-0.8415
11,1639227.0,1349.446521,1.0,8.35,-0.07,4.95,-19.69,-18.56,-20.06,0.56,0.12,-0.75,0.11402272889960258,-0.13595247559723045,0.10106316860885302,-57.763041497816594,13.299539926123945,-114.59771305348505,-0.2128,-0.483,0.1158,-0.8415
12,1639264.0,1349.503491,1.0,8.4,0.0,5.06,-20.5,-19.69,-19.56,-0.75,1.19,1.69,0.1305258274849991,-0.039845256114407264,0.001295576832804457,-57.69761729678852,13.311076762780564,-114.66137227839893,-0.2124,-0.4825,0.1159,-0.8418
13,1639264.0,1349.503491,1.0,8.4,0.0,5.06,-20.5,-19.69,-19.56,-0.75,1.19,1.69,0.1305258274849991,-0.039845256114407264,0.001295576832804457,-57.69761729678852,13.311076762780564,-114.66137227839893,-0.2124,-0.4825,0.1159,-0.8418
14,1639299.0,1349.526517,1.0,8.47,0.27,4.94,-20.5,-19.69,-19.56,-3.06,1.94,3.0,-0.13914487191627242,0.14878963979129345,-0.00028124008271213086,-57.60605796369463,13.426452603767608,-114.74633713830113,-0.2121,-0.4818,0.1169,-0.8422
15,1639299.0,1349.526517,1.0,8.47,0.27,4.94,-20.5,-19.69,-19.56,-3.06,1.94,3.0,-0.13914487191627242,0.14878963979129345,-0.00028124008271213086,-57.60605796369463,13.426452603767608,-114.74633713830113,-0.2121,-0.4818,0.1169,-0.8422
16,1639335.0,1349.572718,1.0,8.54,0.2,4.88,-20.5,-18.56,-18.5,1.44,0.37,2.19,-0.19439586086614702,0.050966934662446506,-0.02928476090855092,-57.553756403368006,13.437990937987554,-114.810125415467,-0.2115,-0.4814,0.11699999999999999,-0.8425
17,1639335.0,1349.572718,1.0,8.54,0.2,4.88,-20.5,-18.56,-18.5,1.44,0.37,2.19,-0.19439586086614702,0.050966934662446506,-0.02928476090855092,-57.553756403368006,13.437990937987554,-114.810125415467,-0.2115,-0.4814,0.11699999999999999,-0.8425
18,1639368.0,1349.589138,1.0,8.41,0.22,5.07,-20.5,-19.37,-20.5,0.0,0.06,0.56,-0.001847916133893929,0.17647258480266492,-0.014259021675082197,-57.553756403368006,13.426452603767608,-114.83140051790564,-0.2113,-0.4814,0.1169,-0.8426
19,1639368.0,1349.589138,1.0,8.41,0.22,5.07,-20.5,-19.37,-20.5,0.0,0.06,0.56,-0.001847916133893929,0.17647258480266492,-0.014259021675082197,-57.553756403368006,13.426452603767608,-114.83140051790564,-0.2113,-0.4814,0.1169,-0.8426
20,1639405.0,1349.630524,1.0,8.53,-0.05,5.04,-20.5,-19.37,-20.5,2.63,0.94,1.12,0.04545848398424815,-0.10801776778668017,-0.10048206170565877,-57.540683062151366,13.380300633180664,-114.87396927454428,-0.21100000000000002,-0.4813,0.1165,-0.8428
21,1639405.0,1349.630524,1.0,8.53,-0.05,5.04,-20.5,-19.37,-20.5,2.63,0.94,1.12,0.04545848398424815,-0.10801776778668017,-0.10048206170565877,-57.540683062151366,13.380300633180664,-114.87396927454428,-0.21100000000000002,-0.4813,0.1165,-0.8428
