,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1278574.0,1189.510813,1.0,5.62,-0.9,-8.06,-17.87,-17.69,34.75,-0.81,2.69,0.12,0.07039672714420975,0.25089715193522216,-0.0569241453064695,-140.1367137765361,-17.404541942676424,-33.18943360011411,0.1084,-0.9401,-0.1513,-0.2856
1,1278574.0,1189.510813,1.0,5.62,-0.9,-8.06,-17.87,-17.69,34.75,-0.81,2.69,0.12,0.07039672714420975,0.25089715193522216,-0.0569241453064695,-140.1367137765361,-17.404541942676424,-33.18943360011411,0.1084,-0.9401,-0.1513,-0.2856
2,1278607.0,1189.5579890000001,1.0,5.58,-1.18,-8.1,-17.5,-17.69,34.0,3.94,2.25,0.0,-0.08335100277481748,0.0254221478069836,-0.09946964013848003,-140.06953899210683,-17.439320584956548,-33.22530683110648,0.1092,-0.9399,-0.1516,-0.2859
3,1278607.0,1189.5579890000001,1.0,5.58,-1.18,-8.1,-17.5,-17.69,34.0,3.94,2.25,0.0,-0.08335100277481748,0.0254221478069836,-0.09946964013848003,-140.06953899210683,-17.439320584956548,-33.22530683110648,0.1092,-0.9399,-0.1516,-0.2859
4,1278642.0,1189.5651380000002,1.0,5.64,-1.17,-8.1,-17.87,-17.37,34.38,0.37,2.63,-0.63,-0.046228182066115314,0.03105200676587372,-0.13243440089220115,-139.96897956123578,-17.450913825320047,-33.309024075692264,0.1096,-0.9396,-0.1517,-0.2866
5,1278642.0,1189.5651380000002,1.0,5.64,-1.17,-8.1,-17.87,-17.37,34.38,0.37,2.63,-0.63,-0.046228182066115314,0.03105200676587372,-0.13243440089220115,-139.96897956123578,-17.450913825320047,-33.309024075692264,0.1096,-0.9396,-0.1517,-0.2866
6,1278679.0,1189.583347,1.0,5.75,-1.09,-8.1,-17.5,-18.06,34.75,-0.75,3.06,-0.63,0.05172173988354845,0.0840883499016859,-0.1858899179104725,-139.8686617976523,-17.450913825320047,-33.40472333858408,0.1096,-0.9393,-0.1517,-0.2874
7,1278679.0,1189.583347,1.0,5.75,-1.09,-8.1,-17.5,-18.06,34.75,-0.75,3.06,-0.63,0.05172173988354845,0.0840883499016859,-0.1858899179104725,-139.8686617976523,-17.450913825320047,-33.40472333858408,0.1096,-0.9393,-0.1517,-0.2874
8,1278713.0,1189.586563,1.0,5.59,-1.13,-8.1,-17.5,-18.06,34.75,-0.06,1.81,-1.5,-0.1019268708877472,0.07925489014342912,-0.09881967969613116,-139.80191665328087,-17.485694626999518,-33.476513522752754,0.1094,-0.9391,-0.152,-0.28800000000000003
9,1278713.0,1189.586563,1.0,5.59,-1.13,-8.1,-17.5,-18.06,34.75,-0.06,1.81,-1.5,-0.1019268708877472,0.07925489014342912,-0.09881967969613116,-139.80191665328087,-17.485694626999518,-33.476513522752754,0.1094,-0.9391,-0.152,-0.28800000000000003
10,1278748.0,1189.623121,1.0,5.48,-1.21,-7.93,-18.56,-17.0,35.19,1.06,0.81,-0.06,-0.12971655566540874,-0.016051969271110078,0.0926232371447071,-139.80191665328087,-17.508882729880764,-33.476513522752754,0.1097,-0.9391,-0.1522,-0.28800000000000003
11,1278748.0,1189.623121,1.0,5.48,-1.21,-7.93,-18.56,-17.0,35.19,1.06,0.81,-0.06,-0.12971655566540874,-0.016051969271110078,0.0926232371447071,-139.80191665328087,-17.508882729880764,-33.476513522752754,0.1097,-0.9391,-0.1522,-0.28800000000000003
12,1278785.0,1189.6300310000001,1.0,5.63,-1.01,-7.88,-17.5,-17.37,34.38,-1.0,3.69,0.37,0.06219964187432547,0.12684564064276233,0.07056036462787141,-139.70199765652578,-17.485694626999518,-33.6081640231361,0.1097,-0.9388,-0.152,-0.2891
13,1278785.0,1189.6300310000001,1.0,5.63,-1.01,-7.88,-17.5,-17.37,34.38,-1.0,3.69,0.37,0.06219964187432547,0.12684564064276233,0.07056036462787141,-139.70199765652578,-17.485694626999518,-33.6081640231361,0.1097,-0.9388,-0.152,-0.2891
14,1278818.0,1189.646078,1.0,5.67,-1.2,-7.83,-17.5,-17.37,34.38,1.69,7.69,-0.94,0.023564358372446,-0.06656786549665328,0.0653557615377558,-139.5028685781741,-17.532071555357696,-33.775785318620265,0.1099,-0.9382,-0.1524,-0.2905
15,1278818.0,1189.646078,1.0,5.67,-1.2,-7.83,-17.5,-17.37,34.38,1.69,7.69,-0.94,0.023564358372446,-0.06656786549665328,0.0653557615377558,-139.5028685781741,-17.532071555357696,-33.775785318620265,0.1099,-0.9382,-0.1524,-0.2905
16,1278853.0,1189.68507,1.0,5.92,-1.09,-8.29,-17.87,-18.06,34.38,-2.38,9.06,-0.69,-0.03558278221982508,0.12480720610019308,-0.43745840566005256,-139.2388131216407,-17.485694626999518,-34.111251783016854,0.1097,-0.9374,-0.152,-0.2933
17,1278853.0,1189.68507,1.0,5.92,-1.09,-8.29,-17.87,-18.06,34.38,-2.38,9.06,-0.69,-0.03558278221982508,0.12480720610019308,-0.43745840566005256,-139.2388131216407,-17.485694626999518,-34.111251783016854,0.1097,-0.9374,-0.152,-0.2933
18,1278887.0,1189.702719,1.0,5.47,-1.13,-7.67,-18.19,-17.0,33.06,1.31,-2.81,-0.5,-0.07529771114611275,-5.473664473953921e-05,0.31870869265097035,-139.30467314730421,-17.508882729880764,-34.07529458830543,0.1096,-0.9376,-0.1522,-0.293
19,1278887.0,1189.702719,1.0,5.47,-1.13,-7.67,-18.19,-17.0,33.06,1.31,-2.81,-0.5,-0.07529771114611275,-5.473664473953921e-05,0.31870869265097035,-139.30467314730421,-17.508882729880764,-34.07529458830543,0.1096,-0.9376,-0.1522,-0.293
20,1278924.0,1189.747787,1.0,5.63,-1.09,-7.85,-18.19,-17.0,33.06,-1.94,2.5,-0.31,-0.040229269341588915,0.051217889686828284,0.08537136323290717,-139.2388131216407,-17.508882729880764,-34.13522516911611,0.1093,-0.9374,-0.1522,-0.2935
21,1278924.0,1189.747787,1.0,5.63,-1.09,-7.85,-18.19,-17.0,33.06,-1.94,2.5,-0.31,-0.040229269341588915,0.051217889686828284,0.08537136323290717,-139.2388131216407,-17.508882729880764,-34.13522516911611,0.1093,-0.9374,-0.1522,-0.2935
22,1278959.0,1189.807564,1.0,5.73,-1.14,-7.99,-18.56,-18.06,34.75,2.13,1.25,0.0,-0.05974006564469559,0.025796020237814462,-0.09124703370855693,-139.2059212883253,-17.49728858817925,-34.18317656247093,0.1093,-0.9373,-0.1521,-0.2939
23,1278959.0,1189.807564,1.0,5.73,-1.14,-7.99,-18.56,-18.06,34.75,2.13,1.25,0.0,-0.05974006564469559,0.025796020237814462,-0.09124703370855693,-139.2059212883253,-17.49728858817925,-34.18317656247093,0.1093,-0.9373,-0.1521,-0.2939
24,1278994.0,1189.814651,1.0,5.69,-1.11,-7.93,-18.56,-17.37,34.0,-2.5,-0.19,-1.0,-0.05390285202065728,0.04511233431896211,-0.016188660989826076,-139.1730548258568,-17.508882729880764,-34.20715457242007,0.1093,-0.9372,-0.1522,-0.2941
25,1278994.0,1189.814651,1.0,5.69,-1.11,-7.93,-18.56,-17.37,34.0,-2.5,-0.19,-1.0,-0.05390285202065728,0.04511233431896211,-0.016188660989826076,-139.1730548258568,-17.508882729880764,-34.20715457242007,0.1093,-0.9372,-0.1522,-0.2941
26,1279029.0,1189.832148,1.0,5.77,-1.08,-7.89,-18.56,-17.37,34.0,0.31,1.37,0.37,0.03283815219222172,0.04039530370386357,-0.027407650593639588,-139.14021367291954,-17.520477052231193,-34.24312448272413,0.1091,-0.9371,-0.1523,-0.2944
27,1279029.0,1189.832148,1.0,5.77,-1.08,-7.89,-18.56,-17.37,34.0,0.31,1.37,0.37,0.03283815219222172,0.04039530370386357,-0.027407650593639588,-139.14021367291954,-17.520477052231193,-34.24312448272413,0.1091,-0.9371,-0.1523,-0.2944
28,1279064.0,1189.8734789999999,1.0,5.77,-1.03,-8.05,-18.56,-17.37,34.0,-0.44,1.75,-0.75,-0.043197848045425515,0.13194658121963698,-0.15010770748835436,-139.1073977684417,-17.520477052231193,-34.30308206548676,0.1089,-0.937,-0.1523,-0.2949
29,1279064.0,1189.8734789999999,1.0,5.77,-1.03,-8.05,-18.56,-17.37,34.0,-0.44,1.75,-0.75,-0.043197848045425515,0.13194658121963698,-0.15010770748835436,-139.1073977684417,-17.520477052231193,-34.30308206548676,0.1089,-0.937,-0.1523,-0.2949
30,1279100.0,1189.953358,1.0,5.73,-1.05,-8.05,-18.19,-17.0,34.38,2.0,1.12,-0.56,-0.08262236787991661,0.1262303231872342,-0.1288992777115272,-139.1073977684417,-17.520477052231193,-34.315074743396394,0.1091,-0.937,-0.1523,-0.295
