,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1204023.0,954.2900480000001,1.0,2.53,-4.64,-8.36,13.56,9.75,36.38,0.5,1.0,-0.5,0.14764712541871686,0.05820509949950914,-0.0824810281919035,-103.03532104245025,-67.173649069206,4.206454848857137,0.2827,-0.7828,-0.5532,0.0367
1,1204023.0,954.2900480000001,1.0,2.53,-4.64,-8.36,13.56,9.75,36.38,0.5,1.0,-0.5,0.14764712541871686,0.05820509949950914,-0.0824810281919035,-103.03532104245025,-67.173649069206,4.206454848857137,0.2827,-0.7828,-0.5532,0.0367
2,1204060.0,954.308832,1.0,2.42,-4.82,-8.14,13.25,9.0,37.19,-1.25,1.12,-1.31,-0.13176694786430038,0.03156354036104991,0.04293957750331323,-103.01690791684817,-67.173649069206,4.1720543955147065,0.2828,-0.7827,-0.5532,0.0364
3,1204060.0,954.308832,1.0,2.42,-4.82,-8.14,13.25,9.0,37.19,-1.25,1.12,-1.31,-0.13176694786430038,0.03156354036104991,0.04293957750331323,-103.01690791684817,-67.173649069206,4.1720543955147065,0.2828,-0.7827,-0.5532,0.0364
4,1204094.0,954.312176,1.0,2.48,-4.58,-8.2,14.0,9.0,36.38,-0.56,3.13,-0.25,0.10112752444644266,0.06749248596359214,0.0931533078639628,-103.03532104245025,-67.173649069206,4.057388916858228,0.2828,-0.7828,-0.5532,0.0354
5,1204094.0,954.312176,1.0,2.48,-4.58,-8.2,14.0,9.0,36.38,-0.56,3.13,-0.25,0.10112752444644266,0.06749248596359214,0.0931533078639628,-103.03532104245025,-67.173649069206,4.057388916858228,0.2828,-0.7828,-0.5532,0.0354
6,1204129.0,954.3580400000001,1.0,2.81,-4.79,-8.46,14.0,9.0,36.38,0.19,-1.0,-2.75,0.1434224281576144,-0.15791601211352102,-0.3109728700332379,-102.9800928228657,-67.21492107332485,4.022990071019942,0.2831,-0.7825,-0.5535,0.0351
7,1204129.0,954.3580400000001,1.0,2.81,-4.79,-8.46,14.0,9.0,36.38,0.19,-1.0,-2.75,0.1434224281576144,-0.15791601211352102,-0.3109728700332379,-102.9800928228657,-67.21492107332485,4.022990071019942,0.2831,-0.7825,-0.5535,0.0351
8,1204166.0,954.379253,1.0,2.49,-4.87,-8.2,13.25,9.0,36.69,0.06,-0.31,-1.63,-0.1474960920281938,-0.0008080629089919357,-0.04907139672539351,-102.88812004458934,-67.32502809337325,4.045922594423996,0.2828,-0.782,-0.5543,0.0353
9,1204166.0,954.379253,1.0,2.49,-4.87,-8.2,13.25,9.0,36.69,0.06,-0.31,-1.63,-0.1474960920281938,-0.0008080629089919357,-0.04907139672539351,-102.88812004458934,-67.32502809337325,4.045922594423996,0.2828,-0.782,-0.5543,0.0353
