,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,4210546.0,1445.1673529999998,1.0,1.7,-2.32,-9.34,13.56,-1.06,38.38,6.25,2.81,-0.19,-0.26547492601437994,-0.12863705857756602,0.03828393546196729,-119.85682289966009,-57.579905543790595,-3.1287382797377283,0.1354,-0.8654,-0.4816,-0.0273
1,4210546.0,1445.1673529999998,1.0,1.7,-2.32,-9.34,13.56,-1.06,38.38,6.25,2.81,-0.19,-0.26547492601437994,-0.12863705857756602,0.03828393546196729,-119.85682289966009,-57.579905543790595,-3.1287382797377283,0.1354,-0.8654,-0.4816,-0.0273
2,4210583.0,1445.176371,1.0,1.92,-2.45,-9.71,14.25,-1.5,38.5,-3.25,2.5,-0.31,-0.2350770420559813,-0.2599091459459688,-0.3840411453616266,-119.81110097439955,-57.592981343645185,-3.2204467196467967,0.136,-0.8652,-0.4817,-0.0281
3,4210583.0,1445.176371,1.0,1.92,-2.45,-9.71,14.25,-1.5,38.5,-3.25,2.5,-0.31,-0.2350770420559813,-0.2599091459459688,-0.3840411453616266,-119.81110097439955,-57.592981343645185,-3.2204467196467967,0.136,-0.8652,-0.4817,-0.0281
4,4210616.0,1445.323169,1.0,1.7,-2.26,-9.51,14.25,-1.5,38.5,0.37,-1.19,0.94,-0.21364471746247612,-0.045042211064461934,-0.11252472040506056,-119.85682289966009,-57.579905543790595,-3.2204467196467967,0.1355,-0.8654,-0.4816,-0.0281
5,4210616.0,1445.323169,1.0,1.7,-2.26,-9.51,14.25,-1.5,38.5,0.37,-1.19,0.94,-0.21364471746247612,-0.045042211064461934,-0.11252472040506056,-119.85682289966009,-57.579905543790595,-3.2204467196467967,0.1355,-0.8654,-0.4816,-0.0281
6,4210653.0,1445.334724,1.0,1.82,-2.56,-9.61,13.88,-0.69,38.06,3.81,2.5,-0.56,-0.3724908774686356,-0.24925506447292856,-0.2937075411485921,-119.81110097439955,-57.579905543790595,-3.163128706652845,0.1368,-0.8652,-0.4816,-0.0276
7,4210653.0,1445.334724,1.0,1.82,-2.56,-9.61,13.88,-0.69,38.06,3.81,2.5,-0.56,-0.3724908774686356,-0.24925506447292856,-0.2937075411485921,-119.81110097439955,-57.579905543790595,-3.163128706652845,0.1368,-0.8652,-0.4816,-0.0276
8,4210688.0,1445.3849810000002,1.0,1.89,-2.19,-9.44,13.88,-1.5,38.88,0.63,3.06,0.75,-0.0397457348596133,-0.14343389328147627,-0.06551526375134209,-119.81110097439955,-57.540683062151366,-3.243374149708243,0.1378,-0.8652,-0.4813,-0.0283
9,4210688.0,1445.3849810000002,1.0,1.89,-2.19,-9.44,13.88,-1.5,38.88,0.63,3.06,0.75,-0.0397457348596133,-0.14343389328147627,-0.06551526375134209,-119.81110097439955,-57.540683062151366,-3.243374149708243,0.1378,-0.8652,-0.4813,-0.0283
10,4210722.0,1445.442429,1.0,1.75,-2.43,-9.46,13.88,-1.5,38.88,1.44,0.31,-2.63,-0.3091597301093044,-0.12938215955697466,-0.1103394886536595,-119.74257704437856,-57.579905543790595,-3.243374149708243,0.1385,-0.8649,-0.4816,-0.0283
11,4210722.0,1445.442429,1.0,1.75,-2.43,-9.46,13.88,-1.5,38.88,1.44,0.31,-2.63,-0.3091597301093044,-0.12938215955697466,-0.1103394886536595,-119.74257704437856,-57.579905543790595,-3.243374149708243,0.1385,-0.8649,-0.4816,-0.0283
12,4210755.0,1445.498725,1.0,1.77,-2.25,-9.33,13.88,-2.19,38.38,2.19,2.25,-1.44,-0.15047452866840402,-0.07070107909712098,0.04874762430282864,-119.67412364784863,-57.61913540426363,-3.254837913384077,0.1396,-0.8646,-0.4819,-0.0284
13,4210755.0,1445.498725,1.0,1.77,-2.25,-9.33,13.88,-2.19,38.38,2.19,2.25,-1.44,-0.15047452866840402,-0.07070107909712098,0.04874762430282864,-119.67412364784863,-57.61913540426363,-3.254837913384077,0.1396,-0.8646,-0.4819,-0.0284
14,4210792.0,1445.589549,1.0,1.67,-2.56,-9.55,13.19,-1.5,38.5,2.13,2.13,-2.75,-0.43091876106533583,-0.05181411070308317,-0.21116534663591047,-119.56019073883043,-57.67145337823379,-3.254837913384077,0.1413,-0.8641,-0.4823,-0.0284
15,4210792.0,1445.589549,1.0,1.67,-2.56,-9.55,13.19,-1.5,38.5,2.13,2.13,-2.75,-0.43091876106533583,-0.05181411070308317,-0.21116534663591047,-119.56019073883043,-57.67145337823379,-3.254837913384077,0.1413,-0.8641,-0.4823,-0.0284
