,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1522544.0,1483.6458949999999,1.0,8.53,-0.5,4.73,-20.75,-4.56,-31.19,2.56,-1.06,0.63,-0.13108208779014108,0.03731329625554358,0.04113797019925336,-48.02049166769566,35.26373479080068,-93.38784380135635,-0.4618,-0.4069,0.3029,-0.7277
1,1522544.0,1483.6458949999999,1.0,8.53,-0.5,4.73,-20.75,-4.56,-31.19,2.56,-1.06,0.63,-0.13108208779014108,0.03731329625554358,0.04113797019925336,-48.02049166769566,35.26373479080068,-93.38784380135635,-0.4618,-0.4069,0.3029,-0.7277
2,1522577.0,1483.648932,1.0,8.44,-0.61,4.68,-20.75,-4.56,-31.19,3.13,-0.37,-0.5,-0.01689542877775896,-0.00899668679107335,0.1367103102132443,-48.070674990989744,35.20361971980137,-93.40455194632291,-0.4614,-0.4073,0.3024,-0.7278
3,1522577.0,1483.648932,1.0,8.44,-0.61,4.68,-20.75,-4.56,-31.19,3.13,-0.37,-0.5,-0.01689542877775896,-0.00899668679107335,0.1367103102132443,-48.070674990989744,35.20361971980137,-93.40455194632291,-0.4614,-0.4073,0.3024,-0.7278
4,1522614.0,1483.7098019999999,1.0,8.44,-0.75,4.55,-21.56,-3.06,-32.75,1.5,-0.5,-0.19,0.08308861508315403,-0.17588507538757134,0.1909981384619872,-48.133417932241116,35.119475421316324,-93.42126267707391,-0.4614,-0.4078,0.3017,-0.7279
5,1522614.0,1483.7098019999999,1.0,8.44,-0.75,4.55,-21.56,-3.06,-32.75,1.5,-0.5,-0.19,0.08308861508315403,-0.17588507538757134,0.1909981384619872,-48.133417932241116,35.119475421316324,-93.42126267707391,-0.4614,-0.4078,0.3017,-0.7279
6,1522649.0,1483.733797,1.0,8.43,-0.76,4.69,-20.75,-3.75,-31.19,1.44,-0.06,0.81,0.1408300377295788,-0.060743813978962224,0.1311615322513866,-48.158519404241254,35.095437786143385,-93.43797599516577,-0.4611,-0.408,0.3015,-0.728
7,1522649.0,1483.733797,1.0,8.43,-0.76,4.69,-20.75,-3.75,-31.19,1.44,-0.06,0.81,0.1408300377295788,-0.060743813978962224,0.1311615322513866,-48.158519404241254,35.095437786143385,-93.43797599516577,-0.4611,-0.408,0.3015,-0.728
8,1522683.0,1483.775406,1.0,8.51,-0.73,4.67,-20.75,-3.75,-31.19,1.37,-1.44,0.5,0.08978414338807883,-0.09362517734255717,0.07294191244345782,-48.19617622057904,35.10745640434998,-93.43797599516577,-0.4609,-0.4083,0.3016,-0.728
9,1522683.0,1483.775406,1.0,8.51,-0.73,4.67,-20.75,-3.75,-31.19,1.37,-1.44,0.5,0.08978414338807883,-0.09362517734255717,0.07294191244345782,-48.19617622057904,35.10745640434998,-93.43797599516577,-0.4609,-0.4083,0.3016,-0.728
10,1522718.0,1483.83592,1.0,8.43,-0.63,4.55,-20.5,-4.19,-31.56,-2.0,0.31,1.88,-0.029438768923676136,-0.11257496828250146,0.20713124980213135,-48.171071061668,35.15553486649333,-93.45469190215636,-0.4606,-0.4081,0.302,-0.7281
11,1522718.0,1483.83592,1.0,8.43,-0.63,4.55,-20.5,-4.19,-31.56,-2.0,0.31,1.88,-0.029438768923676136,-0.11257496828250146,0.20713124980213135,-48.171071061668,35.15553486649333,-93.45469190215636,-0.4606,-0.4081,0.302,-0.7281
12,1522755.0,1483.8407320000001,1.0,8.41,-0.63,4.69,-22.0,-3.5,-33.19,0.81,-0.06,3.88,0.0069052419555426505,0.018791783472638768,0.15674330684967508,-48.158519404241254,35.20361971980137,-93.52158145031368,-0.4598,-0.408,0.3024,-0.7285
13,1522755.0,1483.8407320000001,1.0,8.41,-0.63,4.69,-22.0,-3.5,-33.19,0.81,-0.06,3.88,0.0069052419555426505,0.018791783472638768,0.15674330684967508,-48.158519404241254,35.20361971980137,-93.52158145031368,-0.4598,-0.408,0.3024,-0.7285
14,1522790.0,1483.8589,1.0,8.51,-0.54,4.74,-22.0,-3.5,-33.19,-3.69,0.06,1.0,-0.09731797316173972,0.057531621286849965,0.05131713409266503,-48.09577032776433,35.27575900730597,-93.52158145031368,-0.4597,-0.4075,0.303,-0.7285
15,1522790.0,1483.8589,1.0,8.51,-0.54,4.74,-22.0,-3.5,-33.19,-3.69,0.06,1.0,-0.09731797316173972,0.057531621286849965,0.05131713409266503,-48.09577032776433,35.27575900730597,-93.52158145031368,-0.4597,-0.4075,0.303,-0.7285
16,1522823.0,1483.904725,1.0,8.53,-0.39,4.6,-21.19,-3.06,-32.38,-1.19,1.31,2.13,-0.30074942945869565,-0.0021656184472755857,0.1121904951706032,-48.02049166769566,35.35993976529708,-93.55504179839458,-0.4596,-0.4069,0.3037,-0.7287
17,1522823.0,1483.904725,1.0,8.53,-0.39,4.6,-21.19,-3.06,-32.38,-1.19,1.31,2.13,-0.30074942945869565,-0.0021656184472755857,0.1121904951706032,-48.02049166769566,35.35993976529708,-93.55504179839458,-0.4596,-0.4069,0.3037,-0.7287
18,1522857.0,1483.964598,1.0,8.57,-0.5,4.64,-21.19,-3.5,-31.56,2.88,-1.19,1.12,-0.1929031172408404,-0.026110226317360263,0.05028763262964553,-48.070674990989744,35.33588611084891,-93.571775871417,-0.4592,-0.4073,0.3035,-0.7288
19,1522857.0,1483.964598,1.0,8.57,-0.5,4.64,-21.19,-3.5,-31.56,2.88,-1.19,1.12,-0.1929031172408404,-0.026110226317360263,0.05028763262964553,-48.070674990989744,35.33588611084891,-93.571775871417,-0.4592,-0.4073,0.3035,-0.7288
20,1522894.0,1483.981423,1.0,8.37,-0.52,4.74,-20.75,-3.5,-32.0,2.69,-2.13,0.44,-0.07941726887103062,0.13707995299999487,0.17494184495862264,-48.1836233337003,35.27575900730597,-93.571775871417,-0.4587,-0.4082,0.303,-0.7288
21,1522894.0,1483.981423,1.0,8.37,-0.52,4.74,-20.75,-3.5,-32.0,2.69,-2.13,0.44,-0.07941726887103062,0.13707995299999487,0.17494184495862264,-48.1836233337003,35.27575900730597,-93.571775871417,-0.4587,-0.4082,0.303,-0.7288
22,1522927.0,1484.0239210000002,1.0,8.47,-0.62,4.72,-20.75,-3.5,-32.0,0.12,-1.69,-0.25,-0.01382714439985322,0.04161600180675773,0.09059231601770357,-48.23383857270471,35.25171097529378,-93.58851254585272,-0.4584,-0.4086,0.3028,-0.7289
23,1522927.0,1484.0239210000002,1.0,8.47,-0.62,4.72,-20.75,-3.5,-32.0,0.12,-1.69,-0.25,-0.01382714439985322,0.04161600180675773,0.09059231601770357,-48.23383857270471,35.25171097529378,-93.58851254585272,-0.4584,-0.4086,0.3028,-0.7289
24,1522964.0,1484.042983,1.0,8.43,-0.56,4.83,-21.56,-4.19,-31.19,1.5,-0.81,0.12,-0.0191357770739915,0.179263349791154,0.07654730406418331,-48.27150646713053,35.27575900730597,-93.53831032521614,-0.4584,-0.4089,0.303,-0.7286
25,1522964.0,1484.042983,1.0,8.43,-0.56,4.83,-21.56,-4.19,-31.19,1.5,-0.81,0.12,-0.0191357770739915,0.179263349791154,0.07654730406418331,-48.27150646713053,35.27575900730597,-93.53831032521614,-0.4584,-0.4089,0.303,-0.7286
26,1522999.0,1484.084142,1.0,8.47,-0.66,4.63,-20.75,-2.69,-32.38,2.13,-1.19,0.69,0.004726300579987353,-0.039334855500090526,0.13132931119461055,-48.32173895898989,35.23968756061282,-93.55504179839458,-0.4581,-0.4093,0.3027,-0.7287
27,1522999.0,1484.084142,1.0,8.47,-0.66,4.63,-20.75,-2.69,-32.38,2.13,-1.19,0.69,0.004726300579987353,-0.039334855500090526,0.13132931119461055,-48.32173895898989,35.23968756061282,-93.55504179839458,-0.4581,-0.4093,0.3027,-0.7287
28,1523032.0,1484.1431400000001,1.0,8.46,-0.62,4.61,-20.75,-2.69,-32.38,0.88,-1.37,-0.69,-0.027483306418468526,-0.028697238206096376,0.1522975547871308,-48.397106226699925,35.227664546585345,-93.53831032521614,-0.4578,-0.4099,0.3026,-0.7286
29,1523032.0,1484.1431400000001,1.0,8.46,-0.62,4.61,-20.75,-2.69,-32.38,0.88,-1.37,-0.69,-0.027483306418468526,-0.028697238206096376,0.1522975547871308,-48.397106226699925,35.227664546585345,-93.53831032521614,-0.4578,-0.4099,0.3026,-0.7286
30,1523068.0,1484.150999,1.0,8.48,-0.59,4.6,-22.25,-3.5,-32.38,-1.0,-1.0,0.25,-0.06318931607053835,-0.028232652630771238,0.14157317528412072,-48.40966960291665,35.25171097529378,-93.52158145031368,-0.4577,-0.41,0.3028,-0.7285
31,1523068.0,1484.150999,1.0,8.48,-0.59,4.6,-22.25,-3.5,-32.38,-1.0,-1.0,0.25,-0.06318931607053835,-0.028232652630771238,0.14157317528412072,-48.40966960291665,35.25171097529378,-93.52158145031368,-0.4577,-0.41,0.3028,-0.7285
32,1523103.0,1484.244385,1.0,8.48,-0.6,4.72,-22.0,-3.5,-32.38,1.63,-0.56,1.37,-0.013931176641451605,0.06915217788750905,0.0832851555333054,-48.434798213187825,35.25171097529378,-93.52158145031368,-0.4575,-0.4102,0.3028,-0.7285
33,1523103.0,1484.244385,1.0,8.48,-0.6,4.72,-22.0,-3.5,-32.38,1.63,-0.56,1.37,-0.013931176641451605,0.06915217788750905,0.0832851555333054,-48.434798213187825,35.25171097529378,-93.52158145031368,-0.4575,-0.4102,0.3028,-0.7285
34,1523138.0,1484.252275,1.0,8.58,-0.61,4.45,-22.0,-3.5,-32.38,3.0,-5.44,0.37,-0.10703633256752833,-0.1802569876874145,0.12434393987670055,-48.54790766181375,35.27575900730597,-93.48813148907244,-0.4569,-0.4111,0.303,-0.7283
35,1523138.0,1484.252275,1.0,8.58,-0.61,4.45,-22.0,-3.5,-32.38,3.0,-5.44,0.37,-0.10703633256752833,-0.1802569876874145,0.12434393987670055,-48.54790766181375,35.27575900730597,-93.48813148907244,-0.4569,-0.4111,0.303,-0.7283
36,1523171.0,1484.258392,1.0,8.59,-0.62,4.35,-21.56,-3.75,-30.75,1.37,-9.31,-1.37,-0.09920906351646376,-0.2166134481776749,0.1610169893684663,-48.887538949850274,35.39602326525133,-93.2709590581106,-0.4559,-0.4138,0.304,-0.727
37,1523171.0,1484.258392,1.0,8.59,-0.62,4.35,-21.56,-3.75,-30.75,1.37,-9.31,-1.37,-0.09920906351646376,-0.2166134481776749,0.1610169893684663,-48.887538949850274,35.39602326525133,-93.2709590581106,-0.4559,-0.4138,0.304,-0.727
38,1523208.0,1484.300925,1.0,9.19,0.08,3.92,-21.56,-3.75,-31.19,-5.13,-27.19,2.31,-0.9941274075853386,-0.43981810902487983,-0.12547820741161253,-49.30326654818019,35.73297808318577,-92.92105929606363,-0.4543,-0.4171,0.3068,-0.7249
39,1523208.0,1484.300925,1.0,9.19,0.08,3.92,-21.56,-3.75,-31.19,-5.13,-27.19,2.31,-0.9941274075853386,-0.43981810902487983,-0.12547820741161253,-49.30326654818019,35.73297808318577,-92.92105929606363,-0.4543,-0.4171,0.3068,-0.7249
40,1523245.0,1484.36239,1.0,10.43,0.87,3.73,-21.19,-3.75,-32.38,-6.25,-36.44,0.12,-1.9992819671051207,-0.5905926691572914,-1.107046528452031,-50.12416021166318,36.29930145114271,-92.24113894853753,-0.4517,-0.4236,0.3115,-0.7208
41,1523245.0,1484.36239,1.0,10.43,0.87,3.73,-21.19,-3.75,-32.38,-6.25,-36.44,0.12,-1.9992819671051207,-0.5905926691572914,-1.107046528452031,-50.12416021166318,36.29930145114271,-92.24113894853753,-0.4517,-0.4236,0.3115,-0.7208
42,1523277.0,1484.374696,1.0,10.21,1.66,3.79,-21.19,-3.75,-32.38,8.63,-39.81,-21.19,-2.4997646473780564,0.03491001273865457,-0.9224579777738012,-51.20181083863504,36.72162758785172,-91.2044746461752,-0.4512,-0.4321,0.315,-0.7145
43,1523277.0,1484.374696,1.0,10.21,1.66,3.79,-21.19,-3.75,-32.38,8.63,-39.81,-21.19,-2.4997646473780564,0.03491001273865457,-0.9224579777738012,-51.20181083863504,36.72162758785172,-91.2044746461752,-0.4512,-0.4321,0.315,-0.7145
44,1523316.0,1484.383066,1.0,10.94,2.5,3.65,-22.25,-3.75,-31.19,17.37,-35.19,-25.75,-3.1642593768994285,0.17031849785209974,-1.5606079897261704,-53.01308485730727,36.46817032738551,-90.04752800047241,-0.45,-0.4463,0.3129,-0.7074
45,1523316.0,1484.383066,1.0,10.94,2.5,3.65,-22.25,-3.75,-31.19,17.37,-35.19,-25.75,-3.1642593768994285,0.17031849785209974,-1.5606079897261704,-53.01308485730727,36.46817032738551,-90.04752800047241,-0.45,-0.4463,0.3129,-0.7074
46,1523351.0,1484.425457,1.0,11.66,3.6,3.56,-23.75,-5.25,-30.0,23.75,-33.25,-32.25,-4.063647136887341,0.3906577396548572,-2.231761792147461,-54.38738352787694,36.04615086901799,-89.15928146398718,-0.4502,-0.457,0.3094,-0.7019
47,1523351.0,1484.425457,1.0,11.66,3.6,3.56,-23.75,-5.25,-30.0,23.75,-33.25,-32.25,-4.063647136887341,0.3906577396548572,-2.231761792147461,-54.38738352787694,36.04615086901799,-89.15928146398718,-0.4502,-0.457,0.3094,-0.7019
