,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1274562.0,1047.991051,1.0,3.04,1.38,9.16,8.06,-9.19,-43.56,-4.88,0.44,-1.5,-0.08295637440567583,0.09284805584254653,0.05800406948884351,-19.180388694494322,6.386054856968827,-96.23234135298,-0.6441,-0.1666,0.0557,-0.7445
1,1274562.0,1047.991051,1.0,3.04,1.38,9.16,8.06,-9.19,-43.56,-4.88,0.44,-1.5,-0.08295637440567583,0.09284805584254653,0.05800406948884351,-19.180388694494322,6.386054856968827,-96.23234135298,-0.6441,-0.1666,0.0557,-0.7445
2,1274597.0,1048.035919,1.0,3.2,1.61,9.07,8.06,-8.75,-44.25,-2.38,1.31,1.12,-0.3611309940153359,-0.05156732130543274,0.061706428252909624,-19.075802591967932,6.443440527613203,-96.23234135298,-0.6443,-0.1657,0.0562,-0.7445
3,1274597.0,1048.035919,1.0,3.2,1.61,9.07,8.06,-8.75,-44.25,-2.38,1.31,1.12,-0.3611309940153359,-0.05156732130543274,0.061706428252909624,-19.075802591967932,6.443440527613203,-96.23234135298,-0.6443,-0.1657,0.0562,-0.7445
4,1274632.0,1048.039193,1.0,3.34,1.57,8.98,8.06,-8.75,-44.25,0.88,0.5,1.56,-0.3451444572226013,-0.21565828018054534,0.10637851875587144,-19.12228331882828,6.3975318623814825,-96.30102081146677,-0.6438,-0.1661,0.0558,-0.7449
5,1274632.0,1048.039193,1.0,3.34,1.57,8.98,8.06,-8.75,-44.25,0.88,0.5,1.56,-0.3451444572226013,-0.21565828018054534,0.10637851875587144,-19.12228331882828,6.3975318623814825,-96.30102081146677,-0.6438,-0.1661,0.0558,-0.7449
6,1274667.0,1048.06941,1.0,3.27,1.3,9.06,8.06,-8.75,-42.69,4.0,-1.06,2.44,-0.04238649421111923,-0.1636446018531852,0.0887323305919665,-19.226876578818004,6.351624225020216,-96.33537777908647,-0.6433,-0.16699999999999998,0.0554,-0.7451
7,1274667.0,1048.06941,1.0,3.27,1.3,9.06,8.06,-8.75,-42.69,4.0,-1.06,2.44,-0.04238649421111923,-0.1636446018531852,0.0887323305919665,-19.226876578818004,6.351624225020216,-96.33537777908647,-0.6433,-0.16699999999999998,0.0554,-0.7451
8,1274701.0,1048.114984,1.0,3.2,1.15,9.24,7.69,-9.5,-43.5,3.06,-0.25,1.19,0.16291419790765532,-0.0650425762231901,-0.03760357390789615,-19.33148601143644,6.282764679968377,-96.40412626430498,-0.6426,-0.1679,0.0548,-0.7455
9,1274701.0,1048.114984,1.0,3.2,1.15,9.24,7.69,-9.5,-43.5,3.06,-0.25,1.19,0.16291419790765532,-0.0650425762231901,-0.03760357390789615,-19.33148601143644,6.282764679968377,-96.40412626430498,-0.6426,-0.1679,0.0548,-0.7455
