,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,3455707.0,3429.277182,1.0,7.7,4.95,-3.29,-19.06,-33.75,7.19,-0.19,0.63,1.69,-0.087377035425172,0.00984013556066632,0.0799409766245951,-106.79664141842295,-16.51243337847321,-64.68782282646684,-0.2207,-0.8028,-0.1436,-0.535
1,3455707.0,3429.277182,1.0,7.7,4.95,-3.29,-19.06,-33.75,7.19,-0.19,0.63,1.69,-0.087377035425172,0.00984013556066632,0.0799409766245951,-106.79664141842295,-16.51243337847321,-64.68782282646684,-0.2207,-0.8028,-0.1436,-0.535
2,3455744.0,3429.287342,1.0,8.05,4.99,-3.28,-18.37,-34.88,6.25,-0.31,1.37,1.94,0.049286986882787535,-0.1093719912678095,-0.21565555114192134,-106.77742482625295,-16.489275388774946,-64.74208498773758,-0.2204,-0.8027,-0.1434,-0.5354
3,3455744.0,3429.287342,1.0,8.05,4.99,-3.28,-18.37,-34.88,6.25,-0.31,1.37,1.94,0.049286986882787535,-0.1093719912678095,-0.21565555114192134,-106.77742482625295,-16.489275388774946,-64.74208498773758,-0.2204,-0.8027,-0.1434,-0.5354
4,3455778.0,3429.351108,1.0,8.35,4.57,-3.28,-18.37,-34.88,6.25,1.12,-1.06,3.56,0.16722217921595,-0.5937871757912365,-0.24249193016717815,-106.81586235047912,-16.419805484293857,-64.7556530727814,-0.2198,-0.8029,-0.1428,-0.5355
5,3455778.0,3429.351108,1.0,8.35,4.57,-3.28,-18.37,-34.88,6.25,1.12,-1.06,3.56,0.16722217921595,-0.5937871757912365,-0.24249193016717815,-106.81586235047912,-16.419805484293857,-64.7556530727814,-0.2198,-0.8029,-0.1428,-0.5355
6,3455813.0,3429.3757189999997,1.0,8.51,4.29,-3.38,-19.87,-35.25,7.19,-4.38,-8.38,6.31,0.1632601654621842,-0.905960735245527,-0.2631653540453094,-107.02758003485113,-16.15356023236983,-64.59290316854059,-0.22,-0.804,-0.1405,-0.5343
7,3455813.0,3429.3757189999997,1.0,8.51,4.29,-3.38,-19.87,-35.25,7.19,-4.38,-8.38,6.31,0.1632601654621842,-0.905960735245527,-0.2631653540453094,-107.02758003485113,-16.15356023236983,-64.59290316854059,-0.22,-0.804,-0.1405,-0.5343
8,3455848.0,3429.380536,1.0,9.04,3.88,-3.52,-19.5,-34.56,8.0,-7.5,-16.75,12.63,0.3078698619713656,-1.475988514244907,-0.5322606802364245,-107.53011997485687,-15.494110041456645,-64.22724850843996,-0.2208,-0.8066,-0.1348,-0.5316
9,3455848.0,3429.380536,1.0,9.04,3.88,-3.52,-19.5,-34.56,8.0,-7.5,-16.75,12.63,0.3078698619713656,-1.475988514244907,-0.5322606802364245,-107.53011997485687,-15.494110041456645,-64.22724850843996,-0.2208,-0.8066,-0.1348,-0.5316
10,3455885.0,3429.4253799999997,1.0,9.57,3.17,-3.93,-19.5,-34.56,7.19,-15.44,-40.69,24.87,0.2927375612940412,-2.3262060313143578,-0.7565772634874381,-108.38749898537714,-14.54632631618216,-63.53855502158924,-0.2214,-0.8109999999999999,-0.1266,-0.5265
11,3455885.0,3429.4253799999997,1.0,9.57,3.17,-3.93,-19.5,-34.56,7.19,-15.44,-40.69,24.87,0.2927375612940412,-2.3262060313143578,-0.7565772634874381,-108.38749898537714,-14.54632631618216,-63.53855502158924,-0.2214,-0.8109999999999999,-0.1266,-0.5265
12,3455920.0,3429.4915840000003,1.0,9.55,3.19,-4.0,-19.5,-34.56,7.19,-15.63,-47.0,35.0,0.4883503167555501,-2.119361308525208,-0.8069460735299856,-110.10954773943891,-12.7228682118641,-62.182157850572864,-0.2217,-0.8197,-0.1108,-0.5164
13,3455920.0,3429.4915840000003,1.0,9.55,3.19,-4.0,-19.5,-34.56,7.19,-15.63,-47.0,35.0,0.4883503167555501,-2.119361308525208,-0.8069460735299856,-110.10954773943891,-12.7228682118641,-62.182157850572864,-0.2217,-0.8197,-0.1108,-0.5164
14,3455954.0,3429.508502,1.0,10.48,1.89,-4.38,-19.5,-34.19,6.75,-9.94,-67.37,62.19,0.9379787940852656,-3.44211014276568,-1.141362310319895,-111.97181334084304,-10.776022876638457,-60.861952842422134,-0.2184,-0.8289,-0.0939,-0.5065
15,3455954.0,3429.508502,1.0,10.48,1.89,-4.38,-19.5,-34.19,6.75,-9.94,-67.37,62.19,0.9379787940852656,-3.44211014276568,-1.141362310319895,-111.97181334084304,-10.776022876638457,-60.861952842422134,-0.2184,-0.8289,-0.0939,-0.5065
16,3455991.0,3429.548282,1.0,10.91,1.7,-4.93,-21.37,-33.5,8.38,-12.38,-95.56,77.69,1.3021123246585309,-3.3579063248261467,-1.7368316501636532,-115.36530326577595,-7.281463046960031,-58.22159029859478,-0.2124,-0.8451,-0.0635,-0.4865
17,3455991.0,3429.548282,1.0,10.91,1.7,-4.93,-21.37,-33.5,8.38,-12.38,-95.56,77.69,1.3021123246585309,-3.3579063248261467,-1.7368316501636532,-115.36530326577595,-7.281463046960031,-58.22159029859478,-0.2124,-0.8451,-0.0635,-0.4865
18,3456026.0,3429.6123829999997,1.0,10.08,2.56,-5.64,-21.37,-33.5,8.38,-51.44,-142.25,92.19,0.7951998130301479,-2.109667376004754,-1.8074173676355976,-118.54340107943031,-3.6446260183907717,-55.213443709052655,-0.2126,-0.8596,-0.0318,-0.4634
19,3456026.0,3429.6123829999997,1.0,10.08,2.56,-5.64,-21.37,-33.5,8.38,-51.44,-142.25,92.19,0.7951998130301479,-2.109667376004754,-1.8074173676355976,-118.54340107943031,-3.6446260183907717,-55.213443709052655,-0.2126,-0.8596,-0.0318,-0.4634
20,3456061.0,3429.630366,1.0,7.35,0.08,-6.36,-23.25,-31.56,10.0,-68.62,-174.56,108.69,0.012173584801812798,-3.5606596188189554,0.7623117222294731,-123.2364939020704,1.9825328715837252,-50.04827088645171,-0.2162,-0.8798,0.0173,-0.423
21,3456061.0,3429.630366,1.0,7.35,0.08,-6.36,-23.25,-31.56,10.0,-68.62,-174.56,108.69,0.012173584801812798,-3.5606596188189554,0.7623117222294731,-123.2364939020704,1.9825328715837252,-50.04827088645171,-0.2162,-0.8798,0.0173,-0.423
22,3456098.0,3429.6739060000004,1.0,5.27,-0.42,-4.61,-24.75,-29.69,12.0,-103.12,-189.25,194.31,0.6922318284874738,-2.626005432682717,3.3393236155386603,-126.30202625936262,8.464552559408572,-45.78458156617274,-0.2174,-0.8922,0.0738,-0.389
23,3456098.0,3429.6739060000004,1.0,5.27,-0.42,-4.61,-24.75,-29.69,12.0,-103.12,-189.25,194.31,0.6922318284874738,-2.626005432682717,3.3393236155386603,-126.30202625936262,8.464552559408572,-45.78458156617274,-0.2174,-0.8922,0.0738,-0.389
24,3456135.0,3429.6901009999997,1.0,5.79,2.46,-3.87,-26.37,-27.19,13.06,-154.19,-156.75,208.94,0.8395957823760941,0.8995134922705528,2.523892665072556,-126.9655039569828,19.447737797457524,-40.52234562197142,-0.2256,-0.8948,0.1689,-0.3463
25,3456135.0,3429.6901009999997,1.0,5.79,2.46,-3.87,-26.37,-27.19,13.06,-154.19,-156.75,208.94,0.8395957823760941,0.8995134922705528,2.523892665072556,-126.9655039569828,19.447737797457524,-40.52234562197142,-0.2256,-0.8948,0.1689,-0.3463
26,3456169.0,3429.7326909999997,1.0,5.18,4.5,-4.11,-26.37,-27.19,13.06,-175.69,-123.31,201.75,-0.9973324416680788,2.5094439175193166,2.2778706018756463,-123.57491843142247,29.92656655764556,-36.383725666731316,-0.2435,-0.8812,0.2582,-0.3122
27,3456169.0,3429.7326909999997,1.0,5.18,4.5,-4.11,-26.37,-27.19,13.06,-175.69,-123.31,201.75,-0.9973324416680788,2.5094439175193166,2.2778706018756463,-123.57491843142247,29.92656655764556,-36.383725666731316,-0.2435,-0.8812,0.2582,-0.3122
28,3456206.0,3429.749132,1.0,4.89,5.58,-2.37,-28.5,-21.56,15.06,-95.06,-28.5,192.44,-1.7252314385286047,4.207332992685485,3.4830967605488823,-119.46918424877704,36.80615463747225,-35.131494837214326,-0.2513,-0.8637,0.3157,-0.3018
29,3456206.0,3429.749132,1.0,4.89,5.58,-2.37,-28.5,-21.56,15.06,-95.06,-28.5,192.44,-1.7252314385286047,4.207332992685485,3.4830967605488823,-119.46918424877704,36.80615463747225,-35.131494837214326,-0.2513,-0.8637,0.3157,-0.3018
30,3456243.0,3429.801617,1.0,7.63,3.42,-5.04,-29.19,-17.19,16.06,-74.25,49.06,144.69,-0.30300110322368523,2.0879483045473366,0.2744119517249164,-113.33587511663835,42.93827474491775,-36.90278239165085,-0.2604,-0.8355,0.366,-0.3165
31,3456243.0,3429.801617,1.0,7.63,3.42,-5.04,-29.19,-17.19,16.06,-74.25,49.06,144.69,-0.30300110322368523,2.0879483045473366,0.2744119517249164,-113.33587511663835,42.93827474491775,-36.90278239165085,-0.2604,-0.8355,0.366,-0.3165
32,3456278.0,3429.837086,1.0,8.92,4.18,-7.21,-29.19,-17.19,16.06,-71.94,-15.13,124.19,-1.4244446144395042,1.5563816425494683,-2.2171403226532216,-109.49174968741804,47.06885078095891,-37.33794513405029,-0.267,-0.8166,0.3993,-0.3201
33,3456278.0,3429.837086,1.0,8.92,4.18,-7.21,-29.19,-17.19,16.06,-71.94,-15.13,124.19,-1.4244446144395042,1.5563816425494683,-2.2171403226532216,-109.49174968741804,47.06885078095891,-37.33794513405029,-0.267,-0.8166,0.3993,-0.3201
34,3456313.0,3429.86135,1.0,7.5,3.36,-4.52,-18.5,-8.25,9.75,-18.12,-37.19,107.19,-1.0043139700462778,2.5814031479109736,0.8457509805084182,-106.7390046476622,51.927193035567214,-36.51643362197993,-0.2573,-0.8025,0.4378,-0.3133
