acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
-2.18,0.7,-9.61,-0.066917713530222,-0.0576270114800985,-0.0719481367380137,-142.59632676400983,34.9512454084058,12.930431986971731
-2.18,0.7,-9.61,-0.066917713530222,-0.0576270114800985,-0.0719481367380137,-142.59632676400983,34.9512454084058,12.930431986971731
-2.12,0.69,-9.81,0.0205174353709832,-0.0173531380195428,-0.2534632152400089,-142.59632676400983,34.93923195845143,12.88430304585338
-2.12,0.69,-9.81,0.0205174353709832,-0.0173531380195428,-0.2534632152400089,-142.59632676400983,34.93923195845143,12.88430304585338
-2.29,0.64,-9.55,-0.1444628636482855,-0.1698575033918537,-0.0323783519038638,-142.63208125401738,34.91520624744418,12.872771138472864
-2.29,0.64,-9.55,-0.1444628636482855,-0.1698575033918537,-0.0323783519038638,-142.63208125401738,34.91520624744418,12.872771138472864
-2.09,0.6,-9.65,0.0233215416085644,-0.0834494973922066,-0.0849167256042893,-142.70368938881398,34.92721890485463,12.67674864442774
-2.09,0.6,-9.65,0.0233215416085644,-0.0834494973922066,-0.0849167256042893,-142.70368938881398,34.92721890485463,12.67674864442774
-2.13,0.71,-9.59,-0.0901273666456435,-0.0256905954304287,-0.0422238976132653,-142.73954322436268,34.91520624744418,12.630631138714769
-2.13,0.71,-9.59,-0.0901273666456435,-0.0256905954304287,-0.0422238976132653,-142.73954322436268,34.91520624744418,12.630631138714769
-2.39,0.61,-9.24,-0.3190595325202165,-0.2853423664208363,0.25266754509496,-142.73954322436268,34.91520624744418,12.58451568698019
-2.39,0.61,-9.24,-0.3190595325202165,-0.2853423664208363,0.25266754509496,-142.73954322436268,34.91520624744418,12.58451568698019
-2.3,0.72,-9.24,-0.337017629293484,-0.1602527158834422,0.2648085537907114,-142.81135091208287,34.91520624744418,12.400074265032766
-2.3,0.72,-9.24,-0.337017629293484,-0.1602527158834422,0.2648085537907114,-142.81135091208287,34.91520624744418,12.400074265032766
-2.44,0.16,-9.0,-0.291476145477256,-0.7954185787481802,0.5189403285470853,-143.06373822672285,34.9512454084058,11.593515641253694
-2.44,0.16,-9.0,-0.291476145477256,-0.7954185787481802,0.5189403285470853,-143.06373822672285,34.9512454084058,11.593515641253694
-2.04,0.46,-8.72,-0.3484986882132395,-0.5668329255011512,0.8641196478635607,-143.06373822672285,35.33588611084891,10.212160888414616
-2.04,0.46,-8.72,-0.3484986882132395,-0.5668329255011512,0.8641196478635607,-143.06373822672285,35.33588611084891,10.212160888414616
-1.42,1.28,-8.82,-0.7739419771926551,-0.2159861038356281,0.8176809924391772,-143.83109490597238,35.299808644002006,6.030298919379606
-1.42,1.28,-8.82,-0.7739419771926551,-0.2159861038356281,0.8176809924391772,-143.83109490597238,35.299808644002006,6.030298919379606
-1.19,1.0,-7.64,-1.120938664840597,-0.7378816929289166,2.126498496487473,-144.46400874868328,34.73506381234489,1.0771765184626354
-1.19,1.0,-7.64,-1.120938664840597,-0.7378816929289166,2.126498496487473,-144.46400874868328,34.73506381234489,1.0771765184626354
2.67,1.84,-9.31,0.1887185496718762,0.5834154610373562,-0.032791636029577,-143.24503868567004,33.02206936424729,-9.98208514628972
2.67,1.84,-9.31,0.1887185496718762,0.5834154610373562,-0.032791636029577,-143.24503868567004,33.02206936424729,-9.98208514628972
3.98,2.39,-11.02,-0.0005892726390794,0.455940906957626,-2.142618494017549,-141.19218403998903,32.2936788968098,-14.823619947246296
3.98,2.39,-11.02,-0.0005892726390794,0.455940906957626,-2.142618494017549,-141.19218403998903,32.2936788968098,-14.823619947246296
1.94,1.81,-6.57,-1.0599775106551377,-0.028990862053551,2.800923256340729,-139.3046731473042,30.757674330799205,-19.85477908376032
1.94,1.81,-6.57,-1.0599775106551377,-0.028990862053551,2.800923256340729,-139.3046731473042,30.757674330799205,-19.85477908376032
