,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,3041890.0,1293.769112,1.0,6.63,5.29,-5.04,-26.37,-33.5,10.19,-1.56,-1.56,2.06,-0.11279869780030236,0.1469837491424677,-0.057845538610305176,-119.99417813762396,9.648546712798435,-42.335532323855574,-0.3356,-0.866,0.0841,-0.3611
1,3041890.0,1293.769112,1.0,6.63,5.29,-5.04,-26.37,-33.5,10.19,-1.56,-1.56,2.06,-0.11279869780030236,0.1469837491424677,-0.057845538610305176,-119.99417813762396,9.648546712798435,-42.335532323855574,-0.3356,-0.866,0.0841,-0.3611
2,3041923.0,1293.917568,1.0,6.85,5.09,-5.13,-26.37,-33.5,10.19,0.19,-1.44,3.13,0.0701137527918611,-0.0696337935593836,-0.1501434193928084,-120.01709840281569,9.729048380447908,-42.32324429701836,-0.3351,-0.8661,0.0848,-0.361
3,3041923.0,1293.917568,1.0,6.85,5.09,-5.13,-26.37,-33.5,10.19,0.19,-1.44,3.13,0.0701137527918611,-0.0696337935593836,-0.1501434193928084,-120.01709840281569,9.729048380447908,-42.32324429701836,-0.3351,-0.8661,0.0848,-0.361
4,3041957.0,1293.9806019999999,1.0,6.95,5.02,-5.42,-26.37,-34.19,11.0,-0.37,-2.5,-1.31,0.016020166310866557,-0.3164054220865449,-0.3313444250894904,-120.06296278033024,9.752049739225924,-42.24952684009253,-0.3352,-0.8663,0.085,-0.3604
5,3041957.0,1293.9806019999999,1.0,6.95,5.02,-5.42,-26.37,-34.19,11.0,-0.37,-2.5,-1.31,0.016020166310866557,-0.3164054220865449,-0.3313444250894904,-120.06296278033024,9.752049739225924,-42.24952684009253,-0.3352,-0.8663,0.085,-0.3604
6,3041992.0,1293.986977,1.0,6.79,5.28,-5.06,-26.69,-33.5,11.75,-3.63,0.88,-8.31,0.035481374629300684,0.09739952632768167,-0.17209513174505098,-120.08590691104773,9.637046865121436,-42.08986846540722,-0.3367,-0.8664,0.084,-0.3591
7,3041992.0,1293.986977,1.0,6.79,5.28,-5.06,-26.69,-33.5,11.75,-3.63,0.88,-8.31,0.035481374629300684,0.09739952632768167,-0.17209513174505098,-120.08590691104773,9.637046865121436,-42.08986846540722,-0.3367,-0.8664,0.084,-0.3591
8,3042029.0,1294.005284,1.0,7.52,4.81,-5.18,-26.37,-34.19,10.56,-5.88,7.13,-12.38,0.6885360008850531,-0.5031642137994594,-0.4788564994115277,-119.81110097439955,9.17713147157167,-42.18810962075827,-0.3397,-0.8652,0.08,-0.3599
9,3042029.0,1294.005284,1.0,7.52,4.81,-5.18,-26.37,-34.19,10.56,-5.88,7.13,-12.38,0.6885360008850531,-0.5031642137994594,-0.4788564994115277,-119.81110097439955,9.17713147157167,-42.18810962075827,-0.3397,-0.8652,0.08,-0.3599
10,3042064.0,1294.0087720000001,1.0,7.17,5.46,-4.36,-26.37,-34.19,10.56,-5.5,4.44,-0.63,0.6392978955991395,0.4944822915903706,-0.17217184749212144,-119.53742748975634,9.119652615329127,-42.26181180963939,-0.3425,-0.8640000000000001,0.0795,-0.3605
11,3042064.0,1294.0087720000001,1.0,7.17,5.46,-4.36,-26.37,-34.19,10.56,-5.5,4.44,-0.63,0.6392978955991395,0.4944822915903706,-0.17217184749212144,-119.53742748975634,9.119652615329127,-42.26181180963939,-0.3425,-0.8640000000000001,0.0795,-0.3605
12,3042101.0,1294.052999,1.0,5.14,4.21,-0.77,-26.0,-33.88,10.19,33.75,95.62,71.5,1.4878371832397723,2.223309566646235,3.676410601165033,-118.9708445669936,9.706047414595153,-44.30833052387342,-0.3293,-0.8615,0.0846,-0.3771
13,3042101.0,1294.052999,1.0,5.14,4.21,-0.77,-26.0,-33.88,10.19,33.75,95.62,71.5,1.4878371832397723,2.223309566646235,3.676410601165033,-118.9708445669936,9.706047414595153,-44.30833052387342,-0.3293,-0.8615,0.0846,-0.3771
14,3042136.0,1294.0720390000001,1.0,8.33,4.5,-0.5,-27.5,-33.5,10.19,13.06,505.06,23.19,2.5345749801279047,1.452683509524757,0.7869748234060854,-110.28980246010522,6.833706733841952,-55.07124433789578,-0.3307,-0.8206,0.0596,-0.4623
15,3042136.0,1294.0720390000001,1.0,8.33,4.5,-0.5,-27.5,-33.5,10.19,13.06,505.06,23.19,2.5345749801279047,1.452683509524757,0.7869748234060854,-110.28980246010522,6.833706733841952,-55.07124433789578,-0.3307,-0.8206,0.0596,-0.4623
16,3042170.0,1294.114372,1.0,12.24,5.25,-2.32,-27.5,-33.5,10.19,19.31,364.63,106.69,-0.5807047104576459,-1.4548166615979086,-3.621260876990112,-94.61443221012439,2.1773706400327653,-72.85426803573273,-0.327,-0.735,0.019,-0.5938
17,3042170.0,1294.114372,1.0,12.24,5.25,-2.32,-27.5,-33.5,10.19,19.31,364.63,106.69,-0.5807047104576459,-1.4548166615979086,-3.621260876990112,-94.61443221012439,2.1773706400327653,-72.85426803573273,-0.327,-0.735,0.019,-0.5938
18,3042205.0,1294.122957,1.0,9.45,4.27,-2.25,-30.5,-32.0,-0.19,21.12,242.19,109.31,-2.76425838618195,-1.020921818382711,-0.3871958991282032,-86.1570415333954,1.5355728478655368,-83.65650764793494,-0.2976,-0.6829999999999999,0.0134,-0.6669
19,3042205.0,1294.122957,1.0,9.45,4.27,-2.25,-30.5,-32.0,-0.19,21.12,242.19,109.31,-2.76425838618195,-1.020921818382711,-0.3871958991282032,-86.1570415333954,1.5355728478655368,-83.65650764793494,-0.2976,-0.6829999999999999,0.0134,-0.6669
20,3042242.0,1294.1440029999999,1.0,7.07,2.28,3.67,-31.25,-29.75,-8.06,47.13,165.0,77.87,2.5992897417327647,0.664003742651229,1.9673265682064152,-82.38637607932448,1.0886361860699356,-88.77380536718846,-0.2773,-0.6586,0.0095,-0.6995
21,3042242.0,1294.1440029999999,1.0,7.07,2.28,3.67,-31.25,-29.75,-8.06,47.13,165.0,77.87,2.5992897417327647,0.664003742651229,1.9673265682064152,-82.38637607932448,1.0886361860699356,-88.77380536718846,-0.2773,-0.6586,0.0095,-0.6995
22,3042279.0,1294.202773,1.0,10.45,3.17,2.16,-32.5,-28.0,-12.56,36.5,339.38,49.0,-1.1107420001003103,-0.9121447072140978,-1.23197510652094,-71.91712490112356,-1.7189378496716434,-100.42085372385358,-0.2542,-0.5872,-0.015,-0.7684
23,3042279.0,1294.202773,1.0,10.45,3.17,2.16,-32.5,-28.0,-12.56,36.5,339.38,49.0,-1.1107420001003103,-0.9121447072140978,-1.23197510652094,-71.91712490112356,-1.7189378496716434,-100.42085372385358,-0.2542,-0.5872,-0.015,-0.7684
24,3042314.0,1294.217863,1.0,7.87,2.52,3.03,-32.5,-28.0,-12.56,20.37,115.94,51.69,-0.351295750464004,-0.33424838903265663,1.018415290450246,-67.02240272652745,-2.910938660030132,-105.86006493054606,-0.2405,-0.5521,-0.0254,-0.7979
25,3042314.0,1294.217863,1.0,7.87,2.52,3.03,-32.5,-28.0,-12.56,20.37,115.94,51.69,-0.351295750464004,-0.33424838903265663,1.018415290450246,-67.02240272652745,-2.910938660030132,-105.86006493054606,-0.2405,-0.5521,-0.0254,-0.7979
26,3042351.0,1294.263626,1.0,6.7,2.67,2.97,-28.69,-27.19,-19.19,-7.63,129.06,41.31,-0.6370094055172036,0.3507837880668512,2.0406362380168224,-63.53855502158924,-2.4295230620087382,-109.92969787688708,-0.2278,-0.5265,-0.0212,-0.8188
27,3042351.0,1294.263626,1.0,6.7,2.67,2.97,-28.69,-27.19,-19.19,-7.63,129.06,41.31,-0.6370094055172036,0.3507837880668512,2.0406362380168224,-63.53855502158924,-2.4295230620087382,-109.92969787688708,-0.2278,-0.5265,-0.0212,-0.8188
28,3042387.0,1294.282214,1.0,7.91,3.6,4.78,-28.25,-26.37,-20.5,-25.0,139.0,8.88,-0.5103992025458062,0.9365820479116784,-0.05432392358230586,-59.22084162921026,-2.6129139620146145,-114.11147553645674,-0.2258,-0.4941,-0.0228,-0.8392
29,3042387.0,1294.282214,1.0,7.91,3.6,4.78,-28.25,-26.37,-20.5,-25.0,139.0,8.88,-0.5103992025458062,0.9365820479116784,-0.05432392358230586,-59.22084162921026,-2.6129139620146145,-114.11147553645674,-0.2258,-0.4941,-0.0228,-0.8392
30,3042422.0,1294.314216,1.0,7.03,3.44,6.53,-28.25,-26.37,-20.5,-42.75,149.44,40.25,0.5455709619215523,1.3909389267328267,-0.2761591932559817,-54.45180871588593,-2.1315259137202647,-118.70056715200869,-0.2242,-0.4575,-0.0186,-0.8603
31,3042422.0,1294.314216,1.0,7.03,3.44,6.53,-28.25,-26.37,-20.5,-42.75,149.44,40.25,0.5455709619215523,1.3909389267328267,-0.2761591932559817,-54.45180871588593,-2.1315259137202647,-118.70056715200869,-0.2242,-0.4575,-0.0186,-0.8603
32,3042455.0,1294.351772,1.0,6.56,3.25,6.25,-26.06,-24.5,-24.25,-1.06,163.63,15.5,-0.35508150209001355,1.0758822056378428,0.2476231349647637,-48.10831891577421,-3.025568677774776,-124.82385344491156,-0.2183,-0.4076,-0.0264,-0.8863
