,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1282353.0,1258.920267,1.0,-0.75,0.47,-9.81,11.25,-18.87,30.87,0.81,-1.5,-1.0,0.00803143733928532,-0.1659980132636879,-0.04179557052567695,-151.2538864729402,-28.091903034402694,3.851001219583861,-0.0405,-0.9687,-0.2427,0.0336
1,1282353.0,1258.920267,1.0,-0.75,0.47,-9.81,11.25,-18.87,30.87,0.81,-1.5,-1.0,0.00803143733928532,-0.1659980132636879,-0.04179557052567695,-151.2538864729402,-28.091903034402694,3.851001219583861,-0.0405,-0.9687,-0.2427,0.0336
2,1282385.0,1258.946544,1.0,-0.82,0.52,-10.01,11.69,-18.87,32.06,0.37,-0.12,0.0,-0.016811034445348774,-0.10926953042036368,-0.2497249710739524,-151.20776005427302,-28.10371551481587,3.873932556571698,-0.0405,-0.9686,-0.2428,0.0338
3,1282385.0,1258.946544,1.0,-0.82,0.52,-10.01,11.69,-18.87,32.06,0.37,-0.12,0.0,-0.016811034445348774,-0.10926953042036368,-0.2497249710739524,-151.20776005427302,-28.10371551481587,3.873932556571698,-0.0405,-0.9686,-0.2428,0.0338
4,1282420.0,1258.99247,1.0,-0.85,0.82,-9.85,12.06,-18.87,32.25,-0.12,0.69,0.19,0.09188334098066976,0.18550443418843487,-0.11174430334097353,-151.20776005427302,-28.10371551481587,3.873932556571698,-0.0404,-0.9686,-0.2428,0.0338
5,1282420.0,1258.99247,1.0,-0.85,0.82,-9.85,12.06,-18.87,32.25,-0.12,0.69,0.19,0.09188334098066976,0.18550443418843487,-0.11174430334097353,-151.20776005427302,-28.10371551481587,3.873932556571698,-0.0404,-0.9686,-0.2428,0.0338
6,1282457.0,1259.0455539999998,1.0,-1.0,0.56,-9.65,11.69,-18.06,32.88,3.94,1.0,-0.88,-0.1713000023538554,0.06602337164451373,0.09056039442357466,-151.2538864729402,-28.115528300006982,3.851001219583861,-0.0394,-0.9687,-0.2429,0.0336
7,1282457.0,1259.0455539999998,1.0,-1.0,0.56,-9.65,11.69,-18.06,32.88,3.94,1.0,-0.88,-0.1713000023538554,0.06602337164451373,0.09056039442357466,-151.2538864729402,-28.115528300006982,3.851001219583861,-0.0394,-0.9687,-0.2429,0.0336
8,1282492.0,1259.052391,1.0,-0.7,0.52,-9.86,11.69,-18.06,32.88,0.31,3.81,-1.25,0.07249378377401777,-0.11599166855347788,-0.09088962276182322,-151.20776005427302,-28.139154785319608,3.7707427489739196,-0.0389,-0.9686,-0.2431,0.0329
9,1282492.0,1259.052391,1.0,-0.7,0.52,-9.86,11.69,-18.06,32.88,0.31,3.81,-1.25,0.07249378377401777,-0.11599166855347788,-0.09088962276182322,-151.20776005427302,-28.139154785319608,3.7707427489739196,-0.0389,-0.9686,-0.2431,0.0329
10,1282529.0,1259.107718,1.0,-0.74,0.25,-9.73,11.25,-18.5,32.06,-0.69,1.0,-0.5,-0.10624543082736278,-0.3137893849736484,0.050972261866876416,-151.20776005427302,-28.18641141984425,3.701951248377608,-0.0386,-0.9686,-0.2435,0.0323
11,1282529.0,1259.107718,1.0,-0.74,0.25,-9.73,11.25,-18.5,32.06,-0.69,1.0,-0.5,-0.10624543082736278,-0.3137893849736484,0.050972261866876416,-151.20776005427302,-28.18641141984425,3.701951248377608,-0.0386,-0.9686,-0.2435,0.0323
12,1282562.0,1259.1148859999998,1.0,-0.62,0.51,-9.8,11.25,-18.87,32.56,-2.19,0.37,-0.25,0.11560833016682795,-0.15565087781887935,-0.02426590434128073,-151.20776005427302,-28.18641141984425,3.6560909909367436,-0.0391,-0.9686,-0.2435,0.0319
13,1282562.0,1259.1148859999998,1.0,-0.62,0.51,-9.8,11.25,-18.87,32.56,-2.19,0.37,-0.25,0.11560833016682795,-0.15565087781887935,-0.02426590434128073,-151.20776005427302,-28.18641141984425,3.6560909909367436,-0.0391,-0.9686,-0.2435,0.0319
14,1282596.0,1259.184226,1.0,-0.88,0.41,-9.72,11.25,-18.87,32.56,-0.56,-0.31,1.37,-0.1620862468016128,-0.11485689460638827,0.04030800607212015,-151.20776005427302,-28.16278249153404,3.6675560000932936,-0.0391,-0.9686,-0.2433,0.032
15,1282596.0,1259.184226,1.0,-0.88,0.41,-9.72,11.25,-18.87,32.56,-0.56,-0.31,1.37,-0.1620862468016128,-0.11485689460638827,0.04030800607212015,-151.20776005427302,-28.16278249153404,3.6675560000932936,-0.0391,-0.9686,-0.2433,0.032
16,1282631.0,1259.1875380000001,1.0,-0.81,0.59,-9.88,10.88,-18.5,33.38,-3.88,1.06,1.37,-0.018276522603786597,-0.018210995080635783,-0.12400628890556753,-151.2538864729402,-28.12734139012517,3.6331610823402585,-0.0399,-0.9687,-0.243,0.0317
17,1282631.0,1259.1875380000001,1.0,-0.81,0.59,-9.88,10.88,-18.5,33.38,-3.88,1.06,1.37,-0.018276522603786597,-0.018210995080635783,-0.12400628890556753,-151.2538864729402,-28.12734139012517,3.6331610823402585,-0.0399,-0.9687,-0.243,0.0317
18,1282668.0,1259.225948,1.0,-0.83,0.53,-9.88,10.56,-18.06,32.56,-1.63,-1.06,1.81,-0.07465515751035585,-0.07773434906342491,-0.12172267523902215,-151.2538864729402,-28.080090858618394,3.5987664920103746,-0.0408,-0.9687,-0.2426,0.0314
19,1282668.0,1259.225948,1.0,-0.83,0.53,-9.88,10.56,-18.06,32.56,-1.63,-1.06,1.81,-0.07465515751035585,-0.07773434906342491,-0.12172267523902215,-151.2538864729402,-28.080090858618394,3.5987664920103746,-0.0408,-0.9687,-0.2426,0.0314
20,1282703.0,1259.291222,1.0,-0.98,0.62,-9.87,10.56,-18.06,32.56,-2.13,-3.81,1.44,-0.15548739481965662,0.0532676809752744,-0.12988290762002386,-151.30008546167102,-28.0210345439132,3.6790210459755386,-0.0416,-0.9688,-0.2421,0.0321
21,1282703.0,1259.291222,1.0,-0.98,0.62,-9.87,10.56,-18.06,32.56,-2.13,-3.81,1.44,-0.15548739481965662,0.0532676809752744,-0.12988290762002386,-151.30008546167102,-28.0210345439132,3.6790210459755386,-0.0416,-0.9688,-0.2421,0.0321
22,1282736.0,1259.2996699999999,1.0,-1.07,0.59,-9.97,11.25,-18.06,31.69,-1.88,-7.31,1.0,-0.2153952551511236,0.028642828268270193,-0.235594991656356,-151.30008546167102,-27.973794960271835,3.8853982832056495,-0.0427,-0.9688,-0.2417,0.0339
23,1282736.0,1259.2996699999999,1.0,-1.07,0.59,-9.97,11.25,-18.06,31.69,-1.88,-7.31,1.0,-0.2153952551511236,0.028642828268270193,-0.235594991656356,-151.30008546167102,-27.973794960271835,3.8853982832056495,-0.0427,-0.9688,-0.2417,0.0339
24,1282772.0,1259.3341990000001,1.0,-1.08,0.53,-9.86,10.88,-18.5,31.75,-1.81,-10.56,2.38,-0.21612091516629175,-0.038045865962203516,-0.12404706828835545,-151.34635737161238,-27.902944676024738,4.160587661476331,-0.0436,-0.9689,-0.2411,0.0363
25,1282772.0,1259.3341990000001,1.0,-1.08,0.53,-9.86,10.88,-18.5,31.75,-1.81,-10.56,2.38,-0.21612091516629175,-0.038045865962203516,-0.12404706828835545,-151.34635737161238,-27.902944676024738,4.160587661476331,-0.0436,-0.9689,-0.2411,0.0363
26,1282807.0,1259.353132,1.0,-1.27,0.92,-9.88,10.88,-18.5,31.75,-5.5,-11.81,1.81,-0.1404723312217762,0.32407479065895056,-0.19079682677635112,-151.2538864729402,-27.82029976108695,4.584885551911774,-0.0461,-0.9687,-0.2404,0.04
27,1282807.0,1259.353132,1.0,-1.27,0.92,-9.88,10.88,-18.5,31.75,-5.5,-11.81,1.81,-0.1404723312217762,0.32407479065895056,-0.19079682677635112,-151.2538864729402,-27.82029976108695,4.584885551911774,-0.0461,-0.9687,-0.2404,0.04
28,1282840.0,1259.399046,1.0,-2.23,1.5,-9.34,12.06,-18.06,32.56,-1.81,-45.88,-6.44,-0.5993896065735934,1.2584831849489508,0.1881546825019296,-150.97820441576042,-27.89113735405041,5.525454047712893,-0.0483,-0.9681,-0.24100000000000002,0.0482
29,1282840.0,1259.399046,1.0,-2.23,1.5,-9.34,12.06,-18.06,32.56,-1.81,-45.88,-6.44,-0.5993896065735934,1.2584831849489508,0.1881546825019296,-150.97820441576042,-27.89113735405041,5.525454047712893,-0.0483,-0.9681,-0.24100000000000002,0.0482
30,1282877.0,1259.455919,1.0,-1.89,2.2,-9.26,12.06,-19.25,32.88,28.44,-14.5,-10.88,0.23759792370107966,1.7131455716654267,0.25843658193397623,-150.52434170035053,-28.15096848573949,6.7418724197947295,-0.0464,-0.9671,-0.2432,0.0588
31,1282877.0,1259.455919,1.0,-1.89,2.2,-9.26,12.06,-19.25,32.88,28.44,-14.5,-10.88,0.23759792370107966,1.7131455716654267,0.25843658193397623,-150.52434170035053,-28.15096848573949,6.7418724197947295,-0.0464,-0.9671,-0.2432,0.0588
32,1282912.0,1259.475255,1.0,-1.24,0.76,-9.4,12.38,-18.5,32.19,55.88,-12.88,-18.37,0.2987467380731898,0.3053359039329692,0.3044018253699523,-150.21066214535367,-28.493699242791056,7.430739554030821,-0.0355,-0.9664,-0.2461,0.0648
33,1282912.0,1259.475255,1.0,-1.24,0.76,-9.4,12.38,-18.5,32.19,55.88,-12.88,-18.37,0.2987467380731898,0.3053359039329692,0.3044018253699523,-150.21066214535367,-28.493699242791056,7.430739554030821,-0.0355,-0.9664,-0.2461,0.0648
34,1282947.0,1259.522391,1.0,-1.41,0.08,-9.14,12.38,-18.5,32.19,29.75,5.44,-29.25,-0.049178577619014285,0.07208355989954629,0.5585969385229195,-149.46197984083236,-29.32206069578229,7.94756506816392,-0.0205,-0.9647,-0.2531,0.0693
35,1282947.0,1259.522391,1.0,-1.41,0.08,-9.14,12.38,-18.5,32.19,29.75,5.44,-29.25,-0.049178577619014285,0.07208355989954629,0.5585969385229195,-149.46197984083236,-29.32206069578229,7.94756506816392,-0.0205,-0.9647,-0.2531,0.0693
36,1282981.0,1259.540624,1.0,-1.03,0.48,-8.71,13.56,-17.0,32.19,39.0,29.0,-33.94,0.4268328875053752,0.4654937998383965,1.0455696323480836,-148.7733502639536,-30.223203424759074,7.5915129998336095,-0.0098,-0.9631,-0.2607,0.0662
37,1282981.0,1259.540624,1.0,-1.03,0.48,-8.71,13.56,-17.0,32.19,39.0,29.0,-33.94,0.4268328875053752,0.4654937998383965,1.0455696323480836,-148.7733502639536,-30.223203424759074,7.5915129998336095,-0.0098,-0.9631,-0.2607,0.0662
38,1283018.0,1259.5818869999998,1.0,-0.47,-0.37,-8.95,14.25,-16.25,33.75,56.75,68.56,-36.06,0.3845306991810593,-0.12219224520137607,0.8457624771817399,-147.84997349806363,-31.48327814398648,6.11062569758793,0.012,-0.9609,-0.2713,0.0533
39,1283018.0,1259.5818869999998,1.0,-0.47,-0.37,-8.95,14.25,-16.25,33.75,56.75,68.56,-36.06,0.3845306991810593,-0.12219224520137607,0.8457624771817399,-147.84997349806363,-31.48327814398648,6.11062569758793,0.012,-0.9609,-0.2713,0.0533
40,1283053.0,1259.6421050000001,1.0,0.73,-1.48,-9.58,14.25,-16.25,33.75,50.94,60.56,-35.44,0.7443985481037967,-1.2967519903730143,0.2012345963308526,-147.03240000479886,-32.401061315113324,4.71104003397371,0.0306,-0.9589,-0.27899999999999997,0.0411
41,1283053.0,1259.6421050000001,1.0,0.73,-1.48,-9.58,14.25,-16.25,33.75,50.94,60.56,-35.44,0.7443985481037967,-1.2967519903730143,0.2012345963308526,-147.03240000479886,-32.401061315113324,4.71104003397371,0.0306,-0.9589,-0.27899999999999997,0.0411
42,1283088.0,1259.6476300000002,1.0,0.53,-1.24,-8.98,12.38,-14.38,34.19,87.81,112.0,-30.5,0.4140035354256454,-0.33973181451758006,0.7417681272528593,-145.7248595525418,-33.380796277367786,2.1773706400327653,0.0627,-0.9556,-0.2872,0.019
