,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1221294.0,1132.198271,1.0,9.59,-1.48,-8.59,-19.25,-7.5,32.06,-21.69,-54.06,3.31,-0.7256965202017533,-1.2902070328913242,-3.0679502024468643,-120.45410373713348,-34.111251783016854,-44.580659579875785,0.1288,-0.868,-0.2933,-0.3793
1,1221294.0,1132.198271,1.0,9.59,-1.48,-8.59,-19.25,-7.5,32.06,-21.69,-54.06,3.31,-0.7256965202017533,-1.2902070328913242,-3.0679502024468643,-120.45410373713348,-34.111251783016854,-44.580659579875785,0.1288,-0.868,-0.2933,-0.3793
2,1221328.0,1132.2439630000001,1.0,9.41,-2.41,-9.39,-18.87,-6.69,33.69,-24.94,-72.06,1.81,-1.539319937820521,-1.9688968587937696,-3.4704821936802386,-122.13730880568986,-34.05132504616154,-42.96290285030923,0.1187,-0.8752,-0.2928,-0.3662
3,1221328.0,1132.2439630000001,1.0,9.41,-2.41,-9.39,-18.87,-6.69,33.69,-24.94,-72.06,1.81,-1.539319937820521,-1.9688968587937696,-3.4704821936802386,-122.13730880568986,-34.05132504616154,-42.96290285030923,0.1187,-0.8752,-0.2928,-0.3662
4,1221365.0,1132.257796,1.0,10.0,-3.54,-10.43,-17.37,-7.75,34.06,-63.31,-100.81,0.06,-1.9303992173438782,-3.5100191799990883,-4.520590635157795,-125.1215196986378,-33.71591204499429,-40.37580051258581,0.0956,-0.8875,-0.29,-0.3451
5,1221365.0,1132.257796,1.0,10.0,-3.54,-10.43,-17.37,-7.75,34.06,-63.31,-100.81,0.06,-1.9303992173438782,-3.5100191799990883,-4.520590635157795,-125.1215196986378,-33.71591204499429,-40.37580051258581,0.0956,-0.8875,-0.29,-0.3451
6,1221400.0,1132.2661,1.0,8.63,-4.52,-9.36,-17.37,-7.75,34.06,-86.81,-128.81,21.94,-1.9086556577324965,-5.152586347815976,-2.5353428499617223,-129.7004663573504,-32.3533321925502,-36.769926221818416,0.0599,-0.9052,-0.2786,-0.3154
7,1221400.0,1132.2661,1.0,8.63,-4.52,-9.36,-17.37,-7.75,34.06,-86.81,-128.81,21.94,-1.9086556577324965,-5.152586347815976,-2.5353428499617223,-129.7004663573504,-32.3533321925502,-36.769926221818416,0.0599,-0.9052,-0.2786,-0.3154
8,1221437.0,1132.305989,1.0,5.65,-2.92,-7.14,-14.38,-9.69,34.5,-75.37,-119.19,46.94,-1.2777082815695366,-3.580151536197498,1.0329121121285283,-133.444524198005,-30.603201736078947,-33.96744372977673,0.0344,-0.9186,-0.2639,-0.2921
9,1221437.0,1132.305989,1.0,5.65,-2.92,-7.14,-14.38,-9.69,34.5,-75.37,-119.19,46.94,-1.2777082815695366,-3.580151536197498,1.0329121121285283,-133.444524198005,-30.603201736078947,-33.96744372977673,0.0344,-0.9186,-0.2639,-0.2921
