acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
7.96,2.07,5.38,-0.4329245231715474,0.1568608649489087,-0.0106241138405707,-54.59360979768476,1.4438918508267422,-118.88063215220504
7.96,2.07,5.38,-0.4329245231715474,0.1568608649489087,-0.0106241138405707,-54.59360979768476,1.4438918508267422,-118.88063215220504
7.72,2.18,5.71,-0.1073726326689806,0.4212567565283932,-0.0303167003011122,-54.56782105444786,1.5126525087430307,-118.88063215220504
7.72,2.18,5.71,-0.1073726326689806,0.4212567565283932,-0.0303167003011122,-54.56782105444786,1.5126525087430307,-118.88063215220504
7.99,2.22,5.29,-0.6049426201247244,0.2474490226798053,-0.0079011057577904,-54.41315136848768,1.4095117183833985,-119.0385830310132
7.99,2.22,5.29,-0.6049426201247244,0.2474490226798053,-0.0079011057577904,-54.41315136848768,1.4095117183833985,-119.0385830310132
8.23,2.15,5.29,-0.6965182593288889,0.0946713921724338,-0.1856169921257393,-54.40026707594486,1.3522117780748235,-119.10638959402516
8.23,2.15,5.29,-0.6965182593288889,0.0946713921724338,-0.1856169921257393,-54.40026707594486,1.3522117780748235,-119.10638959402516
7.93,1.9,5.49,-0.244133356344354,0.0081709977251611,-0.0206249091045691,-54.67099400962296,1.2032334798806037,-118.81305169988
7.93,1.9,5.49,-0.244133356344354,0.0081709977251611,-0.0206249091045691,-54.67099400962296,1.2032334798806037,-118.81305169988
7.63,1.62,5.76,0.2629834915365653,-0.0926277830150518,0.1143252129846086,-54.89039623695746,1.0542572154525014,-118.6107135023718
7.63,1.62,5.76,0.2629834915365653,-0.0926277830150518,0.1143252129846086,-54.89039623695746,1.0542572154525014,-118.6107135023718
7.65,1.53,5.71,0.2750906964595556,-0.2106115668119928,0.1450006647857318,-55.01955829122679,0.9052827329224428,-118.49856306250858
7.65,1.53,5.71,0.2750906964595556,-0.2106115668119928,0.1450006647857318,-55.01955829122679,0.9052827329224428,-118.49856306250858
