acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
6.94,2.98,-6.51,-0.0872996542014734,-0.1052987736946717,-0.1635752200556997,-124.33100356461244,-23.43659483600268,-48.72395587995984
6.94,2.98,-6.51,-0.0872996542014734,-0.1052987736946717,-0.1635752200556997,-124.33100356461244,-23.43659483600268,-48.72395587995984
6.98,3.14,-6.49,-0.0055287399261237,0.0186055321594589,-0.2282751749680685,-124.33100356461244,-23.41318918903326,-48.73653543441946
6.98,3.14,-6.49,-0.0055287399261237,0.0186055321594589,-0.2282751749680685,-124.33100356461244,-23.41318918903326,-48.73653543441946
6.96,3.03,-6.38,0.0403127462202557,-0.0745552897210015,-0.108979903907608,-124.35555059912924,-23.448298031292182,-48.7113769507911
6.96,3.03,-6.38,0.0403127462202557,-0.0745552897210015,-0.108979903907608,-124.35555059912924,-23.448298031292182,-48.7113769507911
7.03,3.18,-6.36,0.1465148223081941,0.0196231051195483,-0.1914022273385587,-124.35555059912924,-23.506817731301982,-48.66106748213056
7.03,3.18,-6.36,0.1465148223081941,0.0196231051195483,-0.1914022273385587,-124.35555059912924,-23.506817731301982,-48.66106748213056
6.92,3.06,-6.49,-0.0456280611964654,-0.050002407993976,-0.1615754107351659,-124.33100356461244,-23.62387580431868,-48.62334193420396
6.92,3.06,-6.49,-0.0456280611964654,-0.050002407993976,-0.1615754107351659,-124.33100356461244,-23.62387580431868,-48.62334193420396
6.73,2.92,-6.43,-0.1353161119061709,-0.0909239144064726,0.0527983304467021,-124.38010760157816,-23.694122645249475,-48.54790766181375
6.73,2.92,-6.43,-0.1353161119061709,-0.0909239144064726,0.0527983304467021,-124.38010760157816,-23.694122645249475,-48.54790766181375
6.94,2.94,-6.64,-0.165878976324229,-0.1367070632288125,-0.2357897107514155,-124.33100356461244,-23.78779915841677,-48.57304992918911
