acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
1.54,-0.73,-9.48,-0.0915817583571458,0.0648401615100146,0.175330851773646,-144.46400874868328,-33.73986021591224,-8.165828301178744
1.54,-0.73,-9.48,-0.0915817583571458,0.0648401615100146,0.175330851773646,-144.46400874868328,-33.73986021591224,-8.165828301178744
1.61,-0.6,-9.43,0.0501592030923647,0.1047379184997499,0.2221044175128704,-144.57683474921032,-33.67999263161277,-8.096899901459961
1.61,-0.6,-9.43,0.0501592030923647,0.1047379184997499,0.2221044175128704,-144.57683474921032,-33.67999263161277,-8.096899901459961
1.67,-0.68,-9.64,0.0341010758237493,0.0408261942680112,-0.0003918750247642,-144.53918747848587,-33.69196539056284,-8.096899901459961
1.67,-0.68,-9.64,0.0341010758237493,0.0408261942680112,-0.0003918750247642,-144.53918747848587,-33.69196539056284,-8.096899901459961
1.64,-0.78,-9.69,-0.0433102666122734,-0.0164200243725544,-0.0519480039560207,-144.53918747848587,-33.727885940809074,-8.050949266749551
1.64,-0.78,-9.69,-0.0433102666122734,-0.0164200243725544,-0.0519480039560207,-144.53918747848587,-33.727885940809074,-8.050949266749551
1.83,-0.75,-9.85,0.117174654196269,-0.0730662585777816,-0.2389874323519905,-144.53918747848587,-33.727885940809074,-8.027974436112627
1.83,-0.75,-9.85,0.117174654196269,-0.0730662585777816,-0.2389874323519905,-144.53918747848587,-33.727885940809074,-8.027974436112627
1.7,-0.73,-9.67,0.0818545547023421,-0.0641100980457973,-0.0381958457815923,-144.65224571956077,-33.727885940809074,-7.706360320042279
1.7,-0.73,-9.67,0.0818545547023421,-0.0641100980457973,-0.0381958457815923,-144.65224571956077,-33.727885940809074,-7.706360320042279
1.69,-0.77,-9.88,0.0344327762330437,-0.0905916176814203,-0.2459122376947657,-144.65224571956077,-33.763809904650955,-7.6374510050387485
1.69,-0.77,-9.88,0.0344327762330437,-0.0905916176814203,-0.2459122376947657,-144.65224571956077,-33.763809904650955,-7.6374510050387485
1.51,-0.7,-9.64,-0.0412151340603116,0.0164581530925936,0.0241283188627061,-144.72781275910324,-33.73986021591224,-7.557060298129735
1.51,-0.7,-9.64,-0.0412151340603116,0.0164581530925936,0.0241283188627061,-144.72781275910324,-33.73986021591224,-7.557060298129735
1.75,-0.83,-9.81,0.0726389117022115,-0.1940878157404132,-0.1905772910186396,-144.72781275910324,-33.73986021591224,-7.534092210574165
1.75,-0.83,-9.81,0.0726389117022115,-0.1940878157404132,-0.1905772910186396,-144.72781275910324,-33.73986021591224,-7.534092210574165
1.63,-0.76,-9.77,0.0517641556127773,-0.1139861787776822,-0.1267143657746388,-144.841458151918,-33.70393852830112,-7.281463046960031
1.63,-0.76,-9.77,0.0517641556127773,-0.1139861787776822,-0.1267143657746388,-144.841458151918,-33.70393852830112,-7.281463046960031
1.48,-0.73,-9.66,-0.0227003277181259,-0.0458147923042715,0.0068395069380233,-144.9554604078314,-33.644076625825655,-7.1207175606295605
1.48,-0.73,-9.66,-0.0227003277181259,-0.0458147923042715,0.0068395069380233,-144.9554604078314,-33.644076625825655,-7.1207175606295605
1.64,-0.77,-9.91,0.0779856152575023,-0.1547242121365673,-0.2661142016475129,-145.06982302382067,-33.57225481905068,-7.017388604693049
1.64,-0.77,-9.91,0.0779856152575023,-0.1547242121365673,-0.2661142016475129,-145.06982302382067,-33.57225481905068,-7.017388604693049
1.68,-0.67,-9.87,0.230037735533588,-0.1557029124247201,-0.2238554330922451,-145.29964361056955,-33.46454755353707,-6.604129057804274
1.68,-0.67,-9.87,0.230037735533588,-0.1557029124247201,-0.2238554330922451,-145.29964361056955,-33.46454755353707,-6.604129057804274
1.18,-0.83,-9.46,-0.0890145965183594,-0.1798323420077767,0.2393809680152365,-145.68599243347148,-33.3449084936511,-5.5598717686300585
1.18,-0.83,-9.46,-0.0890145965183594,-0.1798323420077767,0.2393809680152365,-145.68599243347148,-33.3449084936511,-5.5598717686300585
0.97,-0.69,-9.21,-0.1316141287622137,-0.0389484143177132,0.5210557410345391,-145.9589661948812,-33.177476600322066,-5.238658808769412
0.97,-0.69,-9.21,-0.1316141287622137,-0.0389484143177132,0.5210557410345391,-145.9589661948812,-33.177476600322066,-5.238658808769412
0.94,-0.57,-9.2,-0.1248722597267836,0.0509990924777574,0.5421853089713178,-146.15525518443252,-32.962313998592656,-5.410731896463338
0.94,-0.57,-9.2,-0.1248722597267836,0.0509990924777574,0.5421853089713178,-146.15525518443252,-32.962313998592656,-5.410731896463338
0.84,-1.01,-9.15,-0.4982978880474007,-0.2388992308120091,0.5793629462509422,-146.23408088100356,-32.795047946580326,-5.789336220308418
0.84,-1.01,-9.15,-0.4982978880474007,-0.2388992308120091,0.5793629462509422,-146.23408088100356,-32.795047946580326,-5.789336220308418
1.26,-0.88,-9.31,-0.2524384364626649,-0.3050070498712528,0.3789596394013284,-146.39227073603638,-32.44879621422149,-6.833706733841952
1.26,-0.88,-9.31,-0.2524384364626649,-0.3050070498712528,0.3789596394013284,-146.39227073603638,-32.44879621422149,-6.833706733841952
1.45,-0.47,-9.02,0.0024535665915741,-0.0814844142489939,0.6591282443415043,-146.5113892939378,-32.12669742786024,-7.786758050274272
1.45,-0.47,-9.02,0.0024535665915741,-0.0814844142489939,0.6591282443415043,-146.5113892939378,-32.12669742786024,-7.786758050274272
1.2,-0.43,-8.64,-0.3707638212713406,0.0971542485431361,1.0815370929467996,-146.5511870394875,-31.66190266420909,-9.3380846266553
