acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
7.06,3.15,-6.09,-0.0239768064206072,0.0554843268849789,-0.0346175302637696,-101.10372013014188,-54.69679474885505,-51.67242009850218
7.06,3.15,-6.09,-0.0239768064206072,0.0554843268849789,-0.0346175302637696,-101.10372013014188,-54.69679474885505,-51.67242009850218
7.27,3.13,-6.45,-0.2201958517767159,0.0890764810205226,-0.400988275692832,-101.03160716122224,-54.74840524433751,-51.68515222063561
7.27,3.13,-6.45,-0.2201958517767159,0.0890764810205226,-0.400988275692832,-101.03160716122224,-54.74840524433751,-51.68515222063561
6.91,3.04,-5.91,-0.0039617348331138,-0.0023732298394258,0.2192739944165502,-101.06765675595229,-54.8516623694969,-51.53241190190736
6.91,3.04,-5.91,-0.0039617348331138,-0.0023732298394258,0.2192739944165502,-101.06765675595229,-54.8516623694969,-51.53241190190736
7.08,3.1,-6.07,-0.0032386207055447,-0.015059171017155,-0.0209164705309543,-100.99557132660512,-55.07124433789578,-51.37976979085595
7.08,3.1,-6.07,-0.0032386207055447,-0.015059171017155,-0.0209164705309543,-100.99557132660512,-55.07124433789578,-51.37976979085595
7.04,3.03,-6.18,-0.1233464655236158,0.0196468154613564,-0.0381100098775935,-101.01358752510708,-55.110016849983474,-51.31619778683095
7.04,3.03,-6.18,-0.1233464655236158,0.0196468154613564,-0.0381100098775935,-101.01358752510708,-55.110016849983474,-51.31619778683095
7.04,3.1,-6.17,-0.0488093009649341,0.041016021443377,-0.0542036820157836,-101.0856867194038,-55.135868994465206,-51.20181083863504
7.04,3.1,-6.17,-0.0488093009649341,0.041016021443377,-0.0542036820157836,-101.0856867194038,-55.135868994465206,-51.20181083863504
6.87,3.0,-5.88,0.0340222151734875,-0.0620774412438633,0.2795156522455127,-101.04963023736497,-55.316919407310365,-51.06207881053215
6.87,3.0,-5.88,0.0340222151734875,-0.0620774412438633,0.2795156522455127,-101.04963023736497,-55.316919407310365,-51.06207881053215
7.17,3.17,-6.38,-0.0824426862156738,0.0780964733737659,-0.3002438920093571,-101.03160716122224,-55.34279598100365,-51.06207881053215
7.17,3.17,-6.38,-0.0824426862156738,0.0780964733737659,-0.3002438920093571,-101.03160716122224,-55.34279598100365,-51.06207881053215
7.11,3.03,-5.91,0.1059521451417653,-0.2021186345110692,0.0799330718415962,-101.0856867194038,-55.39455832418957,-50.92242811941736
7.11,3.03,-5.91,0.1059521451417653,-0.2021186345110692,0.0799330718415962,-101.0856867194038,-55.39455832418957,-50.92242811941736
7.81,3.0,-6.2,0.0309948577746,-0.5392979690972424,-0.5925950216022464,-100.97755856330473,-55.43338813739566,-50.99859116157064
7.81,3.0,-6.2,0.0309948577746,-0.5392979690972424,-0.5925950216022464,-100.97755856330473,-55.43338813739566,-50.99859116157064
9.75,4.44,-6.28,1.357110741026642,-0.927764413217672,-2.502371229576178,-100.58214202852676,-55.35573541687352,-51.58331440676472
9.75,4.44,-6.28,1.357110741026642,-0.927764413217672,-2.502371229576178,-100.58214202852676,-55.35573541687352,-51.58331440676472
10.07,1.55,-6.28,-0.9835969267501274,-2.8025741847302523,-1.787482784506622,-98.5412654656515,-57.73686934640835,-51.54513650446032
10.07,1.55,-6.28,-0.9835969267501274,-2.8025741847302523,-1.787482784506622,-98.5412654656515,-57.73686934640835,-51.54513650446032
11.86,-2.17,-7.72,-4.741506522190232,-5.162134264954738,-2.676834518779512,-96.54176184653711,-60.39735535491725,-51.02398420663922
11.86,-2.17,-7.72,-4.741506522190232,-5.162134264954738,-2.676834518779512,-96.54176184653711,-60.39735535491725,-51.02398420663922
10.62,-4.74,-5.1,-5.399097997603994,-7.089907066474344,0.759829641386391,-96.73131402375058,-61.70103395154207,-49.353704706731605
10.62,-4.74,-5.1,-5.399097997603994,-7.089907066474344,0.759829641386391,-96.73131402375058,-61.70103395154207,-49.353704706731605
8.44,-4.17,-3.85,-3.964016666784159,-6.4852061339861296,3.048419960620901,-100.54627658006508,-59.43183945325738,-47.33145690842096
8.44,-4.17,-3.85,-3.964016666784159,-6.4852061339861296,3.048419960620901,-100.54627658006508,-59.43183945325738,-47.33145690842096
7.44,-2.12,-1.94,-0.6910032037017393,-5.920800998936134,4.507760483934315,-106.1456894229273,-53.33343845721146,-47.0813498800656
7.44,-2.12,-1.94,-0.6910032037017393,-5.920800998936134,4.507760483934315,-106.1456894229273,-53.33343845721146,-47.0813498800656
7.44,-0.55,-0.55,1.8687311431739035,-5.398752132128172,4.977579765433776,-110.24971070475245,-47.80732155074712,-47.35648075084825
7.44,-0.55,-0.55,1.8687311431739035,-5.398752132128172,4.977579765433776,-110.24971070475245,-47.80732155074712,-47.35648075084825
5.29,-3.16,-0.31,0.3293836166222892,-5.742075584654613,7.573742833722331,-114.4070649484192,-41.32959001216843,-47.70706703894191
5.29,-3.16,-0.31,0.3293836166222892,-5.742075584654613,7.573742833722331,-114.4070649484192,-41.32959001216843,-47.70706703894191
3.96,-4.8,4.18,2.894068350383053,-6.6141016601007365,11.824576562876809,-117.80730258048688,-35.227664546585345,-48.40966960291665
3.96,-4.8,4.18,2.894068350383053,-6.6141016601007365,11.824576562876809,-117.80730258048688,-35.227664546585345,-48.40966960291665
5.76,-0.05,7.25,8.96514566502429,-2.312804579727859,9.66629979199882,-117.80730258048688,-23.2493773342699,-53.87264873756229
5.76,-0.05,7.25,8.96514566502429,-2.312804579727859,9.66629979199882,-117.80730258048688,-23.2493773342699,-53.87264873756229
7.47,4.56,9.06,11.503830384104056,3.044294312729076,5.674791019922184,-113.04448004610614,-13.841919736512358,-59.577029137074135
7.47,4.56,9.06,11.503830384104056,3.044294312729076,5.674791019922184,-113.04448004610614,-13.841919736512358,-59.577029137074135
6.55,3.61,10.56,10.976102041677954,4.7637301729697015,4.879149740252551,-102.5761026611454,-5.410731896463338,-65.7761926206296
6.55,3.61,10.56,10.976102041677954,4.7637301729697015,4.879149740252551,-102.5761026611454,-5.410731896463338,-65.7761926206296
2.88,1.82,18.98,14.772049934095008,11.829779283042416,6.1066415055362055,-89.04671926027092,2.1773706400327653,-68.4854543216403
2.88,1.82,18.98,14.772049934095008,11.829779283042416,6.1066415055362055,-89.04671926027092,2.1773706400327653,-68.4854543216403
-0.13,8.64,29.17,11.764203644539805,25.08524259691886,-2.758759522316576,-73.59662288630017,8.947229783297066,-71.95960119494845
-0.13,8.64,29.17,11.764203644539805,25.08524259691886,-2.758759522316576,-73.59662288630017,8.947229783297066,-71.95960119494845
2.26,9.66,29.13,2.876439428537255,19.85986992864417,-13.52341135078285,-49.47984477339551,13.47260676237266,-79.80752374562414
2.26,9.66,29.13,2.876439428537255,19.85986992864417,-13.52341135078285,-49.47984477339551,13.47260676237266,-79.80752374562414
4.48,11.13,27.95,-4.224150890298375,12.69168023951424,-17.510516799540454,-32.60397465615993,13.922726077012074,-89.09494687724344
4.48,11.13,27.95,-4.224150890298375,12.69168023951424,-17.510516799540454,-32.60397465615993,13.922726077012074,-89.09494687724344
8.81,11.41,19.3,-11.368828801953446,2.215606001197628,-11.315258571891189,-16.29245975343786,11.777819636455906,-106.6622162163593
8.81,11.41,19.3,-11.368828801953446,2.215606001197628,-11.315258571891189,-16.29245975343786,11.777819636455906,-106.6622162163593
8.13,7.96,12.65,-9.979156613358144,-0.3788144163921707,-3.9684700693135153,-9.476059158737444,7.982025743589274,-118.74553859011928
8.13,7.96,12.65,-9.979156613358144,-0.3788144163921707,-3.9684700693135153,-9.476059158737444,7.982025743589274,-118.74553859011928
5.33,8.21,12.16,-9.187959524372124,1.3709741389766898,-2.738485698299828,-4.997776256010228,3.5070491615651807,-123.84213593724544
5.33,8.21,12.16,-9.187959524372124,1.3709741389766898,-2.738485698299828,-4.997776256010228,3.5070491615651807,-123.84213593724544
1.77,5.71,14.34,-4.301804944520121,1.1043436490250391,-5.081180578165523,-4.860139072417077,-3.621696182670093,-119.31022017941788
1.77,5.71,14.34,-4.301804944520121,1.1043436490250391,-5.081180578165523,-4.860139072417077,-3.621696182670093,-119.31022017941788
3.72,0.02,12.32,0.7305097396008371,-4.757366510430889,-2.1288022078461246,-5.0551272004985615,-10.902639624835572,-111.68555504305652
3.72,0.02,12.32,0.7305097396008371,-4.757366510430889,-2.1288022078461246,-5.0551272004985615,-10.902639624835572,-111.68555504305652
5.59,-1.51,9.55,1.9472692497724464,-7.543559810745121,1.80455353403549,-3.4726557451993814,-16.894639006068054,-103.97938807566652
5.59,-1.51,9.55,1.9472692497724464,-7.543559810745121,1.80455353403549,-3.4726557451993814,-16.894639006068054,-103.97938807566652
6.27,0.75,9.58,-0.3602264747489472,-7.918010621916532,1.5104373292624107,-1.8908465277120163,-17.868391355752113,-102.86973660263024
6.27,0.75,9.58,-0.3602264747489472,-7.918010621916532,1.5104373292624107,-1.8908465277120163,-17.868391355752113,-102.86973660263024
6.69,2.52,9.06,-2.7074779916173908,-7.631340429205498,1.5833716891022591,-0.5500415954991054,-15.86426270309298,-104.20296893682892
6.69,2.52,9.06,-2.7074779916173908,-7.631340429205498,1.5833716891022591,-0.5500415954991054,-15.86426270309298,-104.20296893682892
3.07,3.98,10.69,-3.171724891390648,-3.5610497768449068,-1.000777339573732,-0.8709042326408071,-12.849707716341904,-106.87355122081516
3.07,3.98,10.69,-3.171724891390648,-3.5610497768449068,-1.000777339573732,-0.8709042326408071,-12.849707716341904,-106.87355122081516
2.0,5.48,10.22,-4.755377993299011,-1.1188815687484572,-0.8991093927737079,-0.4927452222969898,-9.878564278366849,-112.77489865498625
2.0,5.48,10.22,-4.755377993299011,-1.1188815687484572,-0.8991093927737079,-0.4927452222969898,-9.878564278366849,-112.77489865498625
2.03,6.58,10.3,-5.799832846405164,0.0706367031730632,-1.1416032583935358,-0.9740399810272836,-8.41859128124216,-117.6743080222204
2.03,6.58,10.3,-5.799832846405164,0.0706367031730632,-1.1416032583935358,-0.9740399810272836,-8.41859128124216,-117.6743080222204
2.93,5.93,10.12,-5.346848377358112,-0.2705727591362055,-1.0331933019834878,-3.5185137037623337,-7.557060298129735,-121.1734385573545
2.93,5.93,10.12,-5.346848377358112,-0.2705727591362055,-1.0331933019834878,-3.5185137037623337,-7.557060298129735,-121.1734385573545
0.65,3.82,10.66,-1.7819178337633248,0.7729210840086997,-1.3682263676208508,-6.627085616027942,-7.648935698119245,-120.45410373713348
0.65,3.82,10.66,-1.7819178337633248,0.7729210840086997,-1.3682263676208508,-6.627085616027942,-7.648935698119245,-120.45410373713348
-0.13,2.52,10.79,0.6028116522851137,1.043816137355742,-1.2087240736874207,-11.547444362906596,-8.579461739762628,-117.6743080222204
-0.13,2.52,10.79,0.6028116522851137,1.043816137355742,-1.2087240736874207,-11.547444362906596,-8.579461739762628,-117.6743080222204
