acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
8.5,7.17,-3.73,-1.3472771155704857,-1.078385516409282,-1.7948037473481635,-96.38693481966624,-22.65303861752037,-67.66956803559746
8.5,7.17,-3.73,-1.3472771155704857,-1.078385516409282,-1.7948037473481635,-96.38693481966624,-22.65303861752037,-67.66956803559746
8.09,7.15,-4.35,-1.5690509528494694,-0.7991682206296007,-1.6995443866118445,-99.1932272285846,-21.940584737009782,-65.38089307689471
8.09,7.15,-4.35,-1.5690509528494694,-0.7991682206296007,-1.6995443866118445,-99.1932272285846,-21.940584737009782,-65.38089307689471
6.76,7.57,-4.5,-1.6317015142805449,0.4409040135878337,-1.16584533237981,-102.61275550473172,-21.007514103633174,-62.35619623181861
6.76,7.57,-4.5,-1.6317015142805449,0.4409040135878337,-1.16584533237981,-102.61275550473172,-21.007514103633174,-62.35619623181861
5.16,8.41,-4.81,-1.8758395825220704,2.175579024022141,-0.7875881401815903,-107.56890139317557,-19.622153417094765,-58.10358051110581
5.16,8.41,-4.81,-1.8758395825220704,2.175579024022141,-0.7875881401815903,-107.56890139317557,-19.622153417094765,-58.10358051110581
6.13,7.64,-5.19,-1.1531921166524466,1.2679276973634177,-1.1452953658402318,-111.4817285033188,-18.72729753587516,-55.12294254171616
6.13,7.64,-5.19,-1.1531921166524466,1.2679276973634177,-1.1452953658402318,-111.4817285033188,-18.72729753587516,-55.12294254171616
5.73,6.48,-5.32,-0.6343955254201264,0.9843933334907272,-0.280679283923769,-117.07896160834984,-18.1816561801528,-50.795543233726846
5.73,6.48,-5.32,-0.6343955254201264,0.9843933334907272,-0.280679283923769,-117.07896160834984,-18.1816561801528,-50.795543233726846
3.72,5.4,-5.83,-1.5262793584354122,1.2283966132580868,1.2539420615427286,-122.44600053491276,-18.12363390787068,-46.19537604537457
3.72,5.4,-5.83,-1.5262793584354122,1.2283966132580868,1.2539420615427286,-122.44600053491276,-18.12363390787068,-46.19537604537457
2.56,5.47,-5.8,-1.7637511327147744,2.0300938571315066,1.8768075757721228,-126.22595924751906,-17.972797887176398,-42.96290285030923
2.56,5.47,-5.8,-1.7637511327147744,2.0300938571315066,1.8768075757721228,-126.22595924751906,-17.972797887176398,-42.96290285030923
2.25,6.08,-6.35,-1.7905374157803289,2.7310480396771903,1.3398470397518931,-129.43150224575868,-18.448619433327213,-39.98534936807032
2.25,6.08,-6.35,-1.7905374157803289,2.7310480396771903,1.3398470397518931,-129.43150224575868,-18.448619433327213,-39.98534936807032
0.6,5.6,-6.68,-2.968522472077644,2.99111159067878,2.1526624258738782,-130.46082634681812,-19.81987998842397,-38.44045190034536
0.6,5.6,-6.68,-2.968522472077644,2.99111159067878,2.1526624258738782,-130.46082634681812,-19.81987998842397,-38.44045190034536
0.91,6.1,-6.02,-1.934516414191312,3.5900455276430616,2.2140404780586533,-130.73504536519698,-21.742186134206424,-37.83422856646789
0.91,6.1,-6.02,-1.934516414191312,3.5900455276430616,2.2140404780586533,-130.73504536519698,-21.742186134206424,-37.83422856646789
2.21,4.99,-6.0,-1.2077872235913758,2.2451364310302777,2.10698686265496,-129.67350949211158,-23.57704958135869,-38.987009992065246
2.21,4.99,-6.0,-1.2077872235913758,2.2451364310302777,2.10698686265496,-129.67350949211158,-23.57704958135869,-38.987009992065246
3.37,4.71,-5.38,-0.3369087695818536,1.733633431135361,2.1016900645150223,-125.62096841990898,-26.65302123047702,-42.87671358451489
3.37,4.71,-5.38,-0.3369087695818536,1.733633431135361,2.1016900645150223,-125.62096841990898,-26.65302123047702,-42.87671358451489
7.62,4.83,-8.49,-0.6656065834196929,-0.2196027859776061,-2.5619450088318114,-121.8536919796764,-27.973794960271835,-47.2313854664036
7.62,4.83,-8.49,-0.6656065834196929,-0.2196027859776061,-2.5619450088318114,-121.8536919796764,-27.973794960271835,-47.2313854664036
7.82,3.45,-7.24,-0.6955724241801917,-0.8540498686238278,-1.3405145643465648,-118.8580978383618,-28.24548909512887,-51.34162455414572
7.82,3.45,-7.24,-0.6955724241801917,-0.8540498686238278,-1.3405145643465648,-118.8580978383618,-28.24548909512887,-51.34162455414572
5.57,1.76,-3.85,0.2269000462527907,-0.9106799288131842,2.873816637206162,-118.54340107943032,-27.39550079751796,-52.79549944688719
5.57,1.76,-3.85,0.2269000462527907,-0.9106799288131842,2.873816637206162,-118.54340107943032,-27.39550079751796,-52.79549944688719
7.04,-0.29,-3.43,0.5360534727453505,-2.926326440205352,2.5568320547193912,-118.63316578204837,-24.39709288880459,-54.78712101513374
7.04,-0.29,-3.43,0.5360534727453505,-2.926326440205352,2.5568320547193912,-118.63316578204837,-24.39709288880459,-54.78712101513374
9.92,-0.12,-5.76,0.0688582462126747,-3.1654276700612387,-1.2193976240373274,-119.24220793672814,-19.703563060929827,-56.432409277717255
9.92,-0.12,-5.76,0.0688582462126747,-3.1654276700612387,-1.2193976240373274,-119.24220793672814,-19.703563060929827,-56.432409277717255
10.03,-1.25,-3.04,2.7712689985047585,-3.7987268988724936,0.3570604805706505,-122.80407555685306,-14.604088706058509,-54.63229852978135
10.03,-1.25,-3.04,2.7712689985047585,-3.7987268988724936,0.3570604805706505,-122.80407555685306,-14.604088706058509,-54.63229852978135
8.31,-0.17,0.3,5.45140208822442,-1.3495944894287268,3.671846825764818,-128.81789729217328,-6.982946893042854,-50.42795316020507
8.31,-0.17,0.3,5.45140208822442,-1.3495944894287268,3.671846825764818,-128.81789729217328,-6.982946893042854,-50.42795316020507
12.43,0.1,-4.84,4.266478198763338,-0.8879955955582345,-2.800852829733821,-129.78141812262746,-2.7275366438036484,-49.99769103660335
12.43,0.1,-4.84,4.266478198763338,-0.8879955955582345,-2.800852829733821,-129.78141812262746,-2.7275366438036484,-49.99769103660335
9.92,-5.38,-4.72,2.904902601279644,-5.041912751808368,-0.9529901742916492,-130.3788376016962,1.3865917007687605,-49.60604885480682
9.92,-5.38,-4.72,2.904902601279644,-5.041912751808368,-0.9529901742916492,-130.3788376016962,1.3865917007687605,-49.60604885480682
23.62,-7.71,-18.93,1.1457948466559102,-4.465733189715294,-21.08732645573733,-130.10645331555745,4.321125783265932,-49.441996043237744
23.62,-7.71,-18.93,1.1457948466559102,-4.465733189715294,-21.08732645573733,-130.10645331555745,4.321125783265932,-49.441996043237744
6.36,-4.87,-1.18,3.583327401568368,-3.724837721201527,3.5741345620822185,-130.3242488651211,7.086273935339353,-48.61076799855758
6.36,-4.87,-1.18,3.583327401568368,-3.724837721201527,3.5741345620822185,-130.3242488651211,7.086273935339353,-48.61076799855758
7.87,-0.7,-6.18,0.2070710553245662,0.3175658280634312,-0.2171004718988864,-128.3424298098244,9.395572354596672,-50.630692516856975
7.87,-0.7,-6.18,0.2070710553245662,0.3175658280634312,-0.2171004718988864,-128.3424298098244,9.395572354596672,-50.630692516856975
7.34,-0.83,-5.88,-0.2965351473090184,-0.2829340280262327,0.3742104829823969,-125.64605206137207,9.22311622194562,-53.42321798982236
7.34,-0.83,-5.88,-0.2965351473090184,-0.2829340280262327,0.3742104829823969,-125.64605206137207,9.22311622194562,-53.42321798982236
7.92,1.79,-4.05,0.3088604552073124,1.7454367537196445,0.907714346902278,-120.2467396055226,7.419256300710717,-58.94424149263559
7.92,1.79,-4.05,0.3088604552073124,1.7454367537196445,0.907714346902278,-120.2467396055226,7.419256300710717,-58.94424149263559
10.24,-0.41,-4.25,1.2626753969672613,-0.8241993119525801,-1.1849170555235435,-118.0740625813446,5.422203865470181,-61.18117407576951
10.24,-0.41,-4.25,1.2626753969672613,-0.8241993119525801,-1.1849170555235435,-118.0740625813446,5.422203865470181,-61.18117407576951
10.45,-0.85,-4.5,1.1440209694275902,-1.7657225288420972,-1.4071111876055848,-117.74077335444636,3.140201723904295,-61.52759147164257
10.45,-0.85,-4.5,1.1440209694275902,-1.7657225288420972,-1.4071111876055848,-117.74077335444636,3.140201723904295,-61.52759147164257
12.36,1.12,-3.71,2.6409102938063937,-0.2236565088006368,-2.872611436934664,-118.0740625813446,1.4897322301406863,-61.03479928474157
12.36,1.12,-3.71,2.6409102938063937,-0.2236565088006368,-2.872611436934664,-118.0740625813446,1.4897322301406863,-61.03479928474157
12.42,1.16,-5.24,1.7581403732033292,-1.1537654377955435,-3.5588790857736314,-119.33290625430892,-0.8021474641450599,-59.286754689259176
12.42,1.16,-5.24,1.7581403732033292,-1.1537654377955435,-3.5588790857736314,-119.33290625430892,-0.8021474641450599,-59.286754689259176
9.19,0.45,-4.04,1.4998056421455648,-1.5070413571908745,-0.0147353087792367,-120.8475925272034,-2.1086036789736795,-57.51453883608689
9.19,0.45,-4.04,1.4998056421455648,-1.5070413571908745,-0.0147353087792367,-120.8475925272034,-2.1086036789736795,-57.51453883608689
8.9,0.57,-5.08,0.7468730244647439,-1.859470532702172,-0.2594242110983504,-122.06628574219845,-3.713416405127687,-55.83503588596936
8.9,0.57,-5.08,0.7468730244647439,-1.859470532702172,-0.2594242110983504,-122.06628574219845,-3.713416405127687,-55.83503588596936
11.33,1.04,-3.82,3.200583089030666,-2.062688976768684,-1.575110939122203,-121.87727845049912,-5.181303758795194,-55.34279598100365
11.33,1.04,-3.82,3.200583089030666,-2.062688976768684,-1.575110939122203,-121.87727845049912,-5.181303758795194,-55.34279598100365
4.15,-1.49,-1.97,1.0516801373710356,-2.6147212519383105,5.88482623250083,-125.821937957947,-5.525454047712893,-51.51968798135092
