,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,2635966.0,2595.9039329999996,1.0,6.73,6.51,4.84,-12.06,-38.25,-15.69,-0.94,-9.19,5.56,-0.9827568495262008,0.12097163802693832,-0.6870697807785221,-47.619376147320615,-30.16385952856291,-117.71861115458816,-0.1917,-0.4037,-0.2602,-0.8559
1,2635966.0,2595.9039329999996,1.0,6.73,6.51,4.84,-12.06,-38.25,-15.69,-0.94,-9.19,5.56,-0.9827568495262008,0.12097163802693832,-0.6870697807785221,-47.619376147320615,-30.16385952856291,-117.71861115458816,-0.1917,-0.4037,-0.2602,-0.8559
2,2636001.0,2595.9299300000002,1.0,7.34,6.6,3.6,-11.69,-38.69,-15.38,14.69,-40.13,10.5,-2.1719401849794453,0.2415250274249177,-0.4705062941311198,-48.598194686002294,-30.128257166842047,-116.96926663704076,-0.1907,-0.4115,-0.2599,-0.8525
3,2636001.0,2595.9299300000002,1.0,7.34,6.6,3.6,-11.69,-38.69,-15.38,14.69,-40.13,10.5,-2.1719401849794453,0.2415250274249177,-0.4705062941311198,-48.598194686002294,-30.128257166842047,-116.96926663704076,-0.1907,-0.4115,-0.2599,-0.8525
4,2636038.0,2595.940372,1.0,8.88,7.74,1.04,-12.75,-38.25,-14.88,63.69,-182.38,25.87,-4.4750269674459116,0.9820867324477548,-1.095333273266473,-53.11554927222101,-30.045196559032803,-113.16922611259191,-0.1906,-0.4471,-0.2592,-0.8347
5,2636038.0,2595.940372,1.0,8.88,7.74,1.04,-12.75,-38.25,-14.88,63.69,-182.38,25.87,-4.4750269674459116,0.9820867324477548,-1.095333273266473,-53.11554927222101,-30.045196559032803,-113.16922611259191,-0.1906,-0.4471,-0.2592,-0.8347
6,2636072.0,2596.005211,1.0,9.55,7.64,1.45,-12.75,-38.25,-14.88,129.31,-388.56,51.88,-1.6466105103391633,0.2253188388155713,-2.3963211647662064,-67.20116264131201,-30.365662677140477,-100.31347946564678,-0.1891,-0.5534,-0.2619,-0.7678
7,2636072.0,2596.005211,1.0,9.55,7.64,1.45,-12.75,-38.25,-14.88,129.31,-388.56,51.88,-1.6466105103391633,0.2253188388155713,-2.3963211647662064,-67.20116264131201,-30.365662677140477,-100.31347946564678,-0.1891,-0.5534,-0.2619,-0.7678
8,2636111.0,2596.022431,1.0,10.52,5.37,0.32,-15.06,-38.69,-11.56,127.12,-456.06,80.62,-0.2147871177061684,-2.018951688763156,-1.8332555224906315,-80.90237600189252,-29.606429021936968,-87.40278790753678,-0.1909,-0.6488,-0.2555,-0.6909
9,2636111.0,2596.022431,1.0,10.52,5.37,0.32,-15.06,-38.69,-11.56,127.12,-456.06,80.62,-0.2147871177061684,-2.018951688763156,-1.8332555224906315,-80.90237600189252,-29.606429021936968,-87.40278790753678,-0.1909,-0.6488,-0.2555,-0.6909
