acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
-2.91,0.05,-9.48,-0.239197716855462,-0.332470564355623,-0.1015914068334158,-153.71118144535646,-20.20387293870638,15.713868313956253
-2.91,0.05,-9.48,-0.239197716855462,-0.332470564355623,-0.1015914068334158,-153.71118144535646,-20.20387293870638,15.713868313956253
-2.61,0.49,-9.7,0.2277317883882372,-0.0476220648352597,-0.2476063311016894,-153.81215335885898,-20.14567756040377,15.632898017228824
-2.61,0.49,-9.7,0.2277317883882372,-0.0476220648352597,-0.2476063311016894,-153.81215335885898,-20.14567756040377,15.632898017228824
-2.45,0.24,-9.7,0.2917005390323345,-0.3201040914647781,-0.1914770329075033,-153.91350924378722,-19.971122857066124,15.667598608855752
-2.45,0.24,-9.7,0.2917005390323345,-0.3201040914647781,-0.1914770329075033,-153.91350924378722,-19.971122857066124,15.667598608855752
-2.91,0.58,-9.31,-0.0921782793347762,0.1830157088012605,0.0373814288555429,-153.96433257658236,-19.85477908376032,15.748572284340511
-2.91,0.58,-9.31,-0.0921782793347762,0.1830157088012605,0.0373814288555429,-153.96433257658236,-19.85477908376032,15.748572284340511
-3.06,0.77,-9.22,-0.1806814265595942,0.3952304199011543,0.071350973401941,-154.01525359440276,-19.69193249784897,15.806415466969176
-3.06,0.77,-9.22,-0.1806814265595942,0.3952304199011543,0.071350973401941,-154.01525359440276,-19.69193249784897,15.806415466969176
-3.24,0.72,-8.97,-0.4204207344829855,0.4324906374617808,0.2613318672961586,-154.0662728728033,-19.61052428537218,15.841123321226055
-3.24,0.72,-8.97,-0.4204207344829855,0.4324906374617808,0.2613318672961586,-154.0662728728033,-19.61052428537218,15.841123321226055
-3.05,0.35,-9.23,-0.3031775215878709,-0.0134730739372522,0.0842119381411041,-154.01525359440276,-19.598895357607173,15.887402736014533
-3.05,0.35,-9.23,-0.3031775215878709,-0.0134730739372522,0.0842119381411041,-154.01525359440276,-19.598895357607173,15.887402736014533
-2.97,0.52,-9.46,-0.1248146393225146,0.0959324700367779,-0.1209941448615321,-154.0662728728033,-19.61052428537218,15.817984589415364
-2.97,0.52,-9.46,-0.1248146393225146,0.0959324700367779,-0.1209941448615321,-154.0662728728033,-19.61052428537218,15.817984589415364
-3.02,0.43,-9.48,-0.1950803109925881,0.0294847711537651,-0.1500951669977492,-154.0662728728033,-19.645412292934687,15.817984589415364
-3.02,0.43,-9.48,-0.1950803109925881,0.0294847711537651,-0.1500951669977492,-154.0662728728033,-19.645412292934687,15.817984589415364
-2.81,0.93,-9.48,0.1515892484332723,0.4100152294655981,-0.115058936033435,-154.01525359440276,-19.73845598070809,15.73700413286234
-2.81,0.93,-9.48,0.1515892484332723,0.4100152294655981,-0.115058936033435,-154.01525359440276,-19.73845598070809,15.73700413286234
-2.61,0.74,-9.61,0.2863919916203201,0.1590060414814484,-0.1735552436765086,-153.91350924378722,-19.912948378447748,15.644464720667994
-2.61,0.74,-9.61,0.2863919916203201,0.1590060414814484,-0.1735552436765086,-153.91350924378722,-19.912948378447748,15.644464720667994
-2.5,0.05,-9.75,0.1805948965949867,-0.5192805789179173,-0.2438590997263699,-153.8627830260387,-20.05257586733213,15.632898017228824
-2.5,0.05,-9.75,0.1805948965949867,-0.5192805789179173,-0.2438590997263699,-153.8627830260387,-20.05257586733213,15.632898017228824
-2.4,0.15,-9.66,0.2838194441722388,-0.4232732038407638,-0.1350996608001633,-153.81215335885898,-20.18059415638896,15.609765091037287
-2.4,0.15,-9.66,0.2838194441722388,-0.4232732038407638,-0.1350996608001633,-153.81215335885898,-20.18059415638896,15.609765091037287
-2.53,-0.03,-9.54,0.0738989865906704,-0.5055001740919465,-0.0499421349000677,-153.81215335885898,-20.21551264575777,15.586632804931574
-2.53,-0.03,-9.54,0.0738989865906704,-0.5055001740919465,-0.0499421349000677,-153.81215335885898,-20.21551264575777,15.586632804931574
-2.6,0.09,-9.65,0.0803684727094523,-0.3629841564723178,-0.1809614967866313,-153.91350924378722,-20.134039115213792,15.563501157916
-2.6,0.09,-9.65,0.0803684727094523,-0.3629841564723178,-0.1809614967866313,-153.91350924378722,-20.134039115213792,15.563501157916
-2.87,0.49,-9.27,-0.1188884463587096,0.1430771614205177,0.0919552305693987,-154.01525359440276,-20.040939097265657,15.563501157916
-2.87,0.49,-9.27,-0.1188884463587096,0.1430771614205177,0.0919552305693987,-154.01525359440276,-20.040939097265657,15.563501157916
-3.01,0.55,-9.24,-0.2288894579824652,0.2478311537156015,0.0790403586095429,-154.0662728728033,-19.947852442498814,15.586632804931574
-3.01,0.55,-9.24,-0.2288894579824652,0.2478311537156015,0.0790403586095429,-154.0662728728033,-19.947852442498814,15.586632804931574
-3.18,0.55,-9.23,-0.3845665227923719,0.2983163551143762,0.0408466054083032,-154.0662728728033,-19.878046180611587,15.598198868035936
-3.18,0.55,-9.23,-0.3845665227923719,0.2983163551143762,0.0408466054083032,-154.0662728728033,-19.878046180611587,15.598198868035936
-2.75,0.45,-9.42,0.0079017387272351,0.0403727417082193,-0.0167764696312566,-154.16860854190614,-19.84314584545369,15.551935573755918
-2.75,0.45,-9.42,0.0079017387272351,0.0403727417082193,-0.0167764696312566,-154.16860854190614,-19.84314584545369,15.551935573755918
-2.87,0.59,-9.42,-0.0511928547197088,0.2005609952790692,-0.056339130015214,-154.11739099299157,-19.85477908376032,15.563501157916
-2.87,0.59,-9.42,-0.0511928547197088,0.2005609952790692,-0.056339130015214,-154.11739099299157,-19.85477908376032,15.563501157916
-2.81,0.71,-9.54,0.0780748611405836,0.2572902174047189,-0.1602705906380972,-154.01525359440276,-19.889680039418103,15.598198868035936
-2.81,0.71,-9.54,0.0780748611405836,0.2572902174047189,-0.1602705906380972,-154.01525359440276,-19.889680039418103,15.598198868035936
-2.82,0.35,-9.56,-0.0443213749688971,-0.0759341043189116,-0.1663520368754643,-153.91350924378722,-19.994394103683582,15.632898017228824
-2.82,0.35,-9.56,-0.0443213749688971,-0.0759341043189116,-0.1663520368754643,-153.91350924378722,-19.994394103683582,15.632898017228824
-2.76,0.2,-9.43,-0.0756745380988631,-0.209750576935826,-0.0184595698602088,-153.91350924378722,-20.075850034388896,15.621331474060083
-2.76,0.2,-9.43,-0.0756745380988631,-0.209750576935826,-0.0184595698602088,-153.91350924378722,-20.075850034388896,15.621331474060083
