,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,405878.0,256.84043199999996,1.0,4.32,2.08,-8.48,-17.56,-21.19,30.19,-0.44,-0.81,-0.37,-0.20142823630050927,-0.01068106333667429,0.06711651114608941,-149.20198320614296,4.091788128472596,-27.20682475697043,-0.1187,-0.9641,0.0357,-0.2352
1,405878.0,256.84043199999996,1.0,4.32,2.08,-8.48,-17.56,-21.19,30.19,-0.44,-0.81,-0.37,-0.20142823630050927,-0.01068106333667429,0.06711651114608941,-149.20198320614296,4.091788128472596,-27.20682475697043,-0.1187,-0.9641,0.0357,-0.2352
2,405913.0,256.883223,1.0,4.52,2.24,-8.44,-17.19,-21.19,29.25,1.81,3.38,-2.13,-0.035014380496238465,0.1532742694499507,-0.02477314171671985,-149.11579237958978,4.022990071019942,-27.265777919115557,-0.1187,-0.9639,0.0351,-0.2357
3,405913.0,256.883223,1.0,4.52,2.24,-8.44,-17.19,-21.19,29.25,1.81,3.38,-2.13,-0.035014380496238465,0.1532742694499507,-0.02477314171671985,-149.11579237958978,4.022990071019942,-27.265777919115557,-0.1187,-0.9639,0.0351,-0.2357
4,405948.0,256.892016,1.0,4.6,2.06,-8.56,-17.19,-21.19,29.25,2.44,3.75,-3.31,-0.014649471014499071,-0.04600673606045813,-0.12687247559927786,-149.0298356031949,3.862466868736162,-27.395500797517954,-0.1181,-0.9637,0.0337,-0.2368
5,405948.0,256.892016,1.0,4.6,2.06,-8.56,-17.19,-21.19,29.25,2.44,3.75,-3.31,-0.014649471014499071,-0.04600673606045813,-0.12687247559927786,-149.0298356031949,3.862466868736162,-27.395500797517954,-0.1181,-0.9637,0.0337,-0.2368
6,405983.0,256.913724,1.0,4.77,1.72,-8.71,-17.56,-21.19,29.0,3.81,3.31,-2.0,0.09486354319788426,-0.40030073222118223,-0.26341257338827084,-149.0298356031949,3.7592774051414257,-27.48986718541275,-0.1173,-0.9637,0.0328,-0.2376
7,405983.0,256.913724,1.0,4.77,1.72,-8.71,-17.56,-21.19,29.0,3.81,3.31,-2.0,0.09486354319788426,-0.40030073222118223,-0.26341257338827084,-149.0298356031949,3.7592774051414257,-27.48986718541275,-0.1173,-0.9637,0.0328,-0.2376
8,406018.0,256.968473,1.0,4.99,1.82,-8.83,-18.0,-20.87,30.25,-0.25,4.19,-0.81,0.1990583518901199,-0.3328892195206947,-0.4904836079546762,-148.90133503664836,3.701951248377608,-27.631452438914533,-0.1172,-0.9634,0.0323,-0.2388
9,406018.0,256.968473,1.0,4.99,1.82,-8.83,-18.0,-20.87,30.25,-0.25,4.19,-0.81,0.1990583518901199,-0.3328892195206947,-0.4904836079546762,-148.90133503664836,3.701951248377608,-27.631452438914533,-0.1172,-0.9634,0.0323,-0.2388
