acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
1.18,0.14,9.86,0.2568254339659845,-0.0642942056240362,-0.1211648125149551,-6.00734895779625,3.082884815106741,-86.20411602380804
1.18,0.14,9.86,0.2568254339659845,-0.0642942056240362,-0.1211648125149551,-6.00734895779625,3.082884815106741,-86.20411602380804
1.77,0.22,10.19,0.238562084116477,-0.6195292149471862,-0.5169478071527447,-6.053249123067683,3.014105541619682,-86.29831934772369
1.77,0.22,10.19,0.238562084116477,-0.6195292149471862,-0.5169478071527447,-6.053249123067683,3.014105541619682,-86.29831934772369
2.67,-0.9,9.58,1.415803399350866,-1.4719244091749464,0.0319766413623039,-6.420486066048695,3.0599582684028324,-86.64435486876549
2.67,-0.9,9.58,1.415803399350866,-1.4719244091749464,0.0319766413623039,-6.420486066048695,3.0599582684028324,-86.64435486876549
3.74,2.41,11.07,-1.9739041354920464,-2.313243910081096,-1.7299528395000312,-6.523783187455053,4.412865642375664,-87.0703867564452
3.74,2.41,11.07,-1.9739041354920464,-2.313243910081096,-1.7299528395000312,-6.523783187455053,4.412865642375664,-87.0703867564452
4.4,1.63,11.28,-1.004552617141661,-2.3333988042394447,-2.143304981495445,-8.981712713320505,5.8581800447136345,-86.51841003393099
4.4,1.63,11.28,-1.004552617141661,-2.3333988042394447,-2.143304981495445,-8.981712713320505,5.8581800447136345,-86.51841003393099
6.31,-0.05,11.4,1.1486020041219094,-3.2240368204592675,-2.765736408969863,-13.011162702254634,7.465189762811248,-85.78109393885542
6.31,-0.05,11.4,1.1486020041219094,-3.2240368204592675,-2.765736408969863,-13.011162702254634,7.465189762811248,-85.78109393885542
7.67,1.14,12.11,0.4981695574200176,-2.4948598367094363,-4.346374464305642,-19.55238168351347,11.985198208002226,-83.41068938154757
7.67,1.14,12.11,0.4981695574200176,-2.4948598367094363,-4.346374464305642,-19.55238168351347,11.985198208002226,-83.41068938154757
9.45,3.23,14.59,-0.5768664287993641,0.0029041841584545,-7.864533228325111,-28.682903338517608,17.92639313237552,-79.97193860180572
9.45,3.23,14.59,-0.5768664287993641,0.0029041841584545,-7.864533228325111,-28.682903338517608,17.92639313237552,-79.97193860180572
9.4,4.36,14.95,-1.0999107693884569,3.030659147901625,-8.095232622468048,-36.43197725116238,22.53618284114898,-77.0271439519232
9.4,4.36,14.95,-1.0999107693884569,3.030659147901625,-8.095232622468048,-36.43197725116238,22.53618284114898,-77.0271439519232
8.31,2.57,9.92,0.8674076053014776,2.889469012383254,-3.03725800623946,-46.80650649596007,26.158669228245632,-72.10127150439342
8.31,2.57,9.92,0.8674076053014776,2.889469012383254,-3.03725800623946,-46.80650649596007,26.158669228245632,-72.10127150439342
7.88,5.4,8.89,-1.2996795350903465,3.864553003868707,-2.5894204735959256,-54.20709186156805,27.548855827733,-68.62413121482328
7.88,5.4,8.89,-1.2996795350903465,3.864553003868707,-2.5894204735959256,-54.20709186156805,27.548855827733,-68.62413121482328
5.19,8.69,7.37,-4.216438779521818,5.406706824315023,-0.6699078953418596,-64.5657923959142,28.75387544145841,-58.74690084345127
5.19,8.69,7.37,-4.216438779521818,5.406706824315023,-0.6699078953418596,-64.5657923959142,28.75387544145841,-58.74690084345127
1.27,12.58,4.75,-8.979716873240324,5.367028804312773,1.2631444729859247,-72.17215447551501,27.99741414521811,-53.10273871771935
1.27,12.58,4.75,-8.979716873240324,5.367028804312773,1.2631444729859247,-72.17215447551501,27.99741414521811,-53.10273871771935
4.23,6.88,0.48,-3.000936681491538,1.4260655367591433,2.429766096986043,-82.96633660527758,22.51281453874211,-54.69679474885505
4.23,6.88,0.48,-3.000936681491538,1.4260655367591433,2.429766096986043,-82.96633660527758,22.51281453874211,-54.69679474885505
