,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1690034.0,1660.896501,1.0,-1.31,1.31,-9.52,12.56,-21.69,33.38,0.31,-1.06,-0.19,-0.0554022310052823,-0.1489795690100476,0.10936503559799604,-155.70003388404493,-21.21732993545333,6.04177399090254,-0.0873,-0.9776,-0.1841,0.0527
1,1690034.0,1660.896501,1.0,-1.31,1.31,-9.52,12.56,-21.69,33.38,0.31,-1.06,-0.19,-0.0554022310052823,-0.1489795690100476,0.10936503559799604,-155.70003388404493,-21.21732993545333,6.04177399090254,-0.0873,-0.9776,-0.1841,0.0527
2,1690071.0,1660.952855,1.0,-1.3,1.4,-9.55,12.56,-21.69,33.38,-0.94,1.19,-0.12,-0.015159464499508557,-0.07864768736652461,0.06775454251058123,-155.70003388404493,-21.22898847391229,6.01882390838285,-0.0875,-0.9776,-0.1842,0.0525
3,1690071.0,1660.952855,1.0,-1.3,1.4,-9.55,12.56,-21.69,33.38,-0.94,1.19,-0.12,-0.015159464499508557,-0.07864768736652461,0.06775454251058123,-155.70003388404493,-21.22898847391229,6.01882390838285,-0.0875,-0.9776,-0.1842,0.0525
4,1690105.0,1660.974551,1.0,-1.37,1.35,-9.57,12.25,-21.69,32.5,-2.06,0.19,0.88,-0.10012525292951374,-0.10938120624572177,0.04640867688477535,-155.6456486519571,-21.21732993545333,6.00734895779625,-0.0878,-0.9775,-0.1841,0.0524
5,1690105.0,1660.974551,1.0,-1.37,1.35,-9.57,12.25,-21.69,32.5,-2.06,0.19,0.88,-0.10012525292951374,-0.10938120624572177,0.04640867688477535,-155.6456486519571,-21.21732993545333,6.00734895779625,-0.0878,-0.9775,-0.1841,0.0524
6,1690140.0,1661.034803,1.0,-1.22,1.42,-9.45,13.0,-22.75,32.56,1.63,0.88,0.0,0.05244097434247474,-0.07402592976748401,0.1734226017740017,-155.70003388404493,-21.21732993545333,5.984399237389443,-0.0878,-0.9776,-0.1841,0.0522
7,1690140.0,1661.034803,1.0,-1.22,1.42,-9.45,13.0,-22.75,32.56,1.63,0.88,0.0,0.05244097434247474,-0.07402592976748401,0.1734226017740017,-155.70003388404493,-21.21732993545333,5.984399237389443,-0.0878,-0.9776,-0.1841,0.0522
8,1690177.0,1661.0515619999999,1.0,-1.24,1.55,-9.57,13.0,-22.75,32.56,0.06,0.75,-0.37,0.08834718565315172,0.029625997864717982,0.03340503862520805,-155.70003388404493,-21.21732993545333,5.97292446733722,-0.0878,-0.9776,-0.1841,0.0521
9,1690177.0,1661.0515619999999,1.0,-1.24,1.55,-9.57,13.0,-22.75,32.56,0.06,0.75,-0.37,0.08834718565315172,0.029625997864717982,0.03340503862520805,-155.70003388404493,-21.21732993545333,5.97292446733722,-0.0878,-0.9776,-0.1841,0.0521
10,1690210.0,1661.054576,1.0,-1.39,1.36,-9.51,11.88,-22.5,33.0,1.88,1.37,-0.88,-0.12548487788098045,-0.07419557982597491,0.10095329335613457,-155.70003388404493,-21.24064723466595,5.961449757231111,-0.0875,-0.9776,-0.1843,0.052000000000000005
11,1690210.0,1661.054576,1.0,-1.39,1.36,-9.51,11.88,-22.5,33.0,1.88,1.37,-0.88,-0.12548487788098045,-0.07419557982597491,0.10095329335613457,-155.70003388404493,-21.24064723466595,5.961449757231111,-0.0875,-0.9776,-0.1843,0.052000000000000005
