,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1519480.0,1440.854297,1.0,0.39,2.47,-9.46,-2.75,-15.5,35.38,0.12,-1.69,-0.44,-0.1369264984172214,0.2463730323031137,0.025793623230891072,-165.86324083896642,4.447268815934101,-2.4868320276357756,-0.1152,-0.9924,0.0388,-0.0217
1,1519480.0,1440.854297,1.0,0.39,2.47,-9.46,-2.75,-15.5,35.38,0.12,-1.69,-0.44,-0.1369264984172214,0.2463730323031137,0.025793623230891072,-165.86324083896642,4.447268815934101,-2.4868320276357756,-0.1152,-0.9924,0.0388,-0.0217
2,1519517.0,1440.884047,1.0,0.51,2.15,-9.76,-1.69,-15.19,35.0,0.81,-2.13,-0.94,0.0036816353886461382,-0.11314165987305368,-0.1997172434286565,-165.95667115359868,4.2523227104813985,-2.47537018520181,-0.1146,-0.9925,0.0371,-0.0216
3,1519517.0,1440.884047,1.0,0.51,2.15,-9.76,-1.69,-15.19,35.0,0.81,-2.13,-0.94,0.0036816353886461382,-0.11314165987305368,-0.1997172434286565,-165.95667115359868,4.2523227104813985,-2.47537018520181,-0.1146,-0.9925,0.0371,-0.0216
4,1519550.0,1440.930686,1.0,0.13,2.29,-9.22,-1.69,-15.19,35.0,1.44,-2.19,-1.81,-0.3497986237418259,0.12503697563359184,0.3128938056608597,-166.05072408085044,4.2179217507646545,-2.372214704126748,-0.1144,-0.9926,0.0368,-0.0207
5,1519550.0,1440.930686,1.0,0.13,2.29,-9.22,-1.69,-15.19,35.0,1.44,-2.19,-1.81,-0.3497986237418259,0.12503697563359184,0.3128938056608597,-166.05072408085044,4.2179217507646545,-2.372214704126748,-0.1144,-0.9926,0.0368,-0.0207
6,1519589.0,1440.94939,1.0,0.66,2.47,-9.73,-2.06,-15.19,33.69,1.19,6.19,-2.69,0.1306397779754003,0.21177516496154514,-0.2505605739074657,-165.95667115359868,4.103254614165427,-2.4868320276357756,-0.1147,-0.9925,0.0358,-0.0217
7,1519589.0,1440.94939,1.0,0.66,2.47,-9.73,-2.06,-15.19,33.69,1.19,6.19,-2.69,0.1306397779754003,0.21177516496154514,-0.2505605739074657,-165.95667115359868,4.103254614165427,-2.4868320276357756,-0.1147,-0.9925,0.0358,-0.0217
8,1519624.0,1440.9954699999998,1.0,0.7,1.88,-9.71,-1.25,-14.75,35.38,5.44,-0.12,-2.56,0.19889476152951344,-0.3285964142668839,-0.10097157484666576,-166.14541230093116,3.851001219583861,-2.6014518395409367,-0.1133,-0.9927,0.0336,-0.0227
9,1519624.0,1440.9954699999998,1.0,0.7,1.88,-9.71,-1.25,-14.75,35.38,5.44,-0.12,-2.56,0.19889476152951344,-0.3285964142668839,-0.10097157484666576,-166.14541230093116,3.851001219583861,-2.6014518395409367,-0.1133,-0.9927,0.0336,-0.0227
10,1519659.0,1441.050467,1.0,0.39,2.05,-9.5,-1.25,-14.75,35.38,0.44,1.69,-3.63,-0.09915483787277013,-0.1404069154304427,0.0816793462537504,-166.14541230093116,3.7592774051414257,-2.521217704700676,-0.1136,-0.9927,0.0328,-0.022000000000000002
11,1519659.0,1441.050467,1.0,0.39,2.05,-9.5,-1.25,-14.75,35.38,0.44,1.69,-3.63,-0.09915483787277013,-0.1404069154304427,0.0816793462537504,-166.14541230093116,3.7592774051414257,-2.521217704700676,-0.1136,-0.9927,0.0328,-0.022000000000000002
