,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,3468517.0,2191.18548,1.0,6.88,1.93,6.57,-6.5,35.06,-46.19,-1.06,0.69,-0.19,0.034724307894439144,-0.0525484199237497,0.09993928596279213,-24.24470448957822,39.6684640703974,-29.57087281914313,-0.8807,-0.21,0.3393,-0.2552
1,3468517.0,2191.18548,1.0,6.88,1.93,6.57,-6.5,35.06,-46.19,-1.06,0.69,-0.19,0.034724307894439144,-0.0525484199237497,0.09993928596279213,-24.24470448957822,39.6684640703974,-29.57087281914313,-0.8807,-0.21,0.3393,-0.2552
2,3468552.0,2191.215425,1.0,6.8,1.93,6.66,-6.06,35.75,-46.06,0.19,-1.25,0.12,-0.06244934920998446,0.02350860281240863,0.09500506083664996,-24.25642512530879,39.68064610609173,-29.57087281914313,-0.8806,-0.2101,0.3394,-0.2552
3,3468552.0,2191.215425,1.0,6.8,1.93,6.66,-6.06,35.75,-46.06,0.19,-1.25,0.12,-0.06244934920998446,0.02350860281240863,0.09500506083664996,-24.25642512530879,39.68064610609173,-29.57087281914313,-0.8806,-0.2101,0.3394,-0.2552
4,3468589.0,2191.313513,1.0,6.86,1.88,6.59,-6.06,35.75,-46.06,-1.5,0.37,0.37,0.04042480083467282,0.004692365564565204,0.11023603311601173,-24.24470448957822,39.68064610609173,-29.55902139879445,-0.8807,-0.21,0.3394,-0.2551
5,3468589.0,2191.313513,1.0,6.86,1.88,6.59,-6.06,35.75,-46.06,-1.5,0.37,0.37,0.04042480083467282,0.004692365564565204,0.11023603311601173,-24.24470448957822,39.68064610609173,-29.55902139879445,-0.8807,-0.21,0.3394,-0.2551
6,3468623.0,2191.354703,1.0,6.83,1.92,6.51,-6.5,35.06,-46.5,-0.81,1.44,-0.25,0.037709200283288835,-0.06679016807111847,0.17807185524451266,-24.20954412674289,39.6684640703974,-29.55902139879445,-0.8808,-0.2097,0.3393,-0.2551
7,3468623.0,2191.354703,1.0,6.83,1.92,6.51,-6.5,35.06,-46.5,-0.81,1.44,-0.25,0.037709200283288835,-0.06679016807111847,0.17807185524451266,-24.20954412674289,39.6684640703974,-29.55902139879445,-0.8808,-0.2097,0.3393,-0.2551
8,3468660.0,2191.361791,1.0,6.96,1.9,6.5,-5.69,35.75,-45.69,-0.12,0.63,-0.06,0.1411853349849499,-0.09960236035898228,0.09728616548457404,-24.197824520118107,39.644101400128214,-29.55902139879445,-0.8809,-0.2096,0.3391,-0.2551
9,3468660.0,2191.361791,1.0,6.96,1.9,6.5,-5.69,35.75,-45.69,-0.12,0.63,-0.06,0.1411853349849499,-0.09960236035898228,0.09728616548457404,-24.197824520118107,39.644101400128214,-29.55902139879445,-0.8809,-0.2096,0.3391,-0.2551
