acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
0.35,-2.15,-9.15,-0.0211940565710707,-0.1302849536602255,0.4018599096887953,-122.06628574219845,56.10754388870858,-8.636919564056372
0.35,-2.15,-9.15,-0.0211940565710707,-0.1302849536602255,0.4018599096887953,-122.06628574219845,56.10754388870858,-8.636919564056372
0.75,-2.14,-10.16,-0.0464085290872297,0.2410889562518863,-0.6004352001701889,-122.06628574219845,56.10754388870858,-8.866772764864926
0.75,-2.14,-10.16,-0.0464085290872297,0.2410889562518863,-0.6004352001701889,-122.06628574219845,56.10754388870858,-8.866772764864926
0.8,-1.77,-10.1,-0.3045451378396028,0.49923138893693,-0.4617929335376072,-122.01898118079964,56.15948929286995,-8.809306149715164
0.8,-1.77,-10.1,-0.3045451378396028,0.49923138893693,-0.4617929335376072,-122.01898118079964,56.15948929286995,-8.809306149715164
0.16,-2.14,-9.56,-0.2268661382564245,-0.2411051075694565,0.0143468959076553,-122.13730880568986,56.04262977353804,-8.636919564056372
0.16,-2.14,-9.56,-0.2268661382564245,-0.2411051075694565,0.0143468959076553,-122.13730880568986,56.04262977353804,-8.636919564056372
1.03,-2.5,-10.36,0.3482488746301154,0.3112131819002308,-0.890189209632462,-122.23213029596668,55.93880786648987,-8.843785851491393
1.03,-2.5,-10.36,0.3482488746301154,0.3112131819002308,-0.890189209632462,-122.23213029596668,55.93880786648987,-8.843785851491393
0.71,-2.41,-9.78,0.2285494168084666,0.0529861537588829,-0.2881782616192332,-122.27959441275604,55.89988753147071,-8.809306149715164
0.71,-2.41,-9.78,0.2285494168084666,0.0529861537588829,-0.2881782616192332,-122.27959441275604,55.89988753147071,-8.809306149715164
0.91,-3.01,-9.9,0.798475828299143,-0.0839043499635836,-0.5496812235404711,-122.44600053491276,55.71835189030318,-8.740349140335567
0.91,-3.01,-9.9,0.798475828299143,-0.0839043499635836,-0.5496812235404711,-122.44600053491276,55.71835189030318,-8.740349140335567
0.84,-2.44,-10.11,0.2843034263068948,0.2126340496889003,-0.6214494588037489,-122.3270942285192,55.8609742090792,-8.544988083393589
