,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,3793752.0,2517.094874,1.0,9.48,1.87,1.63,-26.0,-18.25,-32.5,-5.06,-1.25,-3.06,-0.10355333544609202,-0.04491881213501303,0.008106281312286967,-69.77961983723269,33.9794256257345,-74.57286253577672,-0.4695,-0.5720000000000001,0.2922,-0.6058
1,3793752.0,2517.094874,1.0,9.48,1.87,1.63,-26.0,-18.25,-32.5,-5.06,-1.25,-3.06,-0.10355333544609202,-0.04491881213501303,0.008106281312286967,-69.77961983723269,33.9794256257345,-74.57286253577672,-0.4695,-0.5720000000000001,0.2922,-0.6058
2,3793786.0,2517.156923,1.0,9.53,1.83,1.45,-26.0,-18.25,-32.5,4.56,-2.38,0.25,-0.1284520543503984,-0.22309235180030984,-0.001817253975076483,-69.86346279099202,33.96744372977673,-74.5296601704127,-0.4692,-0.5726,0.2921,-0.6055
3,3793786.0,2517.156923,1.0,9.53,1.83,1.45,-26.0,-18.25,-32.5,4.56,-2.38,0.25,-0.1284520543503984,-0.22309235180030984,-0.001817253975076483,-69.86346279099202,33.96744372977673,-74.5296601704127,-0.4692,-0.5726,0.2921,-0.6055
4,3793823.0,2517.21162,1.0,8.82,1.73,1.73,-24.87,-18.25,-33.69,0.37,-0.69,1.25,0.022454024475202502,0.17448952564808562,0.6552976834172775,-70.0172862891219,33.9794256257345,-74.47207628489997,-0.4684,-0.5737,0.2922,-0.6051
5,3793823.0,2517.21162,1.0,8.82,1.73,1.73,-24.87,-18.25,-33.69,0.37,-0.69,1.25,0.022454024475202502,0.17448952564808562,0.6552976834172775,-70.0172862891219,33.9794256257345,-74.47207628489997,-0.4684,-0.5737,0.2922,-0.6051
6,3793858.0,2517.234056,1.0,9.51,1.87,1.5,-26.69,-18.69,-33.25,1.69,3.25,-0.12,-0.14070245164515582,-0.15206175879975947,0.0013412317045418118,-69.93336466039091,33.919519970596944,-74.54405958152292,-0.4686,-0.5731,0.2917,-0.6056
7,3793858.0,2517.234056,1.0,9.51,1.87,1.5,-26.69,-18.69,-33.25,1.69,3.25,-0.12,-0.14070245164515582,-0.15206175879975947,0.0013412317045418118,-69.93336466039091,33.919519970596944,-74.54405958152292,-0.4686,-0.5731,0.2917,-0.6056
8,3793893.0,2517.23758,1.0,9.62,1.79,1.47,-26.69,-18.69,-33.25,-0.56,-4.0,-0.63,-0.0653185603922104,-0.2270286753945958,-0.08544742502654934,-70.0032963629689,33.919519970596944,-74.5296601704127,-0.4683,-0.5736,0.2917,-0.6055
9,3793893.0,2517.23758,1.0,9.62,1.79,1.47,-26.69,-18.69,-33.25,-0.56,-4.0,-0.63,-0.0653185603922104,-0.2270286753945958,-0.08544742502654934,-70.0032963629689,33.919519970596944,-74.5296601704127,-0.4683,-0.5736,0.2917,-0.6055
10,3793928.0,2517.2785489999997,1.0,9.31,1.84,1.6,-25.56,-17.19,-32.88,-1.81,-1.94,-2.63,-0.07487537062237615,-0.009150423012130648,0.1829287889178275,-70.05926324812907,33.9794256257345,-74.41451438386142,-0.4686,-0.574,0.2922,-0.6047
11,3793928.0,2517.2785489999997,1.0,9.31,1.84,1.6,-25.56,-17.19,-32.88,-1.81,-1.94,-2.63,-0.07487537062237615,-0.009150423012130648,0.1829287889178275,-70.05926324812907,33.9794256257345,-74.41451438386142,-0.4686,-0.574,0.2922,-0.6047
12,3793965.0,2517.296595,1.0,9.3,1.69,1.58,-25.56,-17.87,-32.5,2.56,2.56,-1.37,0.04984419016350339,-0.09557309019982396,0.2238069280752253,-70.0172862891219,33.919519970596944,-74.4576837501471,-0.4688,-0.5737,0.2917,-0.605
13,3793965.0,2517.296595,1.0,9.3,1.69,1.58,-25.56,-17.87,-32.5,2.56,2.56,-1.37,0.04984419016350339,-0.09557309019982396,0.2238069280752253,-70.0172862891219,33.919519970596944,-74.4576837501471,-0.4688,-0.5737,0.2917,-0.605
14,3793999.0,2517.299823,1.0,9.37,2.18,1.66,-25.56,-17.87,-32.5,-3.75,-0.44,1.19,-0.35674099781819457,0.1488762656823872,0.05188338475019272,-69.98930763271481,33.919519970596944,-74.48647019368201,-0.4687,-0.5735,0.2917,-0.6052
15,3793999.0,2517.299823,1.0,9.37,2.18,1.66,-25.56,-17.87,-32.5,-3.75,-0.44,1.19,-0.35674099781819457,0.1488762656823872,0.05188338475019272,-69.98930763271481,33.919519970596944,-74.48647019368201,-0.4687,-0.5735,0.2917,-0.6052
16,3794032.0,2517.445265,1.0,9.24,1.61,1.48,-26.0,-17.19,-32.06,4.06,0.12,1.75,0.07527208353198245,-0.1951686639830883,0.3136871692479577,-70.08725387641728,33.871602322817786,-74.50086547711395,-0.46799999999999997,-0.5742,0.2913,-0.6053
17,3794032.0,2517.445265,1.0,9.24,1.61,1.48,-26.0,-17.19,-32.06,4.06,0.12,1.75,0.07527208353198245,-0.1951686639830883,0.3136871692479577,-70.08725387641728,33.871602322817786,-74.50086547711395,-0.46799999999999997,-0.5742,0.2913,-0.6053
18,3794067.0,2517.487528,1.0,9.28,1.81,1.61,-26.37,-17.56,-34.06,0.0,1.19,-0.31,-0.05245388692716002,-0.01922310900648561,0.21584820547696104,-70.0172862891219,33.871602322817786,-74.5296601704127,-0.4683,-0.5737,0.2913,-0.6055
19,3794067.0,2517.487528,1.0,9.28,1.81,1.61,-26.37,-17.56,-34.06,0.0,1.19,-0.31,-0.05245388692716002,-0.01922310900648561,0.21584820547696104,-70.0172862891219,33.871602322817786,-74.5296601704127,-0.4683,-0.5737,0.2913,-0.6055
20,3794104.0,2517.507307,1.0,9.6,1.94,1.56,-25.56,-18.69,-33.25,-0.44,-1.5,0.75,-0.1563788415306755,-0.08339937559330024,-0.10928617375950188,-70.05926324812907,33.85962386452365,-74.5296601704127,-0.4681,-0.574,0.2912,-0.6055
21,3794104.0,2517.507307,1.0,9.6,1.94,1.56,-25.56,-18.69,-33.25,-0.44,-1.5,0.75,-0.1563788415306755,-0.08339937559330024,-0.10928617375950188,-70.05926324812907,33.85962386452365,-74.5296601704127,-0.4681,-0.574,0.2912,-0.6055
22,3794139.0,2517.510767,1.0,9.26,1.86,1.47,-25.56,-18.69,-33.25,2.06,-4.69,1.81,-0.14861173679660844,-0.08574583494176613,0.2495237476437797,-70.21327111376787,33.90753998612701,-74.47207628489997,-0.4669,-0.5751,0.2916,-0.6051
23,3794139.0,2517.510767,1.0,9.26,1.86,1.47,-25.56,-18.69,-33.25,2.06,-4.69,1.81,-0.14861173679660844,-0.08574583494176613,0.2495237476437797,-70.21327111376787,33.90753998612701,-74.47207628489997,-0.4669,-0.5751,0.2916,-0.6051
24,3794176.0,2517.5529100000003,1.0,9.53,1.93,1.24,-24.87,-18.25,-33.69,2.81,3.81,-0.19,-0.28394680931394745,-0.32880594285874354,0.014068069711074216,-70.21327111376787,33.85962386452365,-74.515262135817,-0.4667,-0.5751,0.2912,-0.6054
25,3794176.0,2517.5529100000003,1.0,9.53,1.93,1.24,-24.87,-18.25,-33.69,2.81,3.81,-0.19,-0.28394680931394745,-0.32880594285874354,0.014068069711074216,-70.21327111376787,33.85962386452365,-74.515262135817,-0.4667,-0.5751,0.2912,-0.6054
26,3794212.0,2517.569289,1.0,9.67,2.14,1.36,-26.0,-18.25,-33.25,1.5,-0.06,1.56,-0.4088333475268662,-0.16936598184766316,-0.1804552091255545,-70.25529850674774,33.811713840931375,-74.57286253577672,-0.4662,-0.5754,0.2908,-0.6058
27,3794212.0,2517.569289,1.0,9.67,2.14,1.36,-26.0,-18.25,-33.25,1.5,-0.06,1.56,-0.4088333475268662,-0.16936598184766316,-0.1804552091255545,-70.25529850674774,33.811713840931375,-74.57286253577672,-0.4662,-0.5754,0.2908,-0.6058
28,3794245.0,2517.572349,1.0,9.22,1.86,1.59,-26.0,-18.25,-33.25,4.25,-3.63,-1.25,-0.08590385579759552,0.049550403148677535,0.26797790766413954,-70.45156998938438,33.775785318620265,-74.5296601704127,-0.4652,-0.5768,0.2905,-0.6055
29,3794245.0,2517.572349,1.0,9.22,1.86,1.59,-26.0,-18.25,-33.25,4.25,-3.63,-1.25,-0.08590385579759552,0.049550403148677535,0.26797790766413954,-70.45156998938438,33.775785318620265,-74.5296601704127,-0.4652,-0.5768,0.2905,-0.6055
30,3794280.0,2517.611319,1.0,9.26,2.17,1.22,-25.19,-17.87,-34.06,1.37,-0.75,0.75,-0.5079958512735279,-0.15584164231296116,0.2325937228722061,-70.54979476235701,33.727885940809074,-74.50086547711395,-0.4647,-0.5775,0.2901,-0.6053
31,3794280.0,2517.611319,1.0,9.26,2.17,1.22,-25.19,-17.87,-34.06,1.37,-0.75,0.75,-0.5079958512735279,-0.15584164231296116,0.2325937228722061,-70.54979476235701,33.727885940809074,-74.50086547711395,-0.4647,-0.5775,0.2901,-0.6053
32,3794317.0,2517.671721,1.0,9.41,2.68,1.14,-26.69,-18.25,-32.88,15.94,-16.37,1.56,-0.9537841801634162,-0.010188166563305012,0.002554328346642265,-70.8870189593387,33.71591204499429,-74.35697442762857,-0.4631,-0.5799,0.29,-0.6043
33,3794317.0,2517.671721,1.0,9.41,2.68,1.14,-26.69,-18.25,-32.88,15.94,-16.37,1.56,-0.9537841801634162,-0.010188166563305012,0.002554328346642265,-70.8870189593387,33.71591204499429,-74.35697442762857,-0.4631,-0.5799,0.29,-0.6043
34,3794352.0,2517.688203,1.0,10.97,2.77,0.19,-26.69,-18.25,-32.88,44.56,-24.69,14.5,-1.2308997692236574,-0.8571957092691114,-1.4094099710475785,-72.51283902222842,33.51241368583526,-74.37135736152693,-0.4492,-0.5914,0.2883,-0.6044
35,3794352.0,2517.688203,1.0,10.97,2.77,0.19,-26.69,-18.25,-32.88,44.56,-24.69,14.5,-1.2308997692236574,-0.8571957092691114,-1.4094099710475785,-72.51283902222842,33.51241368583526,-74.37135736152693,-0.4492,-0.5914,0.2883,-0.6044
36,3794386.0,2517.69125,1.0,10.34,1.49,-0.99,-26.69,-18.69,-32.5,87.69,-197.0,27.81,-0.5215286110765938,-1.6793801236154189,-0.5385658173831249,-75.93290816428274,34.17118813606689,-72.93974254153213,-0.4265,-0.6152,0.2938,-0.5944
37,3794386.0,2517.69125,1.0,10.34,1.49,-0.99,-26.69,-18.69,-32.5,87.69,-197.0,27.81,-0.5215286110765938,-1.6793801236154189,-0.5385658173831249,-75.93290816428274,34.17118813606689,-72.93974254153213,-0.4265,-0.6152,0.2938,-0.5944
38,3794423.0,2517.731998,1.0,3.88,0.18,3.15,-27.87,-19.06,-30.06,-1.88,-19.62,-6.31,2.004328598910129,2.5315988457665863,5.9878839490740905,-80.0766693058582,35.26373479080068,-70.35340463071275,-0.4031,-0.6433,0.3029,-0.5761
39,3794423.0,2517.731998,1.0,3.88,0.18,3.15,-27.87,-19.06,-30.06,-1.88,-19.62,-6.31,2.004328598910129,2.5315988457665863,5.9878839490740905,-80.0766693058582,35.26373479080068,-70.35340463071275,-0.4031,-0.6433,0.3029,-0.5761
40,3794458.0,2517.7603719999997,1.0,7.45,1.11,-2.9,-31.5,-20.19,-26.5,-3.63,29.5,-24.56,-1.2341158296764132,-2.6568024780834527,2.285815025650958,-79.53890578335522,34.8191192303352,-70.54979476235701,-0.4097,-0.6397,0.2992,-0.5775
41,3794458.0,2517.7603719999997,1.0,7.45,1.11,-2.9,-31.5,-20.19,-26.5,-3.63,29.5,-24.56,-1.2341158296764132,-2.6568024780834527,2.285815025650958,-79.53890578335522,34.8191192303352,-70.54979476235701,-0.4097,-0.6397,0.2992,-0.5775
42,3794493.0,2517.794487,1.0,4.9,-2.3,-4.3,-31.5,-20.19,-26.5,3.5,23.81,-42.38,0.5835166741044548,-5.431773937807296,5.570455932254809,-79.59855330327525,32.890619725136126,-70.91515282684179,-0.4167,-0.6401,0.2831,-0.5801
43,3794493.0,2517.794487,1.0,4.9,-2.3,-4.3,-31.5,-20.19,-26.5,3.5,23.81,-42.38,0.5835166741044548,-5.431773937807296,5.570455932254809,-79.59855330327525,32.890619725136126,-70.91515282684179,-0.4167,-0.6401,0.2831,-0.5801
44,3794528.0,2517.81086,1.0,3.95,-1.5,-5.06,-30.75,-20.87,-27.37,-9.31,-41.5,-31.0,-0.5337538330689497,-5.591273695034221,6.355727614187397,-80.16650253253808,32.60397465615993,-69.93336466039091,-0.4222,-0.6439,0.2807,-0.5731
