,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1437425.0,1399.881459,1.0,4.43,2.13,-8.7,-7.75,-28.0,36.06,0.69,-0.81,2.25,-0.10710183267636957,-0.2832876236908013,-0.18134666197886595,-137.81479293008655,-28.93135507220408,-29.09706672256259,-0.0627,-0.9329999999999999,-0.2498,-0.2512
1,1437425.0,1399.881459,1.0,4.43,2.13,-8.7,-7.75,-28.0,36.06,0.69,-0.81,2.25,-0.10710183267636957,-0.2832876236908013,-0.18134666197886595,-137.81479293008655,-28.93135507220408,-29.09706672256259,-0.0627,-0.9329999999999999,-0.2498,-0.2512
2,1437462.0,1399.8847039999998,1.0,4.45,2.25,-8.81,-8.88,-28.0,36.88,1.37,-3.56,1.94,-0.08359671615064787,-0.18493459933758527,-0.3146103357001291,-137.94234469461358,-28.848522447292034,-29.037876869982465,-0.0626,-0.9334,-0.2491,-0.2507
3,1437462.0,1399.8847039999998,1.0,4.45,2.25,-8.81,-8.88,-28.0,36.88,1.37,-3.56,1.94,-0.08359671615064787,-0.18493459933758527,-0.3146103357001291,-137.94234469461358,-28.848522447292034,-29.037876869982465,-0.0626,-0.9334,-0.2491,-0.2507
4,1437497.0,1399.942376,1.0,4.16,2.57,-8.31,-8.88,-28.0,36.88,-5.94,-3.69,1.0,0.09822483265713396,0.2126056843022228,0.16757583775537555,-138.03825139668672,-28.76570522000204,-28.93135507220408,-0.0637,-0.9337,-0.2484,-0.2498
5,1437497.0,1399.942376,1.0,4.16,2.57,-8.31,-8.88,-28.0,36.88,-5.94,-3.69,1.0,0.09822483265713396,0.2126056843022228,0.16757583775537555,-138.03825139668672,-28.76570522000204,-28.93135507220408,-0.0637,-0.9337,-0.2484,-0.2498
6,1437534.0,1399.9456619999999,1.0,4.21,2.59,-8.58,-8.56,-28.37,36.38,-2.06,-1.0,0.56,0.008800630460634534,0.19156925836647895,-0.09344210907415727,-138.0702668424954,-28.70655945606141,-28.90768703373302,-0.0646,-0.9338,-0.2479,-0.2496
7,1437534.0,1399.9456619999999,1.0,4.21,2.59,-8.58,-8.56,-28.37,36.38,-2.06,-1.0,0.56,0.008800630460634534,0.19156925836647895,-0.09344210907415727,-138.0702668424954,-28.70655945606141,-28.90768703373302,-0.0646,-0.9338,-0.2479,-0.2496
8,1437569.0,1399.989799,1.0,4.2,2.59,-8.27,-8.88,-27.56,34.75,-2.13,-0.31,-0.88,0.15118623696494618,0.17995501889647114,0.1793056666479238,-138.0702668424954,-28.694731241152283,-28.90768703373302,-0.0655,-0.9338,-0.2478,-0.2496
9,1437569.0,1399.989799,1.0,4.2,2.59,-8.27,-8.88,-27.56,34.75,-2.13,-0.31,-0.88,0.15118623696494618,0.17995501889647114,0.1793056666479238,-138.0702668424954,-28.694731241152283,-28.90768703373302,-0.0655,-0.9338,-0.2478,-0.2496
10,1437603.0,1400.006752,1.0,4.33,2.56,-8.58,-8.88,-27.56,34.75,-1.25,1.56,-1.0,0.06267448253315394,0.08078944729329862,-0.1386224937251086,-137.97429037596618,-28.730216823306154,-29.002366759572602,-0.0661,-0.9335,-0.2481,-0.2504
11,1437603.0,1400.006752,1.0,4.33,2.56,-8.58,-8.88,-27.56,34.75,-1.25,1.56,-1.0,0.06267448253315394,0.08078944729329862,-0.1386224937251086,-137.97429037596618,-28.730216823306154,-29.002366759572602,-0.0661,-0.9335,-0.2481,-0.2504
12,1437638.0,1400.048363,1.0,4.43,2.46,-8.59,-7.75,-28.0,36.0,1.06,-0.31,-0.75,0.09028957966718046,-0.05599037990299571,-0.1659781826388116,-137.94234469461358,-28.777535311725245,-29.002366759572602,-0.066,-0.9334,-0.2485,-0.2504
13,1437638.0,1400.048363,1.0,4.43,2.46,-8.59,-7.75,-28.0,36.0,1.06,-0.31,-0.75,0.09028957966718046,-0.05599037990299571,-0.1659781826388116,-137.94234469461358,-28.777535311725245,-29.002366759572602,-0.066,-0.9334,-0.2485,-0.2504
14,1437673.0,1400.1041539999999,1.0,4.52,2.68,-8.52,-8.88,-28.37,35.56,-1.31,0.56,-0.31,0.2784330027623963,0.08087929422646667,-0.19930490709098336,-137.91042216197232,-28.76570522000204,-29.037876869982465,-0.0666,-0.9333,-0.2484,-0.2507
15,1437673.0,1400.1041539999999,1.0,4.52,2.68,-8.52,-8.88,-28.37,35.56,-1.31,0.56,-0.31,0.2784330027623963,0.08087929422646667,-0.19930490709098336,-137.91042216197232,-28.76570522000204,-29.037876869982465,-0.0666,-0.9333,-0.2484,-0.2507
16,1437708.0,1400.120415,1.0,4.6,2.66,-8.52,-8.88,-28.37,35.56,-0.56,0.75,-1.19,0.3188076911827389,0.02109193655761765,-0.2294805684140524,-137.8466463321347,-28.78936571677899,-29.09706672256259,-0.0668,-0.9331,-0.2486,-0.2512
17,1437708.0,1400.120415,1.0,4.6,2.66,-8.52,-8.88,-28.37,35.56,-0.56,0.75,-1.19,0.3188076911827389,0.02109193655761765,-0.2294805684140524,-137.8466463321347,-28.78936571677899,-29.09706672256259,-0.0668,-0.9331,-0.2486,-0.2512
18,1437741.0,1400.197171,1.0,4.6,2.59,-8.71,-8.56,-28.0,36.88,1.88,0.0,-3.69,0.18467979368079446,-0.051142672641766085,-0.3764476525240621,-137.71937015042116,-28.89585348706327,-29.132584441928433,-0.0672,-0.9327,-0.2495,-0.2515
19,1437741.0,1400.197171,1.0,4.6,2.59,-8.71,-8.56,-28.0,36.88,1.88,0.0,-3.69,0.18467979368079446,-0.051142672641766085,-0.3764476525240621,-137.71937015042116,-28.89585348706327,-29.132584441928433,-0.0672,-0.9327,-0.2495,-0.2515
20,1437775.0,1400.206267,1.0,4.54,2.41,-8.51,-8.19,-29.06,36.88,0.56,1.12,-1.81,0.16180008999841047,-0.17631696169062086,-0.1322902382697091,-137.68760819354466,-28.966859495010613,-29.1444243172648,-0.067,-0.9326,-0.2501,-0.2516
21,1437775.0,1400.206267,1.0,4.54,2.41,-8.51,-8.19,-29.06,36.88,0.56,1.12,-1.81,0.16180008999841047,-0.17631696169062086,-0.1322902382697091,-137.68760819354466,-28.966859495010613,-29.1444243172648,-0.067,-0.9326,-0.2501,-0.2516
22,1437812.0,1400.2197,1.0,4.49,2.11,-8.64,-8.88,-28.75,36.5,2.38,-3.25,-1.69,-0.06060239180423521,-0.405360347036952,-0.1479374017539108,-137.655868969081,-29.0497142065708,-29.09706672256259,-0.0664,-0.9325,-0.2508,-0.2512
23,1437812.0,1400.2197,1.0,4.49,2.11,-8.64,-8.88,-28.75,36.5,2.38,-3.25,-1.69,-0.06060239180423521,-0.405360347036952,-0.1479374017539108,-137.655868969081,-29.0497142065708,-29.09706672256259,-0.0664,-0.9325,-0.2508,-0.2512
24,1437847.0,1400.263513,1.0,4.15,1.99,-8.27,-8.88,-28.75,36.5,-2.88,-3.56,0.56,-0.17081589967342914,-0.3529228183787664,0.3503416604477021,-137.71937015042116,-29.037876869982465,-29.014203146635065,-0.067,-0.9327,-0.2507,-0.2505
25,1437847.0,1400.263513,1.0,4.15,1.99,-8.27,-8.88,-28.75,36.5,-2.88,-3.56,0.56,-0.17081589967342914,-0.3529228183787664,0.3503416604477021,-137.71937015042116,-29.037876869982465,-29.014203146635065,-0.067,-0.9327,-0.2507,-0.2505
26,1437884.0,1400.313862,1.0,3.88,2.15,-7.49,-8.19,-28.75,35.56,-5.13,-2.31,3.56,0.09771322662115614,-0.10131092379005824,1.1027894644638216,-137.87852272532075,-28.87218733809866,-28.89585348706327,-0.0685,-0.9332,-0.2493,-0.2495
27,1437884.0,1400.313862,1.0,3.88,2.15,-7.49,-8.19,-28.75,35.56,-5.13,-2.31,3.56,0.09771322662115614,-0.10131092379005824,1.1027894644638216,-137.87852272532075,-28.87218733809866,-28.89585348706327,-0.0685,-0.9332,-0.2493,-0.2495
28,1437919.0,1400.334571,1.0,4.14,1.95,-7.55,-8.19,-29.06,36.06,-11.75,-3.56,6.69,0.16817764488251755,-0.4173347501844522,0.9894992138304524,-137.97429037596618,-28.6474215027532,-28.91952089539617,-0.0699,-0.9335,-0.2474,-0.2497
29,1437919.0,1400.334571,1.0,4.14,1.95,-7.55,-8.19,-29.06,36.06,-11.75,-3.56,6.69,0.16817764488251755,-0.4173347501844522,0.9894992138304524,-137.97429037596618,-28.6474215027532,-28.91952089539617,-0.0699,-0.9335,-0.2474,-0.2497
30,1437954.0,1400.371983,1.0,4.0,1.45,-6.79,-8.19,-29.06,36.06,-26.19,-7.56,4.5,0.2080669507986863,-0.8522001924729163,1.841911273843664,-138.10230564989928,-28.257305549296962,-28.943189564308163,-0.0761,-0.9339,-0.2441,-0.2499
31,1437954.0,1400.371983,1.0,4.0,1.45,-6.79,-8.19,-29.06,36.06,-26.19,-7.56,4.5,0.2080669507986863,-0.8522001924729163,1.841911273843664,-138.10230564989928,-28.257305549296962,-28.943189564308163,-0.0761,-0.9339,-0.2441,-0.2499
32,1437988.0,1400.388583,1.0,3.66,0.68,-5.51,-8.56,-28.75,35.56,-35.56,-3.44,4.38,0.2324729960212619,-1.4345153870112777,3.3177192783364697,-138.00625925895054,-27.761276718209416,-29.1444243172648,-0.0867,-0.9336,-0.2399,-0.2516
33,1437988.0,1400.388583,1.0,3.66,0.68,-5.51,-8.56,-28.75,35.56,-35.56,-3.44,4.38,0.2324729960212619,-1.4345153870112777,3.3177192783364697,-138.00625925895054,-27.761276718209416,-29.1444243172648,-0.0867,-0.9336,-0.2399,-0.2516
34,1438025.0,1400.430919,1.0,2.63,-0.45,-3.93,-8.56,-29.5,34.38,-45.75,20.69,1.19,-0.2548321904697219,-1.9037512338538989,5.46210263643033,-137.4975120486347,-27.301153346475182,-29.879123753551497,-0.096,-0.932,-0.23600000000000002,-0.2578
35,1438025.0,1400.430919,1.0,2.63,-0.45,-3.93,-8.56,-29.5,34.38,-45.75,20.69,1.19,-0.2548321904697219,-1.9037512338538989,5.46210263643033,-137.4975120486347,-27.301153346475182,-29.879123753551497,-0.096,-0.932,-0.23600000000000002,-0.2578
36,1438060.0,1400.486713,1.0,2.95,0.04,-3.13,-8.56,-29.5,34.38,-71.31,37.75,2.56,0.4983114476265749,-1.648875607770968,5.865343753174943,-136.37352437272858,-26.829697512461113,-31.221437269957963,-0.1086,-0.9284,-0.23199999999999998,-0.2691
37,1438060.0,1400.486713,1.0,2.95,0.04,-3.13,-8.56,-29.5,34.38,-71.31,37.75,2.56,0.4983114476265749,-1.648875607770968,5.865343753174943,-136.37352437272858,-26.829697512461113,-31.221437269957963,-0.1086,-0.9284,-0.23199999999999998,-0.2691
38,1438095.0,1400.503004,1.0,4.46,2.33,-3.85,-8.88,-31.0,34.0,-108.62,39.56,18.19,1.7655682889472255,-0.5914985753562338,3.7505870831855184,-134.4108976122917,-25.441560447887092,-33.644076625825655,-0.1335,-0.9219,-0.2202,-0.2894
39,1438095.0,1400.503004,1.0,4.46,2.33,-3.85,-8.88,-31.0,34.0,-108.62,39.56,18.19,1.7655682889472255,-0.5914985753562338,3.7505870831855184,-134.4108976122917,-25.441560447887092,-33.644076625825655,-0.1335,-0.9219,-0.2202,-0.2894
