acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
8.07,2.11,5.11,0.1497444012479487,0.0177716104208849,0.0257318026037047,-58.66801815565057,-8.384121213370948,-119.53742748975634
8.07,2.11,5.11,0.1497444012479487,0.0177716104208849,0.0257318026037047,-58.66801815565057,-8.384121213370948,-119.53742748975634
8.29,2.21,4.92,-0.1505248276271236,0.0825311372283261,-0.0819864523960323,-58.56288867530428,-8.361141590530956,-119.65132148129857
8.29,2.21,4.92,-0.1505248276271236,0.0825311372283261,-0.0819864523960323,-58.56288867530428,-8.361141590530956,-119.65132148129857
8.07,2.41,4.82,-0.1414498383750299,0.3467253636804344,0.1099921497196074,-58.56288867530428,-8.326672787534774,-119.67412364784865
8.07,2.41,4.82,-0.1414498383750299,0.3467253636804344,0.1099921497196074,-58.56288867530428,-8.326672787534774,-119.67412364784865
7.79,2.15,5.24,0.4195386267932368,0.1502584574338148,0.1855476859926241,-58.77320186377301,-8.384121213370948,-119.51467199760064
7.79,2.15,5.24,0.4195386267932368,0.1502584574338148,0.1855476859926241,-58.77320186377301,-8.384121213370948,-119.51467199760064
7.99,2.01,4.96,0.0921890086141269,-0.0164972530460092,0.1903602254906715,-58.78635364877629,-8.41859128124216,-119.51467199760064
7.99,2.01,4.96,0.0921890086141269,-0.0164972530460092,0.1903602254906715,-58.78635364877629,-8.41859128124216,-119.51467199760064
8.05,1.81,4.99,0.0897186262078398,-0.2261572448149089,0.1671736932326482,-58.70745568211353,-8.430081473298436,-119.60574054309872
8.05,1.81,4.99,0.0897186262078398,-0.2261572448149089,0.1671736932326482,-58.70745568211353,-8.430081473298436,-119.60574054309872
8.1,1.95,5.02,0.0746411161559582,-0.0981264158854815,0.0805151093929144,-58.68116315004747,-8.395611151395807,-119.62852711601612
8.1,1.95,5.02,0.0746411161559582,-0.0981264158854815,0.0805151093929144,-58.68116315004747,-8.395611151395807,-119.62852711601612
8.1,2.22,4.95,-0.0105493511552728,0.1754955556589832,0.0593431913920898,-58.66801815565057,-8.303694005010767,-119.62852711601612
8.1,2.22,4.95,-0.0105493511552728,0.1754955556589832,0.0593431913920898,-58.66801815565057,-8.303694005010767,-119.62852711601612
8.05,2.13,5.05,0.1033253659152666,0.0884153040666453,0.0689189191595893,-58.64173070844467,-8.326672787534774,-119.65132148129857
8.05,2.13,5.05,0.1033253659152666,0.0884153040666453,0.0689189191595893,-58.64173070844467,-8.326672787534774,-119.65132148129857
8.1,2.12,5.01,0.0379058840394974,0.0597655628824378,0.0496273382732912,-58.60230588655673,-8.349651905481078,-119.67412364784865
8.1,2.12,5.01,0.0379058840394974,0.0597655628824378,0.0496273382732912,-58.60230588655673,-8.349651905481078,-119.67412364784865
8.16,2.0,4.95,-0.0384274007579414,-0.0794675524645481,0.0557367995363495,-58.57602690065555,-8.372631359788455,-119.67412364784865
8.16,2.0,4.95,-0.0384274007579414,-0.0794675524645481,0.0557367995363495,-58.57602690065555,-8.372631359788455,-119.67412364784865
8.11,2.1,5.09,0.0960250868221104,0.0211354376725507,0.0045822346774588,-58.56288867530428,-8.349651905481078,-119.67412364784865
8.11,2.1,5.09,0.0960250868221104,0.0211354376725507,0.0045822346774588,-58.56288867530428,-8.349651905481078,-119.67412364784865
8.05,2.16,5.03,0.0685690722199138,0.093124250906871,0.0723998410905846,-58.56288867530428,-8.326672787534774,-119.67412364784865
