acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
2.27,-1.07,-9.6,0.0374202863326116,0.0854343000708441,-0.1155020197254686,-116.1194452258842,-61.6609948635758,-8.165828301178744
2.27,-1.07,-9.6,0.0374202863326116,0.0854343000708441,-0.1155020197254686,-116.1194452258842,-61.6609948635758,-8.165828301178744
2.34,-0.95,-9.69,0.172348477024636,0.1054051896108588,-0.2050124867436693,-116.1194452258842,-61.64765035653756,-8.188805090876484
2.34,-0.95,-9.69,0.172348477024636,0.1054051896108588,-0.2050124867436693,-116.1194452258842,-61.64765035653756,-8.188805090876484
2.34,-1.09,-9.6,0.0556911364848726,0.0207351244661264,-0.1341833932286764,-116.05449328856253,-61.71438217106357,-8.154340029708836
2.34,-1.09,-9.6,0.0556911364848726,0.0207351244661264,-0.1341833932286764,-116.05449328856253,-61.71438217106357,-8.154340029708836
2.34,-1.21,-9.59,-0.0498373778136673,-0.0367512131561059,-0.13839728918391,-116.01122474494797,-61.75443240547686,-8.142851840335263
2.34,-1.21,-9.59,-0.0498373778136673,-0.0367512131561059,-0.13839728918391,-116.01122474494797,-61.75443240547686,-8.142851840335263
2.39,-1.24,-9.65,-0.0542705705834308,-0.0773022444268949,-0.2114974868448147,-115.98960027739392,-61.78113721204743,-8.142851840335263
2.39,-1.24,-9.65,-0.0542705705834308,-0.0773022444268949,-0.2114974868448147,-115.98960027739392,-61.78113721204743,-8.142851840335263
2.26,-1.13,-9.41,-0.0177539808748882,0.0128095361271,0.0633384114307791,-115.98960027739392,-61.78113721204743,-8.1313637329408
2.26,-1.13,-9.41,-0.0177539808748882,0.0128095361271,0.0633384114307791,-115.98960027739392,-61.78113721204743,-8.1313637329408
2.4,-0.83,-9.86,0.3041048915141738,0.1462815378755693,-0.369529141830883,-116.01122474494797,-61.7677843434822,-8.165828301178744
2.4,-0.83,-9.86,0.3041048915141738,0.1462815378755693,-0.369529141830883,-116.01122474494797,-61.7677843434822,-8.165828301178744
2.24,-1.24,-9.56,-0.1222735261417156,0.0148333889678401,-0.0894921349623185,-115.96798233708935,-61.821201404862826,-8.096899901459961
2.24,-1.24,-9.56,-0.1222735261417156,0.0148333889678401,-0.0894921349623185,-115.96798233708935,-61.821201404862826,-8.096899901459961
2.32,-1.09,-9.55,0.0504704670502392,0.0071856066329609,-0.0812416407398508,-115.98960027739392,-61.80784574236153,-8.073924421552888
2.32,-1.09,-9.55,0.0504704670502392,0.0071856066329609,-0.0812416407398508,-115.98960027739392,-61.80784574236153,-8.073924421552888
2.32,-1.04,-9.65,0.0944210576928712,0.0557149591461662,-0.1720513437216126,-115.98960027739392,-61.7944910115485,-8.073924421552888
2.32,-1.04,-9.65,0.0944210576928712,0.0557149591461662,-0.1720513437216126,-115.98960027739392,-61.7944910115485,-8.073924421552888
2.26,-1.08,-9.78,0.0320533012687945,0.1143316823421204,-0.2883141332840111,-115.98960027739392,-61.821201404862826,-8.039461810968866
2.26,-1.08,-9.78,0.0320533012687945,0.1143316823421204,-0.2883141332840111,-115.98960027739392,-61.821201404862826,-8.039461810968866
2.24,-1.17,-9.53,-0.0529271265454606,0.0245671660658826,-0.0525586484477607,-115.94637091735842,-61.84791552643628,-8.016487142063689
2.24,-1.17,-9.53,-0.0529271265454606,0.0245671660658826,-0.0525586484477607,-115.94637091735842,-61.84791552643628,-8.016487142063689
2.26,-1.23,-9.54,-0.093467246249139,-0.0145965384888304,-0.07379284508254,-115.94637091735842,-61.86127398626197,-8.004999928704901
2.26,-1.23,-9.54,-0.093467246249139,-0.0145965384888304,-0.07379284508254,-115.94637091735842,-61.86127398626197,-8.004999928704901
2.31,-1.03,-9.69,0.0955728216001084,0.068385405681561,-0.207304726882942,-115.94637091735842,-61.84791552643628,-8.050949266749551
2.31,-1.03,-9.69,0.0955728216001084,0.068385405681561,-0.207304726882942,-115.94637091735842,-61.84791552643628,-8.050949266749551
2.28,-1.01,-9.57,0.0891632570431902,0.0647679041121219,-0.0822961032099041,-115.96798233708935,-61.84791552643628,-8.085412120809869
2.28,-1.01,-9.57,0.0891632570431902,0.0647679041121219,-0.0822961032099041,-115.96798233708935,-61.84791552643628,-8.085412120809869
2.39,-1.16,-9.56,0.0051130388891188,-0.1027402336244833,-0.1150796023036289,-115.98960027739392,-61.84791552643628,-8.085412120809869
2.39,-1.16,-9.56,0.0051130388891188,-0.1027402336244833,-0.1150796023036289,-115.98960027739392,-61.84791552643628,-8.085412120809869
2.51,-1.33,-9.66,-0.1018891544925654,-0.258574565207222,-0.25850562693517,-115.98960027739392,-61.84791552643628,-8.1313637329408
2.51,-1.33,-9.66,-0.1018891544925654,-0.258574565207222,-0.25850562693517,-115.98960027739392,-61.84791552643628,-8.1313637329408
2.5,-1.63,-9.44,-0.3830467232980949,-0.4516201731394247,-0.0761539759465073,-116.01122474494797,-61.821201404862826,-8.165828301178744
2.5,-1.63,-9.44,-0.3830467232980949,-0.4516201731394247,-0.0761539759465073,-116.01122474494797,-61.821201404862826,-8.165828301178744
2.63,-1.84,-9.3,-0.5504747529717332,-0.7252064142616199,0.0105511232504103,-116.18445627109944,-61.70103395154207,-8.315183354403652
2.63,-1.84,-9.3,-0.5504747529717332,-0.7252064142616199,0.0105511232504103,-116.18445627109944,-61.70103395154207,-8.315183354403652
3.13,-3.23,-8.89,-1.5889118291999509,-1.9291129601279224,0.1621809951197939,-116.37984588512,-61.56760277209649,-8.476043091817116
3.13,-3.23,-8.89,-1.5889118291999509,-1.9291129601279224,0.1621809951197939,-116.37984588512,-61.56760277209649,-8.476043091817116
3.28,-3.67,-8.69,-1.9917135948526328,-2.4384781880336392,0.3287651577705173,-117.1448610408126,-60.94170906130724,-8.843785851491393
3.28,-3.67,-8.69,-1.9917135948526328,-2.4384781880336392,0.3287651577705173,-117.1448610408126,-60.94170906130724,-8.843785851491393
3.31,-3.81,-8.16,-2.175092684301161,-2.8123529305773007,0.8950035298704258,-118.18551847027427,-60.0396996516268,-9.361079434368332
3.31,-3.81,-8.16,-2.175092684301161,-2.8123529305773007,0.8950035298704258,-118.18551847027427,-60.0396996516268,-9.361079434368332
3.39,-4.75,-7.98,-3.0457245281556093,-3.6462104559812,1.1369492318486178,-120.108859015364,-58.19536005826746,-10.292697102933529
3.39,-4.75,-7.98,-3.0457245281556093,-3.6462104559812,1.1369492318486178,-120.108859015364,-58.19536005826746,-10.292697102933529
3.29,-3.79,-7.59,-2.3200118471791984,-3.3847102709398333,1.6852226986728152,-122.25585789752888,-56.05561103021528,-11.259541000283244
3.29,-3.79,-7.59,-2.3200118471791984,-3.3847102709398333,1.6852226986728152,-122.25585789752888,-56.05561103021528,-11.259541000283244
3.5,-3.17,-7.6,-1.791380403214904,-3.553627457169477,1.7928127077517466,-125.77163105081792,-52.34817308721272,-12.826644816909525
3.5,-3.17,-7.6,-1.791380403214904,-3.553627457169477,1.7928127077517466,-125.77163105081792,-52.34817308721272,-12.826644816909525
3.39,-1.17,-7.58,-0.418786766516468,-2.481134659787556,1.807525770173864,-128.79137449285287,-48.93789354543228,-14.176734355559056
3.39,-1.17,-7.58,-0.418786766516468,-2.481134659787556,1.807525770173864,-128.79137449285287,-48.93789354543228,-14.176734355559056
3.31,-1.38,-8.48,-1.1150337785432562,-2.9918436001479014,1.1708830077194872,-131.90276546625157,-44.82846183777319,-15.945255673236543
3.31,-1.38,-8.48,-1.1150337785432562,-2.9918436001479014,1.1708830077194872,-131.90276546625157,-44.82846183777319,-15.945255673236543
3.17,-1.47,-6.6,-0.6864517491192386,-3.435039217480264,3.211266040706672,-134.7969534952698,-41.10922158106119,-16.014684599323402
3.17,-1.47,-6.6,-0.6864517491192386,-3.435039217480264,3.211266040706672,-134.7969534952698,-41.10922158106119,-16.014684599323402
4.09,3.01,-5.6,3.1111905320974444,-0.6098355229115235,2.943939594629361,-140.8829393690889,-33.67999263161277,-14.916070477056891
4.09,3.01,-5.6,3.1111905320974444,-0.6098355229115235,2.943939594629361,-140.8829393690889,-33.67999263161277,-14.916070477056891
2.75,4.4,-6.7,2.131964786428954,0.9899364362183752,1.6649516512723714,-143.72051272987528,-28.70655945606141,-14.89295693159816
2.75,4.4,-6.7,2.131964786428954,0.9899364362183752,1.6649516512723714,-143.72051272987528,-28.70655945606141,-14.89295693159816
0.03,1.47,-2.91,-0.3946745227860244,0.4045038118167392,6.5956519172709935,-145.18454955392758,-23.43659483600268,-14.754288420181696
0.03,1.47,-2.91,-0.3946745227860244,0.4045038118167392,6.5956519172709935,-145.18454955392758,-23.43659483600268,-14.754288420181696
1.27,6.57,-1.65,2.037567684938627,4.973745235420754,5.4926638778128645,-149.50552295905456,-15.216602467156427,-15.18192036535379
1.27,6.57,-1.65,2.037567684938627,4.973745235420754,5.4926638778128645,-149.50552295905456,-15.216602467156427,-15.18192036535379
3.56,4.51,-3.69,2.6928491569802087,2.0480694513952526,3.875058734579518,-150.2552755154301,-10.4537848668845,-17.161136490218524
3.56,4.51,-3.69,2.6928491569802087,2.0480694513952526,3.875058734579518,-150.2552755154301,-10.4537848668845,-17.161136490218524
1.88,6.6,-0.3,1.6954947101394309,5.63829397969473,6.268382247776125,-148.39242814751884,-4.71104003397371,-20.4250635419962
1.88,6.6,-0.3,1.6954947101394309,5.63829397969473,6.268382247776125,-148.39242814751884,-4.71104003397371,-20.4250635419962
9.44,8.74,-4.67,5.956087863065218,5.1844118416201885,-1.3717663110843006,-145.18454955392758,-0.9052827329224428,-25.03056340197877
9.44,8.74,-4.67,5.956087863065218,5.1844118416201885,-1.3717663110843006,-145.18454955392758,-0.9052827329224428,-25.03056340197877
9.87,9.15,-5.27,4.257623807405179,5.149684725856071,-3.0099676013369976,-138.5533323833026,2.337829975144579,-31.81677445459612
9.87,9.15,-5.27,4.257623807405179,5.149684725856071,-3.0099676013369976,-138.5533323833026,2.337829975144579,-31.81677445459612
7.73,8.26,-2.81,2.9085464865013275,5.432741859372059,-0.087907757943876,-133.91067619883825,3.862466868736162,-36.46817032738551
7.73,8.26,-2.81,2.9085464865013275,5.432741859372059,-0.087907757943876,-133.91067619883825,3.862466868736162,-36.46817032738551
10.39,5.14,-4.24,3.4641304642517863,1.7591205566203976,-1.9089206217801544,-128.05386288415187,4.779853967883568,-43.70272222782621
10.39,5.14,-4.24,3.4641304642517863,1.7591205566203976,-1.9089206217801544,-128.05386288415187,4.779853967883568,-43.70272222782621
12.09,5.09,-5.8,2.3476872353362515,0.4452781287720447,-4.335708078944135,-122.46980875996977,5.468092286497271,-49.03863296676083
12.09,5.09,-5.8,2.3476872353362515,0.4452781287720447,-4.335708078944135,-122.46980875996977,5.468092286497271,-49.03863296676083
9.75,7.65,-2.51,0.9508684194722998,3.70931924862558,-2.244154950733627,-114.7888564887898,7.47667331573405,-54.54203530433204
