acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
11.52,1.44,2.9,-2.279632772073235,-2.954442853468209,-1.5629824412920374,-46.2701332926198,34.44701981345315,-87.75200894857093
11.52,1.44,2.9,-2.279632772073235,-2.954442853468209,-1.5629824412920374,-46.2701332926198,34.44701981345315,-87.75200894857093
14.3,1.23,-0.82,-3.2550659073183987,-6.984496225131826,-2.329933473949032,-48.66106748213056,34.62702088107143,-87.32356135651855
14.3,1.23,-0.82,-3.2550659073183987,-6.984496225131826,-2.329933473949032,-48.66106748213056,34.62702088107143,-87.32356135651855
15.51,2.78,-0.88,-4.315940508690416,-5.585698981589208,-4.308431452564077,-54.51625254499015,37.37423381555307,-83.44139093704848
15.51,2.78,-0.88,-4.315940508690416,-5.585698981589208,-4.308431452564077,-54.51625254499015,37.37423381555307,-83.44139093704848
14.25,1.13,3.61,-0.3563817370187436,0.0282830164973555,-4.932538991545544,-61.008197532736816,39.99754361581977,-78.18880666556636
14.25,1.13,3.61,-0.3563817370187436,0.0282830164973555,-4.932538991545544,-61.008197532736816,39.99754361581977,-78.18880666556636
15.88,2.9,-1.14,-1.9481872646067964,-2.184911960717601,-6.109213976106893,-68.44387353354183,43.29558684746807,-69.83551038215226
15.88,2.9,-1.14,-1.9481872646067964,-2.184911960717601,-6.109213976106893,-68.44387353354183,43.29558684746807,-69.83551038215226
17.19,2.75,-2.25,0.1337352554301554,-0.6802039288775328,-7.733034646440902,-77.55533546921926,46.2701332926198,-59.82805979528858
17.19,2.75,-2.25,0.1337352554301554,-0.6802039288775328,-7.733034646440902,-77.55533546921926,46.2701332926198,-59.82805979528858
12.83,3.29,1.36,0.9341336498586832,4.6001734071305815,-2.6532215462291315,-85.12592565946625,48.6862209673472,-51.17639894970855
12.83,3.29,1.36,0.9341336498586832,4.6001734071305815,-2.6532215462291315,-85.12592565946625,48.6862209673472,-51.17639894970855
15.27,6.58,-4.59,-0.8003055618017276,3.248729965669806,-7.115012584329832,-93.95738073569972,50.49129103156368,-41.13369909947952
15.27,6.58,-4.59,-0.8003055618017276,3.248729965669806,-7.115012584329832,-93.95738073569972,50.49129103156368,-41.13369909947952
13.63,3.86,-4.91,2.5363582178775603,3.682467636780805,-4.503867778706226,-101.80973815523876,50.808228717792346,-32.472665833224625
13.63,3.86,-4.91,2.5363582178775603,3.682467636780805,-4.503867778706226,-101.80973815523876,50.808228717792346,-32.472665833224625
10.63,3.58,-4.97,3.2411270544801214,4.1933878558366775,-1.2579238149844034,-110.93403529967291,50.06091747705543,-20.09912503821932
10.63,3.58,-4.97,3.2411270544801214,4.1933878558366775,-1.2579238149844034,-110.93403529967291,50.06091747705543,-20.09912503821932
8.16,4.78,-4.6,1.9841858653217035,4.675920963252981,0.5983510475729599,-116.29293986048516,49.07642066173354,-10.960197096754332
8.16,4.78,-4.6,1.9841858653217035,4.675920963252981,0.5983510475729599,-116.29293986048516,49.07642066173354,-10.960197096754332
