,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1190234.0,1050.340992,1.0,8.83,0.11,3.99,-26.87,3.75,-21.37,7.25,-7.31,13.38,-0.0427207712813098,-0.06845402961137248,0.11672796824292675,-31.078685498016352,56.0296492994227,-48.862365423932296,-0.7325,-0.2679,0.4697,-0.4136
1,1190234.0,1050.340992,1.0,8.83,0.11,3.99,-26.87,3.75,-21.37,7.25,-7.31,13.38,-0.0427207712813098,-0.06845402961137248,0.11672796824292675,-31.078685498016352,56.0296492994227,-48.862365423932296,-0.7325,-0.2679,0.4697,-0.4136
2,1190270.0,1050.410681,1.0,8.75,0.29,4.01,-25.75,4.19,-21.37,5.38,-5.88,11.44,-0.2869201642791361,-0.10396054729193116,0.18201655119080407,-31.16195134015795,56.250423997675526,-49.2528385760365,-0.7294,-0.2686,0.4714,-0.4167
3,1190270.0,1050.410681,1.0,8.75,0.29,4.01,-25.75,4.19,-21.37,5.38,-5.88,11.44,-0.2869201642791361,-0.10396054729193116,0.18201655119080407,-31.16195134015795,56.250423997675526,-49.2528385760365,-0.7294,-0.2686,0.4714,-0.4167
4,1190303.0,1050.4156970000001,1.0,8.76,0.34,3.62,-25.75,4.19,-21.37,-2.0,1.06,6.25,-0.16360304480174834,-0.4560381659453894,0.3344346712116621,-31.09057958723377,56.250423997675526,-49.41676675386262,-0.7289,-0.268,0.4714,-0.418
5,1190303.0,1050.4156970000001,1.0,8.76,0.34,3.62,-25.75,4.19,-21.37,-2.0,1.06,6.25,-0.16360304480174834,-0.4560381659453894,0.3344346712116621,-31.09057958723377,56.250423997675526,-49.41676675386262,-0.7289,-0.268,0.4714,-0.418
6,1190340.0,1050.433485,1.0,8.54,0.36,4.16,-26.56,4.19,-21.0,4.44,-2.19,7.31,-0.4962653974401372,0.04313151967606488,0.313565131143406,-31.138159380012002,56.31540097731903,-49.555559524438046,-0.7277,-0.2684,0.4719,-0.4191
7,1190340.0,1050.433485,1.0,8.54,0.36,4.16,-26.56,4.19,-21.0,4.44,-2.19,7.31,-0.4962653974401372,0.04313151967606488,0.313565131143406,-31.138159380012002,56.31540097731903,-49.555559524438046,-0.7277,-0.2684,0.4719,-0.4191
8,1190375.0,1050.451662,1.0,8.78,0.28,4.13,-26.19,5.0,-20.19,9.69,-4.94,7.13,-0.3743243417010862,-0.006918262798972785,0.10698333434339524,-31.340435037267948,56.31540097731903,-49.77021027536523,-0.7261,-0.2701,0.4719,-0.4208
9,1190375.0,1050.451662,1.0,8.78,0.28,4.13,-26.19,5.0,-20.19,9.69,-4.94,7.13,-0.3743243417010862,-0.006918262798972785,0.10698333434339524,-31.340435037267948,56.31540097731903,-49.77021027536523,-0.7261,-0.2701,0.4719,-0.4208
10,1190408.0,1050.4925369999999,1.0,9.11,0.14,3.8,-26.19,5.0,-20.19,5.56,-0.69,0.75,-0.03534775299245774,-0.3014633244811824,-0.060445337552542,-31.530903656573717,56.26341781734521,-49.934480858485706,-0.725,-0.2717,0.4715,-0.4221
11,1190408.0,1050.4925369999999,1.0,9.11,0.14,3.8,-26.19,5.0,-20.19,5.56,-0.69,0.75,-0.03534775299245774,-0.3014633244811824,-0.060445337552542,-31.530903656573717,56.26341781734521,-49.934480858485706,-0.725,-0.2717,0.4715,-0.4221
12,1190445.0,1050.5323449999999,1.0,8.77,0.22,4.09,-25.37,4.19,-19.37,-4.81,-0.88,-8.31,-0.2761288868221741,0.02335987568561082,0.13128917189284905,-31.56662645811723,56.2374309655145,-49.66917497940315,-0.7263,-0.272,0.4713,-0.42
13,1190445.0,1050.5323449999999,1.0,8.77,0.22,4.09,-25.37,4.19,-19.37,-4.81,-0.88,-8.31,-0.2761288868221741,0.02335987568561082,0.13128917189284905,-31.56662645811723,56.2374309655145,-49.66917497940315,-0.7263,-0.272,0.4713,-0.42
14,1190479.0,1050.555214,1.0,8.74,0.81,4.0,-25.37,4.56,-20.19,6.31,-0.19,-9.0,-0.7170850738971155,-0.311914094536206,0.19248344254824976,-31.63808150954527,56.2114472624779,-49.341094211246,-0.7277,-0.2726,0.4711,-0.4174
15,1190479.0,1050.555214,1.0,8.74,0.81,4.0,-25.37,4.56,-20.19,6.31,-0.19,-9.0,-0.7170850738971155,-0.311914094536206,0.19248344254824976,-31.63808150954527,56.2114472624779,-49.341094211246,-0.7277,-0.2726,0.4711,-0.4174
16,1190514.0,1050.604709,1.0,9.61,-0.21,3.18,-25.37,4.56,-20.19,0.31,-6.81,-14.56,0.7704555117713932,-0.6979311598549984,-0.2644914646247827,-31.99554685526558,56.12052906282052,-49.1016156188802,-0.7281,-0.2756,0.4704,-0.4155
17,1190514.0,1050.604709,1.0,9.61,-0.21,3.18,-25.37,4.56,-20.19,0.31,-6.81,-14.56,0.7704555117713932,-0.6979311598549984,-0.2644914646247827,-31.99554685526558,56.12052906282052,-49.1016156188802,-0.7281,-0.2756,0.4704,-0.4155
18,1190549.0,1050.637972,1.0,9.77,1.94,3.25,-25.75,3.5,-21.75,-29.81,-16.12,-20.75,-1.0454701778030118,-1.6845334870076756,-0.481612197206788,-31.959785992705626,56.731722434017684,-47.88253794953186,-0.7307,-0.2753,0.4751,-0.4058
19,1190549.0,1050.637972,1.0,9.77,1.94,3.25,-25.75,3.5,-21.75,-29.81,-16.12,-20.75,-1.0454701778030118,-1.6845334870076756,-0.481612197206788,-31.959785992705626,56.731722434017684,-47.88253794953186,-0.7307,-0.2753,0.4751,-0.4058
20,1190584.0,1050.690877,1.0,9.34,1.3,3.86,-25.37,3.75,-19.37,5.75,-12.56,-37.38,-0.7759985911554762,-0.5907694945700785,-0.3360329582122965,-32.60397465615993,56.77079436287129,-46.943892407350866,-0.7325,-0.2807,0.4754,-0.3983
21,1190584.0,1050.690877,1.0,9.34,1.3,3.86,-25.37,3.75,-19.37,5.75,-12.56,-37.38,-0.7759985911554762,-0.5907694945700785,-0.3360329582122965,-32.60397465615993,56.77079436287129,-46.943892407350866,-0.7325,-0.2807,0.4754,-0.3983
22,1190621.0,1050.757515,1.0,9.08,0.83,4.06,-25.75,3.75,-19.75,27.12,-7.63,-28.62,-0.3582674130182453,0.09716114383638752,-0.16737146442936002,-33.95546221645167,56.41940519214721,-46.14554943586622,-0.7333,-0.292,0.4727,-0.3919
23,1190621.0,1050.757515,1.0,9.08,0.83,4.06,-25.75,3.75,-19.75,27.12,-7.63,-28.62,-0.3582674130182453,0.09716114383638752,-0.16737146442936002,-33.95546221645167,56.41940519214721,-46.14554943586622,-0.7333,-0.292,0.4727,-0.3919
24,1190656.0,1050.764797,1.0,10.55,-0.6,1.18,-25.75,3.75,-19.75,24.37,-17.25,-21.69,2.662107991744498,-1.780752440967891,-0.33223562832607634,-35.07140174532199,56.0296492994227,-45.92144367093,-0.7324,-0.3013,0.4697,-0.3901
25,1190656.0,1050.764797,1.0,10.55,-0.6,1.18,-25.75,3.75,-19.75,24.37,-17.25,-21.69,2.662107991744498,-1.780752440967891,-0.33223562832607634,-35.07140174532199,56.0296492994227,-45.92144367093,-0.7324,-0.3013,0.4697,-0.3901
26,1190692.0,1050.81667,1.0,13.49,3.98,0.75,-25.37,2.69,-20.56,-8.63,-56.44,-13.25,-0.3713426646279383,-4.938781276294423,-3.378703394215517,-35.98590378205003,57.31856128888758,-44.82846183777319,-0.7275,-0.3089,0.4796,-0.3813
27,1190692.0,1050.81667,1.0,13.49,3.98,0.75,-25.37,2.69,-20.56,-8.63,-56.44,-13.25,-0.3713426646279383,-4.938781276294423,-3.378703394215517,-35.98590378205003,57.31856128888758,-44.82846183777319,-0.7275,-0.3089,0.4796,-0.3813
28,1190727.0,1050.823539,1.0,16.29,7.37,0.29,-26.87,2.0,-18.56,23.5,-90.5,-24.94,-2.528423181846384,-7.173443995934564,-6.377103503149142,-37.446822845384496,58.77320186377301,-43.92504042696694,-0.7186,-0.321,0.4907,-0.374
29,1190727.0,1050.823539,1.0,16.29,7.37,0.29,-26.87,2.0,-18.56,23.5,-90.5,-24.94,-2.528423181846384,-7.173443995934564,-6.377103503149142,-37.446822845384496,58.77320186377301,-43.92504042696694,-0.7186,-0.321,0.4907,-0.374
30,1190762.0,1050.839202,1.0,15.21,4.91,2.74,-26.87,2.0,-18.56,36.5,-103.25,-118.81,-1.5728318100630494,-2.2034051362969422,-6.18181477628775,-41.57463147554045,60.3443284261737,-40.595644110417574,-0.7079,-0.3549,0.5026,-0.3469
31,1190762.0,1050.839202,1.0,15.21,4.91,2.74,-26.87,2.0,-18.56,36.5,-103.25,-118.81,-1.5728318100630494,-2.2034051362969422,-6.18181477628775,-41.57463147554045,60.3443284261737,-40.595644110417574,-0.7079,-0.3549,0.5026,-0.3469
32,1190797.0,1050.883128,1.0,16.73,4.73,-0.03,-28.75,0.75,-17.37,49.0,-107.31,-126.25,0.928769486404076,-2.816141147272472,-7.324416408130102,-47.131352218600796,60.90182687258211,-36.311360803930285,-0.6973,-0.3998,0.5068,-0.3116
33,1190797.0,1050.883128,1.0,16.73,4.73,-0.03,-28.75,0.75,-17.37,49.0,-107.31,-126.25,0.928769486404076,-2.816141147272472,-7.324416408130102,-47.131352218600796,60.90182687258211,-36.311360803930285,-0.6973,-0.3998,0.5068,-0.3116
34,1190834.0,1050.932427,1.0,15.75,7.21,1.52,-29.87,-2.88,-15.38,69.37,-172.5,-117.94,-1.9345583706390093,-0.8203083961059514,-7.454334272221223,-52.04193081398262,62.32941069730318,-32.8547775548023,-0.6779999999999999,-0.4387,0.5175,-0.2828
35,1190834.0,1050.932427,1.0,15.75,7.21,1.52,-29.87,-2.88,-15.38,69.37,-172.5,-117.94,-1.9345583706390093,-0.8203083961059514,-7.454334272221223,-52.04193081398262,62.32941069730318,-32.8547775548023,-0.6779999999999999,-0.4387,0.5175,-0.2828
36,1190871.0,1051.0095919999999,1.0,14.46,6.32,1.58,-28.75,-7.0,-12.06,92.81,-170.44,-159.19,-1.1620086130732112,2.0965824813510903,-5.870865041677856,-59.96030828751041,63.40381821677742,-27.77308072525798,-0.6454,-0.4997,0.5255,-0.24
37,1190871.0,1051.0095919999999,1.0,14.46,6.32,1.58,-28.75,-7.0,-12.06,92.81,-170.44,-159.19,-1.1620086130732112,2.0965824813510903,-5.870865041677856,-59.96030828751041,63.40381821677742,-27.77308072525798,-0.6454,-0.4997,0.5255,-0.24
38,1190905.0,1051.0495039999998,1.0,11.74,4.44,1.54,-28.75,-7.0,-12.06,95.75,-165.56,-153.13,-0.07601939799958668,3.6992246791696464,-2.285610244642026,-66.07666398061995,63.484648540415236,-23.62387580431868,-0.6198,-0.5452,0.5261,-0.2047
39,1190905.0,1051.0495039999998,1.0,11.74,4.44,1.54,-28.75,-7.0,-12.06,95.75,-165.56,-153.13,-0.07601939799958668,3.6992246791696464,-2.285610244642026,-66.07666398061995,63.484648540415236,-23.62387580431868,-0.6198,-0.5452,0.5261,-0.2047
40,1190942.0,1051.0578,1.0,11.91,5.24,0.09,-28.37,-12.19,-9.25,119.75,-175.38,-120.0,0.2477315300322749,4.239200211649512,-2.4930089649704765,-74.19885237818175,63.659902079059314,-19.192010366536685,-0.5746,-0.6032,0.5274,-0.1667
41,1190942.0,1051.0578,1.0,11.91,5.24,0.09,-28.37,-12.19,-9.25,119.75,-175.38,-120.0,0.2477315300322749,4.239200211649512,-2.4930089649704765,-74.19885237818175,63.659902079059314,-19.192010366536685,-0.5746,-0.6032,0.5274,-0.1667
42,1190979.0,1051.070588,1.0,10.73,5.68,-0.18,-28.25,-17.19,-3.06,94.81,-178.0,-141.25,-0.116249220299514,5.219907300428501,-1.155409746859304,-81.65744421958767,63.63292917864976,-13.865006554805131,-0.5292,-0.6538,0.5272,-0.1207
43,1190979.0,1051.070588,1.0,10.73,5.68,-0.18,-28.25,-17.19,-3.06,94.81,-178.0,-141.25,-0.116249220299514,5.219907300428501,-1.155409746859304,-81.65744421958767,63.63292917864976,-13.865006554805131,-0.5292,-0.6538,0.5272,-0.1207
44,1191014.0,1051.105728,1.0,7.53,3.99,1.28,-28.25,-17.19,-3.06,75.19,-175.25,-141.63,-0.40080635135446574,5.636434359851383,3.300548096724838,-87.0229756995197,63.01363300906978,-9.430066128049686,-0.496,-0.6885,0.5226,-0.0822
45,1191014.0,1051.105728,1.0,7.53,3.99,1.28,-28.25,-17.19,-3.06,75.19,-175.25,-141.63,-0.40080635135446574,5.636434359851383,3.300548096724838,-87.0229756995197,63.01363300906978,-9.430066128049686,-0.496,-0.6885,0.5226,-0.0822
46,1191049.0,1051.115444,1.0,6.66,3.4,-0.13,-25.69,-22.37,1.37,158.69,-161.38,-93.31,0.3127383093660545,4.9590273026194955,4.217129183174172,-94.09183027952132,62.82555919288418,-5.789336220308418,-0.4359,-0.7319,0.5212,-0.0505
47,1191049.0,1051.115444,1.0,6.66,3.4,-0.13,-25.69,-22.37,1.37,158.69,-161.38,-93.31,0.3127383093660545,4.9590273026194955,4.217129183174172,-94.09183027952132,62.82555919288418,-5.789336220308418,-0.4359,-0.7319,0.5212,-0.0505
48,1191084.0,1051.1773,1.0,6.62,4.11,-2.27,-22.37,-26.0,8.19,157.69,-184.63,-82.37,0.4126042979489215,4.3812075138495565,2.987252782217311,-99.03424230026712,63.16153810810004,-3.4611913427691,-0.3825,-0.7606,0.5237,-0.0302
49,1191084.0,1051.1773,1.0,6.62,4.11,-2.27,-22.37,-26.0,8.19,157.69,-184.63,-82.37,0.4126042979489215,4.3812075138495565,2.987252782217311,-99.03424230026712,63.16153810810004,-3.4611913427691,-0.3825,-0.7606,0.5237,-0.0302
50,1191120.0,1051.194295,1.0,4.67,2.49,-1.89,-20.0,-26.0,14.56,58.0,-139.69,-126.37,0.8278709991095587,3.5172275191456337,5.502600722006312,-104.98995994505607,61.94144435552603,0.8021474641450599,-0.3252,-0.7933,0.5146,0.006999999999999999
51,1191120.0,1051.194295,1.0,4.67,2.49,-1.89,-20.0,-26.0,14.56,58.0,-139.69,-126.37,0.8278709991095587,3.5172275191456337,5.502600722006312,-104.98995994505607,61.94144435552603,0.8021474641450599,-0.3252,-0.7933,0.5146,0.006999999999999999
52,1191155.0,1051.233449,1.0,3.31,2.47,-2.89,-20.0,-26.0,14.56,4.13,-107.5,-147.38,0.8340637176815786,2.2082833489104767,5.352783997775425,-108.60323493215937,59.20766160334654,4.6881024349692195,-0.3077,-0.8121,0.494,0.0409
53,1191155.0,1051.233449,1.0,3.31,2.47,-2.89,-20.0,-26.0,14.56,4.13,-107.5,-147.38,0.8340637176815786,2.2082833489104767,5.352783997775425,-108.60323493215937,59.20766160334654,4.6881024349692195,-0.3077,-0.8121,0.494,0.0409
