acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
8.74,1.03,4.15,0.070908295357944,0.0378705961965923,0.0770797200958988,-56.18546670575561,-29.701259829199124,-102.64942299100883
8.74,1.03,4.15,0.070908295357944,0.0378705961965923,0.0770797200958988,-56.18546670575561,-29.701259829199124,-102.64942299100883
8.79,0.99,4.1,-0.0048533393487139,0.0594874345179101,0.057258342556361,-56.18546670575561,-29.701259829199124,-102.64942299100883
8.79,0.99,4.1,-0.0048533393487139,0.0594874345179101,0.057258342556361,-56.18546670575561,-29.701259829199124,-102.64942299100883
8.75,1.03,4.02,-0.0043798081295872,0.1362055104647834,0.123405250630098,-56.19845659098237,-29.665695841620533,-102.66776223181776
8.75,1.03,4.02,-0.0043798081295872,0.1362055104647834,0.123405250630098,-56.19845659098237,-29.665695841620533,-102.66776223181776
8.78,1.0,4.15,0.0361873561924264,0.035001834444444,0.0440496626494386,-56.18546670575561,-29.653841828798463,-102.66776223181776
8.78,1.0,4.15,0.0361873561924264,0.035001834444444,0.0440496626494386,-56.18546670575561,-29.653841828798463,-102.66776223181776
8.83,0.92,4.14,-0.0459278002309381,0.002932125603785,0.0111009066716736,-56.18546670575561,-29.653841828798463,-102.66776223181776
8.83,0.92,4.14,-0.0459278002309381,0.002932125603785,0.0111009066716736,-56.18546670575561,-29.653841828798463,-102.66776223181776
8.72,1.08,3.98,0.0234586156991584,0.1961423015355204,0.1626789356044913,-56.2114472624779,-29.606429021936968,-102.68610514129892
8.72,1.08,3.98,0.0234586156991584,0.1961423015355204,0.1626789356044913,-56.2114472624779,-29.606429021936968,-102.68610514129892
8.77,0.99,4.18,0.0535346327211282,0.0091723891833763,0.0412800679197982,-56.2114472624779,-29.606429021936968,-102.68610514129892
8.77,0.99,4.18,0.0535346327211282,0.0091723891833763,0.0412800679197982,-56.2114472624779,-29.606429021936968,-102.68610514129892
8.82,1.0,4.09,-0.0080156290056366,0.0919552057092008,0.0336269267726265,-56.2114472624779,-29.606429021936968,-102.68610514129892
8.82,1.0,4.09,-0.0080156290056366,0.0919552057092008,0.0336269267726265,-56.2114472624779,-29.606429021936968,-102.68610514129892
8.77,1.01,4.2,0.0805024377603065,0.0033088921452215,0.0308375831853524,-56.22443872055198,-29.630134776789287,-102.66776223181776
8.77,1.01,4.2,0.0805024377603065,0.0033088921452215,0.0308375831853524,-56.22443872055198,-29.630134776789287,-102.66776223181776
8.77,1.06,4.0,0.003848624684835,0.1783217764328197,0.1110485987388134,-56.22443872055198,-29.61828173729524,-102.66776223181776
8.77,1.06,4.0,0.003848624684835,0.1783217764328197,0.1110485987388134,-56.22443872055198,-29.61828173729524,-102.66776223181776
8.91,1.24,4.1,0.1395613100880955,0.2571083929952316,-0.0751574214678907,-56.2114472624779,-29.665695841620533,-102.68610514129892
8.91,1.24,4.1,0.1395613100880955,0.2571083929952316,-0.0751574214678907,-56.2114472624779,-29.665695841620533,-102.68610514129892
9.6,1.89,3.76,0.1722637771848066,1.0783511698915278,-0.6181849601067331,-56.2114472624779,-29.79611144994345,-102.68610514129892
9.6,1.89,3.76,0.1722637771848066,1.0783511698915278,-0.6181849601067331,-56.2114472624779,-29.79611144994345,-102.68610514129892
10.41,3.28,3.69,0.8713643347761154,2.1279179659446616,-1.4829597951297746,-56.250423997675526,-30.50817000692102,-102.31994097048526
10.41,3.28,3.69,0.8713643347761154,2.1279179659446616,-1.4829597951297746,-56.250423997675526,-30.50817000692102,-102.31994097048526
13.55,8.0,2.68,2.8097102054573435,6.320389021014615,-4.578867411076559,-55.95178287128961,-32.48460118565665,-101.17588829449863
13.55,8.0,2.68,2.8097102054573435,6.320389021014615,-4.578867411076559,-55.95178287128961,-32.48460118565665,-101.17588829449863
16.41,11.02,2.26,3.543555730733028,7.384234261473976,-8.324880469181661,-54.55492780539657,-39.15723801119543,-98.94602892121196
16.41,11.02,2.26,3.543555730733028,7.384234261473976,-8.324880469181661,-54.55492780539657,-39.15723801119543,-98.94602892121196
15.21,9.57,5.39,3.7626844024660606,-0.8319671231580923,-8.554481141447217,-54.67099400962296,-53.525866533741606,-90.24224269381638
15.21,9.57,5.39,3.7626844024660606,-0.8319671231580923,-8.554481141447217,-54.67099400962296,-53.525866533741606,-90.24224269381638
13.9,6.73,2.69,0.6076422777463926,-3.03975498761956,-5.559861005349825,-55.213443709052655,-66.1586995980381,-80.30136362645774
13.9,6.73,2.69,0.6076422777463926,-3.03975498761956,-5.559861005349825,-55.213443709052655,-66.1586995980381,-80.30136362645774
