acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
0.17,3.13,-9.31,-0.0350325579700289,-0.0128503469899818,-0.0168171877328671,-69.62601872527647,-107.14328559013715,-15.771709071970363
0.17,3.13,-9.31,-0.0350325579700289,-0.0128503469899818,-0.0168171877328671,-69.62601872527647,-107.14328559013715,-15.771709071970363
0.19,3.22,-9.46,-0.0079401891999696,-0.0382255823543356,-0.1880773978958139,-69.63997654209203,-107.14328559013715,-15.794846506662765
0.19,3.22,-9.46,-0.0079401891999696,-0.0382255823543356,-0.1880773978958139,-69.63997654209203,-107.14328559013715,-15.794846506662765
0.19,3.22,-9.44,-0.006314841950303,-0.0413085670365509,-0.1691383761164733,-69.63997654209203,-107.14328559013715,-15.806415466969176
0.19,3.22,-9.44,-0.006314841950303,-0.0413085670365509,-0.1691383761164733,-69.63997654209203,-107.14328559013715,-15.806415466969176
0.21,3.02,-9.36,-0.159246283930679,-0.0138352059792508,-0.029434038281181,-69.62601872527647,-107.1625852400296,-15.748572284340511
0.21,3.02,-9.36,-0.159246283930679,-0.0138352059792508,-0.029434038281181,-69.62601872527647,-107.1625852400296,-15.748572284340511
0.05,3.08,-9.33,-0.0496720526772473,0.1107402167715254,-0.0179654780516571,-69.63997654209203,-107.14328559013715,-15.748572284340511
0.05,3.08,-9.33,-0.0496720526772473,0.1107402167715254,-0.0179654780516571,-69.63997654209203,-107.14328559013715,-15.748572284340511
0.12,3.19,-9.24,0.0482031894818244,-0.0003671966736995,0.0308750272579221,-69.65393554150937,-107.12399034350572,-15.760140597334962
0.12,3.19,-9.24,0.0482031894818244,-0.0003671966736995,0.0308750272579221,-69.65393554150937,-107.12399034350572,-15.760140597334962
0.19,3.06,-9.37,-0.1243514891240239,-0.0087680679154233,-0.0513954365019859,-69.65393554150937,-107.12399034350572,-15.748572284340511
0.19,3.06,-9.37,-0.1243514891240239,-0.0087680679154233,-0.0513954365019859,-69.65393554150937,-107.12399034350572,-15.748572284340511
0.22,3.03,-9.43,-0.1766414936738574,-0.0240361164662896,-0.0990261529851093,-69.65393554150937,-107.14328559013715,-15.725436142775802
0.22,3.03,-9.43,-0.1766414936738574,-0.0240361164662896,-0.0990261529851093,-69.65393554150937,-107.14328559013715,-15.725436142775802
0.06,3.07,-9.37,-0.0746935048891813,0.104605534636077,-0.0528063015640398,-69.66789572403633,-107.104699496576,-15.725436142775802
0.06,3.07,-9.37,-0.0746935048891813,0.104605534636077,-0.0528063015640398,-69.66789572403633,-107.104699496576,-15.725436142775802
0.15,3.14,-9.32,-0.0234287580449339,-0.0050715533828362,-0.029198990943426,-69.69581964045186,-107.0854130457935,-15.725436142775802
0.15,3.14,-9.32,-0.0234287580449339,-0.0050715533828362,-0.029198990943426,-69.69581964045186,-107.0854130457935,-15.725436142775802
0.15,3.18,-9.29,0.0200253461005638,-0.0219653085197799,-0.0136410603879362,-69.70978337535752,-107.0854130457935,-15.725436142775802
0.15,3.18,-9.29,0.0200253461005638,-0.0219653085197799,-0.0136410603879362,-69.70978337535752,-107.0854130457935,-15.725436142775802
0.27,3.11,-9.72,-0.2124787835038902,-0.0828712149071142,-0.3997884154464249,-69.75168169297477,-107.0468533184743,-15.632898017228824
0.27,3.11,-9.72,-0.2124787835038902,-0.0828712149071142,-0.3997884154464249,-69.75168169297477,-107.0468533184743,-15.632898017228824
0.17,3.05,-9.53,-0.1864457870143836,-0.0528024369295034,-0.1990858485600064,-69.93336466039091,-106.89278954728871,-15.366907820940328
0.17,3.05,-9.53,-0.1864457870143836,-0.0528024369295034,-0.1990858485600064,-69.93336466039091,-106.89278954728871,-15.366907820940328
-0.04,3.06,-9.51,-0.1287285971472176,-0.0308867713434359,-0.1827331118659448,-70.39546823502994,-106.5088462839978,-14.604088706058509
-0.04,3.06,-9.51,-0.1287285971472176,-0.0308867713434359,-0.1827331118659448,-70.39546823502994,-106.5088462839978,-14.604088706058509
-0.42,2.99,-9.23,-0.0130691932787241,0.1574511144688222,0.0966325776294514,-70.78858910682754,-106.1456894229273,-13.830376539145911
-0.42,2.99,-9.23,-0.0130691932787241,0.1574511144688222,0.0966325776294514,-70.78858910682754,-106.1456894229273,-13.830376539145911
-0.45,2.86,-9.21,-0.1240325512928754,0.0713536129277214,0.1533746704477536,-71.2813423920703,-105.70811662886264,-13.06883146764636
-0.45,2.86,-9.21,-0.1240325512928754,0.0713536129277214,0.1533746704477536,-71.2813423920703,-105.70811662886264,-13.06883146764636
-0.63,3.08,-9.02,0.1808380285594887,0.1009498882771009,0.2567386534228202,-71.52122812984334,-105.46176616813965,-12.7228682118641
-0.63,3.08,-9.02,0.1808380285594887,0.1009498882771009,0.2567386534228202,-71.52122812984334,-105.46176616813965,-12.7228682118641
-0.38,2.89,-9.49,-0.1568774986634108,-0.07755592525326,-0.1193751122426256,-71.69077715376791,-105.40501487729964,-12.457708722341447
-0.38,2.89,-9.49,-0.1568774986634108,-0.07755592525326,-0.1193751122426256,-71.69077715376791,-105.40501487729964,-12.457708722341447
-0.31,2.92,-9.37,-0.0917362162198703,-0.1570453209952879,-0.0110035503035117,-71.71905293720884,-105.42392787292214,-12.388547751922632
-0.31,2.92,-9.37,-0.0917362162198703,-0.1570453209952879,-0.0110035503035117,-71.71905293720884,-105.42392787292214,-12.388547751922632
-0.46,2.93,-9.27,0.0100294092392546,-0.0243891282960837,0.0737827666832267,-71.80391056917499,-105.36720117412769,-12.296340166976414
-0.46,2.93,-9.27,0.0100294092392546,-0.0243891282960837,0.0737827666832267,-71.80391056917499,-105.36720117412769,-12.296340166976414
-0.4,2.81,-9.44,-0.1634724473872744,-0.0338315567218241,-0.0494056098631592,-71.86050760282423,-105.32940383389916,-12.307865676783145
-0.4,2.81,-9.44,-0.1634724473872744,-0.0338315567218241,-0.0494056098631592,-71.86050760282423,-105.32940383389916,-12.307865676783145
-0.63,2.75,-9.25,-0.0920317930443408,0.2053184624919382,0.1385956725756347,-71.88881371666841,-105.31051129197044,-12.342442956629045
-0.63,2.75,-9.25,-0.0920317930443408,0.2053184624919382,0.1385956725756347,-71.88881371666841,-105.31051129197044,-12.342442956629045
-0.5,2.96,-8.94,0.1530844983133671,0.0697722654982817,0.3776046099648376,-71.91712490112356,-105.25385814101205,-12.653689634339962
-0.5,2.96,-8.94,0.1530844983133671,0.0697722654982817,0.3776046099648376,-71.91712490112356,-105.25385814101205,-12.653689634339962
-0.15,2.95,-9.38,-0.0631169450333118,0.0353193328481229,-0.0271777794547976,-71.63424070118842,-105.46176616813965,-13.899637842978937
-0.15,2.95,-9.38,-0.0631169450333118,0.0353193328481229,-0.0271777794547976,-71.63424070118842,-105.46176616813965,-13.899637842978937
0.12,2.89,-9.35,-0.1555328633305236,0.0038539486457351,0.0207011612054675,-71.40829576929687,-105.65120455426174,-14.812064314477515
0.12,2.89,-9.35,-0.1555328633305236,0.0038539486457351,0.0207011612054675,-71.40829576929687,-105.65120455426174,-14.812064314477515
0.37,2.96,-9.56,-0.1969466019183476,0.0150016326694386,-0.2059963528384987,-71.25314422862833,-105.67017110275856,-15.86426270309298
