,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1625862.0,1567.258226,1.0,9.08,1.97,2.86,-7.0,-19.69,35.56,1.31,0.69,0.12,-0.04218661951976202,0.01552237546091251,0.08528798920163894,-72.62656558446132,-1.7303983035632713,-104.68932827217476,-0.1488,-0.5922,-0.0151,-0.7917
1,1625862.0,1567.258226,1.0,9.08,1.97,2.86,-7.0,-19.69,35.56,1.31,0.69,0.12,-0.04218661951976202,0.01552237546091251,0.08528798920163894,-72.62656558446132,-1.7303983035632713,-104.68932827217476,-0.1488,-0.5922,-0.0151,-0.7917
2,1625896.0,1567.288537,1.0,9.18,2.01,2.73,-7.0,-19.69,35.88,-0.5,0.63,0.25,-0.19997760499258466,0.008609436576576535,0.022717516836429752,-72.62656558446132,-1.7303983035632713,-104.70808777910831,-0.1488,-0.5922,-0.0151,-0.7918
3,1625896.0,1567.288537,1.0,9.18,2.01,2.73,-7.0,-19.69,35.88,-0.5,0.63,0.25,-0.19997760499258466,0.008609436576576535,0.022717516836429752,-72.62656558446132,-1.7303983035632713,-104.70808777910831,-0.1488,-0.5922,-0.0151,-0.7918
4,1625933.0,1567.3297619999998,1.0,9.23,2.04,2.95,-5.88,-20.06,35.06,-0.81,-0.5,-0.31,-0.011093442918099371,0.05846440144962895,-0.09554464812156382,-72.62656558446132,-1.7189378496716434,-104.68932827217476,-0.1489,-0.5922,-0.015,-0.7917
5,1625933.0,1567.3297619999998,1.0,9.23,2.04,2.95,-5.88,-20.06,35.06,-0.81,-0.5,-0.31,-0.011093442918099371,0.05846440144962895,-0.09554464812156382,-72.62656558446132,-1.7189378496716434,-104.68932827217476,-0.1489,-0.5922,-0.015,-0.7917
6,1625968.0,1567.345792,1.0,9.07,1.97,2.92,-5.88,-20.06,35.06,0.75,-0.69,-0.44,0.01810850540366189,0.027881455100412175,0.0767427698927392,-72.640787235407,-1.7189378496716434,-104.68932827217476,-0.1489,-0.5923,-0.015,-0.7917
7,1625968.0,1567.345792,1.0,9.07,1.97,2.92,-5.88,-20.06,35.06,0.75,-0.69,-0.44,0.01810850540366189,0.027881455100412175,0.0767427698927392,-72.640787235407,-1.7189378496716434,-104.68932827217476,-0.1489,-0.5923,-0.015,-0.7917
8,1626003.0,1567.4120710000002,1.0,9.11,1.89,2.79,-7.0,-20.06,34.75,-2.19,1.44,0.5,-0.09952403551312124,-0.08030225710323913,0.09418653732178227,-72.62656558446132,-1.7303983035632713,-104.70808777910831,-0.1489,-0.5922,-0.0151,-0.7918
9,1626003.0,1567.4120710000002,1.0,9.11,1.89,2.79,-7.0,-20.06,34.75,-2.19,1.44,0.5,-0.09952403551312124,-0.08030225710323913,0.09418653732178227,-72.62656558446132,-1.7303983035632713,-104.70808777910831,-0.1489,-0.5922,-0.0151,-0.7918
10,1626038.0,1567.453558,1.0,9.13,2.14,2.97,-7.0,-19.25,34.75,-1.44,0.0,0.69,0.004499692168360035,0.1846082431561643,-0.028150432613223583,-72.59812617311991,-1.6730962049034406,-104.72685126814748,-0.1492,-0.5920000000000001,-0.0146,-0.7919
11,1626038.0,1567.453558,1.0,9.13,2.14,2.97,-7.0,-19.25,34.75,-1.44,0.0,0.69,0.004499692168360035,0.1846082431561643,-0.028150432613223583,-72.59812617311991,-1.6730962049034406,-104.72685126814748,-0.1492,-0.5920000000000001,-0.0146,-0.7919
12,1626075.0,1567.4612769999999,1.0,9.18,1.99,2.88,-7.38,-20.75,36.38,2.44,0.19,0.56,-0.0588801383231313,0.012176222583287766,-0.017976449332039124,-72.59812617311991,-1.7189378496716434,-104.72685126814748,-0.1489,-0.5920000000000001,-0.015,-0.7919
13,1626075.0,1567.4612769999999,1.0,9.18,1.99,2.88,-7.38,-20.75,36.38,2.44,0.19,0.56,-0.0588801383231313,0.012176222583287766,-0.017976449332039124,-72.59812617311991,-1.7189378496716434,-104.72685126814748,-0.1489,-0.5920000000000001,-0.015,-0.7919
14,1626107.0,1567.5111769999999,1.0,9.18,1.86,2.9,-7.38,-20.75,36.38,-0.88,0.94,0.25,-0.015557116590104104,-0.10801897376878657,0.0020546550900721887,-72.58390841157699,-1.7189378496716434,-104.76439020470757,-0.1488,-0.5919,-0.015,-0.7921
15,1626107.0,1567.5111769999999,1.0,9.18,1.86,2.9,-7.38,-20.75,36.38,-0.88,0.94,0.25,-0.015557116590104104,-0.10801897376878657,0.0020546550900721887,-72.58390841157699,-1.7189378496716434,-104.76439020470757,-0.1488,-0.5919,-0.015,-0.7921
16,1626144.0,1567.527563,1.0,9.15,2.04,2.78,-7.75,-20.06,35.06,-1.88,0.25,0.12,-0.16573164667883827,0.05527139461454,0.030046392702296032,-72.55547677388151,-1.6730962049034406,-104.78316565832016,-0.1491,-0.5917,-0.0146,-0.7922
17,1626144.0,1567.527563,1.0,9.15,2.04,2.78,-7.75,-20.06,35.06,-1.88,0.25,0.12,-0.16573164667883827,0.05527139461454,0.030046392702296032,-72.55547677388151,-1.6730962049034406,-104.78316565832016,-0.1491,-0.5917,-0.0146,-0.7922
18,1626181.0,1567.578796,1.0,9.11,1.93,3.0,-6.69,-20.5,35.19,0.12,-0.63,0.5,0.07658409178083772,-0.005541129964925395,0.023444790419407724,-72.55547677388151,-1.6616358358374437,-104.76439020470757,-0.1492,-0.5917,-0.0145,-0.7921
19,1626181.0,1567.578796,1.0,9.11,1.93,3.0,-6.69,-20.5,35.19,0.12,-0.63,0.5,0.07658409178083772,-0.005541129964925395,0.023444790419407724,-72.55547677388151,-1.6616358358374437,-104.76439020470757,-0.1492,-0.5917,-0.0145,-0.7921
20,1626216.0,1567.586931,1.0,9.15,2.01,2.94,-6.69,-20.5,35.19,-2.44,0.37,0.63,-0.011914256383698474,0.05785075251993633,-0.011838241115725623,-72.54126289658385,-1.6043342375287626,-104.78316565832016,-0.1493,-0.5916,-0.013999999999999999,-0.7922
21,1626216.0,1567.586931,1.0,9.15,2.01,2.94,-6.69,-20.5,35.19,-2.44,0.37,0.63,-0.011914256383698474,0.05785075251993633,-0.011838241115725623,-72.54126289658385,-1.6043342375287626,-104.78316565832016,-0.1493,-0.5916,-0.013999999999999999,-0.7922
22,1626251.0,1567.643225,1.0,9.18,1.98,2.81,-7.38,-19.25,34.75,-0.44,0.88,0.94,-0.13893263010343584,0.007057427471817369,0.005142569149889198,-72.52705031289004,-1.5699534720315549,-104.8019451062217,-0.1492,-0.5915,-0.0137,-0.7923
23,1626251.0,1567.643225,1.0,9.18,1.98,2.81,-7.38,-19.25,34.75,-0.44,0.88,0.94,-0.13893263010343584,0.007057427471817369,0.005142569149889198,-72.52705031289004,-1.5699534720315549,-104.8019451062217,-0.1492,-0.5915,-0.0137,-0.7923
24,1626288.0,1567.6864150000001,1.0,9.13,1.84,2.87,-8.19,-20.06,35.56,-1.56,0.19,0.88,-0.04149555572236618,-0.09887239734734432,0.061502368080919474,-72.51283902222842,-1.5241126706819226,-104.8019451062217,-0.1492,-0.5914,-0.0133,-0.7923
25,1626288.0,1567.6864150000001,1.0,9.13,1.84,2.87,-8.19,-20.06,35.56,-1.56,0.19,0.88,-0.04149555572236618,-0.09887239734734432,0.061502368080919474,-72.51283902222842,-1.5241126706819226,-104.8019451062217,-0.1492,-0.5914,-0.0133,-0.7923
26,1626322.0,1567.733204,1.0,9.09,1.84,2.91,-7.75,-20.75,34.38,-4.44,-0.44,1.88,-0.001839123619961313,-0.06615286881532134,0.08670039027609988,-72.48442031771656,-1.3636717386286217,-104.82072855146713,-0.1496,-0.5912,-0.0119,-0.7924
27,1626322.0,1567.733204,1.0,9.09,1.84,2.91,-7.75,-20.75,34.38,-4.44,-0.44,1.88,-0.001839123619961313,-0.06615286881532134,0.08670039027609988,-72.48442031771656,-1.3636717386286217,-104.82072855146713,-0.1496,-0.5912,-0.0119,-0.7924
28,1626357.0,1567.74895,1.0,9.12,2.15,2.94,-7.75,-20.75,34.38,-0.06,2.44,0.75,-0.06022819602200748,0.2339744970998924,-0.010790017596786328,-72.44180194441707,-1.2719924264668117,-104.8583074462282,-0.15,-0.5909,-0.0111,-0.7926
29,1626357.0,1567.74895,1.0,9.12,2.15,2.94,-7.75,-20.75,34.38,-0.06,2.44,0.75,-0.06022819602200748,0.2339744970998924,-0.010790017596786328,-72.44180194441707,-1.2719924264668117,-104.8583074462282,-0.15,-0.5909,-0.0111,-0.7926
30,1626392.0,1567.789812,1.0,9.17,1.85,2.99,-7.0,-19.69,36.75,0.88,2.19,0.12,0.02740840147751141,-0.0630567748332953,-0.014081776332966813,-72.35660000190678,-1.3636717386286217,-104.97114038563049,-0.1493,-0.5903,-0.0119,-0.7932
31,1626392.0,1567.789812,1.0,9.17,1.85,2.99,-7.0,-19.69,36.75,0.88,2.19,0.12,0.02740840147751141,-0.0630567748332953,-0.014081776332966813,-72.35660000190678,-1.3636717386286217,-104.97114038563049,-0.1493,-0.5903,-0.0119,-0.7932
32,1626429.0,1567.807523,1.0,9.19,1.87,2.93,-7.75,-20.5,35.19,0.44,2.19,0.69,-0.049594707700614055,-0.06019314230318463,-0.018410669053793068,-72.2856337588228,-1.3751317128217122,-105.0276111512958,-0.1492,-0.5898,-0.012,-0.7935
33,1626429.0,1567.807523,1.0,9.19,1.87,2.93,-7.75,-20.5,35.19,0.44,2.19,0.69,-0.049594707700614055,-0.06019314230318463,-0.018410669053793068,-72.2856337588228,-1.3751317128217122,-105.0276111512958,-0.1492,-0.5898,-0.012,-0.7935
34,1626462.0,1567.85167,1.0,9.11,1.97,2.94,-7.75,-20.5,35.19,-1.31,1.69,0.12,-0.05470838539524445,0.05638346386685832,0.033706334063424485,-72.21469959987994,-1.3522117780748235,-105.1029620001446,-0.1494,-0.5893,-0.0118,-0.7939
35,1626462.0,1567.85167,1.0,9.11,1.97,2.94,-7.75,-20.5,35.19,-1.31,1.69,0.12,-0.05470838539524445,0.05638346386685832,0.033706334063424485,-72.21469959987994,-1.3522117780748235,-105.1029620001446,-0.1494,-0.5893,-0.0118,-0.7939
36,1626499.0,1567.909901,1.0,9.12,1.93,2.87,-7.75,-19.0,34.75,0.81,2.63,-0.06,-0.12557059757608535,-0.0001292109995806312,0.053679580259723636,-72.14379745445741,-1.3865917007687605,-105.17837759673445,-0.1493,-0.5888,-0.0121,-0.7943
37,1626499.0,1567.909901,1.0,9.12,1.93,2.87,-7.75,-19.0,34.75,0.81,2.63,-0.06,-0.12557059757608535,-0.0001292109995806312,0.053679580259723636,-72.14379745445741,-1.3865917007687605,-105.17837759673445,-0.1493,-0.5888,-0.0121,-0.7943
38,1626533.0,1567.926322,1.0,9.15,1.94,3.01,-8.19,-20.06,36.0,-0.81,2.69,-0.19,-0.023338012902444683,0.020040951779439098,-0.019094434769593605,-72.03042043423166,-1.3980517025844337,-105.29162283128352,-0.1493,-0.588,-0.0122,-0.7949
39,1626533.0,1567.926322,1.0,9.15,1.94,3.01,-8.19,-20.06,36.0,-0.81,2.69,-0.19,-0.023338012902444683,0.020040951779439098,-0.019094434769593605,-72.03042043423166,-1.3980517025844337,-105.29162283128352,-0.1493,-0.588,-0.0122,-0.7949
40,1626568.0,1568.014505,1.0,9.13,1.94,2.96,-8.19,-20.06,36.0,-0.5,2.31,-0.44,-0.07860173057371703,0.015231710041348382,0.015036764022996254,-71.94544116064459,-1.4095117183833985,-105.36720117412769,-0.1492,-0.5874,-0.0123,-0.7953
