,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,2128191.0,2070.574589,1.0,7.84,2.47,5.36,1.75,-16.06,21.5,0.5,0.19,-0.37,-0.08237806235190498,-0.029475623449948474,-0.006017580350686558,-54.81293529494486,12.377021364647927,-98.91076580586659,-0.4462,-0.4603,0.1078,-0.7599
1,2128191.0,2070.574589,1.0,7.84,2.47,5.36,1.75,-16.06,21.5,0.5,0.19,-0.37,-0.08237806235190498,-0.029475623449948474,-0.006017580350686558,-54.81293529494486,12.377021364647927,-98.91076580586659,-0.4462,-0.4603,0.1078,-0.7599
2,2128228.0,2070.654349,1.0,7.8,2.36,5.35,1.75,-16.06,21.5,0.12,-0.06,0.0,0.006982566119729916,-0.07601222682127018,0.058507952145749435,-54.825843565521545,12.353968967121856,-98.91076580586659,-0.446,-0.4604,0.1076,-0.7599
3,2128228.0,2070.654349,1.0,7.8,2.36,5.35,1.75,-16.06,21.5,0.12,-0.06,0.0,0.006982566119729916,-0.07601222682127018,0.058507952145749435,-54.825843565521545,12.353968967121856,-98.91076580586659,-0.446,-0.4604,0.1076,-0.7599
4,2128261.0,2070.705594,1.0,7.79,2.49,5.29,1.75,-15.38,21.5,0.12,0.19,0.12,-0.1312541558113448,-0.02918118584490115,0.06754219666529515,-54.81293529494486,12.377021364647927,-98.91076580586659,-0.4462,-0.4603,0.1078,-0.7599
5,2128261.0,2070.705594,1.0,7.79,2.49,5.29,1.75,-15.38,21.5,0.12,0.19,0.12,-0.1312541558113448,-0.02918118584490115,0.06754219666529515,-54.81293529494486,12.377021364647927,-98.91076580586659,-0.4462,-0.4603,0.1078,-0.7599
6,2128297.0,2070.776832,1.0,7.84,2.42,5.49,3.0,-15.69,22.25,0.88,-0.19,-0.19,0.037768282589212936,0.015970313046096196,-0.065554338744791,-54.825843565521545,12.353968967121856,-98.91076580586659,-0.446,-0.4604,0.1076,-0.7599
7,2128297.0,2070.776832,1.0,7.84,2.42,5.49,3.0,-15.69,22.25,0.88,-0.19,-0.19,0.037768282589212936,0.015970313046096196,-0.065554338744791,-54.825843565521545,12.353968967121856,-98.91076580586659,-0.446,-0.4604,0.1076,-0.7599
8,2128332.0,2070.795315,1.0,7.77,2.43,5.36,3.0,-15.69,22.25,-0.69,-0.19,-0.81,-0.0355696613156522,-0.01249855411417089,0.059548965059457615,-54.825843565521545,12.365495103087909,-98.89313900458244,-0.4462,-0.4604,0.1077,-0.7598
9,2128332.0,2070.795315,1.0,7.77,2.43,5.36,3.0,-15.69,22.25,-0.69,-0.19,-0.81,-0.0355696613156522,-0.01249855411417089,0.059548965059457615,-54.825843565521545,12.365495103087909,-98.89313900458244,-0.4462,-0.4604,0.1077,-0.7598
10,2128367.0,2070.7984309999997,1.0,7.75,2.42,5.25,2.56,-15.0,22.25,-0.12,0.44,-0.12,-0.08916189252213602,-0.0690418763253462,0.1387296767745667,-54.83875259027354,12.365495103087909,-98.89313900458244,-0.4462,-0.4605,0.1077,-0.7598
11,2128367.0,2070.7984309999997,1.0,7.75,2.42,5.25,2.56,-15.0,22.25,-0.12,0.44,-0.12,-0.08916189252213602,-0.0690418763253462,0.1387296767745667,-54.83875259027354,12.365495103087909,-98.89313900458244,-0.4462,-0.4605,0.1077,-0.7598
