acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
0.35,-0.11,-9.61,0.0023596783041477,-0.0625387335425023,0.18985306241599,-116.79410996273164,-63.16153810810004,-1.2261530793833222
0.35,-0.11,-9.61,0.0023596783041477,-0.0625387335425023,0.18985306241599,-116.79410996273164,-63.16153810810004,-1.2261530793833222
0.37,-0.26,-9.76,-0.1136487934394785,-0.1424772531565434,0.0378791364735828,-116.79410996273164,-63.16153810810004,-1.1803139285143014
0.37,-0.26,-9.76,-0.1136487934394785,-0.1424772531565434,0.0378791364735828,-116.79410996273164,-63.16153810810004,-1.1803139285143014
0.41,-0.28,-9.63,-0.0945736885100847,-0.1986479194259321,0.1663701896651694,-115.51550165897758,-64.45738978708853,-1.0198783397289315
0.41,-0.28,-9.63,-0.0945736885100847,-0.1986479194259321,0.1663701896651694,-115.51550165897758,-64.45738978708853,-1.0198783397289315
0.26,-0.33,-9.43,-0.1923541361271162,-0.0862714723583166,0.3696506294706161,-114.38591221182236,-65.59888072386629,-0.93966131468631
0.26,-0.33,-9.43,-0.1923541361271162,-0.0862714723583166,0.3696506294706161,-114.38591221182236,-65.59888072386629,-0.93966131468631
0.43,-0.38,-9.74,-0.1609874156658097,-0.2240175709941324,0.0536607567021718,-114.38591221182236,-65.58524867553507,-0.9969591404369118
0.43,-0.38,-9.74,-0.1609874156658097,-0.2240175709941324,0.0536607567021718,-114.38591221182236,-65.58524867553507,-0.9969591404369118
0.28,-0.53,-9.67,-0.3527452787047469,-0.1322696049939862,0.1254168388812022,-113.2733386110762,-66.67915125155818,-0.9740399810272836
0.28,-0.53,-9.67,-0.3527452787047469,-0.1322696049939862,0.1254168388812022,-113.2733386110762,-66.67915125155818,-0.9740399810272836
0.34,-0.49,-9.55,-0.2814435975967565,-0.1379357656816195,0.2431797498283785,-112.25913519470078,-67.68336405721995,-0.9969591404369118
0.34,-0.49,-9.55,-0.2814435975967565,-0.1379357656816195,0.2431797498283785,-112.25913519470078,-67.68336405721995,-0.9969591404369118
0.58,-0.37,-10.0,-0.081546675702233,-0.2651839205561393,-0.2131467857616992,-112.34142441987676,-67.60060461724801,-1.1230152546764245
0.58,-0.37,-10.0,-0.081546675702233,-0.2651839205561393,-0.2131467857616992,-112.34142441987676,-67.60060461724801,-1.1230152546764245
0.52,-0.25,-9.94,0.0067888221517456,-0.1580913832776687,-0.1488239227435652,-111.5428205011455,-68.38844844007662,-1.1230152546764245
0.52,-0.25,-9.94,0.0067888221517456,-0.1580913832776687,-0.1488239227435652,-111.5428205011455,-68.38844844007662,-1.1230152546764245
0.58,-0.2,-9.98,0.0750169610581353,-0.1791178737791199,-0.1903039982359882,-110.65153929836842,-69.29138458685418,-1.1459346897143057
0.58,-0.2,-9.98,0.0750169610581353,-0.1791178737791199,-0.1903039982359882,-110.65153929836842,-69.29138458685418,-1.1459346897143057
0.57,-0.28,-10.01,0.0004650196594199,-0.1886031621737604,-0.2217012419028652,-109.75024971660667,-70.19926439078702,-1.1230152546764245
0.57,-0.28,-10.01,0.0004650196594199,-0.1886031621737604,-0.2217012419028652,-109.75024971660667,-70.19926439078702,-1.1230152546764245
0.42,-0.44,-9.65,-0.1915648556222269,-0.1211487434843151,0.1401549843263971,-109.77016866117764,-70.17125455372687,-1.0542572154525014
0.42,-0.44,-9.65,-0.1915648556222269,-0.1211487434843151,0.1401549843263971,-109.77016866117764,-70.17125455372687,-1.0542572154525014
0.47,-0.33,-9.64,-0.0739221855436645,-0.1220453689617556,0.1506135233497882,-108.8195376256316,-71.11222790088254,-1.0657168616283692
0.47,-0.33,-9.64,-0.0739221855436645,-0.1220453689617556,0.1506135233497882,-108.8195376256316,-71.11222790088254,-1.0657168616283692
0.38,-0.46,-9.65,-0.2195302833066176,-0.0631789129254536,0.1409211149301885,-107.99668693087187,-71.94544116064459,-1.0542572154525014
0.38,-0.46,-9.65,-0.2195302833066176,-0.0631789129254536,0.1409211149301885,-107.99668693087187,-71.94544116064459,-1.0542572154525014
0.53,-0.64,-9.79,-0.3211395493510071,-0.2293627479161914,-0.0106236602231373,-108.035685474304,-71.88881371666841,-1.0427975798203954
0.53,-0.64,-9.79,-0.3211395493510071,-0.2293627479161914,-0.0106236602231373,-108.035685474304,-71.88881371666841,-1.0427975798203954
0.53,-0.41,-9.93,-0.1025983720123345,-0.1416844680007662,-0.1443951252914992,-107.31714138517356,-72.61234523055688,-1.0542572154525014
0.53,-0.41,-9.93,-0.1025983720123345,-0.1416844680007662,-0.1443951252914992,-107.31714138517356,-72.61234523055688,-1.0542572154525014
0.56,-0.42,-9.74,-0.1073277857853601,-0.1757056470801399,0.043699202624106,-106.604670219113,-73.31067854232553,-1.0542572154525014
0.56,-0.42,-9.74,-0.1073277857853601,-0.1757056470801399,0.043699202624106,-106.604670219113,-73.31067854232553,-1.0542572154525014
0.44,-0.33,-9.61,-0.0640015194391476,-0.0413092284977125,0.18122547153631,-106.6622162163593,-73.25355342465495,-1.0886361860699356
