,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,440915.0,261.075481,1.0,2.61,4.09,-8.48,15.56,-19.69,25.87,-1.63,1.31,2.44,-0.006284802190730243,0.0795365424846306,0.0370934880762821,-103.23811172650564,-68.76292273675115,-27.938368456027646,-0.0917,-0.7839,-0.5647,-0.2414
1,440915.0,261.075481,1.0,2.61,4.09,-8.48,15.56,-19.69,25.87,-1.63,1.31,2.44,-0.006284802190730243,0.0795365424846306,0.0370934880762821,-103.23811172650564,-68.76292273675115,-27.938368456027646,-0.0917,-0.7839,-0.5647,-0.2414
2,440950.0,261.143875,1.0,2.81,4.29,-8.83,17.06,-20.0,25.87,-8.94,1.31,-0.44,0.010473725533326705,0.010431765774840951,-0.4045635164894197,-103.18276029513798,-68.73515523864087,-28.091903034402694,-0.0925,-0.7836,-0.5645,-0.2427
3,440950.0,261.143875,1.0,2.81,4.29,-8.83,17.06,-20.0,25.87,-8.94,1.31,-0.44,0.010473725533326705,0.010431765774840951,-0.4045635164894197,-103.18276029513798,-68.73515523864087,-28.091903034402694,-0.0925,-0.7836,-0.5645,-0.2427
4,440985.0,261.205923,1.0,2.61,4.01,-8.51,16.69,-19.69,26.69,2.88,-1.44,0.5,-0.10647943138748817,0.05440508611945205,0.04458043369922926,-103.20120702389664,-68.74903841235427,-28.0210345439132,-0.0923,-0.7837,-0.5646,-0.2421
5,440985.0,261.205923,1.0,2.61,4.01,-8.51,16.69,-19.69,26.69,2.88,-1.44,0.5,-0.10647943138748817,0.05440508611945205,0.04458043369922926,-103.20120702389664,-68.74903841235427,-28.0210345439132,-0.0923,-0.7837,-0.5646,-0.2421
6,441022.0,261.253539,1.0,2.53,4.11,-8.49,16.25,-19.25,27.06,-2.5,0.31,0.06,-0.04468863506593557,0.15889539377328046,0.0421297772889222,-103.20120702389664,-68.70739234130575,-28.068278987313843,-0.0928,-0.7837,-0.5643,-0.2425
7,441022.0,261.253539,1.0,2.53,4.11,-8.49,16.25,-19.25,27.06,-2.5,0.31,0.06,-0.04468863506593557,0.15889539377328046,0.0421297772889222,-103.20120702389664,-68.70739234130575,-28.068278987313843,-0.0928,-0.7837,-0.5643,-0.2425
8,441057.0,261.28851000000003,1.0,2.61,4.14,-8.6,16.25,-19.25,27.06,0.5,-1.19,-0.12,-0.05164183777958264,0.10790408297972752,-0.08766098305824778,-103.20120702389664,-68.70739234130575,-28.056467420340038,-0.0928,-0.7837,-0.5643,-0.2424
9,441057.0,261.28851000000003,1.0,2.61,4.14,-8.6,16.25,-19.25,27.06,0.5,-1.19,-0.12,-0.05164183777958264,0.10790408297972752,-0.08766098305824778,-103.20120702389664,-68.70739234130575,-28.056467420340038,-0.0928,-0.7837,-0.5643,-0.2424
10,441094.0,261.34344500000003,1.0,2.62,4.15,-8.51,16.0,-20.0,27.06,-1.0,1.63,-0.12,-0.003362942584386519,0.09214153410337243,-0.016714934090062528,-103.18276029513798,-68.70739234130575,-28.091903034402694,-0.0929,-0.7836,-0.5643,-0.2427
11,441094.0,261.34344500000003,1.0,2.62,4.15,-8.51,16.0,-20.0,27.06,-1.0,1.63,-0.12,-0.003362942584386519,0.09214153410337243,-0.016714934090062528,-103.18276029513798,-68.70739234130575,-28.091903034402694,-0.0929,-0.7836,-0.5643,-0.2427
