,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1314035.0,919.8497470000001,1.0,4.02,-0.23,-9.14,-14.25,-19.87,34.88,3.75,4.06,-0.56,0.025439608548148473,0.0740987382092049,-0.18068008382684295,-156.36226771891504,-0.1833465726697912,-23.588755762396122,0.0159,-0.9788,-0.0016,-0.2044
1,1314035.0,919.8497470000001,1.0,4.02,-0.23,-9.14,-14.25,-19.87,34.88,3.75,4.06,-0.56,0.025439608548148473,0.0740987382092049,-0.18068008382684295,-156.36226771891504,-0.1833465726697912,-23.588755762396122,0.0159,-0.9788,-0.0016,-0.2044
2,1314070.0,919.8754119999999,1.0,3.75,-0.36,-8.85,-14.25,-19.87,34.88,0.69,-2.06,0.31,-0.10959242309514627,-0.05157283919482583,0.18896162164953798,-156.30638493987288,-0.20626491763025406,-23.600462193143148,0.0167,-0.9787,-0.0018,-0.2045
3,1314070.0,919.8754119999999,1.0,3.75,-0.36,-8.85,-14.25,-19.87,34.88,0.69,-2.06,0.31,-0.10959242309514627,-0.05157283919482583,0.18896162164953798,-156.30638493987288,-0.20626491763025406,-23.600462193143148,0.0167,-0.9787,-0.0018,-0.2045
4,1314105.0,919.9576210000001,1.0,3.84,-0.32,-9.14,-14.69,-19.87,34.5,-1.94,1.69,-2.38,-0.14919340493970068,-0.011237170582577977,-0.11127392862134222,-156.25063177900063,-0.2635608181333149,-23.63558298502357,0.0163,-0.9786,-0.0023,-0.2048
5,1314105.0,919.9576210000001,1.0,3.84,-0.32,-9.14,-14.69,-19.87,34.5,-1.94,1.69,-2.38,-0.14919340493970068,-0.011237170582577977,-0.11127392862134222,-156.25063177900063,-0.2635608181333149,-23.63558298502357,0.0163,-0.9786,-0.0023,-0.2048
6,1314140.0,919.968762,1.0,4.07,-0.36,-8.99,-14.69,-19.87,34.88,4.13,3.19,-0.56,0.10914963322754832,-0.04829573062901635,-0.06757674845829698,-156.19500732541925,-0.27502000568243146,-23.705831329603118,0.0167,-0.9785,-0.0024,-0.2054
7,1314140.0,919.968762,1.0,4.07,-0.36,-8.99,-14.69,-19.87,34.88,4.13,3.19,-0.56,0.10914963322754832,-0.04829573062901635,-0.06757674845829698,-156.19500732541925,-0.27502000568243146,-23.705831329603118,0.0167,-0.9785,-0.0024,-0.2054
8,1314174.0,920.0146619999999,1.0,4.11,-0.45,-9.16,-14.69,-19.87,34.88,-1.37,-1.56,-0.44,0.07033188315625939,-0.1238827091534382,-0.2422258824350365,-156.19500732541925,-0.3093975852894872,-23.740958889771715,0.0172,-0.9785,-0.0027,-0.2057
9,1314174.0,920.0146619999999,1.0,4.11,-0.45,-9.16,-14.69,-19.87,34.88,-1.37,-1.56,-0.44,0.07033188315625939,-0.1238827091534382,-0.2422258824350365,-156.19500732541925,-0.3093975852894872,-23.740958889771715,0.0172,-0.9785,-0.0027,-0.2057
10,1314209.0,920.069833,1.0,3.94,-0.19,-9.21,-15.38,-19.87,34.06,2.75,1.63,0.75,-0.09633306101696718,0.13030546615851607,-0.21121107045033585,-156.19500732541925,-0.28647919598176924,-23.705831329603118,0.0168,-0.9785,-0.0025,-0.2054
11,1314209.0,920.069833,1.0,3.94,-0.19,-9.21,-15.38,-19.87,34.06,2.75,1.63,0.75,-0.09633306101696718,0.13030546615851607,-0.21121107045033585,-156.19500732541925,-0.28647919598176924,-23.705831329603118,0.0168,-0.9785,-0.0025,-0.2054
12,1314244.0,920.0766169999999,1.0,4.14,-0.48,-9.08,-15.06,-19.87,34.88,2.69,1.12,1.0,0.1254198878250569,-0.14397742300915356,-0.18234095771948236,-156.13951067883625,-0.28647919598176924,-23.76437852052494,0.0178,-0.9784,-0.0025,-0.2059
13,1314244.0,920.0766169999999,1.0,4.14,-0.48,-9.08,-15.06,-19.87,34.88,2.69,1.12,1.0,0.1254198878250569,-0.14397742300915356,-0.18234095771948236,-156.13951067883625,-0.28647919598176924,-23.76437852052494,0.0178,-0.9784,-0.0025,-0.2059
14,1314279.0,920.092909,1.0,4.01,-0.41,-9.07,-14.25,-19.87,34.88,-0.5,-0.19,0.31,0.0157713279249206,-0.07156801161451863,-0.11845600875018647,-156.19500732541925,-0.2521016332198253,-23.740958889771715,0.0179,-0.9785,-0.0022,-0.2057
15,1314279.0,920.092909,1.0,4.01,-0.41,-9.07,-14.25,-19.87,34.88,-0.5,-0.19,0.31,0.0157713279249206,-0.07156801161451863,-0.11845600875018647,-156.19500732541925,-0.2521016332198253,-23.740958889771715,0.0179,-0.9785,-0.0022,-0.2057
16,1314314.0,920.1339800000001,1.0,3.87,-0.41,-9.08,-14.25,-19.87,34.88,-1.19,-0.63,0.44,-0.11447266793876497,-0.07164079602274602,-0.07126291744567581,-156.19500732541925,-0.2521016332198253,-23.729249451725817,0.0179,-0.9785,-0.0022,-0.2056
17,1314314.0,920.1339800000001,1.0,3.87,-0.41,-9.08,-14.25,-19.87,34.88,-1.19,-0.63,0.44,-0.11447266793876497,-0.07164079602274602,-0.07126291744567581,-156.19500732541925,-0.2521016332198253,-23.729249451725817,0.0179,-0.9785,-0.0022,-0.2056
