,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,227293.0,132.94222,1.0,6.67,3.11,6.36,-26.56,-30.06,-19.69,2.75,4.0,1.56,-0.0975044830587836,-0.0242750545141206,0.08037097883718937,-42.274097288223146,-23.179187018494158,-130.76254599505174,0.0565,-0.3606,-0.2009,-0.9091
1,227293.0,132.94222,1.0,6.67,3.11,6.36,-26.56,-30.06,-19.69,2.75,4.0,1.56,-0.0975044830587836,-0.0242750545141206,0.08037097883718937,-42.274097288223146,-23.179187018494158,-130.76254599505174,0.0565,-0.3606,-0.2009,-0.9091
2,227328.0,132.987376,1.0,6.66,3.19,6.28,-25.5,-30.37,-17.25,1.0,1.37,1.81,-0.12754942301606995,0.08942431468747514,0.1140840633333351,-42.21267498362913,-23.16748949044666,-130.79006103529238,0.0572,-0.3601,-0.2008,-0.9092
3,227328.0,132.987376,1.0,6.66,3.19,6.28,-25.5,-30.37,-17.25,1.0,1.37,1.81,-0.12754942301606995,0.08942431468747514,0.1140840633333351,-42.21267498362913,-23.16748949044666,-130.79006103529238,0.0572,-0.3601,-0.2008,-0.9092
4,227362.0,132.990755,1.0,6.66,3.16,6.41,-26.19,-30.06,-17.25,0.5,-0.44,1.0,-0.05128595310359217,0.012064602703891314,0.03799992967933896,-42.21267498362913,-23.16748949044666,-130.79006103529238,0.0576,-0.3601,-0.2008,-0.9092
5,227362.0,132.990755,1.0,6.66,3.16,6.41,-26.19,-30.06,-17.25,0.5,-0.44,1.0,-0.05128595310359217,0.012064602703891314,0.03799992967933896,-42.21267498362913,-23.16748949044666,-130.79006103529238,0.0576,-0.3601,-0.2008,-0.9092
6,227399.0,133.060596,1.0,6.78,3.24,6.2,-25.75,-30.37,-17.69,3.94,-7.19,2.5,-0.2176645996656848,0.15059253122569596,0.06827518632644569,-42.4092712076169,-23.2493773342699,-130.57034285366944,0.0579,-0.3617,-0.2015,-0.9084
7,227399.0,133.060596,1.0,6.78,3.24,6.2,-25.75,-30.37,-17.69,3.94,-7.19,2.5,-0.2176645996656848,0.15059253122569596,0.06827518632644569,-42.4092712076169,-23.2493773342699,-130.57034285366944,0.0579,-0.3617,-0.2015,-0.9084
8,227432.0,133.08701000000002,1.0,7.4,4.11,6.03,-25.75,-30.37,-17.69,16.87,-21.69,7.0,-0.4738452410212492,0.9456525268476126,-0.5323157116187538,-42.852092757216354,-23.49511329436541,-130.02500909601727,0.059000000000000004,-0.3653,-0.2036,-0.9064
9,227432.0,133.08701000000002,1.0,7.4,4.11,6.03,-25.75,-30.37,-17.69,16.87,-21.69,7.0,-0.4738452410212492,0.9456525268476126,-0.5323157116187538,-42.852092757216354,-23.49511329436541,-130.02500909601727,0.059000000000000004,-0.3653,-0.2036,-0.9064
10,227469.0,133.137393,1.0,8.87,4.64,4.55,-26.56,-30.37,-17.69,58.44,-75.5,23.37,-1.9349779533899896,1.802304545136072,-0.866520037363621,-44.65497713304196,-24.87799095241944,-127.53298072808481,0.0679,-0.3799,-0.2154,-0.897
11,227469.0,133.137393,1.0,8.87,4.64,4.55,-26.56,-30.37,-17.69,58.44,-75.5,23.37,-1.9349779533899896,1.802304545136072,-0.866520037363621,-44.65497713304196,-24.87799095241944,-127.53298072808481,0.0679,-0.3799,-0.2154,-0.897
12,227504.0,133.155577,1.0,10.45,5.31,2.79,-27.25,-30.37,-16.5,100.19,-257.81,25.19,-2.927487014924565,2.562618115891,-1.5970997416225043,-49.99769103660335,-27.312945744821853,-121.40719542947477,0.0714,-0.4226,-0.2361,-0.8721
13,227504.0,133.155577,1.0,10.45,5.31,2.79,-27.25,-30.37,-16.5,100.19,-257.81,25.19,-2.927487014924565,2.562618115891,-1.5970997416225043,-49.99769103660335,-27.312945744821853,-121.40719542947477,0.0714,-0.4226,-0.2361,-0.8721
14,227538.0,133.197425,1.0,11.4,5.64,3.19,-27.25,-30.37,-16.5,171.69,-424.44,19.06,-0.12758588858815575,0.8788736139022699,-3.2760486135055316,-63.484648540415236,-32.818938689500946,-106.10755148916279,0.0687,-0.5261,-0.2825,-0.7992
15,227538.0,133.197425,1.0,11.4,5.64,3.19,-27.25,-30.37,-16.5,171.69,-424.44,19.06,-0.12758588858815575,0.8788736139022699,-3.2760486135055316,-63.484648540415236,-32.818938689500946,-106.10755148916279,0.0687,-0.5261,-0.2825,-0.7992
16,227573.0,133.20511399999998,1.0,10.26,4.33,1.36,-31.0,-31.87,-8.75,167.38,-440.38,8.5,1.3888132622400062,-0.8810933927442341,-1.291141318811542,-78.75099556338243,-38.80472209856705,-88.15009751242157,0.0579,-0.6344,-0.3322,-0.6956
17,227573.0,133.20511399999998,1.0,10.26,4.33,1.36,-31.0,-31.87,-8.75,167.38,-440.38,8.5,1.3888132622400062,-0.8810933927442341,-1.291141318811542,-78.75099556338243,-38.80472209856705,-88.15009751242157,0.0579,-0.6344,-0.3322,-0.6956
18,227610.0,133.266425,1.0,9.38,4.74,-0.66,-32.06,-30.75,5.06,149.81,-421.38,-21.87,2.024060169552997,-0.5025598890276362,-0.515085027986796,-89.07886878573439,-42.82747400563139,-75.28026949834307,0.0443,-0.7014,-0.3651,-0.6107
19,227610.0,133.266425,1.0,9.38,4.74,-0.66,-32.06,-30.75,5.06,149.81,-421.38,-21.87,2.024060169552997,-0.5025598890276362,-0.515085027986796,-89.07886878573439,-42.82747400563139,-75.28026949834307,0.0443,-0.7014,-0.3651,-0.6107
20,227647.0,133.28581100000002,1.0,8.75,4.06,-3.45,-32.06,-30.75,5.06,146.06,-364.69,-40.56,1.5540311947602201,-0.9755584850651452,-0.2721332940256005,-99.76062013582626,-47.95777627551156,-59.920624504637715,0.0249,-0.7647,-0.4064,-0.4994
21,227647.0,133.28581100000002,1.0,8.75,4.06,-3.45,-32.06,-30.75,5.06,146.06,-364.69,-40.56,1.5540311947602201,-0.9755584850651452,-0.2721332940256005,-99.76062013582626,-47.95777627551156,-59.920624504637715,0.0249,-0.7647,-0.4064,-0.4994
22,227682.0,133.33453500000002,1.0,6.53,4.32,-4.14,-27.25,-28.87,20.87,116.31,-227.19,-51.75,1.8631077410660493,-0.03302616912834022,1.1480912967669674,-104.55812296797363,-51.17639894970855,-51.328910831615794,0.0142,-0.7909999999999999,-0.4319,-0.4331
23,227682.0,133.33453500000002,1.0,6.53,4.32,-4.14,-27.25,-28.87,20.87,116.31,-227.19,-51.75,1.8631077410660493,-0.03302616912834022,1.1480912967669674,-104.55812296797363,-51.17639894970855,-51.328910831615794,0.0142,-0.7909999999999999,-0.4319,-0.4331
24,227717.0,133.355251,1.0,6.46,3.02,-8.14,-17.19,-26.75,31.0,115.62,-164.63,-46.63,-0.5346232405696014,-0.0574438014340819,-1.0017947632543152,-107.31714138517356,-55.135868994465206,-43.39423340067783,0.0139,-0.8055,-0.4628,-0.3697
25,227717.0,133.355251,1.0,6.46,3.02,-8.14,-17.19,-26.75,31.0,115.62,-164.63,-46.63,-0.5346232405696014,-0.0574438014340819,-1.0017947632543152,-107.31714138517356,-55.135868994465206,-43.39423340067783,0.0139,-0.8055,-0.4628,-0.3697
26,227753.0,133.400521,1.0,5.3,3.38,-7.4,-9.88,-23.75,35.38,96.56,-175.13,-43.94,0.6168029811594449,0.09727704195604804,0.11724902473113907,-109.29346359122705,-57.51453883608689,-37.49522418973963,0.0099,-0.8156,-0.4811,-0.3214
27,227753.0,133.400521,1.0,5.3,3.38,-7.4,-9.88,-23.75,35.38,96.56,-175.13,-43.94,0.6168029811594449,0.09727704195604804,0.11724902473113907,-109.29346359122705,-57.51453883608689,-37.49522418973963,0.0099,-0.8156,-0.4811,-0.3214
28,227786.0,133.466515,1.0,4.82,3.05,-7.77,-9.88,-23.75,35.38,102.44,-131.38,-48.63,0.9221024680887292,-0.2346503726978557,0.2148583925401386,-110.32991436609802,-60.68925941563211,-30.876538373720194,0.0118,-0.8208,-0.5052,-0.2662
29,227786.0,133.466515,1.0,4.82,3.05,-7.77,-9.88,-23.75,35.38,102.44,-131.38,-48.63,0.9221024680887292,-0.2346503726978557,0.2148583925401386,-110.32991436609802,-60.68925941563211,-30.876538373720194,0.0118,-0.8208,-0.5052,-0.2662
