acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
3.62,2.61,8.42,0.0674430896419123,0.3304159577654382,0.2830384621161937,-20.867676487915,-16.570331326030242,-150.43438697810743
3.62,2.61,8.42,0.0674430896419123,0.3304159577654382,0.2830384621161937,-20.867676487915,-16.570331326030242,-150.43438697810743
3.49,2.82,8.42,0.2016636418859068,0.5340750628617197,0.2828379689501155,-20.56480245757989,-16.477696648278283,-150.56941987552764
3.49,2.82,8.42,0.2016636418859068,0.5340750628617197,0.2828379689501155,-20.56480245757989,-16.477696648278283,-150.56941987552764
3.67,3.17,8.13,-0.020431350239394,1.0199853291701804,0.3952785543389066,-20.01766618340029,-16.419805484293857,-150.70506138327715
3.67,3.17,8.13,-0.020431350239394,1.0199853291701804,0.3952785543389066,-20.01766618340029,-16.419805484293857,-150.70506138327715
4.05,3.3,7.25,-0.5987374054720719,1.4781442373777571,1.013948302979026,-19.784982749875187,-16.674558377811383,-150.38950981826167
4.05,3.3,7.25,-0.5987374054720719,1.4781442373777571,1.013948302979026,-19.784982749875187,-16.674558377811383,-150.38950981826167
5.8,4.16,7.19,-1.5718226149609626,2.409970875410693,0.0925821575989829,-21.75385480831424,-18.08882279446736,-147.6025936178383
5.8,4.16,7.19,-1.5718226149609626,2.409970875410693,0.0925821575989829,-21.75385480831424,-18.08882279446736,-147.6025936178383
7.39,4.64,7.33,-1.9066887706697808,2.598815351492146,-1.1241000520618627,-26.25279302590076,-20.63468349632429,-142.31146828862353
7.39,4.64,7.33,-1.9066887706697808,2.598815351492146,-1.1241000520618627,-26.25279302590076,-20.63468349632429,-142.31146828862353
8.47,4.22,6.56,-1.5530474687447735,1.5679968820397532,-1.4943379806032446,-35.143514652215984,-25.98223545272544,-131.76235907719015
8.47,4.22,6.56,-1.5530474687447735,1.5679968820397532,-1.4943379806032446,-35.143514652215984,-25.98223545272544,-131.76235907719015
8.73,4.19,6.06,-0.5956156572462643,0.7983170310346686,-1.5731800473602444,-42.47073434166396,-30.19946487135094,-123.09201996316364
8.73,4.19,6.06,-0.5956156572462643,0.7983170310346686,-1.5731800473602444,-42.47073434166396,-30.19946487135094,-123.09201996316364
10.88,3.68,3.96,-1.6289347905743246,0.4414317461333963,-2.2245639645823854,-51.34162455414572,-35.793182116680164,-111.84900177480624
10.88,3.68,3.96,-1.6289347905743246,0.4414317461333963,-2.2245639645823854,-51.34162455414572,-35.793182116680164,-111.84900177480624
11.03,3.17,3.39,-0.5093860655569015,-1.0538277427728486,-2.102668743101084,-60.49018686629133,-40.87678270719479,-100.52834892064112
11.03,3.17,3.39,-0.5093860655569015,-1.0538277427728486,-2.102668743101084,-60.49018686629133,-40.87678270719479,-100.52834892064112
10.53,2.37,0.93,-1.3306118904706477,-0.5952783611010835,-0.9282377809571418,-66.26813997300863,-43.5175891368055,-93.48813148907244
10.53,2.37,0.93,-1.3306118904706477,-0.5952783611010835,-0.9282377809571418,-66.26813997300863,-43.5175891368055,-93.48813148907244
11.45,1.48,0.18,-1.2650875283144694,-1.6384907396116697,-1.552936332341071,-73.69682949726199,-45.37440798509372,-85.15704595460248
11.45,1.48,0.18,-1.2650875283144694,-1.6384907396116697,-1.552936332341071,-73.69682949726199,-45.37440798509372,-85.15704595460248
10.8,1.52,-0.17,-0.1952072096324475,-1.8438867741946685,-0.9423627783558608,-80.06170285521922,-45.57320299258629,-79.01808630319101
10.8,1.52,-0.17,-0.1952072096324475,-1.8438867741946685,-0.9423627783558608,-80.06170285521922,-45.57320299258629,-79.01808630319101
9.49,2.58,-1.4,1.0990102352459443,-0.5902330046574091,-0.0483132928305618,-87.8633393777306,-45.2750645639147,-71.64837292642449
9.49,2.58,-1.4,1.0990102352459443,-0.5902330046574091,-0.0483132928305618,-87.8633393777306,-45.2750645639147,-71.64837292642449
9.84,1.01,-3.85,-0.8267610372214433,-0.5078474965581523,-0.7634378476752577,-92.78805970081837,-45.16334612512468,-66.59687161580996
9.84,1.01,-3.85,-0.8267610372214433,-0.5078474965581523,-0.7634378476752577,-92.78805970081837,-45.16334612512468,-66.59687161580996
8.96,1.18,-3.63,0.504440423945676,-0.8954372679934819,0.121887124339187,-100.6898195801236,-43.81385964623059,-59.590233417807454
8.96,1.18,-3.63,0.504440423945676,-0.8954372679934819,0.121887124339187,-100.6898195801236,-43.81385964623059,-59.590233417807454
7.06,3.22,-3.21,2.5549788527741604,0.5797837898710565,1.82842752761434,-107.27847580775386,-43.024482231439535,-53.33343845721146
7.06,3.22,-3.21,2.5549788527741604,0.5797837898710565,1.82842752761434,-107.27847580775386,-43.024482231439535,-53.33343845721146
6.37,1.89,-4.41,1.0708580205744742,0.2948446301439523,1.9095980346241483,-110.1495692444103,-43.62865462912293,-49.54293879660048
