acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
6.13,5.5,5.2,0.016991902600938,0.003507890748426,0.0667013877152076,-55.09709191896828,-16.223006993376618,-105.08411822562071
6.13,5.5,5.2,0.016991902600938,0.003507890748426,0.0667013877152076,-55.09709191896828,-16.223006993376618,-105.08411822562071
6.21,5.59,5.17,-0.0793415850632299,0.0039375573588431,-0.0185619269012065,-55.05832168724145,-16.223006993376618,-105.12180982139752
6.21,5.59,5.17,-0.0793415850632299,0.0039375573588431,-0.0185619269012065,-55.05832168724145,-16.223006993376618,-105.12180982139752
6.11,5.56,5.11,-0.083462088685694,0.0483251784403195,0.0933344611697624,-55.07124433789578,-16.223006993376618,-105.1029620001446
6.11,5.56,5.11,-0.083462088685694,0.0483251784403195,0.0933344611697624,-55.07124433789578,-16.223006993376618,-105.1029620001446
6.2,5.48,5.1,-0.0860117234845544,-0.0691375107514407,0.0871735743878527,-55.05832168724145,-16.2114321173387,-105.140661692498
6.2,5.48,5.1,-0.0860117234845544,-0.0691375107514407,0.0871735743878527,-55.05832168724145,-16.2114321173387,-105.140661692498
6.32,5.51,5.13,-0.1189552260521214,-0.1206745793088197,-0.0214061302886108,-55.03247866420509,-16.17670848781425,-105.23498190512574
6.32,5.51,5.13,-0.1189552260521214,-0.1206745793088197,-0.0214061302886108,-55.03247866420509,-16.17670848781425,-105.23498190512574
7.48,6.35,4.46,-1.4020090346371628,-0.4182539201055242,-0.8715490206734877,-55.135868994465206,-16.118839093056636,-105.27273844868162
7.48,6.35,4.46,-1.4020090346371628,-0.4182539201055242,-0.8715490206734877,-55.135868994465206,-16.118839093056636,-105.27273844868162
7.3,6.24,4.15,-1.4210974974640802,-0.3345047166617832,-0.5528233696859495,-56.00369069764568,-15.979969398223384,-104.67057274431014
7.3,6.24,4.15,-1.4210974974640802,-0.3345047166617832,-0.5528233696859495,-56.00369069764568,-15.979969398223384,-104.67057274431014
7.81,5.1,4.79,-0.2616641611150755,-1.290918220546176,-0.5960064883519003,-57.540683062151366,-15.979969398223384,-103.71924706500204
7.81,5.1,4.79,-0.2616641611150755,-1.290918220546176,-0.5960064883519003,-57.540683062151366,-15.979969398223384,-103.71924706500204
8.94,6.03,4.19,-1.175567261168772,-1.26406899991448,-1.6327892859931443,-59.497821729807775,-15.459416628401115,-102.66776223181776
8.94,6.03,4.19,-1.175567261168772,-1.26406899991448,-1.6327892859931443,-59.497821729807775,-15.459416628401115,-102.66776223181776
9.56,7.78,3.64,-1.8678286098697248,0.0802041625607743,-2.908552852351985,-63.417287490539216,-14.292215737283833,-100.6359655604961
9.56,7.78,3.64,-1.8678286098697248,0.0802041625607743,-2.908552852351985,-63.417287490539216,-14.292215737283833,-100.6359655604961
10.17,6.99,4.12,-0.0680605512446809,-0.2685671080098793,-3.2005264603183377,-69.22175419689292,-13.8765501759761,-96.43851781128038
10.17,6.99,4.12,-0.0680605512446809,-0.2685671080098793,-3.2005264603183377,-69.22175419689292,-13.8765501759761,-96.43851781128038
10.39,7.0,3.29,0.1241856028475277,-0.1385345702769851,-3.1448590282516324,-74.05524812454561,-13.461068017168213,-92.6220377436676
10.39,7.0,3.29,0.1241856028475277,-0.1385345702769851,-3.1448590282516324,-74.05524812454561,-13.461068017168213,-92.6220377436676
10.64,10.18,2.19,-0.4237257390733783,2.6514128269056725,-4.836729613988251,-80.93249704821434,-12.561458728935325,-87.14944663280797
10.64,10.18,2.19,-0.4237257390733783,2.6514128269056725,-4.836729613988251,-80.93249704821434,-12.561458728935325,-87.14944663280797
11.15,6.53,2.02,1.6378471035996598,-0.3801864426430752,-3.163188670317398,-86.0943036593405,-13.461068017168213,-82.41683612578922
11.15,6.53,2.02,1.6378471035996598,-0.3801864426430752,-3.163188670317398,-86.0943036593405,-13.461068017168213,-82.41683612578922
10.04,8.68,0.41,0.8866488140889824,1.9274618120280351,-3.3010135920994004,-92.39002905922057,-13.922726077012074,-76.85151070141964
10.04,8.68,0.41,0.8866488140889824,1.9274618120280351,-3.3010135920994004,-92.39002905922057,-13.922726077012074,-76.85151070141964
9.38,7.45,-0.51,1.1060207260681558,1.3161491289995224,-2.058908125252328,-97.30210096200072,-14.61564163128423,-72.59812617311991
9.38,7.45,-0.51,1.1060207260681558,1.3161491289995224,-2.058908125252328,-97.30210096200072,-14.61564163128423,-72.59812617311991
8.58,5.75,-0.39,2.3935270640102693,0.5969281649346899,-0.2305659964682487,-103.6079880821084,-16.2114321173387,-67.02240272652745
8.58,5.75,-0.39,2.3935270640102693,0.5969281649346899,-0.2305659964682487,-103.6079880821084,-16.2114321173387,-67.02240272652745
7.93,5.61,-2.63,1.0394482773221934,0.6083702664414838,-0.1845127400258999,-108.93776167014931,-17.253853117357277,-62.423176652141294
7.93,5.61,-2.63,1.0394482773221934,0.6083702664414838,-0.1845127400258999,-108.93776167014931,-17.253853117357277,-62.423176652141294
6.9,4.18,-3.4,0.510791300651192,-0.0894145733103157,1.0674568289310145,-112.91993898771476,-18.06561632088332,-58.891598569681705
6.9,4.18,-3.4,0.510791300651192,-0.0894145733103157,1.0674568289310145,-112.91993898771476,-18.06561632088332,-58.891598569681705
5.81,3.53,-2.91,1.060946180765894,0.1874370523131268,2.490615517239656,-118.00727569803878,-18.843446306043923,-54.46469598924939
5.81,3.53,-2.91,1.060946180765894,0.1874370523131268,2.490615517239656,-118.00727569803878,-18.843446306043923,-54.46469598924939
5.58,3.36,-4.41,0.1024361741839217,0.1799248834760312,1.943366088902506,-121.2668396082864,-19.09904255892851,-51.79977218612414
5.58,3.36,-4.41,0.1024361741839217,0.1799248834760312,1.943366088902506,-121.2668396082864,-19.09904255892851,-51.79977218612414
4.5,1.88,-4.17,-0.0965675455329378,-0.3800690219407896,3.402001512556625,-125.39569465421296,-19.192010366536685,-48.397106226699925
4.5,1.88,-4.17,-0.0965675455329378,-0.3800690219407896,3.402001512556625,-125.39569465421296,-19.192010366536685,-48.397106226699925
4.4,1.83,-4.4,-0.0617806818966714,-0.1964272494587202,3.3238651444757563,-128.0800345447506,-18.773754707559725,-46.29505700445262
4.4,1.83,-4.4,-0.0617806818966714,-0.1964272494587202,3.3238651444757563,-128.0800345447506,-18.773754707559725,-46.29505700445262
