acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
6.68,5.15,-5.06,-0.0217097793602456,-0.0344320992950391,-0.029347311712641,-120.06296278033024,8.1313637329408,-42.86440291129757
6.68,5.15,-5.06,-0.0217097793602456,-0.0344320992950391,-0.029347311712641,-120.06296278033024,8.1313637329408,-42.86440291129757
6.72,5.14,-5.15,-0.0418533231457606,-0.1035555334231497,-0.0972898499202905,-120.06296278033024,8.1313637329408,-42.86440291129757
6.72,5.14,-5.15,-0.0418533231457606,-0.1035555334231497,-0.0972898499202905,-120.06296278033024,8.1313637329408,-42.86440291129757
6.69,5.14,-5.18,-0.0786046268354017,-0.1211039060757617,-0.0922012038808439,-120.06296278033024,8.119875707408232,-42.852092757216354
6.69,5.14,-5.18,-0.0786046268354017,-0.1211039060757617,-0.0922012038808439,-120.06296278033024,8.119875707408232,-42.852092757216354
6.72,5.1,-5.07,0.023087138541578,-0.083662845741784,-0.035390820494312,-120.06296278033024,8.1313637329408,-42.8397831220635
6.72,5.1,-5.07,0.023087138541578,-0.083662845741784,-0.035390820494312,-120.06296278033024,8.1313637329408,-42.8397831220635
6.74,5.12,-5.1,0.0150975300881698,-0.0887913057893956,-0.074842203538969,-120.08590691104772,8.1313637329408,-42.82747400563139
6.74,5.12,-5.1,0.0150975300881698,-0.0887913057893956,-0.074842203538969,-120.08590691104772,8.1313637329408,-42.82747400563139
6.68,5.1,-5.18,-0.0653733753439533,-0.1464596279378289,-0.0644733352228144,-120.108859015364,8.1313637329408,-42.815165407712406
6.68,5.1,-5.18,-0.0653733753439533,-0.1464596279378289,-0.0644733352228144,-120.108859015364,8.1313637329408,-42.815165407712406
6.68,5.08,-5.05,0.0180293481737718,-0.0800309510194154,0.0125410568912247,-120.108859015364,8.1313637329408,-42.815165407712406
6.68,5.08,-5.05,0.0180293481737718,-0.0800309510194154,0.0125410568912247,-120.108859015364,8.1313637329408,-42.815165407712406
6.75,5.17,-5.14,-0.0187457786287545,-0.0800130568415906,-0.1283510823612115,-120.06296278033024,8.142851840335263,-42.815165407712406
6.75,5.17,-5.14,-0.0187457786287545,-0.0800130568415906,-0.1283510823612115,-120.06296278033024,8.142851840335263,-42.815165407712406
6.66,5.2,-5.14,-0.0912200717904592,-0.0487922683824382,-0.0829656756998709,-120.06296278033024,8.177316654862214,-42.778242722959625
6.66,5.2,-5.14,-0.0912200717904592,-0.0487922683824382,-0.0829656756998709,-120.06296278033024,8.177316654862214,-42.778242722959625
6.67,5.24,-5.22,-0.142152808692157,-0.0713631231288882,-0.1517434388855214,-120.08590691104772,8.165828301178744,-42.76593619701882
6.67,5.24,-5.22,-0.142152808692157,-0.0713631231288882,-0.1517434388855214,-120.08590691104772,8.165828301178744,-42.76593619701882
6.66,5.26,-5.03,-0.0412005150878076,0.0685787989120854,-0.0583233636688707,-120.108859015364,8.154340029708836,-42.74132469735878
6.66,5.26,-5.03,-0.0412005150878076,0.0685787989120854,-0.0583233636688707,-120.108859015364,8.154340029708836,-42.74132469735878
6.75,5.09,-5.2,-0.0097403298087287,-0.1713249043581091,-0.1171170721919878,-120.17776326239716,8.119875707408232,-42.74132469735878
6.75,5.09,-5.2,-0.0097403298087287,-0.1713249043581091,-0.1171170721919878,-120.17776326239716,8.119875707408232,-42.74132469735878
6.78,5.23,-5.28,-0.084633735431027,-0.1191496626579682,-0.2520944787466188,-120.17776326239716,8.096899901459961,-42.74132469735878
6.78,5.23,-5.28,-0.084633735431027,-0.1191496626579682,-0.2520944787466188,-120.17776326239716,8.096899901459961,-42.74132469735878
6.72,5.14,-5.07,0.0325500179148415,-0.0443828180534606,-0.0564058480521332,-120.20074735368748,8.073924421552888,-42.71671526594671
6.72,5.14,-5.07,0.0325500179148415,-0.0443828180534606,-0.0564058480521332,-120.20074735368748,8.073924421552888,-42.71671526594671
6.88,5.54,-5.22,-0.0783231155520984,0.1575241177145683,-0.4521731119319199,-120.26974778474064,8.050949266749551,-42.69210790112656
6.88,5.54,-5.22,-0.0783231155520984,0.1575241177145683,-0.4521731119319199,-120.26974778474064,8.050949266749551,-42.69210790112656
6.86,5.94,-5.45,-0.3277141014144386,0.3793422795364872,-0.7666372325824131,-120.68528037991206,7.855673444559319,-42.54450701803225
6.86,5.94,-5.45,-0.3277141014144386,0.3793422795364872,-0.7666372325824131,-120.68528037991206,7.855673444559319,-42.54450701803225
7.1,5.59,-5.3,0.0719963050541514,0.2541715958227875,-0.6660914430002727,-121.08017234591216,7.602997386301144,-42.61829818967321
7.1,5.59,-5.3,0.0719963050541514,0.2541715958227875,-0.6660914430002727,-121.08017234591216,7.602997386301144,-42.61829818967321
6.97,5.47,-4.82,0.3061837458933063,0.5978009908287807,-0.257299795637639,-121.6183055994286,7.442222882076424,-42.74132469735878
6.97,5.47,-4.82,0.3061837458933063,0.5978009908287807,-0.257299795637639,-121.6183055994286,7.442222882076424,-42.74132469735878
6.93,7.64,-4.67,-0.4331280624641559,2.5430788726562263,-1.2182558920679938,-121.8536919796764,7.304427851725569,-43.27093047786308
6.93,7.64,-4.67,-0.4331280624641559,2.5430788726562263,-1.2182558920679938,-121.8536919796764,7.304427851725569,-43.27093047786308
7.68,7.09,-4.83,0.0950244853744866,2.1721443694039824,-1.5005229086295433,-122.20841159701892,6.374577915681861,-44.617815884427785
7.68,7.09,-4.83,0.0950244853744866,2.1721443694039824,-1.5005229086295433,-122.20841159701892,6.374577915681861,-44.617815884427785
6.12,6.17,-3.4,0.2334351317771749,2.4815527233936,0.8138359732189482,-122.5651319143896,5.250129975900072,-45.23782004339508
6.12,6.17,-3.4,0.2334351317771749,2.4815527233936,0.8138359732189482,-122.5651319143896,5.250129975900072,-45.23782004339508
5.35,6.97,-2.62,0.0309303804139025,3.7088652352855167,1.4214748689691703,-122.3984110822012,3.335085177891311,-46.56937120855181
5.35,6.97,-2.62,0.0309303804139025,3.7088652352855167,1.4214748689691703,-122.3984110822012,3.335085177891311,-46.56937120855181
6.97,7.33,-3.98,0.1572908893196983,2.937123909905852,-0.6575156482490954,-121.33697927503368,-0.1948057441759901,-48.7113769507911
6.97,7.33,-3.98,0.1572908893196983,2.937123909905852,-0.6575156482490954,-121.33697927503368,-0.1948057441759901,-48.7113769507911
9.19,8.19,-5.36,0.5560554028001893,2.278289191307251,-3.413107968653941,-120.52337099749846,-3.621696182670093,-49.833378319901584
9.19,8.19,-5.36,0.5560554028001893,2.278289191307251,-3.413107968653941,-120.52337099749846,-3.621696182670093,-49.833378319901584
10.7,6.48,-8.67,-0.7266920864038673,-1.309139439280044,-5.339549937280625,-119.56019073883044,-7.614481849246592,-50.808228717792346
10.7,6.48,-8.67,-0.7266920864038673,-1.309139439280044,-5.339549937280625,-119.56019073883044,-7.614481849246592,-50.808228717792346
12.69,4.25,-11.21,-1.0024974337177837,-4.690361688352816,-6.979004772090996,-120.68528037991206,-12.572987144073346,-50.08621261381583
12.69,4.25,-11.21,-1.0024974337177837,-4.690361688352816,-6.979004772090996,-120.68528037991206,-12.572987144073346,-50.08621261381583
12.9,3.82,-10.58,0.8769261908750745,-4.404808005048201,-6.709023370904999,-125.22107317255428,-15.898972996932857,-46.03347327955085
12.9,3.82,-10.58,0.8769261908750745,-4.404808005048201,-6.709023370904999,-125.22107317255428,-15.898972996932857,-46.03347327955085
10.26,2.45,-10.15,0.4263890635606832,-3.940966610362701,-4.285176515483442,-129.72743673627951,-17.26544349477142,-41.9548397514564
10.26,2.45,-10.15,0.4263890635606832,-3.940966610362701,-4.285176515483442,-129.72743673627951,-17.26544349477142,-41.9548397514564
8.42,2.71,-8.99,1.5171151875960909,-1.8444352406592817,-2.577090151932268,-137.11973135242658,-17.578451378167774,-35.73297808318577
8.42,2.71,-8.99,1.5171151875960909,-1.8444352406592817,-2.577090151932268,-137.11973135242658,-17.578451378167774,-35.73297808318577
5.87,1.56,-7.35,1.4001246183183962,-1.0339993954431963,0.4320302048615403,-143.9049982588089,-17.137959104392678,-29.99774061096053
5.87,1.56,-7.35,1.4001246183183962,-1.0339993954431963,0.4320302048615403,-143.9049982588089,-17.137959104392678,-29.99774061096053
3.23,0.22,-6.12,0.5478820827946382,-0.6202577616910481,2.932727863954624,-152.1444912618588,-15.841123321226055,-22.617979384064764
3.23,0.22,-6.12,0.5478820827946382,-0.6202577616910481,2.932727863954624,-152.1444912618588,-15.841123321226055,-22.617979384064764
2.97,-0.59,-6.76,0.568050743484762,-0.7263562187766388,2.4570700802854786,-156.92843283344138,-14.280666944469896,-17.856791554733764
2.97,-0.59,-6.76,0.568050743484762,-0.7263562187766388,2.4570700802854786,-156.92843283344138,-14.280666944469896,-17.856791554733764
2.27,-0.79,-6.92,0.7364244631903758,-0.0954451405277776,2.5188540893584026,-161.4314273445042,-12.019765115233204,-11.478340954533572
2.27,-0.79,-6.92,0.7364244631903758,-0.0954451405277776,2.5188540893584026,-161.4314273445042,-12.019765115233204,-11.478340954533572
1.64,-0.6,-6.2,1.044899944355147,0.5049564395293437,3.4708151615225584,-163.30044367130742,-10.120125690641803,-5.307486603594608
