,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1409734.0,1318.752328,1.0,10.38,3.52,-5.41,-27.37,-27.06,13.19,-0.12,-15.81,-8.19,0.11511019384994416,-0.8097679857558029,-2.3890019076479376,-115.49402564842946,-4.034456312516312,-59.80162063871753,-0.187,-0.8457,-0.0352,-0.4985
1,1409734.0,1318.752328,1.0,10.38,3.52,-5.41,-27.37,-27.06,13.19,-0.12,-15.81,-8.19,0.11511019384994416,-0.8097679857558029,-2.3890019076479376,-115.49402564842946,-4.034456312516312,-59.80162063871753,-0.187,-0.8457,-0.0352,-0.4985
2,1409771.0,1318.804604,1.0,12.33,3.21,-6.61,-28.87,-27.5,12.0,5.06,-50.13,-15.69,0.5557378492151377,-1.9637261985527523,-4.40109559386771,-117.10092120050626,-4.206454848857137,-57.98563819390608,-0.1893,-0.8531,-0.0367,-0.4847
3,1409771.0,1318.804604,1.0,12.33,3.21,-6.61,-28.87,-27.5,12.0,5.06,-50.13,-15.69,0.5557378492151377,-1.9637261985527523,-4.40109559386771,-117.10092120050626,-4.206454848857137,-57.98563819390608,-0.1893,-0.8531,-0.0367,-0.4847
4,1409806.0,1318.8149720000001,1.0,15.62,5.43,-9.79,-28.87,-27.5,12.0,-3.63,-123.44,3.06,0.26118219516785113,-1.4538735895713817,-9.354024190812655,-119.83395800048694,-3.5414428939599265,-55.200512683923186,-0.1888,-0.8653,-0.0309,-0.4633
5,1409806.0,1318.8149720000001,1.0,15.62,5.43,-9.79,-28.87,-27.5,12.0,-3.63,-123.44,3.06,0.26118219516785113,-1.4538735895713817,-9.354024190812655,-119.83395800048694,-3.5414428939599265,-55.200512683923186,-0.1888,-0.8653,-0.0309,-0.4633
6,1409843.0,1318.87964,1.0,17.01,9.0,-12.34,-27.75,-27.5,14.5,5.88,-287.94,-26.87,1.6952707870504464,1.0075367641771695,-12.968920829891507,-127.5070627749377,-2.589989743099661,-46.85645674888645,-0.1921,-0.8969,-0.0226,-0.3976
7,1409843.0,1318.87964,1.0,17.01,9.0,-12.34,-27.75,-27.5,14.5,5.88,-287.94,-26.87,1.6952707870504464,1.0075367641771695,-12.968920829891507,-127.5070627749377,-2.589989743099661,-46.85645674888645,-0.1921,-0.8969,-0.0226,-0.3976
8,1409880.0,1318.888586,1.0,10.78,11.61,-7.97,-25.5,-27.06,18.5,54.56,-411.63,-41.13,3.0887306105254733,6.443680540711492,-6.424804780914097,-137.4975120486347,-1.8908465277120163,-35.9377135193296,-0.1895,-0.932,-0.0165,-0.3085
9,1409880.0,1318.888586,1.0,10.78,11.61,-7.97,-25.5,-27.06,18.5,54.56,-411.63,-41.13,3.0887306105254733,6.443680540711492,-6.424804780914097,-137.4975120486347,-1.8908465277120163,-35.9377135193296,-0.1895,-0.932,-0.0165,-0.3085
10,1409914.0,1318.958767,1.0,5.4,12.43,-6.74,-25.5,-27.06,18.5,124.87,-368.44,-128.81,2.6487607553271704,8.989759128667837,-2.0786685598692305,-151.7661453802759,-3.243374149708243,-20.25043303206116,-0.1669,-0.9698,-0.0283,-0.1758
11,1409914.0,1318.958767,1.0,5.4,12.43,-6.74,-25.5,-27.06,18.5,124.87,-368.44,-128.81,2.6487607553271704,8.989759128667837,-2.0786685598692305,-151.7661453802759,-3.243374149708243,-20.25043303206116,-0.1669,-0.9698,-0.0283,-0.1758
12,1409949.0,1318.977349,1.0,4.26,10.2,-5.43,-17.25,-26.37,24.69,206.75,-364.38,-194.06,5.109977969263615,7.9047963881489025,1.864684297760502,-163.22171672296716,-9.004701785923347,-4.974836229757033,-0.1148,-0.9893,-0.0785,-0.0434
13,1409949.0,1318.977349,1.0,4.26,10.2,-5.43,-17.25,-26.37,24.69,206.75,-364.38,-194.06,5.109977969263615,7.9047963881489025,1.864684297760502,-163.22171672296716,-9.004701785923347,-4.974836229757033,-0.1148,-0.9893,-0.0785,-0.0434
14,1409986.0,1319.035643,1.0,1.39,5.18,-1.97,-5.19,-22.56,31.69,358.19,-345.94,-172.19,2.7675373027195698,4.503376684658788,7.637379220653327,-164.19211217641143,-13.311076762780564,6.707435672786218,-0.0455,-0.9905,-0.1159,0.0585
15,1409986.0,1319.035643,1.0,1.39,5.18,-1.97,-5.19,-22.56,31.69,358.19,-345.94,-172.19,2.7675373027195698,4.503376684658788,7.637379220653327,-164.19211217641143,-13.311076762780564,6.707435672786218,-0.0455,-0.9905,-0.1159,0.0585
