,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,2562633.0,2473.751375,1.0,5.6,1.45,-8.24,-34.69,-13.19,27.37,-0.19,-8.13,-2.19,-0.4973522716479979,0.08322262512709366,-0.24848872169616065,-116.27122992614628,50.808228717792346,-28.61194247203445,-0.1831,-0.8493,0.429,-0.2471
1,2562633.0,2473.751375,1.0,5.6,1.45,-8.24,-34.69,-13.19,27.37,-0.19,-8.13,-2.19,-0.4973522716479979,0.08322262512709366,-0.24848872169616065,-116.27122992614628,50.808228717792346,-28.61194247203445,-0.1831,-0.8493,0.429,-0.2471
2,2562670.0,2473.795257,1.0,5.96,1.87,-8.9,-35.88,-13.56,27.5,3.31,-11.19,-4.94,-0.7863125165908091,0.2708970713338749,-1.0347902826836322,-116.64120406641233,50.681403847895496,-28.292756752714663,-0.1811,-0.851,0.428,-0.2444
3,2562670.0,2473.795257,1.0,5.96,1.87,-8.9,-35.88,-13.56,27.5,3.31,-11.19,-4.94,-0.7863125165908091,0.2708970713338749,-1.0347902826836322,-116.64120406641233,50.681403847895496,-28.292756752714663,-0.1811,-0.851,0.428,-0.2444
4,2562705.0,2473.8271809999997,1.0,5.97,2.01,-9.61,-35.88,-13.56,27.5,8.31,-22.94,-10.06,-1.0224999685781024,0.10198636610661947,-1.6378767527926268,-117.21082255070309,50.503960586262394,-27.855717200127586,-0.1776,-0.8536,0.4266,-0.2407
5,2562705.0,2473.8271809999997,1.0,5.97,2.01,-9.61,-35.88,-13.56,27.5,8.31,-22.94,-10.06,-1.0224999685781024,0.10198636610661947,-1.6378767527926268,-117.21082255070309,50.503960586262394,-27.855717200127586,-0.1776,-0.8536,0.4266,-0.2407
6,2562742.0,2473.874077,1.0,5.68,2.54,-10.19,-34.69,-12.5,27.75,9.75,-49.81,-13.56,-1.5605881118979732,0.19886604491347934,-2.0286834148718924,-118.40897537194479,50.238038297036006,-26.547046453502677,-0.1707,-0.8590000000000001,0.4245,-0.2296
7,2562742.0,2473.874077,1.0,5.68,2.54,-10.19,-34.69,-12.5,27.75,9.75,-49.81,-13.56,-1.5605881118979732,0.19886604491347934,-2.0286834148718924,-118.40897537194479,50.238038297036006,-26.547046453502677,-0.1707,-0.8590000000000001,0.4245,-0.2296
8,2562777.0,2473.901645,1.0,3.59,3.02,-9.25,-34.0,-12.06,29.5,4.81,-81.5,-13.88,-2.5951750932232907,-0.11447625395135508,-0.23441375952243426,-119.67412364784863,50.30132682508742,-24.61989330860375,-0.1624,-0.8646,0.425,-0.2132
9,2562777.0,2473.901645,1.0,3.59,3.02,-9.25,-34.0,-12.06,29.5,4.81,-81.5,-13.88,-2.5951750932232907,-0.11447625395135508,-0.23441375952243426,-119.67412364784863,50.30132682508742,-24.61989330860375,-0.1624,-0.8646,0.425,-0.2132
