,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,356270.0,193.194508,1.0,5.47,2.67,7.7,-3.38,-17.37,-42.06,-1.12,-3.0,-3.56,-0.09610980513190304,-0.3675920887339479,-0.0012773529965439678,-35.805224148583044,6.099150260471113,-97.80638154107426,-0.5786,-0.3074,0.0532,-0.7536
1,356270.0,193.194508,1.0,5.47,2.67,7.7,-3.38,-17.37,-42.06,-1.12,-3.0,-3.56,-0.09610980513190304,-0.3675920887339479,-0.0012773529965439678,-35.805224148583044,6.099150260471113,-97.80638154107426,-0.5786,-0.3074,0.0532,-0.7536
2,356304.0,193.19939499999998,1.0,5.77,2.83,8.06,-2.69,-17.37,-41.56,-4.06,-14.0,-9.19,-0.11791592822336155,-0.3801623608183753,-0.4941738706080336,-35.973855599658116,6.259812004164343,-97.47570497846188,-0.5801,-0.3088,0.0546,-0.7517
3,356304.0,193.19939499999998,1.0,5.77,2.83,8.06,-2.69,-17.37,-41.56,-4.06,-14.0,-9.19,-0.11791592822336155,-0.3801623608183753,-0.4941738706080336,-35.973855599658116,6.259812004164343,-97.47570497846188,-0.5801,-0.3088,0.0546,-0.7517
4,356339.0,193.203866,1.0,6.32,3.3,8.26,-2.69,-17.37,-41.56,-5.63,-21.12,-18.87,-0.46706316643248497,-0.5243008297702063,-1.0821956981658207,-36.46817032738551,6.638563994932457,-96.61064917995199,-0.5841,-0.3129,0.0579,-0.7467
5,356339.0,193.203866,1.0,6.32,3.3,8.26,-2.69,-17.37,-41.56,-5.63,-21.12,-18.87,-0.46706316643248497,-0.5243008297702063,-1.0821956981658207,-36.46817032738551,6.638563994932457,-96.61064917995199,-0.5841,-0.3129,0.0579,-0.7467
6,356374.0,193.248024,1.0,12.02,4.53,6.52,-3.38,-17.37,-41.25,2.38,-67.62,-35.88,-2.6984226638173596,-5.54042095928968,-3.213870370601956,-37.56783922201158,7.1781250358345785,-95.25858813139106,-0.5886,-0.322,0.0626,-0.7388
7,356374.0,193.248024,1.0,12.02,4.53,6.52,-3.38,-17.37,-41.25,2.38,-67.62,-35.88,-2.6984226638173596,-5.54042095928968,-3.213870370601956,-37.56783922201158,7.1781250358345785,-95.25858813139106,-0.5886,-0.322,0.0626,-0.7388
8,356411.0,193.278888,1.0,9.33,3.43,8.87,-4.5,-16.19,-40.75,-12.13,-148.5,-74.5,0.2630527899127627,-1.7282174022497945,-3.4007255091721387,-41.64818266123672,9.22311622194562,-90.73049055841386,-0.6006,-0.3555,0.0804,-0.7116
9,356411.0,193.278888,1.0,9.33,3.43,8.87,-4.5,-16.19,-40.75,-12.13,-148.5,-74.5,0.2630527899127627,-1.7282174022497945,-3.4007255091721387,-41.64818266123672,9.22311622194562,-90.73049055841386,-0.6006,-0.3555,0.0804,-0.7116
10,356446.0,193.32607,1.0,9.94,5.07,8.56,-4.5,-16.19,-40.75,-4.31,-153.56,-86.25,-0.7495379717360299,-1.2652177501660329,-4.1797547157799135,-44.96484726352389,11.294085603048902,-86.36116191059776,-0.6131,-0.3824,0.0984,-0.6843
11,356446.0,193.32607,1.0,9.94,5.07,8.56,-4.5,-16.19,-40.75,-4.31,-153.56,-86.25,-0.7495379717360299,-1.2652177501660329,-4.1797547157799135,-44.96484726352389,11.294085603048902,-86.36116191059776,-0.6131,-0.3824,0.0984,-0.6843
12,356478.0,193.345299,1.0,14.43,5.94,7.15,-9.0,-17.0,-39.56,33.63,-219.13,-86.25,-0.3436069748238595,-3.90971625601142,-6.903438361356215,-51.11288102782698,13.93427040697098,-79.71792602911492,-0.6232,-0.4314,0.1213,-0.6409
13,356478.0,193.345299,1.0,14.43,5.94,7.15,-9.0,-17.0,-39.56,33.63,-219.13,-86.25,-0.3436069748238595,-3.90971625601142,-6.903438361356215,-51.11288102782698,13.93427040697098,-79.71792602911492,-0.6232,-0.4314,0.1213,-0.6409
14,356515.0,193.413387,1.0,12.44,5.15,9.05,-13.88,-17.37,-38.0,74.81,-262.19,-83.69,2.5076471706948453,1.0187144111270805,-6.188740792846175,-60.251565604360856,17.126370676427072,-71.6766411521629,-0.619,-0.5019,0.1489,-0.5855
15,356515.0,193.413387,1.0,12.44,5.15,9.05,-13.88,-17.37,-38.0,74.81,-262.19,-83.69,2.5076471706948453,1.0187144111270805,-6.188740792846175,-60.251565604360856,17.126370676427072,-71.6766411521629,-0.619,-0.5019,0.1489,-0.5855
16,356552.0,193.43653600000002,1.0,10.31,4.78,5.99,-21.5,-18.0,-33.25,75.5,-233.25,-87.56,2.019671817353861,1.07562436210867,-2.8340998979223913,-66.91248837447597,18.959614614971002,-65.66705665174257,-0.6124,-0.5513,0.1647,-0.5422
17,356552.0,193.43653600000002,1.0,10.31,4.78,5.99,-21.5,-18.0,-33.25,75.5,-233.25,-87.56,2.019671817353861,1.07562436210867,-2.8340998979223913,-66.91248837447597,18.959614614971002,-65.66705665174257,-0.6124,-0.5513,0.1647,-0.5422
18,356587.0,193.48639599999998,1.0,9.83,6.14,4.66,-21.5,-18.0,-33.25,73.19,-250.63,-101.25,1.4929039151535992,2.1636736017724294,-2.4053872766018127,-75.97652033503749,21.170698001897183,-57.04449995014843,-0.5995,-0.6155,0.1837,-0.4775
19,356587.0,193.48639599999998,1.0,9.83,6.14,4.66,-21.5,-18.0,-33.25,73.19,-250.63,-101.25,1.4929039151535992,2.1636736017724294,-2.4053872766018127,-75.97652033503749,21.170698001897183,-57.04449995014843,-0.5995,-0.6155,0.1837,-0.4775
20,356624.0,193.506502,1.0,7.65,8.33,0.92,-27.37,-21.25,-26.19,104.81,-257.38,-78.62,-1.7564906820680046,1.0088287585787723,-1.358241625970793,-82.69129653429431,22.64135196781312,-50.630692516856975,-0.585,-0.6606,0.1963,-0.4276
21,356624.0,193.506502,1.0,7.65,8.33,0.92,-27.37,-21.25,-26.19,104.81,-257.38,-78.62,-1.7564906820680046,1.0088287585787723,-1.358241625970793,-82.69129653429431,22.64135196781312,-50.630692516856975,-0.585,-0.6606,0.1963,-0.4276
22,356661.0,193.56121100000001,1.0,7.72,7.41,0.05,-30.37,-25.37,-17.25,150.75,-194.63,-64.06,-0.1963601368671072,1.5356756434175267,-0.781652178105027,-92.48940127300301,23.448298031292186,-43.44356934572808,-0.5477,-0.7223,0.2032,-0.3701
23,356661.0,193.56121100000001,1.0,7.72,7.41,0.05,-30.37,-25.37,-17.25,150.75,-194.63,-64.06,-0.1963601368671072,1.5356756434175267,-0.781652178105027,-92.48940127300301,23.448298031292186,-43.44356934572808,-0.5477,-0.7223,0.2032,-0.3701
24,356696.0,193.58098999999999,1.0,5.15,10.25,-3.51,-30.37,-25.37,-17.25,155.19,-206.81,-33.44,-4.283712216988828,0.5493194954773051,-1.3850057190573573,-99.14020348928251,24.162667241251796,-39.10859227464813,-0.5146,-0.7612,0.2093,-0.3347
25,356696.0,193.58098999999999,1.0,5.15,10.25,-3.51,-30.37,-25.37,-17.25,155.19,-206.81,-33.44,-4.283712216988828,0.5493194954773051,-1.3850057190573573,-99.14020348928251,24.162667241251796,-39.10859227464813,-0.5146,-0.7612,0.2093,-0.3347
