,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,781172.0,741.719149,1.0,5.57,-0.84,-8.28,-20.06,-17.69,33.5,-1.88,-1.0,0.81,-0.18181328670380945,0.09218475363220584,-0.20570965694279764,-144.1275913572786,-5.7663887448030415,-34.56701075551299,0.0633,-0.9514,-0.0503,-0.2971
1,781172.0,741.719149,1.0,5.57,-0.84,-8.28,-20.06,-17.69,33.5,-1.88,-1.0,0.81,-0.18181328670380945,0.09218475363220584,-0.20570965694279764,-144.1275913572786,-5.7663887448030415,-34.56701075551299,0.0633,-0.9514,-0.0503,-0.2971
2,781207.0,741.7533129999999,1.0,5.44,-0.78,-7.87,-20.06,-17.69,32.69,-1.19,-2.06,1.0,-0.0383498481483322,0.09257045880783156,0.20827201206354395,-144.23939029133862,-5.7319679651977244,-34.49501150829637,0.063,-0.9517,-0.05,-0.2965
3,781207.0,741.7533129999999,1.0,5.44,-0.78,-7.87,-20.06,-17.69,32.69,-1.19,-2.06,1.0,-0.0383498481483322,0.09257045880783156,0.20827201206354395,-144.23939029133862,-5.7319679651977244,-34.49501150829637,0.063,-0.9517,-0.05,-0.2965
4,781244.0,741.822657,1.0,5.54,-0.74,-7.98,-20.06,-17.69,32.69,-0.81,2.13,0.5,-0.018682495432305404,0.13929624405437846,0.06499472377733895,-144.20208645663692,-5.697547703194251,-34.53100937438062,0.0627,-0.9516,-0.0497,-0.2968
5,781244.0,741.822657,1.0,5.54,-0.74,-7.98,-20.06,-17.69,32.69,-0.81,2.13,0.5,-0.018682495432305404,0.13929624405437846,0.06499472377733895,-144.20208645663692,-5.697547703194251,-34.53100937438062,0.0627,-0.9516,-0.0497,-0.2968
6,781277.0,741.831384,1.0,5.48,-0.75,-8.12,-20.5,-17.0,34.0,-0.19,0.88,-1.44,-0.15991876003882236,0.15341823418460965,-0.015681130419464395,-144.1275913572786,-5.720494487173099,-34.60301565627788,0.0627,-0.9514,-0.0499,-0.2974
7,781277.0,741.831384,1.0,5.48,-0.75,-8.12,-20.5,-17.0,34.0,-0.19,0.88,-1.44,-0.15991876003882236,0.15341823418460965,-0.015681130419464395,-144.1275913572786,-5.720494487173099,-34.60301565627788,0.0627,-0.9514,-0.0499,-0.2974
8,781312.0,741.851099,1.0,5.44,-0.88,-7.96,-20.37,-18.5,33.5,1.75,0.37,-2.31,-0.12348654792510808,0.0030522076273150627,0.12603319338534116,-144.09039985888563,-5.812283928177061,-34.61501807279963,0.0629,-0.9513,-0.0507,-0.2975
9,781312.0,741.851099,1.0,5.44,-0.88,-7.96,-20.37,-18.5,33.5,1.75,0.37,-2.31,-0.12348654792510808,0.0030522076273150627,0.12603319338534116,-144.09039985888563,-5.812283928177061,-34.61501807279963,0.0629,-0.9513,-0.0507,-0.2975
10,781348.0,741.854511,1.0,5.48,-0.74,-7.81,-20.06,-17.69,33.19,1.75,4.19,-1.69,-0.0026202998332799893,0.12060796614609964,0.2379747075401877,-143.97904817901198,-5.8581800447136345,-34.699045966979874,0.0632,-0.951,-0.0511,-0.2982
11,781348.0,741.854511,1.0,5.48,-0.74,-7.81,-20.06,-17.69,33.19,1.75,4.19,-1.69,-0.0026202998332799893,0.12060796614609964,0.2379747075401877,-143.97904817901198,-5.8581800447136345,-34.699045966979874,0.0632,-0.951,-0.0511,-0.2982
12,781381.0,741.9012389999999,1.0,5.47,0.81,-7.73,-20.06,-17.69,33.19,3.44,6.06,-7.94,0.20561027379367114,1.6344541864848552,0.44629830107369095,-143.64697188895283,-6.2024314124588535,-34.96325925488904,0.0638,-0.9501,-0.0541,-0.3004
13,781381.0,741.9012389999999,1.0,5.47,0.81,-7.73,-20.06,-17.69,33.19,3.44,6.06,-7.94,0.20561027379367114,1.6344541864848552,0.44629830107369095,-143.64697188895283,-6.2024314124588535,-34.96325925488904,0.0638,-0.9501,-0.0541,-0.3004
14,781418.0,741.92045,1.0,5.84,1.55,-7.12,-19.37,-17.69,33.5,81.56,25.19,-69.19,0.9303087360191044,2.2931340920554777,0.8022865193568816,-142.48926046846375,-8.073924421552888,-35.528360490512846,0.0732,-0.9469,-0.0704,-0.3051
15,781418.0,741.92045,1.0,5.84,1.55,-7.12,-19.37,-17.69,33.5,81.56,25.19,-69.19,0.9303087360191044,2.2931340920554777,0.8022865193568816,-142.48926046846375,-8.073924421552888,-35.528360490512846,0.0732,-0.9469,-0.0704,-0.3051
16,781455.0,741.923754,1.0,6.23,-0.85,-6.07,-20.06,-17.69,34.0,169.94,70.5,-130.44,1.0417789403516668,-0.10724561361701652,1.130043807611198,-138.00625925895054,-13.738036026791262,-37.41052638436744,0.106,-0.9336,-0.1196,-0.3207
17,781455.0,741.923754,1.0,6.23,-0.85,-6.07,-20.06,-17.69,34.0,169.94,70.5,-130.44,1.0417789403516668,-0.10724561361701652,1.130043807611198,-138.00625925895054,-13.738036026791262,-37.41052638436744,0.106,-0.9336,-0.1196,-0.3207
