,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1048971.0,1006.0517880000001,1.0,-3.24,-2.52,-9.02,21.0,-7.69,37.88,-6.31,1.44,3.94,-0.1295440207580117,-0.1013460316733994,-0.10200012645768552,-147.6025936178383,-21.893896745024186,21.21732993545333,0.0889,-0.9603,-0.1899,0.1841
1,1048971.0,1006.0517880000001,1.0,-3.24,-2.52,-9.02,21.0,-7.69,37.88,-6.31,1.44,3.94,-0.1295440207580117,-0.1013460316733994,-0.10200012645768552,-147.6025936178383,-21.893896745024186,21.21732993545333,0.0889,-0.9603,-0.1899,0.1841
2,1049006.0,1006.094469,1.0,-3.43,-1.94,-8.76,19.87,-7.25,37.88,-6.38,2.06,0.12,-0.21765540677145565,0.4448111561033264,0.21389913492958532,-147.72605283657722,-21.882225322200526,21.15904057291141,0.0871,-0.9606,-0.1898,0.1836
3,1049006.0,1006.094469,1.0,-3.43,-1.94,-8.76,19.87,-7.25,37.88,-6.38,2.06,0.12,-0.21765540677145565,0.4448111561033264,0.21389913492958532,-147.72605283657722,-21.882225322200526,21.15904057291141,0.0871,-0.9606,-0.1898,0.1836
4,1049038.0,1006.1167210000001,1.0,-3.35,-1.95,-8.87,19.87,-7.25,37.88,0.81,7.38,-6.5,-0.15179038127098524,0.4399059629454492,0.13786815201528668,-147.72605283657722,-22.057320868979353,20.890980569305803,0.0877,-0.9606,-0.1913,0.1813
5,1049038.0,1006.1167210000001,1.0,-3.35,-1.95,-8.87,19.87,-7.25,37.88,0.81,7.38,-6.5,-0.15179038127098524,0.4399059629454492,0.13786815201528668,-147.72605283657722,-22.057320868979353,20.890980569305803,0.0877,-0.9606,-0.1913,0.1813
6,1049075.0,1006.173184,1.0,-3.11,-2.34,-9.26,19.5,-7.25,37.5,8.25,14.5,-16.44,0.02883174659317536,0.08474292267293483,-0.2376163926961468,-147.6436957459843,-22.349262916740443,20.599742008899195,0.0897,-0.9604,-0.1938,0.1788
7,1049075.0,1006.173184,1.0,-3.11,-2.34,-9.26,19.5,-7.25,37.5,8.25,14.5,-16.44,0.02883174659317536,0.08474292267293483,-0.2376163926961468,-147.6436957459843,-22.349262916740443,20.599742008899195,0.0897,-0.9604,-0.1938,0.1788
8,1049112.0,1006.2471519999999,1.0,-2.86,-3.34,-9.25,20.56,-7.69,38.25,13.88,14.0,-11.38,-0.15920686685329746,-0.7383884126240171,-0.4074155825997785,-147.39783944401512,-22.74654042115177,20.09912503821932,0.0977,-0.9598,-0.1972,0.1745
9,1049112.0,1006.2471519999999,1.0,-2.86,-3.34,-9.25,20.56,-7.69,38.25,13.88,14.0,-11.38,-0.15920686685329746,-0.7383884126240171,-0.4074155825997785,-147.39783944401512,-22.74654042115177,20.09912503821932,0.0977,-0.9598,-0.1972,0.1745
10,1049147.0,1006.2606949999999,1.0,-2.9,-2.96,-9.05,20.56,-7.69,38.25,-4.06,8.75,-2.0,-0.18552477433840056,-0.3683821066233897,-0.13839777171162915,-147.4795905833761,-22.851748300506443,19.796614956633128,0.0988,-0.96,-0.1981,0.1719
11,1049147.0,1006.2606949999999,1.0,-2.9,-2.96,-9.05,20.56,-7.69,38.25,-4.06,8.75,-2.0,-0.18552477433840056,-0.3683821066233897,-0.13839777171162915,-147.4795905833761,-22.851748300506443,19.796614956633128,0.0988,-0.96,-0.1981,0.1719
12,1049182.0,1006.270893,1.0,-2.99,-2.52,-9.07,19.06,-7.0,37.88,-7.0,3.44,1.44,-0.14417788003740778,0.036790629768483685,-0.0692428299404444,-147.68484875398153,-22.816676842803346,19.598895357607173,0.0969,-0.9605,-0.1978,0.1702
13,1049182.0,1006.270893,1.0,-2.99,-2.52,-9.07,19.06,-7.0,37.88,-7.0,3.44,1.44,-0.14417788003740778,0.036790629768483685,-0.0692428299404444,-147.68484875398153,-22.816676842803346,19.598895357607173,0.0969,-0.9605,-0.1978,0.1702
14,1049217.0,1006.322492,1.0,-3.04,-1.97,-9.0,19.5,-7.0,38.69,-8.19,2.94,-0.12,-0.062103430145945465,0.5093636292159891,0.11855463211700012,-147.84997349806363,-22.851748300506443,19.412860145181693,0.0946,-0.9609,-0.1981,0.1686
15,1049217.0,1006.322492,1.0,-3.04,-1.97,-9.0,19.5,-7.0,38.69,-8.19,2.94,-0.12,-0.062103430145945465,0.5093636292159891,0.11855463211700012,-147.84997349806363,-22.851748300506443,19.412860145181693,0.0946,-0.9609,-0.1981,0.1686
