acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
1.61,3.27,9.33,-0.2008529337037341,0.0509439916672436,-0.2078875733847862,-17.578451378167774,-9.890066196362191,-110.65153929836842
1.61,3.27,9.33,-0.2008529337037341,0.0509439916672436,-0.2078875733847862,-17.578451378167774,-9.890066196362191,-110.65153929836842
2.38,3.98,10.04,-0.8472713310949168,-0.3390686961612244,-1.214854602856553,-17.648026557290144,-9.832557602907888,-110.63139954579825
2.38,3.98,10.04,-0.8472713310949168,-0.3390686961612244,-1.214854602856553,-17.648026557290144,-9.832557602907888,-110.63139954579825
3.51,4.93,10.17,-2.006923686217408,-0.9434449303836928,-1.8181540405433465,-17.914792407087575,-9.694547078719877,-110.57101095130196
3.51,4.93,10.17,-2.006923686217408,-0.9434449303836928,-1.8181540405433465,-17.914792407087575,-9.694547078719877,-110.57101095130196
4.34,3.58,10.19,-0.8971201561602731,-2.208524581918017,-1.5865802090528636,-19.017706136871343,-10.22366575133618,-110.28980246010522
4.34,3.58,10.19,-0.8971201561602731,-2.208524581918017,-1.5865802090528636,-19.017706136871343,-10.22366575133618,-110.28980246010522
3.47,3.52,11.18,0.2961873505742662,-1.1097177618065863,-2.363169207469386,-21.590514086807826,-10.37323841550224,-110.3098558920654
3.47,3.52,11.18,0.2961873505742662,-1.1097177618065863,-2.363169207469386,-21.590514086807826,-10.37323841550224,-110.3098558920654
3.81,3.65,10.69,0.2257882597275967,-1.0111769811346945,-2.069428509954056,-24.02206117401117,-10.177646918437086,-111.42068428698192
3.81,3.65,10.69,0.2257882597275967,-1.0111769811346945,-2.069428509954056,-24.02206117401117,-10.177646918437086,-111.42068428698192
3.94,3.85,11.0,0.737559190873688,-0.2557087384780212,-2.4708383213556253,-28.09190303440269,-9.418568108565768,-114.15363047105912
3.94,3.85,11.0,0.737559190873688,-0.2557087384780212,-2.4708383213556253,-28.09190303440269,-9.418568108565768,-114.15363047105912
4.62,3.48,11.32,1.5089270232494614,0.0248404135811315,-2.815541655665852,-32.711441879621354,-7.982025743589274,-118.65562547806576
4.62,3.48,11.32,1.5089270232494614,0.0248404135811315,-2.815541655665852,-32.711441879621354,-7.982025743589274,-118.65562547806576
4.88,6.81,10.01,-1.1897399521026184,2.9887059111309124,-2.8441506000862287,-35.56446095223015,-5.284543793645802,-121.6183055994286
4.88,6.81,10.01,-1.1897399521026184,2.9887059111309124,-2.8441506000862287,-35.56446095223015,-5.284543793645802,-121.6183055994286
5.62,5.06,9.38,-0.0796876239736115,2.043204235133798,-2.067328538641407,-39.571024584505096,-4.378462866761455,-123.86648635871312
