acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
2.32,1.8,-9.22,-0.2682396852858045,-0.2035829928320212,0.1362104321071644,-150.88687816852098,-21.392231414012297,-17.056843809922572
2.32,1.8,-9.22,-0.2682396852858045,-0.2035829928320212,0.1362104321071644,-150.88687816852098,-21.392231414012297,-17.056843809922572
2.47,2.03,-9.34,-0.0964347963593538,-0.0631078758693686,-0.0647287145491652,-150.84131999821054,-21.403893300909647,-17.056843809922572
2.47,2.03,-9.34,-0.0964347963593538,-0.0631078758693686,-0.0647287145491652,-150.84131999821054,-21.403893300909647,-17.056843809922572
2.61,2.07,-9.33,0.0336254247807685,-0.0766686718502127,-0.0998575200882534,-150.79583135983617,-21.46220610254345,-17.126370676427072
2.61,2.07,-9.33,0.0336254247807685,-0.0766686718502127,-0.0998575200882534,-150.79583135983617,-21.46220610254345,-17.126370676427072
2.84,2.9,-9.24,0.540399150022317,0.6009093602115501,-0.2531748841351771,-150.70506138327715,-21.555518290408003,-17.161136490218524
2.84,2.9,-9.24,0.540399150022317,0.6009093602115501,-0.2531748841351771,-150.70506138327715,-21.555518290408003,-17.161136490218524
1.52,2.42,-8.89,-0.6425262365575617,0.7102213110119531,0.5178585972006218,-149.98856759602742,-22.57123707542117,-17.09160645080068
1.52,2.42,-8.89,-0.6425262365575617,0.7102213110119531,0.5178585972006218,-149.98856759602742,-22.57123707542117,-17.09160645080068
2.17,2.56,-9.23,-0.1481322378605949,0.6233013936452949,0.0063973393393474,-149.33171261025748,-23.40148673707778,-17.416134643761747
2.17,2.56,-9.23,-0.1481322378605949,0.6233013936452949,0.0063973393393474,-149.33171261025748,-23.40148673707778,-17.416134643761747
1.66,3.99,-8.93,-0.0433269987832084,2.165836114470979,0.1253341443722266,-147.4795905833761,-25.124476539770274,-18.390575402245243
1.66,3.99,-8.93,-0.0433269987832084,2.165836114470979,0.1253341443722266,-147.4795905833761,-25.124476539770274,-18.390575402245243
1.64,1.46,-8.33,-0.9419837242861478,0.1395640206627295,1.2449160315029406,-145.76376947074462,-26.888604025029306,-19.35473475782733
1.64,1.46,-8.33,-0.9419837242861478,0.1395640206627295,1.2449160315029406,-145.76376947074462,-26.888604025029306,-19.35473475782733
2.25,3.13,-8.4,0.0467096614900227,1.3715202148870411,0.6668387050289883,-143.46374555627918,-28.56464145412097,-21.04247844328356
2.25,3.13,-8.4,0.0467096614900227,1.3715202148870411,0.6668387050289883,-143.46374555627918,-28.56464145412097,-21.04247844328356
4.29,3.62,-9.26,1.2988686758397396,0.709249699211967,-0.9202323535587436,-140.8829393690889,-30.44878609284871,-22.82836708787642
4.29,3.62,-9.26,1.2988686758397396,0.709249699211967,-0.9202323535587436,-140.8829393690889,-30.44878609284871,-22.82836708787642
2.82,2.69,-8.43,-0.0715831479620298,0.7192017970127884,0.5475450417385677,-138.81318085103794,-32.28174931703743,-23.8463551666527
2.82,2.69,-8.43,-0.0715831479620298,0.7192017970127884,0.5475450417385677,-138.81318085103794,-32.28174931703743,-23.8463551666527
2.98,3.12,-8.12,0.1694688406426743,0.8894915544237754,0.6562792377488869,-135.397065246721,-35.16755548021839,-25.5003013557049
2.98,3.12,-8.12,0.1694688406426743,0.8894915544237754,0.6562792377488869,-135.397065246721,-35.16755548021839,-25.5003013557049
4.69,2.24,-9.16,0.1630717343566376,-0.7677606818777627,-0.6958854626783584,-132.72485553305756,-37.20491981438743,-27.15966751179376
4.69,2.24,-9.16,0.1630717343566376,-0.7677606818777627,-0.6958854626783584,-132.72485553305756,-37.20491981438743,-27.15966751179376
5.4,1.49,-9.15,-0.0587632888491972,-1.6081103108337378,-0.8005705645057617,-130.10645331555745,-39.37623490539532,-28.777535311725245
5.4,1.49,-9.15,-0.0587632888491972,-1.6081103108337378,-0.8005705645057617,-130.10645331555745,-39.37623490539532,-28.777535311725245
5.42,0.92,-9.06,-0.5462025771904667,-1.991415498368197,-0.587691107426167,-128.2635811405088,-40.91347187505044,-29.74868303296809
5.42,0.92,-9.06,-0.5462025771904667,-1.991415498368197,-0.587691107426167,-128.2635811405088,-40.91347187505044,-29.74868303296809
5.4,0.63,-8.94,-0.8923065692526986,-2.124522592852328,-0.3997544961449826,-126.6838681332996,-42.053036389733045,-30.817102104618424
5.4,0.63,-8.94,-0.8923065692526986,-2.124522592852328,-0.3997544961449826,-126.6838681332996,-42.053036389733045,-30.817102104618424
6.1,0.66,-9.18,-0.6821866457298021,-2.455879240397401,-0.936779551915576,-126.22595924751906,-42.151265384526,-31.47137263789784
6.1,0.66,-9.18,-0.6821866457298021,-2.455879240397401,-0.936779551915576,-126.22595924751906,-42.151265384526,-31.47137263789784
5.6,1.57,-8.83,-0.3461431539075278,-1.5396813371812643,-0.6481750246926037,-126.17530318519164,-41.70948903373751,-31.98362621241675
5.6,1.57,-8.83,-0.3461431539075278,-1.5396813371812643,-0.6481750246926037,-126.17530318519164,-41.70948903373751,-31.98362621241675
5.64,2.02,-8.72,-0.0228927491025695,-1.3018474670605151,-0.6925437354516237,-126.42902677997118,-41.26836056402613,-32.067078184397204
5.64,2.02,-8.72,-0.0228927491025695,-1.3018474670605151,-0.6925437354516237,-126.42902677997118,-41.26836056402613,-32.067078184397204
4.93,2.23,-8.67,-0.299287518575023,-0.7556585392820633,-0.3808966699905394,-127.6108060653337,-39.74156329781962,-31.97170592495036
4.93,2.23,-8.67,-0.299287518575023,-0.7556585392820633,-0.3808966699905394,-127.6108060653337,-39.74156329781962,-31.97170592495036
4.62,2.19,-8.38,-0.3377944602460804,-0.65153305512651,0.0175591545381728,-129.0571819857357,-37.979621244835975,-31.79294414962257
4.62,2.19,-8.38,-0.3377944602460804,-0.65153305512651,0.0175591545381728,-129.0571819857357,-37.979621244835975,-31.79294414962257
4.67,2.34,-8.33,-0.1167198944617635,-0.6446677069553879,-0.0037618167305151,-131.23228149999522,-35.46820114810156,-31.185744677827834
4.67,2.34,-8.33,-0.1167198944617635,-0.6446677069553879,-0.0037618167305151,-131.23228149999522,-35.46820114810156,-31.185744677827834
4.76,3.33,-8.33,0.4839137107250158,0.0111193147631105,-0.3373681329398028,-133.3576107786115,-32.8547775548023,-30.57944178497209
4.76,3.33,-8.33,0.4839137107250158,0.0111193147631105,-0.3373681329398028,-133.3576107786115,-32.8547775548023,-30.57944178497209
4.86,2.3,-9.15,-0.1925722104097299,-0.9410376909916476,-0.7626197953979315,-135.57859793518082,-30.603201736078947,-29.59457663056109
4.86,2.3,-9.15,-0.1925722104097299,-0.9410376909916476,-0.7626197953979315,-135.57859793518082,-30.603201736078947,-29.59457663056109
4.08,3.21,-8.44,0.2973835005101796,0.0395501668485158,-0.0975965053090508,-138.9763854221543,-27.47807034873948,-27.20682475697043
4.08,3.21,-8.44,0.2973835005101796,0.0395501668485158,-0.0975965053090508,-138.9763854221543,-27.47807034873948,-27.20682475697043
3.57,3.91,-8.33,0.5113091852728637,0.7053279416290971,-0.0250830828197798,-141.53859212209682,-25.45330808515709,-24.831054609816945
3.57,3.91,-8.33,0.5113091852728637,0.7053279416290971,-0.0250830828197798,-141.53859212209682,-25.45330808515709,-24.831054609816945
3.66,2.72,-9.11,0.2909365662107581,-0.5885211179152623,-0.3597209753387052,-145.18454955392758,-22.66472550596455,-21.7305176882842
3.66,2.72,-9.11,0.2909365662107581,-0.5885211179152623,-0.3597209753387052,-145.18454955392758,-22.66472550596455,-21.7305176882842
2.74,2.92,-8.92,0.1002642776951423,-0.1422362039120248,0.0306530719667765,-148.4345315385202,-20.18059415638896,-18.634392500869453
2.74,2.92,-8.92,0.1002642776951423,-0.1422362039120248,0.0306530719667765,-148.4345315385202,-20.18059415638896,-18.634392500869453
1.64,3.76,-8.23,0.0092697955027401,0.7922882800964408,0.6451930551623963,-150.84131999821054,-17.648026557290144,-15.043205913037664
1.64,3.76,-8.23,0.0092697955027401,0.7922882800964408,0.6451930551623963,-150.84131999821054,-17.648026557290144,-15.043205913037664
1.53,3.77,-8.88,-0.0896172086986124,0.5575395070941136,0.0552747916545435,-152.00202441389632,-16.361918539628213,-13.4841456448157
1.53,3.77,-8.88,-0.0896172086986124,0.5575395070941136,0.0552747916545435,-152.00202441389632,-16.361918539628213,-13.4841456448157
1.41,3.72,-9.26,-0.0317410494230448,0.3139116185747128,-0.2668077976733141,-154.0662728728033,-13.668786527863627,-11.19045487105573
