,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1560688.0,340.056883,1.0,0.97,1.34,9.58,18.06,-13.0,-39.06,1.94,-1.37,-1.0,0.010620342995328295,-0.0056248062003100285,0.0848828988053878,-9.395572354596672,-2.9338644268256844,-105.34830046023008,-0.6003,-0.0819,-0.0256,-0.7952
1,1560688.0,340.056883,1.0,0.97,1.34,9.58,18.06,-13.0,-39.06,1.94,-1.37,-1.0,0.010620342995328295,-0.0056248062003100285,0.0848828988053878,-9.395572354596672,-2.9338644268256844,-105.34830046023008,-0.6003,-0.0819,-0.0256,-0.7952
2,1560723.0,340.072705,1.0,1.08,1.35,9.61,18.06,-13.0,-39.06,1.5,-1.0,0.19,-0.014578518597460675,-0.10505826833881372,0.042954478987008216,-9.441564242690683,-2.956790311078442,-105.32940383389915,-0.6003,-0.0823,-0.0258,-0.7951
3,1560723.0,340.072705,1.0,1.08,1.35,9.61,18.06,-13.0,-39.06,1.5,-1.0,0.19,-0.014578518597460675,-0.10505826833881372,0.042954478987008216,-9.441564242690683,-2.956790311078442,-105.32940383389915,-0.6003,-0.0823,-0.0258,-0.7951
4,1560756.0,340.08821800000004,1.0,1.0,1.34,9.54,18.06,-13.38,-37.75,1.56,-3.0,0.12,0.021959620673985686,-0.022430125114513037,0.1212891567197012,-9.568049817899789,-2.956790311078442,-105.31051129197044,-0.6003,-0.0834,-0.0258,-0.795
5,1560756.0,340.08821800000004,1.0,1.0,1.34,9.54,18.06,-13.38,-37.75,1.56,-3.0,0.12,0.021959620673985686,-0.022430125114513037,0.1212891567197012,-9.568049817899789,-2.956790311078442,-105.31051129197044,-0.6003,-0.0834,-0.0258,-0.795
6,1560791.0,340.134472,1.0,1.03,1.35,9.66,18.06,-12.56,-38.25,1.19,-2.56,0.06,0.037536497274082994,-0.026470845410525023,-0.0013513410335388445,-9.683046840720888,-2.9338644268256844,-105.29162283128352,-0.6003,-0.0844,-0.0256,-0.7949
7,1560791.0,340.134472,1.0,1.03,1.35,9.66,18.06,-12.56,-38.25,1.19,-2.56,0.06,0.037536497274082994,-0.026470845410525023,-0.0013513410335388445,-9.683046840720888,-2.9338644268256844,-105.29162283128352,-0.6003,-0.0844,-0.0256,-0.7949
8,1560827.0,340.195089,1.0,1.04,1.31,9.63,17.25,-13.69,-38.19,1.88,-4.06,0.06,0.08235071653356038,-0.03554937952768844,0.03288129999989842,-9.798053639345571,-2.9224015288032215,-105.29162283128352,-0.6002,-0.0854,-0.0255,-0.7949
9,1560827.0,340.195089,1.0,1.04,1.31,9.63,17.25,-13.69,-38.19,1.88,-4.06,0.06,0.08235071653356038,-0.03554937952768844,0.03288129999989842,-9.798053639345571,-2.9224015288032215,-105.29162283128352,-0.6002,-0.0854,-0.0255,-0.7949
10,1560862.0,340.20700800000003,1.0,1.04,1.04,9.57,17.25,-13.69,-38.19,1.94,-4.38,4.19,0.33654344523824153,-0.08572560343446634,0.13052011091815707,-9.936074868420336,-2.8192367490322434,-105.34830046023008,-0.5995,-0.0866,-0.0246,-0.7952
11,1560862.0,340.20700800000003,1.0,1.04,1.04,9.57,17.25,-13.69,-38.19,1.94,-4.38,4.19,0.33654344523824153,-0.08572560343446634,0.13052011091815707,-9.936074868420336,-2.8192367490322434,-105.34830046023008,-0.5995,-0.0866,-0.0246,-0.7952
12,1560897.0,340.256056,1.0,1.45,1.53,9.29,17.25,-13.69,-38.69,-3.31,-4.56,3.44,-0.302801314078653,-0.32903382517423085,0.2910024599697678,-9.959079806154524,-2.6129139620146145,-105.42392787292214,-0.5992,-0.0868,-0.0228,-0.7956
13,1560897.0,340.256056,1.0,1.45,1.53,9.29,17.25,-13.69,-38.69,-3.31,-4.56,3.44,-0.302801314078653,-0.32903382517423085,0.2910024599697678,-9.959079806154524,-2.6129139620146145,-105.42392787292214,-0.5992,-0.0868,-0.0228,-0.7956
14,1560934.0,340.291053,1.0,1.26,1.37,9.73,17.25,-13.0,-39.06,2.31,-14.69,4.69,-0.001270756424029712,-0.080592188129188,-0.09945434451357292,-10.361732200036483,-2.337829975144579,-105.5185544187127,-0.598,-0.0903,-0.0204,-0.7961
15,1560934.0,340.291053,1.0,1.26,1.37,9.73,17.25,-13.0,-39.06,2.31,-14.69,4.69,-0.001270756424029712,-0.080592188129188,-0.09945434451357292,-10.361732200036483,-2.337829975144579,-105.5185544187127,-0.598,-0.0903,-0.0204,-0.7961
16,1560969.0,340.32184,1.0,1.59,1.31,9.48,17.25,-13.0,-39.06,-1.94,-9.69,4.69,-0.06820169703854756,-0.3764285776354824,0.11292780187299024,-10.591876570929834,-2.1086036789736795,-105.5943297282315,-0.5973,-0.0923,-0.0184,-0.7965
17,1560969.0,340.32184,1.0,1.59,1.31,9.48,17.25,-13.0,-39.06,-1.94,-9.69,4.69,-0.06820169703854756,-0.3764285776354824,0.11292780187299024,-10.591876570929834,-2.1086036789736795,-105.5943297282315,-0.5973,-0.0923,-0.0184,-0.7965
18,1561001.0,340.33905,1.0,2.03,1.34,9.19,17.69,-12.56,-38.69,-1.75,-19.62,2.81,-0.2455026886753753,-0.6969646909149505,0.3289620620337477,-11.09834637461124,-1.6272548279067642,-105.61328387022331,-0.5966,-0.0967,-0.0142,-0.7966
19,1561001.0,340.33905,1.0,2.03,1.34,9.19,17.69,-12.56,-38.69,-1.75,-19.62,2.81,-0.2455026886753753,-0.6969646909149505,0.3289620620337477,-11.09834637461124,-1.6272548279067642,-105.61328387022331,-0.5966,-0.0967,-0.0142,-0.7966
20,1561038.0,340.38489,1.0,2.89,1.85,9.39,16.19,-13.0,-39.5,0.63,-36.38,6.75,-0.8821642955864426,-1.1850303484342306,-0.08092752075210717,-11.881504040605064,-1.0084187350403075,-105.57537971529776,-0.5958,-0.1035,-0.0088,-0.7964
