acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
2.39,0.5,9.42,0.1381435490235934,0.0251941513540036,0.0763477634504745,-13.738036026791262,6.064724315991072,-102.22862690361036
2.39,0.5,9.42,0.1381435490235934,0.0251941513540036,0.0763477634504745,-13.738036026791262,6.064724315991072,-102.22862690361036
2.33,0.27,9.32,0.3255311942124411,0.0023914571192643,0.2015355434967638,-13.564921674838883,6.190955481383822,-102.28340450662311
2.33,0.27,9.32,0.3255311942124411,0.0023914571192643,0.2015355434967638,-13.564921674838883,6.190955481383822,-102.28340450662311
2.43,0.42,9.47,0.1285545991765736,-0.027741492776208,0.0217174951428944,-13.334150842815474,6.317194167065648,-102.48453447446366
2.43,0.42,9.47,0.1285545991765736,-0.027741492776208,0.0217174951428944,-13.334150842815474,6.317194167065648,-102.48453447446366
2.48,0.59,9.43,-0.1454380020125748,-0.0439764798433837,0.0393415756288764,-12.907367253850758,6.627085616027942,-102.75951351944929
2.48,0.59,9.43,-0.1454380020125748,-0.0439764798433837,0.0393415756288764,-12.907367253850758,6.627085616027942,-102.75951351944929
2.57,0.29,9.34,0.0675511466926868,-0.2232902366730681,0.1179876406860476,-12.699808169946316,6.776309776380446,-102.9800928228657
2.57,0.29,9.34,0.0675511466926868,-0.2232902366730681,0.1179876406860476,-12.699808169946316,6.776309776380446,-102.9800928228657
2.71,0.63,9.57,-0.3581497640283586,-0.1889055533924618,-0.1513590097581261,-12.411600904099071,7.2010885302066425,-103.14587806891129
2.71,0.63,9.57,-0.3581497640283586,-0.1889055533924618,-0.1513590097581261,-12.411600904099071,7.2010885302066425,-103.14587806891129
5.72,1.49,8.82,-1.94564336004018,-2.8929298819745384,-0.2221250305563416,-12.803582439206052,7.499640647274437,-103.07215846453477
5.72,1.49,8.82,-1.94564336004018,-2.8929298819745384,-0.2221250305563416,-12.803582439206052,7.499640647274437,-103.07215846453477
4.04,0.89,9.92,-0.5070832592553952,-0.7539798817054165,-0.9029009199109924,-15.7832777083714,8.269226458088282,-102.2103749169286
4.04,0.89,9.92,-0.5070832592553952,-0.7539798817054165,-0.9029009199109924,-15.7832777083714,8.269226458088282,-102.2103749169286
5.05,1.61,9.73,-1.0994134805533078,-1.1657451253180349,-1.1569182285273758,-18.437010245615284,9.016196458354324,-100.76167247514276
5.05,1.61,9.73,-1.0994134805533078,-1.1657451253180349,-1.1569182285273758,-18.437010245615284,9.016196458354324,-100.76167247514276
7.66,3.13,10.38,-2.17315620570992,-2.0847108070902647,-3.1219335634220027,-23.71754026504909,10.37323841550224,-98.1906423635664
7.66,3.13,10.38,-2.17315620570992,-2.0847108070902647,-3.1219335634220027,-23.71754026504909,10.37323841550224,-98.1906423635664
9.01,1.98,8.71,-0.3211259151964254,-2.994742154900192,-2.517837720479621,-31.63808150954527,11.512892133606984,-94.09183027952132
9.01,1.98,8.71,-0.3211259151964254,-2.994742154900192,-2.517837720479621,-31.63808150954527,11.512892133606984,-94.09183027952132
8.67,3.52,9.38,-0.453688734407571,-0.8815487683846688,-3.4054935922120944,-38.23421144458892,13.264930228136947,-88.88610446361312
8.67,3.52,9.38,-0.453688734407571,-0.8815487683846688,-3.4054935922120944,-38.23421144458892,13.264930228136947,-88.88610446361312
7.8,5.7,8.85,-1.2943600650062812,1.5725556809324233,-3.1356913898909387,-47.631901603380186,16.581911426258042,-79.74778543159233
7.8,5.7,8.85,-1.2943600650062812,1.5725556809324233,-3.1356913898909387,-47.631901603380186,16.581911426258042,-79.74778543159233
8.89,4.83,7.17,0.4161824186260844,0.989977285513798,-2.54716063350873,-56.56249373757082,17.346581127291525,-74.48647019368201
8.89,4.83,7.17,0.4161824186260844,0.989977285513798,-2.54716063350873,-56.56249373757082,17.346581127291525,-74.48647019368201
9.77,4.02,5.21,2.070882643057839,0.9090774223824742,-1.7537316251366108,-69.12432067193492,18.62278024163795,-68.41615870880295
9.77,4.02,5.21,2.070882643057839,0.9090774223824742,-1.7537316251366108,-69.12432067193492,18.62278024163795,-68.41615870880295
8.7,6.42,3.45,-0.2564145876705898,1.79436028232982,-1.3970736103193369,-76.12198798415724,20.21551264575777,-63.49812368940196
8.7,6.42,3.45,-0.2564145876705898,1.79436028232982,-1.3970736103193369,-76.12198798415724,20.21551264575777,-63.49812368940196
8.35,7.19,2.43,-0.3288328060655945,2.4436268664424,-1.20443789917036,-84.24222829795386,20.79776947557341,-56.8098734919699
8.35,7.19,2.43,-0.3288328060655945,2.4436268664424,-1.20443789917036,-84.24222829795386,20.79776947557341,-56.8098734919699
5.9,7.86,0.81,-1.827599506634824,2.6668709387473184,0.4903535556282783,-91.27000879817416,20.05257586733213,-51.443358765022325
5.9,7.86,0.81,-1.827599506634824,2.6668709387473184,0.4903535556282783,-91.27000879817416,20.05257586733213,-51.443358765022325
6.32,7.49,0.3,-0.9519672787242256,2.5702557083684123,0.3928280400393192,-96.21517866036496,18.576333132780547,-49.13941280029733
6.32,7.49,0.3,-0.9519672787242256,2.5702557083684123,0.3928280400393192,-96.21517866036496,18.576333132780547,-49.13941280029733
5.54,7.94,-1.14,-1.671942489289683,2.4326523498697563,0.5157075904711892,-102.338214628802,16.466118077182387,-46.68167205165904
5.54,7.94,-1.14,-1.671942489289683,2.4326523498697563,0.5157075904711892,-102.338214628802,16.466118077182387,-46.68167205165904
4.9,4.01,-2.09,0.0356324388237009,0.1174030994065602,3.140080654260528,-107.41388301314085,14.269118297459285,-45.80946044511175
4.9,4.01,-2.09,0.0356324388237009,0.1174030994065602,3.140080654260528,-107.41388301314085,14.269118297459285,-45.80946044511175
6.21,5.22,-3.32,0.0166794662518208,0.1774749267659641,1.042910818248011,-112.0743054876913,11.2019689418816,-44.85325420187507
6.21,5.22,-3.32,0.0166794662518208,0.1774749267659641,1.042910818248011,-112.0743054876913,11.2019689418816,-44.85325420187507
6.28,5.01,-5.53,-0.7225403158040951,-1.1463773909819173,0.1483295264661475,-115.81683895855758,9.154139652218912,-43.4682404912652
6.28,5.01,-5.53,-0.7225403158040951,-1.1463773909819173,0.1483295264661475,-115.81683895855758,9.154139652218912,-43.4682404912652
5.33,3.05,-5.34,-0.0898812364381453,-1.6545836422587157,1.8391363141563275,-121.80654521371449,6.868145731332586,-40.92570257127247
5.33,3.05,-5.34,-0.0898812364381453,-1.6545836422587157,1.8391363141563275,-121.80654521371449,6.868145731332586,-40.92570257127247
5.77,3.84,-5.72,0.3498570479479002,-0.9040676786249946,0.8726049095347204,-126.86293079671192,4.871608567013157,-37.604152605861614
5.77,3.84,-5.72,0.3498570479479002,-0.9040676786249946,0.8726049095347204,-126.86293079671192,4.871608567013157,-37.604152605861614
4.94,3.69,-6.43,-0.1952190401859818,-0.9637860859620891,0.9524077451904612,-130.81759051018483,3.6675560000932936,-34.89118212049759
4.94,3.69,-6.43,-0.1952190401859818,-0.9637860859620891,0.9524077451904612,-130.81759051018483,3.6675560000932936,-34.89118212049759
4.3,3.25,-6.41,-0.0063681863684046,-0.7978264876987162,1.469742159455718,-136.12747373883852,2.1200647857418087,-31.06679175207397
4.3,3.25,-6.41,-0.0063681863684046,-0.7978264876987162,1.469742159455718,-136.12747373883852,2.1200647857418087,-31.06679175207397
4.19,3.65,-5.79,0.6078757264222626,0.1127421946311393,1.805370333673096,-139.83527593342114,0.8594447501191841,-27.99741414521811
4.19,3.65,-5.79,0.6078757264222626,0.1127421946311393,1.805370333673096,-139.83527593342114,0.8594447501191841,-27.99741414521811
3.84,3.78,-7.49,0.1378732242561419,-0.0776027207304403,0.5811923532613594,-144.53918747848587,-0.5385823103159236,-24.479166312304468
3.84,3.78,-7.49,0.1378732242561419,-0.0776027207304403,0.5811923532613594,-144.53918747848587,-0.5385823103159236,-24.479166312304468
3.5,2.26,-8.05,0.1729435229906573,-1.2655701141881832,0.8328814034777299,-148.35037934063973,-1.5126525087430307,-21.76552371074204
3.5,2.26,-8.05,0.1729435229906573,-1.2655701141881832,0.8328814034777299,-148.35037934063973,-1.5126525087430307,-21.76552371074204
2.46,2.3,-7.53,-0.028128832612494,-0.5971974274663454,1.5795567100583163,-152.72165046658662,-2.807774138332147,-17.961196420173227
2.46,2.3,-7.53,-0.028128832612494,-0.5971974274663454,1.5795567100583163,-152.72165046658662,-2.807774138332147,-17.961196420173227
2.6,2.65,-8.55,0.172314514021554,-0.4231939634654805,0.4966438465356582,-155.16145880106285,-3.724881599063971,-15.725436142775802
2.6,2.65,-8.55,0.172314514021554,-0.4231939634654805,0.4966438465356582,-155.16145880106285,-3.724881599063971,-15.725436142775802
1.7,2.38,-8.85,-0.2365545146246633,-0.3628268952774736,0.4959411867208523,-158.5304946671076,-4.6766337060034,-12.549930441445206
1.7,2.38,-8.85,-0.2365545146246633,-0.3628268952774736,0.4959411867208523,-158.5304946671076,-4.6766337060034,-12.549930441445206
1.79,1.43,-8.5,0.2349220628784897,-0.9027934497951132,1.0528636414360708,-161.21954183361512,-5.169832905126534,-10.361732200036483
1.79,1.43,-8.5,0.2349220628784897,-0.9027934497951132,1.0528636414360708,-161.21954183361512,-5.169832905126534,-10.361732200036483
1.53,0.79,-9.07,0.2255333286737076,-1.400651526682407,0.6843032614431053,-163.53886738912243,-6.030298919379606,-7.936078336486531
1.53,0.79,-9.07,0.2255333286737076,-1.400651526682407,0.6843032614431053,-163.53886738912243,-6.030298919379606,-7.936078336486531
0.32,1.51,-8.25,-0.3599811688021203,-0.3671741564541443,1.4292639699223564,-164.35965769726891,-7.315910364212048,-5.146891353190199
0.32,1.51,-8.25,-0.3599811688021203,-0.3671741564541443,1.4292639699223564,-164.35965769726891,-7.315910364212048,-5.146891353190199
-0.22,2.14,-7.66,-0.5210975148468301,0.4632036479315521,1.8809008391595343,-164.44410289964102,-8.211782210366408,-3.564372225995784
-0.22,2.14,-7.66,-0.5210975148468301,0.4632036479315521,1.8809008391595343,-164.44410289964102,-8.211782210366408,-3.564372225995784
-0.28,1.42,-7.95,-0.5709123936900176,-0.0976818438090996,1.7467605903293428,-165.13681976050614,-9.280599254023052,-2.830699387947472
-0.28,1.42,-7.95,-0.5709123936900176,-0.0976818438090996,1.7467605903293428,-165.13681976050614,-9.280599254023052,-2.830699387947472
0.75,0.41,-9.41,0.1742179874047428,-1.3500573191295455,0.4564792353599572,-165.5865648948541,-9.729048380447908,-3.0026424356334624
0.75,0.41,-9.41,0.1742179874047428,-1.3500573191295455,0.4564792353599572,-165.5865648948541,-9.729048380447908,-3.0026424356334624
0.86,0.96,-9.27,0.3375583875999489,-0.750639923356797,0.4837376846114338,-165.13681976050614,-10.568860221135685,-3.3121572228147254
0.86,0.96,-9.27,0.3375583875999489,-0.750639923356797,0.4837376846114338,-165.13681976050614,-10.568860221135685,-3.3121572228147254
0.54,0.65,-9.42,-0.089105637876998,-0.9946371072265,0.4016908182583449,-164.61437509688025,-11.397725602729444,-3.5873017007906127
0.54,0.65,-9.42,-0.089105637876998,-0.9946371072265,0.4016908182583449,-164.61437509688025,-11.397725602729444,-3.5873017007906127
0.43,0.2,-9.59,-0.357950016982639,-1.4238304349649529,0.3178366559716927,-164.1089976777972,-11.996720388635614,-3.919795697049856
0.43,0.2,-9.59,-0.357950016982639,-1.4238304349649529,0.3178366559716927,-164.1089976777972,-11.996720388635614,-3.919795697049856
0.1,0.36,-9.49,-0.6850694498344456,-1.2115633759085342,0.4118379191193693,-163.61910772281004,-12.342442956629045,-4.160587661476331
